"NetC","Comune di Barletta","","","","","","",""
"Stat","Via Casardi - C. Sportivo","","","","","","",""
,NO2,NOX,O3
09/01/2012 1.00,"17,03193157","22,38447232","46,7027505"
09/01/2012 2.00,"12,61033597","17,36324866","51,3505419"
09/01/2012 3.00,"8,83476693","13,25637782","52,01653275"
09/01/2012 4.00,"11,45850702","16,34771663","46,63003275"
09/01/2012 5.00,"12,24738292","17,2134492","42,21322245"
09/01/2012 6.00,"13,73359199","19,55578304","38,9115573"
09/01/2012 7.00,"15,24446586","20,8676636","47,9182242"
09/01/2012 8.00,"26,19977272","34,45865672","39,1694709"
09/01/2012 9.00,"32,7666132","47,42710264","35,8752072"
09/01/2012 10.00,"32,08552056","51,05734056","39,65295915"
09/01/2012 11.00,"23,51044912","37,03832712","46,4078097"
09/01/2012 12.00,"24,4739824","37,04094656","45,65292165"
09/01/2012 13.00,"17,36241503","26,28707464","57,24949755"
09/01/2012 14.00,"19,76994616","33,13251264","57,12963795"
09/01/2012 15.00,"16,76378313","27,12298192","58,5942672"
09/01/2012 16.00,"17,71368002","27,20921312","58,6784562"
09/01/2012 17.00,"21,63468152","29,95427152","54,63939915"
09/01/2012 18.00,"19,12780096","26,14635144","54,7949493"
09/01/2012 19.00,"35,26634288","47,20858016","37,74522045"
09/01/2012 20.00,"27,06137728","37,63557856","46,27715715"
09/01/2012 21.00,"20,80814304","29,85180744","50,5397739"
09/01/2012 22.00,"15,23212773","23,57899432","55,124244"
09/01/2012 23.00,"11,0046594","17,5571465","57,56127615"
10/01/2012 0.00,"8,28677434","14,15777493","58,78213635"
10/01/2012 1.00,"5,16568099","10,39330696","61,0265712"
10/01/2012 2.00,"3,67947574","8,14111054","62,82588165"
10/01/2012 3.00,,,"60,681117"
10/01/2012 4.00,"6,97003348","11,67666239","47,71016565"
10/01/2012 5.00,"9,1678488","14,28747354",
10/01/2012 6.00,"15,63338578","21,50577448","39,081252"
10/01/2012 7.00,"24,40191912","31,63189856","32,15064195"
10/01/2012 8.00,"36,48050112","50,55800264","23,3789661"
10/01/2012 9.00,"41,9188792","67,68908288","23,03285355"
10/01/2012 10.00,"32,52507024","54,23040016","31,61865525"
10/01/2012 11.00,"28,42811312","49,7811188","34,44357525"
10/01/2012 12.00,"23,4520184","41,77100512","46,09668945"
10/01/2012 13.00,"20,17509896","31,75122648","50,7343662"
10/01/2012 14.00,"29,87926376","43,4804096","44,6004195"
10/01/2012 15.00,"25,16935768","35,59478624","47,75932245"
10/01/2012 16.00,"30,22791696","40,5440556","42,7856079"
10/01/2012 17.00,"40,64499008","51,26680016","32,6967732"
10/01/2012 18.00,"58,54501936","79,1498212","18,95274539"
