TARANTO - Carcere,,,
,SO2,NO2,PM10
12/01/2011 14.00,"0,825171","11,988438","23,93162"
12/01/2011 15.00,"0,960594","10,286935",
12/01/2011 16.00,"0,650026","13,847636","16,36141"
12/01/2011 17.00,"0,650026","14,548497",
12/01/2011 18.00,"0,650026","20,117012","10,25641"
12/01/2011 19.00,"0,585926","12,388832",
12/01/2011 20.00,"0,648221","13,011818","10,74481"
12/01/2011 21.00,"2,036748","29,783549",
12/01/2011 22.00,"1,652149","20,338288","12,69841"
12/01/2011 23.00,"0,650026","12,392077",
13/01/2011 0.00,"0,816144","16,466744","12,69841"
13/01/2011 1.00,"0,893785","15,02092",
13/01/2011 2.00,"0,964205","10,429046","8,058608"
13/01/2011 3.00,"0,650026","6,793062",
13/01/2011 4.00,"0,650026","7,473797","10,98901"
13/01/2011 5.00,"0,650026","10,839174",
13/01/2011 6.00,"0,650026","17,967741","10,25641"
13/01/2011 7.00,"0,650026","21,62059",
13/01/2011 8.00,"0,653637","20,747762","13,43101"
13/01/2011 9.00,"0,765586","19,459629",
13/01/2011 10.00,"1,018374","12,330426","18,07081"
13/01/2011 11.00,"1,460753","10,414772",
13/01/2011 12.00,"1,700901","10,303158","13,18681"
13/01/2011 13.00,"1,756876","12,967681",
13/01/2011 14.00,"1,950077","13,617266","14,40781"
13/01/2011 15.00,"1,935633","14,852838",
13/01/2011 16.00,"1,746042","21,211116","11,96581"
13/01/2011 17.00,"1,670206","34,092487",
13/01/2011 18.00,"1,435474","47,441765","16,11721"
13/01/2011 19.00,"1,672011","49,379482",
13/01/2011 20.00,"1,833614","42,865452","28,08301"
13/01/2011 21.00,"3,663618","61,567144",
13/01/2011 22.00,"7,743434","65,046735","36,141621"
13/01/2011 23.00,"1,917576","43,349572",
14/01/2011 0.00,"1,854379","39,77327","33,211231"
14/01/2011 1.00,,"33,380614",
14/01/2011 2.00,"0,776419",,"28,81562"
14/01/2011 3.00,"0,740307","15,887894",
14/01/2011 4.00,"0,650026","15,129288","24,664221"
14/01/2011 5.00,"0,910036","15,755508",
14/01/2011 6.00,"1,266648","23,323398","23,68742"
14/01/2011 7.00,"3,591393","36,204141",
14/01/2011 8.00,"3,162557","33,920523","23,19902"
14/01/2011 9.00,"8,157824","53,472959",
14/01/2011 10.00,"5,948639","51,923952","42,002441"
14/01/2011 11.00,"7,987193","55,842234",
14/01/2011 12.00,"8,034139","41,974461","40,293041"
14/01/2011 13.00,"6,005516","23,38506",
14/01/2011 14.00,"7,580024","19,645875","27,35042"
14/01/2011 15.00,"7,942955","16,004708",
14/01/2011 16.00,"4,796649","20,653671","22,954821"
14/01/2011 17.00,"1,94466","33,388393",
14/01/2011 18.00,"1,249494","34,575957","23,19902"
14/01/2011 19.00,"0,725862","23,617367",
14/01/2011 20.00,"1,754167","43,896614","30,28083"
14/01/2011 21.00,"5,707588","59,143377",
14/01/2011 22.00,"5,481885","61,608025","45,909641"
14/01/2011 23.00,"2,556768","49,252926",
15/01/2011 0.00,"1,218798","41,062705","42,97924"
15/01/2011 1.00,"0,650026","32,361134",
15/01/2011 2.00,"0,722251","26,266329","28,81562"
15/01/2011 3.00,"0,650026","21,854847",
15/01/2011 4.00,"0,650026","15,065045","27,35042"
