"NetC","ARPA Puglia","","","","","","","","","","","","","","",""
"Stat","Caldarola","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE,CH4
04/01/2011 11.00,"2,62782935","61,76702616","122,46031136","1,19615443","19,42501376","34,5",,"1048,25112"
04/01/2011 12.00,"2,48876172","43,01147248","85,76631632","1,06423449","36,03434835","34,5",,"1038,08313"
04/01/2011 13.00,"2,43638622","41,0270268","81,29693984","0,94981285","40,7190273","34,5",,"1018,18374"
04/01/2011 14.00,"2,73077518","38,48708776","78,1349316","1,03804879","41,293707","34,5",,"1016,65004"
04/01/2011 15.00,"2,72896898","33,84978032","63,84487304","0,91327845","45,8334492","34,5",,"1013,9668"
04/01/2011 16.00,"2,22688219","40,18989584","72,43084288","0,93144779","40,9346469","34,5",,"1014,93553"
04/01/2011 17.00,,"55,18810184","284,410956","1,08935539",,"34,5","0,817668","1029,73745"
04/01/2011 18.00,"3,04503123","87,74133584","177,49096","1,40623539","7,56673376","34,5","2,66454","1046,87912"
04/01/2011 19.00,"3,28885088","103,89201896","244,2358208","1,59376544","1,20236456","34,5","2,859804","1057,41706"
04/01/2011 20.00,"3,29246326","99,26125056","247,3651912","1,71782396","4,27272342","34,5","3,511701","1089,99177"
04/01/2011 21.00,"3,12811097","90,03596528","217,218496","1,77584445","1,76642088","34,5","3,770019","1069,52104"
04/01/2011 22.00,"3,17145653","87,89838752","214,5805096","1,86992519","2,48802236","34,5","4,752441","1080,60337"
04/01/2011 23.00,"2,65672639","66,1096944","124,15937192","1,53613988","2,11386011","34,5","3,7257795","1076,28598"
05/01/2011 0.00,"2,57725903","62,69239592","123,0374868","1,39264916","0,65553905","34,5","3,2213475","1083,73153"
05/01/2011 1.00,"2,47611939","54,99602232","99,4131016","1,37854916","1,70234547","71,30000305","3,1033755","1098,46926"
05/01/2011 2.00,"2,18895521","37,69538592","53,19151496","1,16104133","10,01588753","71,30000305","2,499786","1075,70141"
05/01/2011 3.00,"2,10406927","34,34298072","46,9167516","1,09954448","12,63915492","71,30000305","1,674999","1081,0478"
05/01/2011 4.00,"2,64047168","20,93856056","29,7214664","0,97623622","19,85218515","71,30000305","1,531602","1109,57854"
05/01/2011 5.00,"2,55558676","24,3324944","34,03648712","1,04381437","18,22049261","71,30000305","1,2123657","1104,5041"
05/01/2011 6.00,"2,11490642","36,42346616","51,20324528","1,05195073","8,76005298","71,30000305","1,3317615","1087,27129"
05/01/2011 7.00,"2,58448379","50,01350328","90,41987576","1,21305858","1,98701402","71,30000305","1,5860115","1068,10053"
05/01/2011 8.00,"3,35025734","67,7787748","216,3842904","1,36259216","0,43996932","71,30000305","2,2572315","1071,02583"
05/01/2011 9.00,"3,84511937","80,31491752","281,93874","1,65541957","1,58505743","71,30000305","3,2213475","1070,88275"
05/01/2011 10.00,"3,20757732","65,61521296","186,02117592","1,5143369","3,58021902","71,30000305","4,2281775","1072,25475"
05/01/2011 11.00,"2,56100533","48,82074032","91,77003456","1,38158981","10,33401023","71,30000305","3,2854185","1098,48641"
05/01/2011 12.00,"2,38220453","31,99123984","53,3251064","1,15503809","25,5604986","71,30000305","2,492667","1070,62109"
05/01/2011 13.00,"2,29731859","25,70305424","40,06353176","1,01174425","36,7334562","71,30000305","1,497024","1031,86944"
05/01/2011 14.00,"2,70187814","21,75232688","31,65522496","0,94531129","45,3549684","71,30000305","1,2595545","1019,9644"
05/01/2011 15.00,"2,65672639","31,47727512","43,48494104","0,94436298","36,5641206","71,30000305","1,2595545","1023,7227"
05/01/2011 16.00,"3,09198917","67,60484016","130,94253608","1,0913289","4,67093739","71,30000305","1,710594","1040,19503"
05/01/2011 17.00,"3,33039024","69,50362824","194,07278","1,37764046","0,25695999","71,30000305","2,671659","1061,5311"
05/01/2011 18.00,"4,47363147","86,56545584","312,3374368","1,85582403","0,56984981","71,30000305","4,0502025","1064,69944"
05/01/2011 19.00,"5,66383064","111,78567272","502,476468","2,38093147","1,13506124","71,30000305","5,198904","1087,6138"
05/01/2011 20.00,"6,29414893","115,71819784","529,2978128","2,53338803","0,94905941","71,30000305","7,021368","1125,01648"
