MANDURIA,,,,
,NO2,CO,O3,PM10
12/01/2011 13.00,"32,072996","0,613218","43,636356",
12/01/2011 14.00,"37,947175","0,810399","42,315406",
12/01/2011 15.00,"29,234556","0,59356","46,299222",
12/01/2011 16.00,"33,805669","0,760438","39,143397",
12/01/2011 17.00,"38,759642","0,87448","34,965289",
12/01/2011 18.00,"52,78315","1,218625","16,858729",
12/01/2011 19.00,"52,156282","1,371897","18,889905",
12/01/2011 20.00,"46,443053","1,071747","19,399047",
12/01/2011 21.00,"49,077731","1,201155","23,755223",
12/01/2011 22.00,"34,959467","0,970366","23,761329",
12/01/2011 23.00,"20,701051","0,677085","30,952365",
13/01/2011 0.00,"14,695796","0,486342","36,307206",
13/01/2011 1.00,"6,39851","0,401058","38,154893",
13/01/2011 2.00,,"0,378868","35,359321",
13/01/2011 3.00,"9,787254",,"32,642969",
13/01/2011 4.00,"9,66136","0,302906",,
13/01/2011 5.00,"10,357019","0,302734","32,330851",
13/01/2011 6.00,"14,053353","0,364714","30,283421",
13/01/2011 7.00,"22,377895","0,501546","19,827628",
13/01/2011 8.00,"24,46618","0,568452","20,729447",
13/01/2011 9.00,"30,912699","0,843239","20,040215",
13/01/2011 10.00,"26,601178","0,617906","29,781719",
13/01/2011 11.00,"22,036564","0,594885","36,630176",
13/01/2011 12.00,"22,511581","0,539555","40,83739",
13/01/2011 13.00,"27,343549","0,612031","44,565287",
13/01/2011 14.00,"22,537527","0,637644","49,7468",
13/01/2011 15.00,"20,041737","0,587196","50,166571",
13/01/2011 16.00,"25,697853","0,606287","43,296467",
13/01/2011 17.00,"41,511125","1,101872","29,543396",
13/01/2011 18.00,"50,352232","1,37299","21,12284",
13/01/2011 19.00,"58,701437","1,821885","15,441645",
13/01/2011 20.00,"65,637277","1,897168","10,092222",
13/01/2011 21.00,"62,453583","2,20841","14,224978",
13/01/2011 22.00,"54,539167","1,907016","11,761161",
13/01/2011 23.00,"43,085445","1,890257","13,330578",
14/01/2011 0.00,"23,178678","0,981669","12,609521",
14/01/2011 1.00,"23,993745","0,928024","10,025868",
14/01/2011 2.00,,"0,794302","13,535738",
14/01/2011 3.00,"18,220826",,"6,964214",
14/01/2011 4.00,"21,896376","0,81448",,
14/01/2011 5.00,"18,676373","0,718587","9,180902",
14/01/2011 6.00,"34,571406","0,836536","3,494294",
14/01/2011 7.00,"47,774664","1,276149","4,405614",
14/01/2011 8.00,"59,404882","1,701201","6,712351",
14/01/2011 9.00,"71,290814","2,086062","10,220854",
14/01/2011 10.00,"42,215868","0,923166","19,264316",
14/01/2011 11.00,"33,899109","0,763173","33,471691",
14/01/2011 12.00,"38,977687","0,742969","43,672923",
14/01/2011 13.00,"48,802576","0,842266","41,926103",
14/01/2011 14.00,"38,404009","0,815944","49,840248",
