"NetC","Comune Bari","","","","","","","",""
"Stat","Piazza Kennedy","","","","","","","",""
,NO2,NOx,O3,PM10,
08/01/2011 2.00,"11,80900912","12,33098703","37,19779245",,
08/01/2011 3.00,,,"28,21610295",,
08/01/2011 4.00,"8,88799127","9,41117374","38,74467555",,
08/01/2011 5.00,"9,21651494","9,51655171","36,94055715",,
08/01/2011 6.00,"9,12647503","9,36577904",,"21,5",
08/01/2011 7.00,"14,07541553","14,71255702","28,7627529","21,5",
08/01/2011 8.00,"18,54496218","19,574578","27,31911105","21,5",
08/01/2011 9.00,"30,6330124","36,45795864","19,7082858","21,5",
08/01/2011 10.00,"28,88089384","39,49125104","22,32646395","21,5",
08/01/2011 11.00,"16,52515023","22,04694696","34,69470585","21,5",
08/01/2011 12.00,"14,30417103","18,19979838","36,6071328","21,5",
08/01/2011 13.00,"15,85026012","21,64487248","34,60161915","21,5",
08/01/2011 14.00,"11,43424756","14,6298745","38,61097065","21,5",
08/01/2011 15.00,"17,04754496","23,3893048","35,99787975","21,5",
08/01/2011 16.00,"12,42712048","14,90061943","41,5930368","21,5",
08/01/2011 17.00,"11,86578787","13,9295089","41,3290185","21,5",
08/01/2011 18.00,"15,36031203","17,33893185","36,98624265","21,5",
08/01/2011 19.00,"15,50145778","17,34379406","35,22780975","21,5",
08/01/2011 20.00,"16,15363525","18,23546291","34,21913775",,
08/01/2011 21.00,"13,70146848","15,30105915","36,30419205","21,5",
08/01/2011 22.00,"18,22211906","20,23280312","31,10845395","21,5",
08/01/2011 23.00,"17,30225013","19,11416458","29,854377","21,5",
09/01/2011 0.00,"16,65250282","18,25167667","27,26157525","21,5",
09/01/2011 1.00,"17,2178946","19,68319872","22,1741457",,
09/01/2011 2.00,"17,32496278","19,98313416","21,45823995",,
09/01/2011 3.00,"21,42623528","23,20934736","15,98156595",,
09/01/2011 4.00,"26,46684088","31,03659736","8,09233047",,
09/01/2011 5.00,"17,6689029","19,06228437","12,4291692",,
09/01/2011 6.00,"14,80142105","16,06951681","12,4697874","37,59999084",
09/01/2011 7.00,"14,88658918","16,00791026","12,8235009","37,59999084",
09/01/2011 8.00,"18,39895803","20,53434464","10,54550018","37,59999084",
09/01/2011 9.00,"20,61667536","24,31826912","10,85013668","37,59999084",
09/01/2011 10.00,"29,52495104","44,53808976","11,14292288","37,59999084",
09/01/2011 11.00,"39,93064776","75,17748824","8,54674559","37,59999084",
09/01/2011 12.00,"46,33888784","87,02374312","12,6322602","37,59999084",
09/01/2011 13.00,"39,91766528","63,7965568","20,0179896","37,59999084",
09/01/2011 14.00,"36,20089024","53,71580448","22,65140955","37,59999084",
09/01/2011 15.00,"35,69147608","50,68249296","24,40138365","37,59999084",
09/01/2011 16.00,"27,98372608","33,91910944","34,210659","37,59999084",
09/01/2011 17.00,"35,6265828","41,26486048","22,39078275","37,59999084",
09/01/2011 18.00,"31,15378384","34,65677816","22,7597181","37,59999084",
09/01/2011 19.00,"29,99704296","32,6951044","20,23801815","37,59999084",
09/01/2011 20.00,"26,56917112","29,61816104","15,74364425","37,59999084",
09/01/2011 21.00,"40,396258","52,98463656","5,86171499","37,59999084",
09/01/2011 22.00,"39,81707496","50,32424152","6,4015979","37,59999084",
09/01/2011 23.00,"29,17777008","32,85234728","14,64793838","37,59999084",
10/01/2011 0.00,"31,31926744","36,28285768","10,60303598","37,59999084",
10/01/2011 1.00,"30,67519112","38,94166576","11,95359113",,
10/01/2011 2.00,"28,94416192","34,7897004","6,93217214",,
10/01/2011 3.00,,,"7,08618215",,
10/01/2011 4.00,"30,5194396","32,62701808","7,47713432",,
10/01/2011 5.00,"33,58892616","36,28933936","0,96975953",,
10/01/2011 6.00,"31,40687528","47,48061952",,"23,89999962",
10/01/2011 7.00,"28,5758916","42,07220248","1,2997824","23,89999962",
10/01/2011 8.00,"29,12423408","37,00754392","5,16782007","23,89999962",
10/01/2011 9.00,"45,6526328","112,97134216","0,36471792","23,89999962",
10/01/2011 10.00,"44,6792336","89,680926","4,78448681","23,89999962",
10/01/2011 11.00,"30,80660288","46,25822056","14,00312445","23,89999962",
10/01/2011 12.00,"18,17507622","25,650914","25,48622475","23,89999962",
10/01/2011 13.00,"13,37294864","16,74718506","36,13326045","23,89999962",
10/01/2011 14.00,"14,31714969","17,34217269","39,04592055","23,89999962",
10/01/2011 15.00,"15,08775834","19,13684472","37,0776336","23,89999962",
10/01/2011 16.00,"16,58031334","19,66698496","37,5193665","23,89999962",
10/01/2011 17.00,"21,81559496","24,9878324","32,98534995","23,89999962",
10/01/2011 18.00,"24,03496808","26,48422096","33,8197188","23,89999962",
10/01/2011 19.00,"28,05024456","30,28921568","31,8988131","23,89999962",
10/01/2011 20.00,"26,6225924","28,82850504","31,8581949","23,89999962",
10/01/2011 21.00,"34,65641488","37,32044272","24,77201475","23,89999962",
10/01/2011 22.00,"20,98819608","23,0374968","35,99109675","23,89999962",
10/01/2011 23.00,"16,01979334","17,22382371","36,82376985","23,89999962",
11/01/2011 0.00,"8,97722049","9,51006812","39,48765345","23,89999962",
11/01/2011 1.00,"9,91574481","10,55089018","38,97653445",,
11/01/2011 2.00,"10,12259262","10,31257085","37,9272243",,
11/01/2011 3.00,"11,45614761","11,86893885","32,62317765",,
11/01/2011 4.00,"14,49235963","15,0643612","24,6603147",,
11/01/2011 5.00,"12,36952722","12,73791226","28,54444005",,
11/01/2011 6.00,"14,16464474","15,33996835","23,85810525","22,5",
11/01/2011 7.00,"30,19174192","36,5033304","7,97809079","22,5",
11/01/2011 8.00,"43,970264","92,87308648","0,15824141","22,5",
11/01/2011 9.00,"46,33403136","96,50787496","2,6080256","22,5",
11/01/2011 10.00,"53,0375416","117,87715176","3,3510015","22,5",
11/01/2011 11.00,"40,69800984","67,0633044","10,70965875","22,5",
11/01/2011 12.00,"31,6599476","47,89078176","16,07465265","22,5",
11/01/2011 13.00,"22,05245352","30,86635288","25,176501","22,5",
11/01/2011 14.00,"17,85872052","23,37309104","31,1964534","22,5",
11/01/2011 15.00,"21,49275376","27,46666392","31,82266395","22,5",
11/01/2011 16.00,"49,43917672","72,24796008","13,14167348","22,5",
11/01/2011 17.00,"30,39615384","37,70953472","30,8258223","22,5",
11/01/2011 18.00,"37,4160236","41,08652824","26,43736095","22,5",
11/01/2011 19.00,"49,00763832","53,82119392","15,27074745","22,5",
11/01/2011 20.00,"50,76950808","57,01824912","15,3502881","22,5",
