
Stat, San Pietro In Lama,,,,,
Parm,NO2,NOX,CO,O3,PM10,BENZENE



07/01/2011 21.00,"73,4",95,"0,9","13,5",,"4,7"
07/01/2011 22.00,"67,2","83,8","0,9","13,2","74,7","5,7"
07/01/2011 23.00,"57,1","68,6","0,9","17,1",,"5,7"
08/01/2011 0.00,"42,3","49,9","0,9","17,4","84,5","5,6"
08/01/2011 1.00,"31,9","35,7","0,7","24,5",,5
08/01/2011 2.00,,,"0,5",,"72,3","3,9"
08/01/2011 3.00,"19,9","22,8",,"32,7",,"2,9"
08/01/2011 4.00,"14,7","17,2","0,4","42,7","45,9","2,1"
08/01/2011 5.00,11,"12,4","0,3","42,3",,"1,4"
08/01/2011 6.00,10,"11,7","0,3","41,9","28,8","1,2"
08/01/2011 7.00,"13,4","15,9","0,2","39,7",,"1,3"
08/01/2011 8.00,"28,2","37,8","0,3","36,1","16,6","0,8"
08/01/2011 9.00,"50,6","83,1","0,4","20,5",,"1,1"
08/01/2011 10.00,"53,9","91,8","0,5","19,6","17,1",2
08/01/2011 11.00,"35,3","52,1","0,3","33,5",,"2,4"
08/01/2011 12.00,"19,4","26,9","0,3","58,2","22,5","1,4"
08/01/2011 13.00,"8,3","14,2","0,2","73,3",,1
08/01/2011 14.00,"13,9","20,9","0,2","74,9",21,"0,9"
08/01/2011 15.00,"10,6","15,2","0,2","82,5",,"1,7"
08/01/2011 16.00,"8,5","12,1","0,2","85,8",21,"0,7"
08/01/2011 17.00,"13,7","18,5","0,2","78,7",,"0,7"
08/01/2011 18.00,"23,2","30,9","0,3","58,2","29,8","1,2"
08/01/2011 19.00,"55,4","69,5","0,6","28,6",,"1,9"
08/01/2011 20.00,"63,9","81,7","0,5",16,"34,2","3,3"
08/01/2011 21.00,"47,7",63,"0,5","27,8",,"2,9"
08/01/2011 22.00,"62,4","87,9","0,8","15,8",41,"2,9"
08/01/2011 23.00,62,74,"0,6","14,6",,4
09/01/2011 0.00,"43,3","51,1","0,5",22,"46,9","3,4"
09/01/2011 1.00,"47,9","68,9","0,7","12,3",,"2,8"
09/01/2011 2.00,"29,2","35,7","0,4","26,9",43,"3,8"
09/01/2011 3.00,"24,4","28,2","0,3","24,6",,"2,2"
09/01/2011 4.00,"22,1","26,4","0,3","26,7","32,7",2
09/01/2011 5.00,"19,5","21,6","0,3","30,4",,"1,9"
09/01/2011 6.00,19,"21,9","0,3","28,4",21,"1,7"
09/01/2011 7.00,"19,6","22,1","0,2","29,9",,"1,5"
09/01/2011 8.00,"31,4","41,8","0,3","13,7",22,"1,3"
09/01/2011 9.00,"34,4","55,7","0,3","12,9",,"1,5"
09/01/2011 10.00,"42,5","64,3","0,3","22,3","13,7","1,7"
09/01/2011 11.00,"37,2","58,3","0,4","32,1",,"2,1"
09/01/2011 12.00,"20,3","29,6","0,2","54,2","19,5","2,4"
09/01/2011 13.00,"15,2","22,8","0,2","66,7",,"1,9"
09/01/2011 14.00,13,"18,6","0,2","68,3","18,6","1,9"
09/01/2011 15.00,"11,8","15,9","0,2","70,5",,"1,9"
09/01/2011 16.00,"12,8","16,5","0,3","66,9","30,3",2
09/01/2011 17.00,17,"21,2","0,3","52,6",,"1,9"
09/01/2011 18.00,"41,4",57,"0,3","29,1",44,"2,1"
09/01/2011 19.00,"105,6","206,5","0,7","5,5",,"2,5"
09/01/2011 20.00,"79,2","124,4","0,6","11,5","59,1","4,5"
09/01/2011 21.00,"60,1","80,7","0,5","17,5",,4
09/01/2011 22.00,"50,8","63,5","0,4","17,4","56,2","3,6"
09/01/2011 23.00,"38,2","45,9","0,4","21,9",,"3,1"
10/01/2011 0.00,"38,2","47,4","0,5","16,7","53,7",3
10/01/2011 1.00,25,"28,7","0,4",29,,"3,3"
10/01/2011 2.00,,,"0,4",,"47,4","2,6"
10/01/2011 3.00,12,"14,1",,45,,"2,4"
10/01/2011 4.00,"8,6","10,5","0,3",52,40,"1,4"
10/01/2011 5.00,13,"14,2","0,2","42,3",,"0,7"
10/01/2011 6.00,"8,1","9,5","0,2","44,7","32,7","0,7"
10/01/2011 7.00,"14,4","16,9","0,3","37,2",,"0,7"
10/01/2011 8.00,"38,1","55,1","0,3","19,9","16,1","0,7"
10/01/2011 9.00,"67,4","120,1","0,5","7,3",,"1,3"
10/01/2011 10.00,62,106,"0,5","13,8","32,2","2,3"
10/01/2011 11.00,"33,3","45,8","0,3","40,6",,2
10/01/2011 12.00,"17,9","25,2","0,3","58,8","29,8","1,3"
10/01/2011 13.00,18,"25,3","0,2","61,7",,1
10/01/2011 14.00,"18,2","26,1","0,2","67,7","25,9",1
10/01/2011 15.00,"16,1","23,7","0,2",69,,1
10/01/2011 16.00,"13,5","18,9","0,2","66,8","25,9","0,8"
10/01/2011 17.00,"21,2",28,"0,2","58,8",,"0,7"
10/01/2011 18.00,"23,3","28,5","0,2","53,7",,1
10/01/2011 19.00,"27,7","34,2","0,3","44,4",,"1,2"
10/01/2011 20.00,"24,1","32,3","0,3","45,8",,"1,5"
10/01/2011 21.00,"19,1",25,"0,3","51,6",,"1,6"
10/01/2011 22.00,"18,1","21,9","0,3","51,9","35,2","1,4"
10/01/2011 23.00,13,"15,6","0,3","52,6",,"1,2"
11/01/2011 0.00,"11,1","13,3","0,3","51,1","28,3","1,3"
11/01/2011 1.00,"6,3","8,3","0,2",55,,"1,1"
11/01/2011 2.00,7,"9,2","0,2","51,3","23,4","0,6"
11/01/2011 3.00,"5,3",7,"0,2","58,3",,"0,4"
11/01/2011 4.00,"2,5","4,5","0,1","57,5","22,5","0,3"
11/01/2011 5.00,"4,3","5,5","0,2","55,9",,"0,3"
11/01/2011 6.00,"3,7",5,"0,2","57,6","16,6","0,3"
11/01/2011 7.00,"7,4","9,7","0,2","56,3",,"0,3"
11/01/2011 8.00,"26,1",34,"0,2","40,5","10,7","0,5"
11/01/2011 9.00,"36,4",50,"0,2","38,4",,"0,9"
11/01/2011 10.00,"30,3","44,6","0,2","42,1","18,6","1,2"
11/01/2011 11.00,"17,7","26,2","0,2",54,,1
11/01/2011 12.00,"11,5","17,7","0,2","63,2",20,"0,6"
11/01/2011 13.00,"12,5","18,4","0,2","69,5",,"0,7"
11/01/2011 14.00,"15,7",23,"0,2","68,9",21,"0,7"
11/01/2011 15.00,"14,3","21,2","0,1","68,7",,"0,7"
