BARI - JAPIGIA,,,,,,,
,Japigia,,,,,,
,SO2,NO2,NOX,CO,PM10,BENZENE,CH4



05/01/2011 8.00,"5,77800821","55,41652848","90,48343064","0,55752357","20,93596077","1,40458989","656,8499"
05/01/2011 9.00,"5,93690327","69,15449704","153,38926312","0,92952205","20,93297958","1,93648089","653,44636"
05/01/2011 10.00,"11,30864337","69,4958464","155,896354","0,67056352","20,93460083","3,1467414","666,65823"
05/01/2011 11.00,"10,75250709","50,65593528","88,26430608","0,6846274","20,93935013","1,87662535","671,06529"
05/01/2011 12.00,"10,74528639","48,0316388","73,99107312","0,70581059","20,93745041","3,26937329","651,40159"
05/01/2011 13.00,"8,66520612","40,83364712","59,01623176","0,49994927","20,93338013","1,60021696","625,76479"
05/01/2011 14.00,"6,58331762","36,84009096","47,29806176","0,42059879","20,93460083","1,50451115","620,5899"
05/01/2011 15.00,"6,99861161","50,97522016","62,8552792","0,37339881","20,93474007","1,75837266","616,29897"
05/01/2011 16.00,"6,86680129","58,45744976","72,01190456","0,41677176","20,93338013","1,37084888","648,13084"
05/01/2011 17.00,"3,7168838","69,69572688","110,1066308","0,63172591","20,93486977","1,77978458","679,9142"
05/01/2011 18.00,"6,6591543","87,79064632","179,91629376","0,76983433","20,93420029","2,14232779","661,63622"
05/01/2011 19.00,"7,12861675","100,71616784","298,4066048","0,96498698","20,93568993","2,87292839","693,7175"
05/01/2011 20.00,"7,6323877","124,78771248","441,2201944","1,23828549","20,93786049","3,53134436","712,28458"
05/01/2011 21.00,"9,21592281","111,67529296","430,9470184","1,65225659","20,93325043","4,43648453","691,96232"
05/01/2011 22.00,"8,85118593","137,88458744","605,3653944","1,71714942","20,93432999","5,94991782","749,14581"
05/01/2011 23.00,"5,64258551","101,79723176","310,098676","0,98116067","20,93540955","3,75973815","815,72946"
06/01/2011 0.00,"5,81411984","83,30130856","267,9755952","1,03753269","20,93960953","2,75159418","797,36524"
06/01/2011 1.00,"7,50057637","122,19848208","515,5331336","1,6318621",,"3,54594339","736,4161"
06/01/2011 2.00,,"82,74971568","315,7469152","1,4430622",,"5,16805839","770,65779"
06/01/2011 3.00,"5,62452969",,,"0,88963944",,"3,73135063","756,81382"
06/01/2011 4.00,"5,49632972","59,77737984","89,02302592","0,57904345",,"2,76976187","681,25288"
06/01/2011 5.00,"4,77588488","29,24883912","33,91327784","0,3446804",,"1,80525229","643,15538"
06/01/2011 6.00,"4,07891241","26,11965992","30,51651424",,"20,32748985","1,06280975","654,05445"
06/01/2011 7.00,"4,79032934","42,5027084","60,79179144","0,58488126","20,32953072","1,3384076","647,71287"
06/01/2011 8.00,"4,78852416","42,52865424","62,02262232","0,57951644","20,32748985","1,60897638","640,81269"
06/01/2011 9.00,"5,36632457","43,70843472","72,87308848","0,48898312","20,3303299","1,40929351","640,71616"
06/01/2011 10.00,"4,5032343","49,81102248","82,67046328","0,62415225","20,32789993","1,97232912","643,52778"
06/01/2011 11.00,"6,96249997","55,41652848","88,04641456","0,81760749","20,32912064","3,11948987","683,98855"
06/01/2011 12.00,"6,74943542","58,45874992","91,3433144","0,77393746","20,3303299","3,78212333","683,9224"
06/01/2011 13.00,"6,33053007","41,99394432","56,78932536","0,60194269","20,32858086","4,02771155","673,29969"
06/01/2011 14.00,"5,94954255","32,4701576","43,75472424","0,49734549","20,32925987","2,54574728","660,19023"
06/01/2011 15.00,"5,85926142","23,80686648","29,33885608","0,48551142","20,33197021","2,12821488","643,39793"
06/01/2011 16.00,"5,54327647","18,28312142","22,55697296","0,37687051","20,32899094","1,40377832","634,28442"
06/01/2011 17.00,"5,52702583","28,30398608","32,11827312","0,37752058","20,32938957","1,10563358","624,82791"
06/01/2011 18.00,"5,60466768","37,05423496","41,2956628","0,45663457","20,33020973","1,25243448","645,11293"
06/01/2011 19.00,"5,01964453","66,02793728","84,77414128","0,66012978","20,33048058","1,52933002","736,60867"
06/01/2011 20.00,"3,27360299","72,93650952","108,65142672","0,71247789","20,33414078","2,20445429","794,48943"
06/01/2011 21.00,"4,6801862","66,97019","88,24612296","0,65016786","20,33020973","2,20948233","722,48246"
06/01/2011 22.00,"4,54115315","50,23542912","58,09275488","0,44606219","20,32872009","1,30677584","639,33681"
06/01/2011 23.00,"5,88092861","29,80303232","34,55527008","0,45894243","20,33209991","1,02923248","629,11198"
07/01/2011 0.00,"5,34826876","19,8691216","22,64647368","0,51020593","20,33127975","1,08941243","619,89851"
07/01/2011 1.00,"4,39850873","14,85024588","17,93586207","0,40010527",,"0,93920459","547,81167"
07/01/2011 2.00,"5,15145485","12,81518574","15,3756348","0,36051857",,"0,78234657","616,55818"
07/01/2011 3.00,"5,12978766","8,44395604","10,99964231","0,34290494",,"0,80018882","481,580771"
07/01/2011 4.00,"5,09548019","8,87355185","11,53918386","0,32781586",,"0,75671716","444,52653"
07/01/2011 5.00,"5,77078547","13,40701474","15,91128542","0,37894072",,"1,02809649","582,53552"
07/01/2011 6.00,"5,45389743","17,2409342","20,0447388","0,40341853","13,07108974","0,93985343","598,82851"
07/01/2011 7.00,"5,20381814","20,70105192","23,56861216","0,48712844","13,07190037","0,78056174","620,94515"
07/01/2011 8.00,"5,50716382","38,45724144","47,72606296","0,47328242","13,07162952","1,0169044","630,17626"
07/01/2011 9.00,"5,55501265","53,39445464","79,15047128","0,59785936","13,07637978","1,31293988","636,48158"
07/01/2011 10.00,"6,23663758","45,1296052","70,2687724","0,53606427","13,07297993","2,22651505","635,54421"
07/01/2011 11.00,"7,71002955","37,12691008","56,54160664","0,54977282","13,07583046","1,83201668","626,62572"
07/01/2011 12.00,"9,42718117","33,08924408","46,99587016","0,53136932","13,07217026","1,64012099","603,73145"
07/01/2011 13.00,"9,21231144","30,16902736","43,92852504","0,54592599","13,07285023","1,74004327","444,017861"
07/01/2011 14.00,"6,90471912","26,73096456","35,15189056","0,48484038","13,0735302","1,41156447","530,52692"
07/01/2011 15.00,"5,69675499","25,70305424","32,74470168","0,37807279","13,07814026","1,3598185","509,9724"
07/01/2011 16.00,"4,99978252","26,93732672","32,48011912","0,44513485","13,0759697","0,94747788","481,20499"
07/01/2011 17.00,"4,36781262","36,9763592","42,35659336","0,5026509","13,07528973","1,09217054","600,76303"
