,Provincia di TARANTO,,,,
,Paolo VI -CISI,,,,
Parm,SO2,NOX,NO,NO2,PM10
,,,,,,
,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
08/01/2006 2.00,"0,729652",,,,"33,699631"
08/01/2006 3.00,"0,727846","40,534342","5,265646","32,483139",
08/01/2006 4.00,"0,726039","11,846566","1,905784","8,930657","38,09523"
08/01/2006 5.00,"0,733264","9,497745","1,977683","6,469892",
08/01/2006 6.00,"0,75313","8,217632","1,961611","5,213552","30,28083"
08/01/2006 7.00,"0,767579","9,172204","1,82204","6,382935",
08/01/2006 8.00,"0,765773","12,764825","2,014901","9,682126","19,53602"
08/01/2006 9.00,"1,078222","22,048552","7,509782","10,541311",
08/01/2006 10.00,"2,369561","18,379428","4,779261","11,059161","19,53602"
08/01/2006 11.00,"3,855956","22,603662","6,45327","12,717841",
08/01/2006 12.00,"11,02966","68,174157","19,520525","38,270341","21,97802"
08/01/2006 13.00,"15,477997","39,747056","9,6964","24,897068",
08/01/2006 14.00,"13,153592","24,756652","5,326549","16,601074","36,630032"
08/01/2006 15.00,"3,097408","7,241009","2,059735","4,085701",
08/01/2006 16.00,"1,874699","6,648291","1,918471","3,709318","40,04884"
08/01/2006 17.00,"1,137824","7,525047","1,825425","4,729447",
08/01/2006 18.00,"0,738682","21,117332","2,371866","17,492718","24,908421"
08/01/2006 19.00,"0,646572","8,536688","1,861796","5,685978",
08/01/2006 20.00,"0,6845","15,262798","2,211993","11,879417","24,908421"
08/01/2006 21.00,"0,922901","43,781968","5,633605","35,168428",
08/01/2006 22.00,"0,742294","24,230068","2,163778","20,926877","15,62881"
08/01/2006 23.00,"0,679081","11,706493","1,823733","8,916383",
09/01/2006 0.00,"0,650184","12,179889","1,833883","9,37453","26,37361"
09/01/2006 1.00,"0,285359","10,264256","1,883789","7,380998",
09/01/2006 2.00,"0,559881","4,842903","1,827116","2,04285","29,79241"
09/01/2006 3.00,"0,778416","6,002399","1,823733","3,20834",
09/01/2006 4.00,"0,680888","7,479652","1,825425","4,684019","25,88522"
09/01/2006 5.00,"0,841627","5,639245","1,904092","2,721638",
09/01/2006 6.00,"0,765773","6,832463","1,962457","3,826128","14,16361"
09/01/2006 7.00,"0,722427","13,43925","2,418391","9,769085",
09/01/2006 8.00,"0,998756","41,549862","7,614672","29,89517","12,69841"
09/01/2006 9.00,"1,713959","22,905855","4,759804","15,618585",
09/01/2006 10.00,"2,210627","11,62608","3,563721","6,16619","12,21001"
09/01/2006 11.00,"2,564617","15,292629","5,252111","7,244723",
09/01/2006 12.00,"2,515853","8,292856","3,066339","3,593807","25,88522"
09/01/2006 13.00,"2,519465","6,099672","2,190847","2,742403",
09/01/2006 14.00,"2,819272","7,095747","2,458993","3,482192","23,44322"
09/01/2006 15.00,"2,557393","5,778022","2,191692","2,419234",
09/01/2006 16.00,"2,468895","6,483576","2,164624","3,166807","22,46641"
09/01/2006 17.00,"1,462916","10,428973","2,332109","6,857956",
09/01/2006 18.00,"0,982501","11,083944","2,859098","6,704806","14,65201"
09/01/2006 19.00,"1,074611","20,528512","6,684197","10,286935",
09/01/2006 20.00,"0,809119","18,175802","3,860627","12,264889","23,93162"
09/01/2006 21.00,"0,809119","18,05259","3,844556","12,166252",
09/01/2006 22.00,"0,798282","7,964721","1,84657","5,136978","27,35042"
09/01/2006 23.00,"0,888585","8,98544","2,080881","5,798893",
10/01/2006 0.00,"0,926513","6,678123","1,982759","3,64053","25,88522"
10/01/2006 1.00,,"6,527673","1,843187","3,704127",
10/01/2006 2.00,"0,736875",,,,"18,55921"
10/01/2006 3.00,"0,940962","9,821988","1,87364","6,953999",
10/01/2006 4.00,"0,888585","5,972568","1,820348","3,183681","15,14041"
10/01/2006 5.00,"0,899422","4,789728","1,824578","1,993531",
10/01/2006 6.00,"0,910259","4,892188","1,818656","2,105148","17,582411"
10/01/2006 7.00,"1,034877","5,139911","2,007288","2,063616",
10/01/2006 8.00,"0,975277","6,272168","2,097798","3,06168","13,67521"
10/01/2006 9.00,"0,935543","12,566387","2,653547","8,503658",
10/01/2006 10.00,"1,101702","9,015271","2,448841","5,26417","7,326007"
10/01/2006 11.00,"0,921095","9,614473","2,521589","5,75217",
10/01/2006 12.00,"0,949992","7,509483","2,296582","3,990958","18,55921"
10/01/2006 13.00,"1,081835","7,432961","2,547811","3,528915",
10/01/2006 14.00,"0,939156","8,419961","2,816803","4,103871","19,0476"
10/01/2006 15.00,"1,076417","9,103466","2,575725","5,157744",
10/01/2006 16.00,"1,007786","10,811581","3,064647","6,116872","21,001221"
10/01/2006 17.00,"1,087253","16,932004","3,22875","11,98974",
10/01/2006 18.00,"0,78564","10,111214","2,279664","6,620445","19,0476"
10/01/2006 19.00,"0,762161","12,421126","2,615483","8,4167",
10/01/2006 20.00,"0,579748","12,168216","2,041124","9,04487","19,53602"
10/01/2006 21.00,"0,926513","14,836092","2,508055","10,998158",
10/01/2006 22.00,"0,944573","16,856779","2,406548","13,175991","15,62881"
10/01/2006 23.00,"0,946379","14,048829","1,825425","11,257735",
11/01/2006 0.00,"0,96444","10,24091","1,822886","7,451085","25,88522"
11/01/2006 1.00,"0,973471","6,24623","1,824578","3,451041",
11/01/2006 2.00,"0,814537","4,704128","1,823733","1,90917","21,97802"
11/01/2006 3.00,"0,857882","5,403197","1,824578","2,607425",
11/01/2006 4.00,"1,002368","6,390195","1,825425","3,593807","19,0476"
11/01/2006 5.00,"0,940962","6,138581","1,82627","3,340723",
11/01/2006 6.00,"0,866913","5,251449","1,82627","2,452977","15,62881"
11/01/2006 7.00,"0,872331","8,109981","2,921694","3,64053",
11/01/2006 8.00,"1,049325","6,423914","1,976837","3,395232","13,67521"
11/01/2006 9.00,"1,164914","8,849258","2,354948","5,242105",
11/01/2006 10.00,"0,942768","10,44324","2,601101","6,45951","15,14041"
11/01/2006 11.00,"1,15769","8,478322","2,491982","4,660658",
11/01/2006 12.00,"1,094477","6,329236","2,012364","3,245979","21,001221"
11/01/2006 13.00,"0,949992","7,115202","2,148552","3,823531",
11/01/2006 14.00,"0,986114","8,065884","2,640858","4,019509","15,62881"
11/01/2006 15.00,"1,114344","9,495152","2,746595","5,287531",
11/01/2006 16.00,"1,551413","8,094419","2,134172","4,825488","16,60561"
