NetC,Provincia di TARANTO,,,,,,
Stat,Massafra (TA) Via Frappietro,,,,,,
Parm,CO,SO2,NOX,NO,NO2,O3,BENZENE
PtId,1,2,3,4,5,6,7
Unit,mg/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K
Arch,2,2,2,2,2,2,2
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver
07/01/2013 3.00,,"2,614019","2,150268","0,494422","3,355648","64,667448","0,507991"
07/01/2013 4.00,,"2,571567","2,235057","0,395875","3,669084","67,662702","0,45226"
07/01/2013 5.00,,"2,831703","2,010195","0,384456","3,256361","72,215569","0,613607"
07/01/2013 6.00,,"2,936482","2,470434","0,311286","4,249233","78,549016","0,648592"
07/01/2013 7.00,,"2,916609","3,6697","0,578587","6,133744","71,310055","0,567181"
07/01/2013 8.00,,"3,034936","5,186078","1,176205","8,118189","64,008599","0,556757"
07/01/2013 9.00,,"3,194812","9,529687","3,898692","12,251911","55,506824","0,822397"
07/01/2013 10.00,,"2,98887","9,322458","4,695517","10,632817","56,239169","0,787311"
07/01/2013 11.00,,"2,976225","8,643804","4,197713","10,098093","58,390599","0,890333"
07/01/2013 12.00,,"2,766669","7,661938","3,09214","9,915744","60,838482","0,758631"
07/01/2013 13.00,,"3,03042","8,178817","3,561184","10,185044","61,020087","0,934826"
07/01/2013 14.00,,"2,790154","8,654995","3,512546","11,170785","61,324184","0,938386"
07/01/2013 15.00,,"2,806412","9,007041","3,732898","11,506284","58,714944","1,256809"
07/01/2013 16.00,,"3,244491","7,382809","2,737713","9,925477","64,729114","0,964116"
07/01/2013 17.00,,"2,715183","9,867488","3,909266","12,882025","56,2113","1,135836"
07/01/2013 18.00,,"2,782928","10,773042","3,148813","15,781466","48,024596","1,784886"
07/01/2013 19.00,,"3,094551","17,955068","5,838733","25,396101","38,831876","1,756511"
07/01/2013 20.00,,"2,912997","12,632987","3,942255","18,12283","48,7975","1,915825"
07/01/2013 21.00,,"2,931062","16,552981","4,554255","24,684225","54,384237","2,076206"
07/01/2013 22.00,,"2,80009","11,012826","2,849793","16,699069","66,464944","1,667422"
07/01/2013 23.00,,"2,56705","6,024478","1,632561","9,022156","75,116198","1,13843"
08/01/2013 0.00,,"2,575179","3,869123","0,750724","6,251202","79,102271","0,942861"
08/01/2013 1.00,,"2,599567","3,35055","0,476234","5,680137","76,739692","0,797175"
08/01/2013 2.00,,"2,524597","2,628482","0,407717","4,40368","76,006506","0,753597"
08/01/2013 3.00,,"2,595051",,,,"74,72935","0,681187"
08/01/2013 4.00,,"2,587825","2,277112","0,448319","3,669084",,"0,693391"
08/01/2013 5.00,,"2,598664","2,250997","0,388685","3,710616","70,396946","0,692577"
08/01/2013 6.00,,"2,597761","4,443998","0,731269","7,380998","61,896868","0,692374"
08/01/2013 7.00,,"2,583309","14,671328","3,727823","22,351948","47,146141","1,461124"
08/01/2013 8.00,,"2,68086","29,525467","10,932657","39,71876","27,352607","1,403155"
08/01/2013 9.00,,"2,584212","21,721754","9,212553","27,426626","39,725556","1,295505"
08/01/2013 10.00,,"2,604083","16,033055","7,022975","19,901567","53,297145","1,084071"
08/01/2013 11.00,,"2,551695","6,916467","2,803691","8,931956","77,660404","0,866891"
08/01/2013 12.00,,"2,296977","6,176421","2,380749","8,164913","80,770529","0,81243"
08/01/2013 13.00,,"2,398142","9,360106","4,072522","11,660721","79,579529","0,888146"
08/01/2013 14.00,,"2,340334","9,335347","3,762505","12,089029","81,328868","1,017712"
08/01/2013 15.00,,"2,583309","11,155952","4,210825","14,884646","80,95046","1,197924"
08/01/2013 16.00,,"2,244588","11,427617","3,393275","16,658828","73,893965","1,322049"
08/01/2013 17.00,,"1,001709","14,628599","3,893194","22,01643","65,128648","1,627556"
08/01/2013 18.00,,"2,455949","21,533861","6,050629","31,918563","49,423392","2,240909"
08/01/2013 19.00,,"2,563437","25,210006","7,398971","36,883567","43,133877","2,41685"
08/01/2013 20.00,,"2,418013","26,3143","7,612559","38,668785","40,81774","2,372661"
