,Regione Puglia,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE


09/01/2007 2.00,"6,1550813","22,7439092",,"1,8967831",,,
09/01/2007 3.00,"6,03949315","21,26042664",,"1,89121324",,,
09/01/2007 4.00,"6,05755303","17,43431006",,"1,85787909",,,
09/01/2007 5.00,"5,65841308","19,68092344",,"1,8669626",,,
09/01/2007 6.00,"6,01781986","40,8128828",,"1,87944441",,,
09/01/2007 7.00,"6,14966272","59,58660048",,"1,91380608",,,
09/01/2007 8.00,"6,68425894","74,0085488",,"2,05559823",,,
09/01/2007 9.00,"7,08339992","82,69780488",,"2,24798633",,,
09/01/2007 10.00,"7,06534003","93,47274704",,"2,43800482",,,
09/01/2007 11.00,"6,13882659","93,7985136",,"2,25000062",,,
09/01/2007 12.00,"6,22732389","96,55907832",,"2,21686336",,,
09/01/2007 13.00,"6,1930093","71,35958752",,"2,15959196",,,
09/01/2007 14.00,"5,64757592","57,1336192",,"2,08612939",,,
09/01/2007 15.00,"6,46753116","42,97642552",,"2,03336188",,,
09/01/2007 16.00,"6,42960316","59,72286872",,"2,0378646",,,
09/01/2007 17.00,"6,57228317","82,87302056",,"2,13115431",,,
09/01/2007 18.00,"6,93169097","56,99473152",,"2,16765026",,,
09/01/2007 19.00,"7,75886996","101,91013536",,"2,7928813",,,
09/01/2007 20.00,"6,95155705","84,26952624",,"2,25394997",,,
09/01/2007 21.00,"6,53074279","54,50282192",,"2,08063874",,,
09/01/2007 22.00,"6,55783466","47,73703784",,"2,1132634",,,
09/01/2007 23.00,"6,46391877","33,9367572",,"2,0796916",,,
10/01/2007 0.00,"6,24899718","27,96263672",,"1,97628969",,,
10/01/2007 1.00,,"19,8444568",,"1,87154454",,,
10/01/2007 2.00,"6,27247564",,,"1,82691339",,,
10/01/2007 3.00,"5,78303117","15,64844087",,,,,
10/01/2007 4.00,"5,35679935","17,66663335",,"1,70711994",,,
10/01/2007 5.00,"5,44168427","21,91586024",,"1,68760968",,,
10/01/2007 6.00,"5,17980474","24,05603832",,"1,7247359",,,
10/01/2007 7.00,"5,51031449","35,78103416",,"1,78271679",,,
10/01/2007 8.00,"6,01059611","60,19918616",,"1,88177441",,,
10/01/2007 9.00,"7,2856802","77,0364876",,"2,273501",,,
10/01/2007 10.00,"6,8738969","73,09484224",,"2,11792457",,,
10/01/2007 11.00,"6,14966272","47,85514208",,"1,89800752",,,
10/01/2007 12.00,"6,17675357","42,4871256",,"1,84053923",,,
10/01/2007 13.00,"6,13160284","45,84473144",,"1,88343337",,,
10/01/2007 14.00,"5,66924819","40,46635192",,"1,96147788",,,
10/01/2007 15.00,"5,30261664","45,6435508",,"2,23499192",,,
10/01/2007 16.00,"5,3640231","52,17834616",,"2,08628666",,,
10/01/2007 17.00,"6,38264624","98,5863528",,"2,26994542",,,
10/01/2007 18.00,"6,61924112","117,81684728",,"2,43097405",,,
10/01/2007 19.00,"7,03283061","116,59429536",,"3,28275681",,,
10/01/2007 20.00,"7,35250422","90,56939416",,"3,47905465",,,
10/01/2007 21.00,"6,81249044","75,132518",,"2,66771603",,,
10/01/2007 22.00,"7,01115732","70,10585088",,"2,6803155",,,
10/01/2007 23.00,"6,73482927","57,3970928",,"2,47521026",,,
11/01/2007 0.00,"6,87931446","58,16022936",,"3,09728065",,,
11/01/2007 1.00,"6,90460013","51,3866252",,"2,18688441",,,
11/01/2007 2.00,"6,72579831","48,58323168",,"2,22859374",,,
11/01/2007 3.00,"7,01296351","49,77597552",,"2,00018501",,,
11/01/2007 4.00,"6,5849255","46,40540632",,"1,85546987",,,
11/01/2007 5.00,"6,21829395","29,56032304",,"1,73879629",,,
11/01/2007 6.00,"6,14605034","35,0840528",,"1,76545731",,,
11/01/2007 7.00,"6,46753116","52,06802376",,"1,80266275",,,
11/01/2007 8.00,"6,97864892","68,40432384",,"1,92676088",,,
11/01/2007 9.00,"7,42474783","80,15006488",,"2,54729114",,,
11/01/2007 10.00,"7,54575456","111,25744448",,"2,32283176",,,
11/01/2007 11.00,"6,53977375","86,11770368",,"2,24936919",,,
11/01/2007 12.00,"5,3640231","54,33410704",,"1,98485943",,,
11/01/2007 13.00,"6,14785653","36,4468308",,"1,88659285",,,
11/01/2007 14.00,"6,27066945","41,01404432",,"1,91582037",,,
11/01/2007 15.00,"6,50545814","45,84991296",,"1,91850569",,,
11/01/2007 16.00,"6,14966272","64,95587888",,"2,12665391",,,
11/01/2007 17.00,"6,83958128","100,37481848",,"2,10173107",,,
11/01/2007 18.00,"6,94975086","101,37938328",,"2,26895866",,,
11/01/2007 19.00,"7,51143894","101,12239136",,"2,26548347",,,
11/01/2007 20.00,"7,64689419","89,82052112",,"2,46502001",,,
11/01/2007 21.00,"6,89556917","68,03834792",,"2,01274487",,,
11/01/2007 22.00,"6,50545814","64,20312448",,"2,26963087",,,
11/01/2007 23.00,"6,20203924","52,65596376",,"2,02151266",,,
12/01/2007 0.00,"6,03046219","49,3723332",,"2,03110993",,,
12/01/2007 1.00,,"44,8570496",,"1,98379462",,,
12/01/2007 2.00,"6,39528856",,,"1,88718467",,,
12/01/2007 3.00,"6,40431851","31,28389544",,,,,
12/01/2007 4.00,"6,6932899","27,61092432",,"1,80756041",,,
12/01/2007 5.00,"6,36639152","32,794624",,"1,76518004",,,
12/01/2007 6.00,"6,4765611","28,25335632",,"1,8172369",,,
12/01/2007 7.00,"6,63188344","50,40026264",,"2,28428307",,,
12/01/2007 8.00,"7,11410315","70,81447632",,"2,01922227",,,
12/01/2007 9.00,"7,51324514","84,46420608",,"2,52588427",,,
12/01/2007 10.00,"7,37056512","85,76727232",,"2,31580098",,,
12/01/2007 11.00,"6,09006245","45,01538232",,"1,93209309",,,
12/01/2007 12.00,"6,28873035","40,396258",,"1,91400297",,,
12/01/2007 13.00,"6,08645109","31,75633152",,"1,82454262",,,
12/01/2007 14.00,"6,50726433","35,58245384",,"1,91740011",,,
12/01/2007 15.00,"6,34833062","29,8523428",,"1,92581257",,,
12/01/2007 16.00,"4,17567284",,,,,,
12/01/2007 17.00,"3,05586736","35,75116872",,"1,8228056",,,
12/01/2007 18.00,"2,98904334","26,71668192",,"1,8192908",,,
12/01/2007 19.00,"3,30691076","39,59027352",,"1,86360623",,,
12/01/2007 20.00,"3,28162611","36,02242416",,"1,80250431",,,
12/01/2007 21.00,"2,83191481","21,12805888",,"1,77864744",,,
12/01/2007 22.00,"2,83913958","22,44798896",,"1,78939224",,,
12/01/2007 23.00,"2,4941803","33,3851452",,"1,83623456",,,
13/01/2007 0.00,"2,63144174","25,87695064",,"1,83856572",,,
13/01/2007 1.00,"3,15881319","25,45126296",,"1,80546691",,,
13/01/2007 2.00,"3,69160423","25,49149144",,"1,76521965",,,
13/01/2007 3.00,"3,23286299","21,23446168",,"1,7379272",,,
13/01/2007 4.00,"3,04141884","16,64650105",,"1,7182585",,,
13/01/2007 5.00,"2,50682262","14,51280465",,"1,72442019",,,
13/01/2007 6.00,"2,90957598","23,9586984",,"1,79022055",,,
13/01/2007 7.00,"3,12991615","41,19704184",,"1,78046484",,,
13/01/2007 8.00,"3,32497166","48,08614992",,"2,0829303",,,
13/01/2007 9.00,"3,48932395","54,06803312",,"2,2210492",,,
13/01/2007 10.00,"3,59226977","43,3320384",,"2,07392485",,,
13/01/2007 11.00,"2,87345519","28,428572",,"1,88923856",,,
13/01/2007 12.00,"2,65311502","19,86132064",,"1,81103561",,,
13/01/2007 13.00,"2,7632846","23,39802352",,"1,86455338",,,
13/01/2007 14.00,"2,72716279","20,39474952",,"1,88540804",,,
13/01/2007 15.00,"2,23771832","16,29867574",,"1,91408219",,,
13/01/2007 16.00,"2,04808138","32,23264896",,"1,98940177",,,
13/01/2007 17.00,"2,13657869","53,38535352",,"1,9627023",,,
13/01/2007 18.00,"2,66214497","104,77065944",,"2,15556339",,,
13/01/2007 19.00,"3,25092288","76,69903872",,"2,77186936",,,
13/01/2007 20.00,"3,11005007","56,82861696",,"2,30742929",,,
13/01/2007 21.00,"3,34303257","73,9683012",,"2,03502084",,,
13/01/2007 22.00,"3,17145653","72,83398808",,"1,97151086",,,
13/01/2007 23.00,"3,4441722","81,38565664",,"1,99528618",,,
14/01/2007 0.00,"3,37012341","50,14977152",,"1,9023518",,,
14/01/2007 1.00,,"22,52974608",,"1,67955138",,,
14/01/2007 2.00,"2,87706656",,,"1,80033275",,,
14/01/2007 3.00,"3,73494979","37,411148",,,,,
14/01/2007 4.00,"3,20938351","35,32416176",,"1,68800345",,,
14/01/2007 5.00,"3,36831722","26,93342624",,"1,63002257",,,
14/01/2007 6.00,"3,4640393","26,3195404",,"1,66422697",,,
14/01/2007 7.00,"3,65909481","35,04902496",,"1,6585406",,,
14/01/2007 8.00,"3,68076708","32,71544808",,"1,67125774",,,
14/01/2007 9.00,"3,83789561","45,92648856",,"2,29739631",,,
14/01/2007 10.00,"4,30205543","56,99473152",,"2,58599827",,,
14/01/2007 11.00,"3,41346897","53,34902552",,"2,13190573",,,
14/01/2007 12.00,"4,65423846","81,95153216",,"2,15189131",,,
