"NetC","Comune Bari","","","","","","","","","","",""
"Stat","Corso Cavour","","","","","","","","","","",""
,CO,PM10,BENZENE
17/01/2011 19.00,"1,14019715",,"5,13434179"
17/01/2011 20.00,"1,69056412","29,54821968","6,80804005"
17/01/2011 21.00,"2,02422012",,"8,62772967"
17/01/2011 22.00,"1,84965303","39,07204056","9,14059769"
17/01/2011 23.00,"1,4010092",,"7,37259709"
18/01/2011 0.00,"1,09844588","64,71305084","5,45009792"
18/01/2011 1.00,"0,85466847",,"4,51004719"
18/01/2011 2.00,"0,61943982","55,92184067","3,38917589"
18/01/2011 3.00,,,"2,34592305"
18/01/2011 4.00,"0,49765189","39,80464172","2,04847191"
18/01/2011 5.00,"0,45839605",,"1,91911663"
18/01/2011 6.00,"0,42591818","34,67642975","1,69337822"
18/01/2011 7.00,"0,48702825",,"1,62230823"
18/01/2011 8.00,"0,63349904","32,96702957","1,95250677"
18/01/2011 9.00,"0,94564099",,"2,7408567"
18/01/2011 10.00,"1,18893842","28,57142067","4,4841147"
18/01/2011 11.00,"1,14787567",,"5,14943712"
18/01/2011 12.00,"0,90566401","32,23442078","4,69614598"
18/01/2011 13.00,"0,74299273",,"3,79590775"
18/01/2011 14.00,"0,69200534","34,92063141","3,40177347"
18/01/2011 15.00,"0,58377451",,"2,7008469"
18/01/2011 16.00,"0,74372319","29,05982971","2,5075752"
18/01/2011 17.00,"0,87659959",,"4,0313941"
18/01/2011 18.00,"0,75771251","23,68741989","3,29083911"
18/01/2011 19.00,"0,87361952",,"3,7239845"
18/01/2011 20.00,"0,88490604","22,71062088","3,93093993"
18/01/2011 21.00,"0,94384572",,"4,02378084"
18/01/2011 22.00,"0,77482053","29,05982971","3,74206676"
18/01/2011 23.00,"0,63478287",,"2,93295579"
19/01/2011 0.00,"0,55762958","35,40903091","2,25088847"
19/01/2011 1.00,"0,60257878",,"2,36219302"
19/01/2011 2.00,"0,51857995","31,50181961","2,10343059"
19/01/2011 3.00,"0,46502606",,"1,90072622"
