,,lecce,,
,,GUAGNANO,,
Parm,SO2,NO2,NOX,PM10



21/09/2009 18.00,"2,3","4,8","6,4","23,5"
21/09/2009 19.00,"2,4","9,9","14,0","23,5"
21/09/2009 20.00,"2,2","9,4","13,7","23,5"
21/09/2009 21.00,"2,3","8,0","11,4","23,5"
21/09/2009 22.00,"2,1","7,9","13,9","23,5"
21/09/2009 23.00,"2,1","8,2","11,7","23,5"
22/09/2009 0.00,"1,9","9,5","12,8","23,5"
22/09/2009 1.00,"2,0","6,5","8,8","21,0"
22/09/2009 2.00,"1,9","5,6","7,7","21,0"
22/09/2009 3.00,"2,1","5,5","7,3","21,0"
22/09/2009 4.00,"2,0","6,0","7,9","21,0"
22/09/2009 5.00,"2,0","5,4","8,2","21,0"
22/09/2009 6.00,"2,2","7,8","12,5","21,0"
22/09/2009 7.00,"2,3","12,3","30,7","21,0"
22/09/2009 8.00,"2,8","15,3","44,3","21,0"
22/09/2009 9.00,"2,2","11,9","17,1","21,0"
22/09/2009 10.00,"2,2","6,9","9,5","21,0"
22/09/2009 11.00,"2,5","7,0","9,2","21,0"
22/09/2009 12.00,"2,3","6,4","8,2","21,0"
22/09/2009 13.00,"2,3","2,9","4,4","21,0"
22/09/2009 14.00,"2,3","2,6","3,9","21,0"
22/09/2009 15.00,"2,9","3,1","4,5","21,0"
22/09/2009 16.00,"3,2","3,2","5,0","21,0"
22/09/2009 17.00,"2,4","3,5","4,6","21,0"
22/09/2009 18.00,"2,4","5,2","6,8","21,0"
22/09/2009 19.00,"2,8","11,5","21,3","21,0"
22/09/2009 20.00,"2,3","5,0","9,9","21,0"
22/09/2009 21.00,"2,3","8,6","13,6","21,0"
22/09/2009 22.00,"2,1","7,1","10,9","21,0"
22/09/2009 23.00,"2,1","8,0","11,2","21,0"
23/09/2009 0.00,"1,9","7,0","9,6","21,0"
23/09/2009 1.00,,"4,8","7,0","33,3"
23/09/2009 2.00,"0,8",,,"33,3"
23/09/2009 3.00,"0,6","13,3","15,7","33,3"
23/09/2009 4.00,"0,7","6,8","9,0","33,3"
23/09/2009 5.00,"0,7","5,4","7,0","33,3"
23/09/2009 6.00,"0,8","5,8","7,6","33,3"
23/09/2009 7.00,"0,9","15,9","30,0","33,3"
23/09/2009 8.00,"0,9","12,6","19,5","33,3"
23/09/2009 9.00,"1,0","13,6","19,5","33,3"
23/09/2009 10.00,"0,9","3,7","5,2","33,3"
23/09/2009 11.00,"0,9","6,5","9,7","33,3"
23/09/2009 12.00,"1,0","8,5","12,1","33,3"
23/09/2009 13.00,"0,8","3,9","7,1","33,3"
23/09/2009 14.00,"1,0","3,2","5,3","33,3"
23/09/2009 15.00,"0,8","2,1","3,4","33,3"
23/09/2009 16.00,"0,8","3,7","5,4","33,3"
23/09/2009 17.00,"0,7","6,9","8,4","33,3"
23/09/2009 18.00,"1,0","9,2","10,7","33,3"
23/09/2009 19.00,"1,0","9,7","11,1","33,3"
23/09/2009 20.00,"1,3","11,2","15,3","33,3"
23/09/2009 21.00,"1,2","10,7","14,9","33,3"
23/09/2009 22.00,"1,0","7,8","11,2","33,3"
23/09/2009 23.00,"0,9","9,5","13,1","33,3"
24/09/2009 0.00,"0,9","7,2","11,1","33,3"
24/09/2009 1.00,"1,0","6,0","8,1","36,9"
24/09/2009 2.00,"0,9","5,0","7,8","36,9"
24/09/2009 3.00,"1,1","4,8","7,2","36,9"
24/09/2009 4.00,"0,8","8,6","11,4","36,9"
24/09/2009 5.00,"1,0","5,3","8,6","36,9"
24/09/2009 6.00,"1,0","8,2","14,8","36,9"
24/09/2009 7.00,"0,9","13,5","33,0","36,9"
24/09/2009 8.00,"1,5","13,7","31,0","36,9"
24/09/2009 9.00,"0,9","26,5","37,9","36,9"
24/09/2009 10.00,"0,7","20,5","26,0","36,9"
24/09/2009 11.00,"0,7","13,4","16,9","36,9"
24/09/2009 12.00,"0,5","9,5","12,1","36,9"
24/09/2009 13.00,"0,7","9,7","13,1","36,9"
24/09/2009 14.00,"0,7","6,3","9,0","36,9"
24/09/2009 15.00,"0,7","6,2","7,7","36,9"
24/09/2009 16.00,"0,9","7,1","9,0","36,9"
24/09/2009 17.00,"1,0","10,2","12,2","36,9"
24/09/2009 18.00,"0,7","12,0","14,8","36,9"
24/09/2009 19.00,"0,7","8,3","11,1","36,9"
24/09/2009 20.00,"0,8","6,0","8,0","36,9"
24/09/2009 21.00,"0,7","10,5","12,9","36,9"
24/09/2009 22.00,"0,8","11,3","14,8","36,9"
24/09/2009 23.00,"0,9","8,4","10,5","36,9"
25/09/2009 0.00,"1,0","6,4","8,3","36,9"
25/09/2009 1.00,,"3,6","5,2","14,7"
25/09/2009 2.00,"1,2",,,"14,7"
25/09/2009 3.00,"1,2","13,1","14,9","14,7"
25/09/2009 4.00,"1,1","5,0","6,4","14,7"
25/09/2009 5.00,"1,1","4,3","5,5","14,7"
25/09/2009 6.00,"1,1","6,9","8,4","14,7"
25/09/2009 7.00,"4,9","10,2","12,8","14,7"
25/09/2009 8.00,"1,2","7,4","10,1","14,7"
25/09/2009 9.00,"1,2","4,3","6,5","14,7"
25/09/2009 10.00,"1,2","3,7","5,5","14,7"
25/09/2009 11.00,"1,1","3,0","4,9","14,7"
25/09/2009 12.00,"1,0","3,0","4,9","14,7"
25/09/2009 13.00,"1,1","3,3","5,2","14,7"
25/09/2009 14.00,"1,1","4,4","7,6","14,7"
25/09/2009 15.00,"0,9","2,9","4,2","14,7"
25/09/2009 16.00,"0,8","4,2","5,6","14,7"
25/09/2009 17.00,"1,1","3,0","4,1","14,7"
25/09/2009 18.00,"1,3","4,6","6,3","14,7"
25/09/2009 19.00,"0,9","6,0","7,8","14,7"
25/09/2009 20.00,"1,1","7,5","9,3","14,7"
25/09/2009 21.00,"0,9","9,4","12,6","14,7"
25/09/2009 22.00,"0,9","5,4","7,3","14,7"
25/09/2009 23.00,"1,1","4,2","6,1","14,7"
26/09/2009 0.00,"1,0","3,8","5,6","14,7"
26/09/2009 1.00,"0,8","1,6","2,9","19,6"
26/09/2009 2.00,"1,0","1,1","2,4","19,6"
26/09/2009 3.00,"0,7","1,0","2,4","19,6"
26/09/2009 4.00,"0,9","1,2","2,3","19,6"
26/09/2009 5.00,"0,7","2,6","4,3","19,6"
26/09/2009 6.00,"0,8","4,0","5,2","19,6"
26/09/2009 7.00,"1,0","8,9","14,5","19,6"
26/09/2009 8.00,"1,2","10,3","14,3","19,6"
26/09/2009 9.00,"0,9","7,8","13,3","19,6"
26/09/2009 10.00,"1,0","6,6","11,2","19,6"
26/09/2009 11.00,"1,1","3,2","4,8","19,6"
26/09/2009 12.00,"1,2","5,1","7,1","19,6"
26/09/2009 13.00,"0,9","3,7","5,4","19,6"
26/09/2009 14.00,"0,8","4,5","6,4","19,6"
26/09/2009 15.00,"0,8","5,9","7,9","19,6"
26/09/2009 16.00,"0,8","3,2","4,8","19,6"
26/09/2009 17.00,"0,8","4,2","6,1","19,6"
26/09/2009 18.00,"1,0","6,2","7,7","19,6"
26/09/2009 19.00,"0,9","14,3","17,3","19,6"
26/09/2009 20.00,"1,1","22,8","28,3","19,6"
26/09/2009 21.00,"0,8","19,3","25,4","19,6"
26/09/2009 22.00,"1,0","9,1","12,2","19,6"
26/09/2009 23.00,"0,8","5,3","7,7","19,6"
27/09/2009 0.00,"0,6","3,9","5,7","19,6"
27/09/2009 1.00,,"3,6","5,5","25,5"
27/09/2009 2.00,"0,5",,,"25,5"
27/09/2009 3.00,"0,7","13,7","15,4","25,5"
27/09/2009 4.00,"0,7","7,5","9,2","25,5"
27/09/2009 5.00,"0,6","5,9","7,5","25,5"
27/09/2009 6.00,"0,7","7,3","8,7","25,5"
27/09/2009 7.00,"0,9","6,1","7,9","25,5"
27/09/2009 8.00,"0,5","5,3","7,5","25,5"
27/09/2009 9.00,"0,6","8,6","11,2","25,5"
27/09/2009 10.00,"0,8","7,4","9,8","25,5"
27/09/2009 11.00,"0,9","7,0","11,0","25,5"
27/09/2009 12.00,"0,8","6,8","9,9","25,5"
27/09/2009 13.00,"0,8","3,3","4,7","25,5"
27/09/2009 14.00,"1,1","3,3","4,5","25,5"
27/09/2009 15.00,"0,6","3,4","4,7","25,5"
27/09/2009 16.00,"0,7","3,5","4,8","25,5"
27/09/2009 17.00,"0,9","7,2","9,4","25,5"
27/09/2009 18.00,"0,9","8,3","9,9","25,5"
27/09/2009 19.00,"0,7","13,9","15,6","25,5"
27/09/2009 20.00,"0,7","13,2","15,3","25,5"
27/09/2009 21.00,"0,9","16,5","19,5","25,5"
27/09/2009 22.00,"1,0","12,4","14,9","25,5"
27/09/2009 23.00,"0,8","8,4","10,9","25,5"
28/09/2009 0.00,"0,9","4,6","6,3","25,5"
28/09/2009 1.00,"0,9","3,1","4,5","37,5"
28/09/2009 2.00,"0,7","2,5","3,8","37,5"
28/09/2009 3.00,"0,7","2,0","3,1","37,5"
28/09/2009 4.00,"0,8","2,4","3,4","37,5"
28/09/2009 5.00,"0,6","3,6","4,8","37,5"
28/09/2009 6.00,"0,7","4,5","6,1","37,5"
28/09/2009 7.00,"0,9","6,2","8,2","37,5"
28/09/2009 8.00,"0,7","5,9","7,7","37,5"
28/09/2009 9.00,"0,6","5,9","7,7","37,5"
28/09/2009 10.00,"0,6","6,6","8,6","37,5"
28/09/2009 11.00,"1,0","14,6","18,4","37,5"
28/09/2009 12.00,"2,2","9,6","11,8","37,5"
28/09/2009 13.00,"1,5","7,3","9,9","37,5"
28/09/2009 14.00,"1,4","4,8","6,4","37,5"
28/09/2009 15.00,"0,9","3,4","4,7","37,5"
28/09/2009 16.00,"1,5","5,9","8,3","37,5"
28/09/2009 17.00,"1,0","3,5","5,0","37,5"
28/09/2009 18.00,"1,1","3,4","4,7","37,5"
28/09/2009 19.00,"0,9","4,9","6,1","37,5"
28/09/2009 20.00,"1,0","7,7","9,3","37,5"
28/09/2009 21.00,"0,9","9,2","11,1","37,5"
28/09/2009 22.00,"0,9","6,4","8,6","37,5"
28/09/2009 23.00,"1,1","5,1","7,2","37,5"
29/09/2009 0.00,"1,0","4,1","5,7","37,5"
29/09/2009 1.00,,"2,6","4,1","50,0"
29/09/2009 2.00,"0,9",,,"50,0"
29/09/2009 3.00,"0,7","10,5","12,2","50,0"
29/09/2009 4.00,"0,9","4,4","6,0","50,0"
29/09/2009 5.00,"1,1","3,6","5,0","50,0"
29/09/2009 6.00,"0,9","5,7","7,5","50,0"
29/09/2009 7.00,"1,1","10,3","13,3","50,0"
29/09/2009 8.00,"1,0","9,9","13,9","50,0"
29/09/2009 9.00,"0,9","9,1","12,7","50,0"
29/09/2009 10.00,"0,9","5,4","7,3","50,0"
29/09/2009 11.00,"0,7","4,0","5,2","50,0"
29/09/2009 12.00,"0,8","3,2","4,4","50,0"
29/09/2009 13.00,"0,7","3,2","4,4","50,0"
29/09/2009 14.00,"0,8","3,7","4,9","50,0"
29/09/2009 15.00,"0,9","4,0","5,1","50,0"
29/09/2009 16.00,"0,9","4,7","6,2","50,0"
29/09/2009 17.00,"1,7","4,5","5,8","50,0"
29/09/2009 18.00,"0,9","9,3","11,2","50,0"
29/09/2009 19.00,"1,2","11,4","13,7","50,0"
29/09/2009 20.00,"1,0","11,7","14,0","50,0"
29/09/2009 21.00,"1,1","17,2","20,8","50,0"
29/09/2009 22.00,"1,0","11,6","14,9","50,0"
29/09/2009 23.00,"1,1","5,9","7,9","50,0"
30/09/2009 0.00,"1,0","6,6","10,3","50,0"
30/09/2009 1.00,"0,9","5,3","7,4","70,0"
30/09/2009 2.00,"1,2","3,9","5,8","70,0"
30/09/2009 3.00,"1,0","3,4","5,6","70,0"
30/09/2009 4.00,"1,0","3,2","5,6","70,0"
30/09/2009 5.00,"1,0","4,1","6,3","70,0"
30/09/2009 6.00,"1,0","4,6","7,2","70,0"
30/09/2009 7.00,"0,9","9,6","30,0","70,0"
30/09/2009 8.00,"1,3","12,3","21,6","70,0"
30/09/2009 9.00,"1,3","13,9","21,2","70,0"
30/09/2009 10.00,"1,8","12,2","15,3","70,0"
30/09/2009 11.00,"2,1","16,0","19,7","70,0"
30/09/2009 12.00,"1,5","14,4","17,5","70,0"
30/09/2009 13.00,"1,6","6,6","8,6","70,0"
30/09/2009 14.00,"1,6","6,8","8,6","70,0"
30/09/2009 15.00,"1,3","4,9","6,2","70,0"
30/09/2009 16.00,"1,7","8,6","10,6","70,0"
30/09/2009 17.00,"1,2","5,7","7,1","70,0"
30/09/2009 18.00,"1,2","9,9","11,7","70,0"
30/09/2009 19.00,"1,5","12,4","16,3","70,0"
30/09/2009 20.00,"1,6","10,2","16,2","70,0"
30/09/2009 21.00,"1,5","11,9","18,8","70,0"
30/09/2009 22.00,"1,5","13,3","19,7","70,0"
30/09/2009 23.00,"1,6","12,7","19,0","70,0"
01/10/2009 0.00,"1,6","9,3","13,8","70,0"
01/10/2009 1.00,,"10,2","23,7",
01/10/2009 2.00,"1,0",,,
01/10/2009 3.00,"1,2","17,6","23,6",
01/10/2009 4.00,"1,2","15,5","20,0",
01/10/2009 5.00,"1,0","13,3","18,7",
01/10/2009 6.00,"1,1","10,0","16,5",
01/10/2009 7.00,"1,8","8,3","38,8",
01/10/2009 8.00,,,,
01/10/2009 9.00,,,,
01/10/2009 10.00,,,,
01/10/2009 11.00,,,,
01/10/2009 12.00,,,,
01/10/2009 13.00,,,,
01/10/2009 14.00,,,,
01/10/2009 15.00,,,,
01/10/2009 16.00,,,,
01/10/2009 17.00,,,,
01/10/2009 18.00,,,,
01/10/2009 19.00,,,,
01/10/2009 20.00,,,,
01/10/2009 21.00,,,,
01/10/2009 22.00,,,,
01/10/2009 23.00,,,,
02/10/2009 0.00,,,,
02/10/2009 1.00,,,,
02/10/2009 2.00,,,,
02/10/2009 3.00,,,,
02/10/2009 4.00,,,,
02/10/2009 5.00,,,,
02/10/2009 6.00,,,,
02/10/2009 7.00,,,,
02/10/2009 8.00,,,,
02/10/2009 9.00,,,,
02/10/2009 10.00,,,,
02/10/2009 11.00,,,,
02/10/2009 12.00,,,,
02/10/2009 13.00,,,,
02/10/2009 14.00,,,,
02/10/2009 15.00,,,,
02/10/2009 16.00,,,,
02/10/2009 17.00,,,,
02/10/2009 18.00,,,,
02/10/2009 19.00,,,,
02/10/2009 20.00,,,,
02/10/2009 21.00,,,,
02/10/2009 22.00,,,,
02/10/2009 23.00,,,,
03/10/2009 0.00,,,,
03/10/2009 1.00,,,,
03/10/2009 2.00,,,,
03/10/2009 3.00,,,,
03/10/2009 4.00,,,,
03/10/2009 5.00,,,,
03/10/2009 6.00,,,,
03/10/2009 7.00,,,,
03/10/2009 8.00,,,,
03/10/2009 9.00,,,,
03/10/2009 10.00,,,,
03/10/2009 11.00,"0,5","1,2","1,3",
03/10/2009 12.00,"0,0","2,2","2,9",
03/10/2009 13.00,"0,0","1,7","2,7",
03/10/2009 14.00,"0,0","2,0","3,3",
03/10/2009 15.00,"0,0","1,6","2,6",
03/10/2009 16.00,"0,0","2,0","3,1",
03/10/2009 17.00,"0,0","2,4","3,9",
03/10/2009 18.00,"0,1","4,8","6,6",
03/10/2009 19.00,"0,2","8,7","11,9",
03/10/2009 20.00,"0,2","6,0","8,0",
03/10/2009 21.00,"0,2","8,3","11,0",
03/10/2009 22.00,"0,2","8,5","10,5",
03/10/2009 23.00,"0,2","6,7","8,4",
04/10/2009 0.00,"0,3","6,6","8,7",
04/10/2009 1.00,"0,2","6,4","8,6","14,9"
04/10/2009 2.00,"0,3","4,5","6,0","14,9"
04/10/2009 3.00,"0,3","4,1","5,9","14,9"
04/10/2009 4.00,"0,3","3,0","4,3","14,9"
04/10/2009 5.00,"0,3","2,7","4,2","14,9"
04/10/2009 6.00,"0,3","2,6","4,1","14,9"
04/10/2009 7.00,"0,4","3,5","5,4","14,9"
04/10/2009 8.00,"0,4","4,4","6,8","14,9"
04/10/2009 9.00,,"3,0","4,9","14,9"
04/10/2009 10.00,,"2,8","4,5","14,9"
04/10/2009 11.00,,"4,0","6,3","14,9"
04/10/2009 12.00,,"4,4","6,0","14,9"
04/10/2009 13.00,,"4,1","5,3","14,9"
04/10/2009 14.00,,"4,6","6,0","14,9"
04/10/2009 15.00,,"5,7","7,6","14,9"
04/10/2009 16.00,,"5,1","6,8","14,9"
04/10/2009 17.00,,"8,2","10,4","14,9"
04/10/2009 18.00,,"9,9","12,6","14,9"
04/10/2009 19.00,,"14,2","17,2","14,9"
04/10/2009 20.00,,"17,7","25,5","14,9"
04/10/2009 21.00,,"17,4","24,7","14,9"
04/10/2009 22.00,,"14,8","21,0","14,9"
04/10/2009 23.00,,"10,0","17,7","14,9"
05/10/2009 0.00,,"7,8","14,7","14,9"
05/10/2009 1.00,,"6,2","13,3","16,1"
05/10/2009 2.00,,"7,0","17,7","16,1"
05/10/2009 3.00,,"3,5","11,4","16,1"
05/10/2009 4.00,,"2,7","8,9","16,1"
05/10/2009 5.00,,"1,9","9,9","16,1"
05/10/2009 6.00,,"2,4","15,5","16,1"
05/10/2009 7.00,,"6,0","29,9","16,1"
05/10/2009 8.00,,"11,5","25,6","16,1"
05/10/2009 9.00,,"10,2","15,8","16,1"
05/10/2009 10.00,,"9,8","13,1","16,1"
05/10/2009 11.00,,"12,2","15,8","16,1"
05/10/2009 12.00,,"6,6","8,7","16,1"
05/10/2009 13.00,,"5,6","7,7","16,1"
05/10/2009 14.00,,"6,6","8,9","16,1"
05/10/2009 15.00,,"5,4","7,2","16,1"
05/10/2009 16.00,,"9,4","12,4","16,1"
05/10/2009 17.00,,"9,1","11,3","16,1"
05/10/2009 18.00,,"10,7","13,7","16,1"
05/10/2009 19.00,,"12,7","16,9","16,1"
05/10/2009 20.00,,"15,8","21,5","16,1"
05/10/2009 21.00,,"15,9","22,3","16,1"
05/10/2009 22.00,,"11,5","15,9","16,1"
05/10/2009 23.00,,"5,8","9,0","16,1"
06/10/2009 0.00,,"5,1","8,0","16,1"
06/10/2009 1.00,,"3,5","6,4","30,5"
06/10/2009 2.00,,"2,4","5,1","30,5"
06/10/2009 3.00,,"2,4","4,8","30,5"
06/10/2009 4.00,,"2,1","4,7","30,5"
06/10/2009 5.00,,"1,5","3,7","30,5"
06/10/2009 6.00,,"3,4","7,0","30,5"
06/10/2009 7.00,,"7,1","13,8","30,5"
06/10/2009 8.00,,"15,1","27,3","30,5"
06/10/2009 9.00,,"11,7","16,8","30,5"
06/10/2009 10.00,,"17,1","22,6","30,5"
06/10/2009 11.00,,"18,0","23,5","30,5"
06/10/2009 12.00,,"11,9","15,6","30,5"
06/10/2009 13.00,,"9,0","11,8","30,5"
06/10/2009 14.00,,"8,4","11,5","30,5"
06/10/2009 15.00,,"9,1","11,6","30,5"
06/10/2009 16.00,,"8,5","10,5","30,5"
06/10/2009 17.00,,"9,3","11,4","30,5"
06/10/2009 18.00,,"16,0","20,1","30,5"
06/10/2009 19.00,,"15,8","20,8","30,5"
06/10/2009 20.00,,"17,0","21,6","30,5"
06/10/2009 21.00,,"11,0","15,5","30,5"
06/10/2009 22.00,,"11,4","19,3","30,5"
06/10/2009 23.00,,"7,4","10,8","30,5"
07/10/2009 0.00,,"6,2","9,1","30,5"
07/10/2009 1.00,,"5,0","7,8","36,4"
07/10/2009 2.00,,"4,7","7,2","36,4"
07/10/2009 3.00,,"4,4","7,2","36,4"
07/10/2009 4.00,,"3,2","5,7","36,4"
07/10/2009 5.00,,"2,9","5,5","36,4"
07/10/2009 6.00,,"5,1","7,8","36,4"
07/10/2009 7.00,,"9,0","14,0","36,4"
07/10/2009 8.00,,"11,9","23,1","36,4"
07/10/2009 9.00,,"12,1","17,0","36,4"
07/10/2009 10.00,,"12,2","15,9","36,4"
07/10/2009 11.00,,"19,4","26,3","36,4"
07/10/2009 12.00,,"6,3","8,2","36,4"
07/10/2009 13.00,,"3,8","5,4","36,4"
07/10/2009 14.00,,"9,2","12,2","36,4"
07/10/2009 15.00,,"5,8","7,5","36,4"
07/10/2009 16.00,,"3,5","5,0","36,4"
07/10/2009 17.00,,"4,2","5,8","36,4"
07/10/2009 18.00,,"6,3","8,4","36,4"
07/10/2009 19.00,,"8,5","10,6","36,4"
07/10/2009 20.00,,"10,0","12,7","36,4"
07/10/2009 21.00,,"10,9","14,7","36,4"
07/10/2009 22.00,,"7,6","10,5","36,4"
07/10/2009 23.00,,"6,9","9,7","36,4"
08/10/2009 0.00,,"6,4","9,5","36,4"
08/10/2009 1.00,,"4,2","6,7","57,4"
08/10/2009 2.00,,"3,6","5,9","57,4"
08/10/2009 3.00,,"2,5","4,8","57,4"
08/10/2009 4.00,,"2,2","4,3","57,4"
08/10/2009 5.00,,"2,6","4,7","57,4"
08/10/2009 6.00,,"4,6","6,6","57,4"
08/10/2009 7.00,,"8,0","12,1","57,4"
08/10/2009 8.00,,"10,3","16,3","57,4"
08/10/2009 9.00,,"14,7","21,8","57,4"
08/10/2009 10.00,,"9,4","12,6","57,4"
08/10/2009 11.00,,"9,7","12,7","57,4"
08/10/2009 12.00,,"8,3","11,0","57,4"
08/10/2009 13.00,,"6,6","8,8","57,4"
08/10/2009 14.00,,"9,7","12,5","57,4"
08/10/2009 15.00,,"9,3","11,6","57,4"
08/10/2009 16.00,,"8,8","10,4","57,4"
08/10/2009 17.00,,"12,9","15,6","57,4"
08/10/2009 18.00,,"10,7","13,5","57,4"
08/10/2009 19.00,,"12,1","15,4","57,4"
08/10/2009 20.00,,"11,4","16,7","57,4"
08/10/2009 21.00,,"15,3","22,2","57,4"
08/10/2009 22.00,,"16,3","22,7","57,4"
08/10/2009 23.00,,"9,5","15,9","57,4"
09/10/2009 0.00,,"6,6","11,8","57,4"
09/10/2009 1.00,,"6,1","9,9","53,0"
09/10/2009 2.00,,"3,8","6,7","53,0"
09/10/2009 3.00,,"3,0","5,6","53,0"
09/10/2009 4.00,,"2,6","4,9","53,0"
09/10/2009 5.00,,"2,3","4,5","53,0"
09/10/2009 6.00,,"4,2","6,6","53,0"
09/10/2009 7.00,,"8,2","13,8","53,0"
09/10/2009 8.00,,"8,5","16,7","53,0"
09/10/2009 9.00,,"17,3","28,9","53,0"
09/10/2009 10.00,,"13,6","19,5","53,0"
09/10/2009 11.00,,"12,7","17,3","53,0"
09/10/2009 12.00,,"7,4","9,8","53,0"
09/10/2009 13.00,,"9,5","12,6","53,0"
09/10/2009 14.00,,"11,2","14,7","53,0"
09/10/2009 15.00,,"8,5","11,0","53,0"
09/10/2009 16.00,,"10,8","13,7","53,0"
09/10/2009 17.00,,"7,8","10,4","53,0"
09/10/2009 18.00,,"11,0","15,1","53,0"
09/10/2009 19.00,,"12,7","17,6","53,0"
09/10/2009 20.00,,"11,3","17,4","53,0"
09/10/2009 21.00,,"9,7","33,4","53,0"
09/10/2009 22.00,,"16,2","38,8","53,0"
09/10/2009 23.00,,"8,8","19,2","53,0"
10/10/2009 0.00,,"10,5","20,0","53,0"
10/10/2009 1.00,,"9,9","16,2","38,4"
10/10/2009 2.00,,"8,6","14,3","38,4"
10/10/2009 3.00,,"7,8","13,1","38,4"
10/10/2009 4.00,,"11,1","17,2","38,4"
10/10/2009 5.00,,"5,3","11,1","38,4"
10/10/2009 6.00,,"7,8","16,3","38,4"
10/10/2009 7.00,,"11,3","32,6","38,4"
10/10/2009 8.00,,"17,6","35,2","38,4"
10/10/2009 9.00,,"17,0","25,4","38,4"
10/10/2009 10.00,,"14,0","19,4","38,4"
10/10/2009 11.00,,"7,1","10,1","38,4"
10/10/2009 12.00,,"6,9","9,8","38,4"
10/10/2009 13.00,,"5,4","7,9","38,4"
10/10/2009 14.00,,"4,4","6,4","38,4"
10/10/2009 15.00,,"5,1","7,2","38,4"
10/10/2009 16.00,,"5,5","7,6","38,4"
10/10/2009 17.00,,"5,5","7,7","38,4"
10/10/2009 18.00,,"9,7","12,3","38,4"
10/10/2009 19.00,,"14,9","18,7","38,4"
10/10/2009 20.00,,"14,5","18,8","38,4"
10/10/2009 21.00,,"13,7","17,7","38,4"
10/10/2009 22.00,,"13,5","17,9","38,4"
10/10/2009 23.00,,"17,0","20,5","38,4"
11/10/2009 0.00,,"16,5","21,4","38,4"
11/10/2009 1.00,,"9,6","13,1","29,4"
11/10/2009 2.00,,"8,4","11,6","29,4"
11/10/2009 3.00,,"5,3","7,7","29,4"
11/10/2009 4.00,,"4,5","6,2","29,4"
11/10/2009 5.00,,"9,6","11,8","29,4"
11/10/2009 6.00,,"9,6","12,2","29,4"
11/10/2009 7.00,,"8,2","11,0","29,4"
11/10/2009 8.00,,"13,2","17,0","29,4"
11/10/2009 9.00,,"8,2","11,3","29,4"
11/10/2009 10.00,,"4,6","6,9","29,4"
11/10/2009 11.00,,"3,4","5,5","29,4"
11/10/2009 12.00,,"4,3","6,3","29,4"
11/10/2009 13.00,,"2,9","4,8","29,4"
11/10/2009 14.00,,"3,3","5,0","29,4"
11/10/2009 15.00,,"3,7","5,7","29,4"
11/10/2009 16.00,,"4,4","6,6","29,4"
11/10/2009 17.00,,"11,7","19,7","29,4"
11/10/2009 18.00,,"12,1","16,9","29,4"
11/10/2009 19.00,,"9,8","13,5","29,4"
11/10/2009 20.00,,"8,2","12,4","29,4"
11/10/2009 21.00,,"8,3","13,8","29,4"
11/10/2009 22.00,,"9,1","13,9","29,4"
11/10/2009 23.00,,"5,8","9,5","29,4"
12/10/2009 0.00,,"5,6","9,8","29,4"
12/10/2009 1.00,,"5,9","9,7","20,6"
12/10/2009 2.00,,"4,3","7,7","20,6"
12/10/2009 3.00,,"2,8","6,1","20,6"
12/10/2009 4.00,,"2,6","5,2","20,6"
12/10/2009 5.00,,"3,7","6,9","20,6"
12/10/2009 6.00,,"4,3","7,8","20,6"
12/10/2009 7.00,,"7,2","20,2","20,6"
12/10/2009 8.00,,"14,5","35,2","20,6"
12/10/2009 9.00,,"10,7","17,3","20,6"
12/10/2009 10.00,,"3,7","6,1","20,6"
12/10/2009 11.00,,"3,1","5,8","20,6"
12/10/2009 12.00,,"1,9","3,3","20,6"
12/10/2009 13.00,,"2,0","3,6","20,6"
12/10/2009 14.00,,"2,2","3,9","20,6"
12/10/2009 15.00,,"1,7","3,1","20,6"
12/10/2009 16.00,,"2,3","3,9","20,6"
12/10/2009 17.00,,"2,4","3,6","20,6"
12/10/2009 18.00,,"3,3","4,7","20,6"
12/10/2009 19.00,,"2,9","4,3","20,6"
12/10/2009 20.00,,"1,8","3,3","20,6"
12/10/2009 21.00,,"1,5","2,9","20,6"
12/10/2009 22.00,,"0,5","1,6","20,6"
12/10/2009 23.00,,"1,2","2,6","20,6"
13/10/2009 0.00,,"0,6","1,8","20,6"
13/10/2009 1.00,,"0,5","1,2","5,8"
13/10/2009 2.00,,,,"5,8"
13/10/2009 3.00,,"4,6","5,8","5,8"
13/10/2009 4.00,,"1,5","2,5","5,8"
13/10/2009 5.00,,"1,2","2,1","5,8"
13/10/2009 6.00,,"1,4","2,3","5,8"
13/10/2009 7.00,,"3,6","5,2","5,8"
13/10/2009 8.00,,"3,3","5,0","5,8"
13/10/2009 9.00,,,,"5,8"
13/10/2009 10.00,,,,"5,8"
13/10/2009 11.00,,,,"5,8"
13/10/2009 12.00,,"6,8","6,8","5,8"
13/10/2009 13.00,,"2,9","2,9","5,8"
13/10/2009 14.00,,"2,1","2,1","5,8"
13/10/2009 15.00,,"0,5","0,5","5,8"
13/10/2009 16.00,,"1,1","1,1","5,8"
13/10/2009 17.00,,"1,6","1,6","5,8"
13/10/2009 18.00,,"1,3","1,3","5,8"
13/10/2009 19.00,,"3,0","3,0","5,8"
13/10/2009 20.00,,"1,6","1,7","5,8"
13/10/2009 21.00,,"0,9","0,9","5,8"
13/10/2009 22.00,,"2,5","2,5","5,8"
13/10/2009 23.00,,"1,9","2,3","5,8"
14/10/2009 0.00,,,,"5,8"
