,,lecce,,
,,GUAGNANO,,
Parm,SO2,NO2,NOX,PM10



12/01/2009 18.00,"1,3","11,2","27,7","27,9"
12/01/2009 19.00,"1,7","15,6","32,3","27,9"
12/01/2009 20.00,"1,2","12,0","27,1","27,9"
12/01/2009 21.00,"1,1","10,1","22,1","27,9"
12/01/2009 22.00,"0,7","11,3","20,5","27,9"
12/01/2009 23.00,"0,8","12,4","18,7","27,9"
13/01/2009 0.00,"0,7","12,0","17,7","27,9"
13/01/2009 1.00,"0,9","11,3","16,9","30,7"
13/01/2009 2.00,"0,7","10,4","16,6","30,7"
13/01/2009 3.00,"0,9","10,7","16,6","30,7"
13/01/2009 4.00,"1,1","9,1","14,3","30,7"
13/01/2009 5.00,"0,8","9,1","13,8","30,7"
13/01/2009 6.00,"0,9","9,5","14,1","30,7"
13/01/2009 7.00,"0,9","9,4","14,2","30,7"
13/01/2009 8.00,"1,0","7,0","12,8","30,7"
13/01/2009 9.00,"1,1","11,4","22,3","30,7"
13/01/2009 10.00,"1,0","12,7","24,6","30,7"
13/01/2009 11.00,"0,8","12,0","20,6","30,7"
13/01/2009 12.00,"1,2","8,4","15,6","30,7"
13/01/2009 13.00,"1,1","7,2","14,6","30,7"
13/01/2009 14.00,"1,1","5,7","12,8","30,7"
13/01/2009 15.00,"1,4","5,6","12,0","30,7"
13/01/2009 16.00,"1,3","5,4","12,2","30,7"
13/01/2009 17.00,"1,2","6,5","13,2","30,7"
13/01/2009 18.00,"1,4","6,8","14,0","30,7"
13/01/2009 19.00,"1,8","8,4","15,5","30,7"
13/01/2009 20.00,"1,6","8,1","15,3","30,7"
13/01/2009 21.00,"1,5","7,4","15,0","30,7"
13/01/2009 22.00,"1,6","6,5","14,7","30,7"
13/01/2009 23.00,"1,5","5,6","14,3","30,7"
14/01/2009 0.00,"1,2","5,5","15,1","30,7"
14/01/2009 1.00,,"4,4","14,8","71,7"
14/01/2009 2.00,,,,"71,7"
14/01/2009 3.00,,"3,9","16,4","71,7"
14/01/2009 4.00,,"4,1","17,1","71,7"
14/01/2009 5.00,,"4,4","17,4","71,7"
14/01/2009 6.00,,"5,0","18,2","71,7"
14/01/2009 7.00,,"4,8","17,9","71,7"
14/01/2009 8.00,,"13,1","28,5","71,7"
14/01/2009 9.00,,"10,1","24,1","71,7"
14/01/2009 10.00,,"8,3","21,5","71,7"
14/01/2009 11.00,,"9,6","23,6","71,7"
14/01/2009 12.00,,"9,2","23,8","71,7"
