"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
"","NO2","NOX","PM10"
"2012-01-11 21:00:01","20.64589072","34.1960244",""
"2012-01-11 22:00:01","18.29220151","29.29864672","22.46640968"
"2012-01-11 23:00:01","12.49655285","16.59673742",""
"2012-01-12 00:00:01","5.55424337","8.30712185","26.61782074"
"2012-01-12 01:00:01","2.39846825","4.64511414",""
"2012-01-12 02:00:01","","","15.14041042"
"2012-01-12 03:00:01","5.91310474","7.59832624",""
"2012-01-12 04:00:01","2.62105373","4.24759213","17.58241081"
"2012-01-12 05:00:01","2.3945735","4.08417349",""
"2012-01-12 06:00:01","3.96629678","6.57695878","15.14041042"
"2012-01-12 07:00:01","12.78728583","19.02986067",""
"2012-01-12 08:00:01","26.76536144","45.25143784","9.52380943"
"2012-01-12 09:00:01","37.65708856","108.83951016",""
"2012-01-12 10:00:01","20.95672456","46.56461856","30.52503014"
"2012-01-12 11:00:01","17.44339397","32.24926424",""
"2012-01-12 12:00:01","13.7587367","24.2650964","15.14041042"
"2012-01-12 13:00:01","12.78014451","23.33062552",""
"2012-01-12 14:00:01","21.32857032","37.11161408","12.21000957"
"2012-01-12 15:00:01","16.79640376","26.88497616",""
"2012-01-12 16:00:01","22.50898176","37.0934692","20.02441978"
"2012-01-12 17:00:01","48.46577752","68.39399904",""
"2012-01-12 18:00:01","61.79945368","106.2306244","17.09399986"
"2012-01-12 19:00:01","49.49238768","133.81143472",""
"2012-01-12 20:00:01","50.24581128","135.396368","42.49084091"
"2012-01-12 21:00:01","36.87448784","73.54234584",""
"2012-01-12 22:00:01","26.548598","34.0734652","64.22466278"
"2012-01-12 23:00:01","18.16760603","22.12053984",""
"2012-01-13 00:00:01","13.47450452","15.35358562","56.41025162"
"2012-01-13 01:00:01","9.83851913","12.5975141",""
"2012-01-13 02:00:01","5.34528662","6.85969961","29.7924099"
"2012-01-13 03:00:01","5.43548905","6.83829859",""
"2012-01-13 04:00:01","3.68336093","5.47453018","23.19902039"
"2012-01-13 05:00:01","1.36276653","2.59719197",""
"2012-01-13 06:00:01","14.55368703","16.54356088","28.57142067"
"2012-01-13 07:00:01","13.79248542","16.85742906",""
"2012-01-13 08:00:01","31.12231232","44.69697696","25.39682007"
"2012-01-13 09:00:01","19.4492464","26.23973352",""
"2012-01-13 10:00:01","16.45831054","29.86088944","34.67642975"
"2012-01-13 11:00:01","12.2551552","25.29618064",""
"2012-01-13 12:00:01","14.62831813","27.03218104","25.39682007"
"2012-01-13 13:00:01","9.67498768","19.36641856",""
"2012-01-13 14:00:02","24.12288184","41.14262632","16.11721039"
"2012-01-13 15:00:02","27.22026448","40.49413328",""
"2012-01-13 16:00:02","36.95689504","52.83223104","22.22220993"
"2012-01-13 17:00:02","54.56383384","66.38563424",""
"2012-01-13 18:00:02","71.88523456","93.54234384","21.73381996"
"2012-01-13 19:00:02","70.94816336","110.1403776",""
"2012-01-13 20:00:02","47.70069072","112.68892064","48.84004974"
"2012-01-13 21:00:02","42.18667392","88.7422296",""
"2012-01-13 22:00:02","34.04252904","42.99080376","50.79365158"
"2012-01-13 23:00:02","19.15074496","21.27361944",""
"2012-01-14 00:00:02","9.41930739","11.86991206","40.29304123"
"2012-01-14 01:00:02","4.53736146","6.65542535",""
"2012-01-14 02:00:02","","","28.32722092"
"2012-01-14 03:00:02","7.14932937","9.10800511",""
"2012-01-14 04:00:02","3.399775","5.25858316","20.75702095"
"2012-01-14 05:00:02","2.55421212","4.25018671",""
"2012-01-14 06:00:02","4.74501996","6.92649342","18.80340958"
"2012-01-14 07:00:02","9.789201","13.47686393",""
"2012-01-14 08:00:02","21.65628712","30.62932224","20.02441978"
"2012-01-14 09:00:02","38.16455248","103.22230272",""
"2012-01-14 10:00:02","22.17153288","46.75981464","21.48962021"
"2012-01-14 11:00:02","17.88727242","33.27451688",""
"2012-01-14 12:00:02","20.64589072","34.36460544","16.36141014"
"2012-01-14 13:00:02","18.54724128","32.90486992",""
"2012-01-14 14:00:02","30.6330124","51.39777216","17.09399986"
"2012-01-14 15:00:02","15.71917531","27.7785876",""
"2012-01-14 16:00:02","18.60304491","31.5469484","14.89620972"
"2012-01-14 17:00:02","33.18853424","43.54008312",""
"2012-01-14 18:00:02","61.1654536","93.36724288","19.53602028"
"2012-01-14 19:00:02","43.19770128","89.53792752",""
"2012-01-14 20:00:02","37.2703292","89.76490104","42.73503113"
