"NetC","","","","","","",""
"Stat","GROTTAGLIE","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10
09/01/2012 15.00,,"1,454915","9,650787","0,160001","64,219192","16,1"
09/01/2012 16.00,,"1,83","9,989299","0,175786","63,750902","16,1"
09/01/2012 17.00,,"1,931233","9,867383","0,176459","59,632204","16,1"
09/01/2012 18.00,,"6,040297","13,996949","0,203442","51,249276","16,1"
09/01/2012 19.00,,"9,732743","18,564894","0,29096","51,554073","16,1"
09/01/2012 20.00,,"7,728828","16,290002","0,312168","49,650724","16,1"
09/01/2012 21.00,,"7,226551","15,470314","0,305639","48,972283","16,1"
09/01/2012 22.00,,"8,268744","17,003336","0,27913","46,139482","16,1"
09/01/2012 23.00,,"3,926064","12,190263","0,236716","48,066514","16,1"
10/01/2012 0.00,,"1,663872","9,719528","0,173294","50,132655","16,1"
10/01/2012 1.00,,"1,147319","9,084009","0,165738","49,227582","17,200001"
10/01/2012 2.00,,,,"0,161701","47,533647","17,200001"
10/01/2012 3.00,,"6,27002","14,203169",,"47,553019","17,200001"
10/01/2012 4.00,,"4,067532","12,002203","0,17161",,"17,200001"
10/01/2012 5.00,,"3,270638","11,205861","0,163577","46,136829","17,200001"
10/01/2012 6.00,,"4,834574","13,017735","0,157493","42,264713","17,200001"
10/01/2012 7.00,,"6,329722","14,351024","0,148707","38,506155","17,200001"
10/01/2012 8.00,,"9,108468","17,690733","0,167672","34,450797","17,200001"
10/01/2012 9.00,,"8,735977","18,19396","0,180238","35,778151","17,200001"
10/01/2012 10.00,,"6,197341","15,69469","0,160476","41,812687","17,200001"
10/01/2012 11.00,,,,"0,171808","53,742329","17,200001"
10/01/2012 12.00,,"9,35636","18,095389","0,157653","59,355021","17,200001"
10/01/2012 13.00,,"6,524403","15,855514","0,143856","58,522825","17,200001"
10/01/2012 14.00,,"5,689871","16,2472","0,13169","56,855544","17,200001"
10/01/2012 15.00,,"4,813808","13,226547","0,138647","58,515644","17,200001"
10/01/2012 16.00,,"5,332956","13,266754","0,12489","58,376931","17,200001"
10/01/2012 17.00,,"6,415383","14,415871","0,20294","56,547954","17,200001"
10/01/2012 18.00,,"8,939743","16,909955","0,290017","44,272639","17,200001"
10/01/2012 19.00,,"6,807339","14,740116","0,157064","40,636972","17,200001"
10/01/2012 20.00,,"7,913125","15,845139","0,112643","40,760583","17,200001"
10/01/2012 21.00,,"12,170138","21,010986","0,173636","33,103333","17,200001"
10/01/2012 22.00,,"14,123437","23,621785","0,222384","27,208209","17,200001"
10/01/2012 23.00,,"10,26357","18,637525","0,155864","37,757329","17,200001"
11/01/2012 0.00,,"10,286935","18,551924","0,217931","32,5744","17,200001"
11/01/2012 1.00,,"3,945533","11,880288","0,161191","42,923002","11,5"
11/01/2012 2.00,,"3,928659","11,863426","0,129224","37,205395","11,5"
11/01/2012 3.00,,"6,406297","14,339351","0,161788","21,031391","11,5"
11/01/2012 4.00,,"3,37836","11,31351","0,149144","29,620722","11,5"
11/01/2012 5.00,,"2,709958","10,645569","0,127713","39,874464","11,5"
11/01/2012 6.00,,"6,546466","15,642811","0,122941","38,170555","11,5"
11/01/2012 7.00,,"5,165532","13,099442","0,12632","36,919372","11,5"
11/01/2012 8.00,,"7,314807","15,804932","0,148309","35,791096","11,5"
11/01/2012 9.00,,"8,76583","18,688107","0,172086","40,950308","11,5"
11/01/2012 10.00,,"2,874788","11,81025","0,139164","56,519944","11,5"
11/01/2012 11.00,,"2,469851","11,13323","0,146242","60,84048","11,5"
11/01/2012 12.00,,"1,898786","10,550888","0,145566","62,672326","11,5"
11/01/2012 13.00,,"1,926042","10,784343","0,157931","62,930319","11,5"
11/01/2012 14.00,,"1,90917","10,518464","0,178369","63,919916","11,5"
11/01/2012 15.00,,"2,03766","10,295383","0,168069","63,547653","11,5"
11/01/2012 16.00,,"2,088277","10,239614","0,167196","64,009756","11,5"
11/01/2012 17.00,,"3,096723","11,387437","0,184531","62,005418","11,5"
11/01/2012 18.00,,"4,102575","12,037221","0,188985","60,629925","11,5"
11/01/2012 19.00,,"5,11751","13,051455","0,180078","55,98812","11,5"
11/01/2012 20.00,,"7,33817","15,423623","0,165646","50,116734","11,5"
11/01/2012 21.00,,"15,878161","24,211903","0,219878","39,180981","11,5"
11/01/2012 22.00,,"4,742425","12,67663","0,186599","50,565888","11,5"
11/01/2012 23.00,,"2,902043","10,83752","0,18962","54,221665","11,5"
12/01/2012 0.00,,"3,578233","11,513244","0,197095","53,021533","11,5"
12/01/2012 1.00,,"2,075298","10,011349","0,154592","53,605789","26,29999"
12/01/2012 2.00,,,,"0,169342","56,167788","26,29999"
12/01/2012 3.00,,"10,95144","18,881357",,"41,242076","26,29999"
12/01/2012 4.00,,"8,118189","16,050061","0,239357",,"26,29999"
