,Provincia di TARANTO,,,
,MARTINA FRANCA,,,
Parm,NOX,NO2,CO,O3
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K
,,,,,,
,,,,,,
,,,,,
,,,,,,
08/01/2009 11.00,"64,68011","35,185291","0,770316","30,535291"
08/01/2009 12.00,"115,381455","53,371088","1,054723","18,895318"
08/01/2009 13.00,"130,224027","59,079134","1,166581","25,472239"
08/01/2009 14.00,"100,388428","46,243173","0,818312","31,351825"
08/01/2009 15.00,"86,168388","44,096494","0,693126","31,270568"
08/01/2009 16.00,"86,85059","46,300282","0,827674","27,415409"
08/01/2009 17.00,"137,679006","60,143391","1,184748","18,081501"
08/01/2009 18.00,"136,283473","58,913002","1,24274","10,964265"
08/01/2009 19.00,"104,850007","49,763011","1,129374","14,870886"
08/01/2009 20.00,"113,524158","53,838322","1,106527","7,852516"
08/01/2009 21.00,"125,1243","53,838322","1,130008","7,939178"
08/01/2009 22.00,"68,516574","37,827752","0,824501","13,641349"
08/01/2009 23.00,"46,717023","29,726456","0,812522","15,35973"
09/01/2009 0.00,"41,710699","28,13007","0,722082","13,96093"
09/01/2009 1.00,"35,306206","25,09825","0,639339","14,513405"
09/01/2009 2.00,"19,638859","14,943655","0,493569","25,339553"
09/01/2009 3.00,"13,361432","11,439444","0,44672","24,303648"
09/01/2009 4.00,"11,828408","10,294716","0,39682","24,639467"
09/01/2009 5.00,"11,851755","10,616592","0,412527","31,392443"
09/01/2009 6.00,"33,627929","20,903514","0,493367","25,845984"
09/01/2009 7.00,"76,830183","38,55458","1,239408","21,428853"
09/01/2009 8.00,"141,160085","53,355505","1,181574","16,269696"
09/01/2009 9.00,"121,881893","50,04593","1,14778","14,050293"
09/01/2009 10.00,"93,70381","42,627313","0,9957","16,781546"
09/01/2009 11.00,"116,917056","51,110186","1,096372","16,314373"
09/01/2009 12.00,"105,628172","43,826536","0,854726","17,235176"
09/01/2009 13.00,"126,029609","48,963508","1,026163","14,11665"
09/01/2009 14.00,"100,095302","44,620838","0,91129","20,157341"
09/01/2009 15.00,"97,703675","43,572146","0,861787","21,430209"
09/01/2009 16.00,"86,321425","41,578617","0,876225","24,861551"
09/01/2009 17.00,"94,341921","45,970614","1,065829","22,483729"
09/01/2009 18.00,"94,593539","47,64488","1,095737","21,982705"
09/01/2009 19.00,"109,975656","52,997293","1,189191","18,763975"
09/01/2009 20.00,"103,804659","52,005729","1,092722","21,348973"
09/01/2009 21.00,"88,702687","44,379431","0,949687","25,526425"
09/01/2009 22.00,"57,523417","32,098962","0,667978","35,510302"
09/01/2009 23.00,"31,028815","21,098193","0,566909","44,731831"
10/01/2009 0.00,"21,791751","14,707484","0,464014","50,183507"
10/01/2009 1.00,"15,714144","10,990378","0,35049","53,448286"
10/01/2009 2.00,,,"0,349063","55,088116"
10/01/2009 3.00,"12,611781","11,32782",,"58,841728"
10/01/2009 4.00,"8,461462","7,504297","0,298307",
10/01/2009 5.00,"11,968481","9,47187","0,332805","45,480652"
10/01/2009 6.00,"40,893608","24,441516","0,417581","29,762088"
10/01/2009 7.00,"83,763801","45,685077","0,556058","18,218266"
10/01/2009 8.00,"114,958617","48,169206","0,807834","18,723348"
10/01/2009 9.00,"103,936931","46,520928","0,947267","13,572294"
10/01/2009 10.00,"89,641693","41,92125","0,823609","14,967035"
10/01/2009 11.00,"58,560983","30,180709","0,603544","25,248819"
10/01/2009 12.00,"56,361323","29,023013","0,663063","30,720806"
10/01/2009 13.00,"74,822468","37,492923","0,81827","26,089733"
10/01/2009 14.00,"100,219813","40,130183","0,836198","17,324548"
10/01/2009 15.00,"53,458696","30,011993","0,576614","23,316504"
10/01/2009 16.00,"56,249777","30,596014","0,777556","19,657682"
10/01/2009 17.00,"87,825904","37,552615","0,880498","13,400326"
10/01/2009 18.00,"87,82074","41,054273","1,048295","11,901316"
10/01/2009 19.00,"124,42393","49,409977","1,378791","8,918202"
10/01/2009 20.00,"92,933391","41,0984","0,971169","12,594627"
10/01/2009 21.00,"79,081697","38,538997","0,923045","14,823493"
10/01/2009 22.00,"75,349014","36,75053","0,820103","15,221601"
10/01/2009 23.00,"42,359175","26,881515","0,694774","20,761287"
11/01/2009 0.00,"29,417974","20,534917","0,518451","25,743081"
11/01/2009 1.00,"32,624093","19,769181","0,453594","27,775608"
11/01/2009 2.00,"28,72539","19,32531","0,439412","25,921813"
11/01/2009 3.00,"23,669775","15,885952","0,402284","28,371414"
11/01/2009 4.00,"14,73882","11,177265","0,334479","32,684263"
11/01/2009 5.00,"11,792094","9,560126","0,305955","35,870499"
11/01/2009 6.00,"10,531433","8,324553","0,328424","38,085825"
11/01/2009 7.00,"13,594888","10,097446","0,335515","38,195532"
11/01/2009 8.00,"15,034529","10,95144","0,369058","36,535374"
11/01/2009 9.00,"24,938216","15,872971","0,478533","33,003843"
11/01/2009 10.00,"36,802939","21,087811","0,679874","27,209586"
11/01/2009 11.00,"47,474422","25,534319","0,721943","27,006455"
11/01/2009 12.00,"51,352399","26,954189","0,630874","32,998417"
11/01/2009 13.00,"62,672394","30,860787","0,666648","30,833183"
11/01/2009 14.00,"54,374355","28,747856","0,544106","33,540059"
11/01/2009 15.00,"23,080955","15,862587","0,383401","42,776492"
11/01/2009 16.00,"28,984772","18,663394","0,43017","39,200273"
11/01/2009 17.00,"32,44771","20,363603","0,501002","35,736454"
11/01/2009 18.00,"47,949115","27,652452","0,664417","28,803372"
11/01/2009 19.00,"49,904957","28,560959","0,699315","25,125589"
11/01/2009 20.00,"54,65968","31,84199","0,804885","21,799904"
11/01/2009 21.00,"66,052296","34,694691","0,822892","20,487753"
11/01/2009 22.00,"57,762034","31,379934","0,739551","22,23591"
