Stat,Torchiarolo_Via Fanin,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,PM10,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,
,,,,,,
,,,,,,,
17/01/2014 8.00,"2,0","19,8","22,4","50,1","14,5",,,
17/01/2014 9.00,"2,3","25,7","29,9",,"12,6",,,
17/01/2014 10.00,"2,3","23,9","29,4","30,8","10,8",,,
17/01/2014 11.00,"2,4","17,1","22,5",,"15,0",,,
17/01/2014 12.00,"2,3","10,8","14,2","28,8","11,7",,,
17/01/2014 13.00,"2,0","7,7","9,5",,"9,6",,,
17/01/2014 14.00,"2,3","6,8","8,5","17,1","11,6",,,
17/01/2014 15.00,"2,2","6,4","7,9",,"9,0",,,
17/01/2014 16.00,"2,4","5,8","6,9","9,3","8,9",,,
17/01/2014 17.00,"2,3","6,7","8,1",,"6,5",,,
17/01/2014 18.00,"2,9","9,0","10,3","11,0","9,1",,,
17/01/2014 19.00,"2,6","8,6","9,9",,"35,6",,,
17/01/2014 20.00,"2,3","10,3","11,8","22,5","17,7",,,
17/01/2014 21.00,"2,3","10,0","11,7",,"18,9",,,
17/01/2014 22.00,"2,2","9,2","10,8","29,3","15,4",,,
17/01/2014 23.00,"2,4","8,5","10,3",,"13,8",,,
18/01/2014 0.00,"2,3","7,2","8,5","22,5","16,1",,,
18/01/2014 1.00,"2,3",,,,"13,7",,,
18/01/2014 2.00,,"3,7","4,0","27,4","15,0",,,
18/01/2014 3.00,"1,8","3,2","3,9",,"10,2",,,
18/01/2014 4.00,"1,9","2,1","2,4","23,2","6,5",,,
18/01/2014 5.00,"1,6","2,0","2,5",,"3,5",,,
18/01/2014 6.00,"1,6","2,7","2,8","20,8","4,8",,,
18/01/2014 7.00,"1,8","3,1","3,6",,"4,9",,,
18/01/2014 8.00,"1,9","4,6","4,9","18,8","4,9",,,
18/01/2014 9.00,"2,0","11,5","12,3",,"3,7",,,
18/01/2014 10.00,"1,2","17,8","20,1","15,9","5,5",,,
18/01/2014 11.00,"1,7","15,3","18,6",,"12,6",,,
18/01/2014 12.00,"1,8","8,5","10,2","21,0","17,7",,,
18/01/2014 13.00,"2,1","7,3","8,6",,"30,8",,,
18/01/2014 14.00,"2,0","7,1","8,6","26,6","16,4",,,
18/01/2014 15.00,"2,3","6,7","8,0",,"19,5",,,
18/01/2014 16.00,"2,1","6,1","7,4","23,0","12,2",,,
18/01/2014 17.00,"2,3","5,1","6,0",,"9,9",,,
