,Provincia di LECCE,,
,GUAGNANO,,
Parm,SO2,NO2,PM10



21/01/2005 20.00,"3,28885088","16,26103802",
21/01/2005 21.00,"2,93305546","12,62050781",
21/01/2005 22.00,"2,51404739","14,87750718",
21/01/2005 23.00,"2,64227787","12,53744288",
22/01/2005 0.00,"2,86803662","11,09291158",
22/01/2005 1.00,,"12,67371494",
22/01/2005 2.00,"0,8043453",,
22/01/2005 3.00,"0,95490605","14,5569317",
22/01/2005 4.00,"1,13191693","12,52705881",
22/01/2005 5.00,"0,72899374","9,66006261",
22/01/2005 6.00,"0,57540538","6,93323322",
22/01/2005 7.00,"0,6444668","6,45821211",
22/01/2005 8.00,"0,71035721","7,63278622",
22/01/2005 9.00,"0,81334778","11,79505152",
22/01/2005 10.00,"0,79640965","13,41609866",
22/01/2005 11.00,"1,13128639","14,32071939",
22/01/2005 12.00,"1,01432224","14,40767906",
22/01/2005 13.00,"0,60685712","8,69704174",
22/01/2005 14.00,"0,50747385","7,96244561",
22/01/2005 15.00,"0,52442317","8,8865305",
22/01/2005 16.00,"0,69893528","8,49716891",
22/01/2005 17.00,"0,99589827","9,20321124",
22/01/2005 18.00,"0,76374768","6,94621187",
22/01/2005 19.00,"1,25059066","15,73280596",
22/01/2005 20.00,"2,13665395","29,05545944",
22/01/2005 21.00,"3,33997953","58,99866048",
22/01/2005 22.00,"3,69728926","56,4600216",
22/01/2005 23.00,"1,14429789","38,71941488",
23/01/2005 0.00,"1,06416948","27,90942576",
23/01/2005 1.00,"1,13746772","19,04107455",
23/01/2005 2.00,"1,03850853","13,67438118",
23/01/2005 3.00,"1,88760997","24,4428168",
23/01/2005 4.00,"0,9049388","14,25712627",
23/01/2005 5.00,"0,90926817","8,79567991",
23/01/2005 6.00,"0,86809086","6,10778649",
23/01/2005 7.00,"0,63370389","5,11880831",
23/01/2005 8.00,"0,59365748","4,95138212",
23/01/2005 9.00,"0,85203548","6,63342397",
23/01/2005 10.00,"1,72577069","11,76649962",
23/01/2005 11.00,"2,23751085","8,26095661",
23/01/2005 12.00,"4,67536155","31,16319088",
23/01/2005 13.00,"4,50627513","15,33045998",
23/01/2005 14.00,"4,26379589","20,44926064",
23/01/2005 15.00,"2,95955034","8,11948773",
23/01/2005 16.00,"2,31259901","8,96050961",
23/01/2005 17.00,"2,4236005","10,65812661",
23/01/2005 18.00,"2,03394407","10,83203257",
23/01/2005 19.00,"2,30390061","14,87101785",
23/01/2005 20.00,"2,57658069","27,10216024",
23/01/2005 21.00,"2,56685512","22,96323472",
23/01/2005 22.00,"2,33111452","17,80160526",
23/01/2005 23.00,"2,24880159","26,52200208",
24/01/2005 0.00,"1,97072531","31,4655928",
24/01/2005 1.00,,"26,4389448",
24/01/2005 2.00,"1,49726706",,
24/01/2005 3.00,"1,54275442","11,84437538",
24/01/2005 4.00,"1,27478408","9,1110624",
24/01/2005 5.00,"1,12392433","8,20514724",
24/01/2005 6.00,"1,37901539","7,95725453",
24/01/2005 7.00,"1,00512551","8,48289201",
24/01/2005 8.00,"0,99148144","11,54716454",
24/01/2005 9.00,"0,96496316","11,20193191",
24/01/2005 10.00,"0,77726462","11,05656638",
24/01/2005 11.00,"1,41693627","9,7223613",
24/01/2005 12.00,"1,29226529","10,83592922",
24/01/2005 13.00,"0,6127903","12,24931786",
24/01/2005 14.00,"0,57022682","10,34403854",
24/01/2005 15.00,"0,40664643","10,44137273",
24/01/2005 16.00,"0,31380044","11,20452458",
24/01/2005 17.00,"0,52235052","13,22141882",
24/01/2005 18.00,"0,78760853","11,55495594",
24/01/2005 19.00,"0,71760944","14,49333666",
24/01/2005 20.00,"0,88357875","11,95858488",
24/01/2005 21.00,"1,09776506","10,45955202",
24/01/2005 22.00,"0,98542113","21,21499752",
24/01/2005 23.00,"1,04417627","11,59648841",
25/01/2005 0.00,"0,54665682","10,9890766",
25/01/2005 1.00,"0,49102591","10,98129476",
25/01/2005 2.00,"0,66234362","10,68927118",
25/01/2005 3.00,"0,98707376","9,45240411",
25/01/2005 4.00,"0,68057742","9,54455104",
25/01/2005 5.00,"0,67649925","10,17401586",
25/01/2005 6.00,"0,3106518","9,20970057",
25/01/2005 7.00,"0,39484923","9,07212643",
25/01/2005 8.00,"0,59893978","9,69250925",
25/01/2005 9.00,"0,59363307","12,25969238",
25/01/2005 10.00,"0,57225675","13,54589095",
25/01/2005 11.00,"0,66104288","12,4816316",
25/01/2005 12.00,"0,5838658","11,53288382",
25/01/2005 13.00,"1,14270527","16,86584569",
25/01/2005 14.00,"0,98632728","18,7153099",
25/01/2005 15.00,"1,14328292","21,30585576",
25/01/2005 16.00,"1,06423965","17,86520985",
25/01/2005 17.00,"0,55438806","13,11499116",
25/01/2005 18.00,"0,76069058","10,29212201",
25/01/2005 19.00,"0,58111177","10,64903122",
25/01/2005 20.00,"0,51017703","13,82881915",
25/01/2005 21.00,"0,36555963","10,62047933",
25/01/2005 22.00,"0,67281059","11,33042214",
25/01/2005 23.00,"1,24347065","9,45110586",
26/01/2005 0.00,"0,63193634","11,12405615",
26/01/2005 1.00,,"12,71135075",
26/01/2005 2.00,"1,30361196",,
26/01/2005 3.00,"1,54289985","7,41085082",
