,Bari,,,,,,
,Caldarola,,,,,,
,SO2,NO2,,CO,O3,PM10,BENZENE
,,,,
,,,,
,,,,,
,,,,,
,,,,,
06/01/2009 16.00,"5,35318697","19,29804544",,"0,2918791","66,27930645","41,84112167","1,2666735"
06/01/2009 17.00,"4,8438754","17,74839812",,"0,29854873","66,66613695","41,84112167","0,96121755"
06/01/2009 18.00,"4,8637425","23,87434096",,"0,41181585","54,1612176","41,84112167","1,0815795"
06/01/2009 19.00,"5,12742822","70,53933952",,"1,09504059","15,60237032","41,84112167","2,0456955"
06/01/2009 20.00,"6,46572497","88,86788624",,"1,71553939","15,00001199","41,84112167","4,869396"
06/01/2009 21.00,"5,70175863","78,00470528",,"1,67108882","15,45245006","41,84112167","7,0106895"
06/01/2009 22.00,"5,32428993","74,31355104",,"1,24392875","14,74836468","41,84112167","5,132799"
06/01/2009 23.00,"4,28399453","63,46203328",,"1,12715381","15,14323703","41,84112167","4,094442"
07/01/2009 0.00,"4,96668832","56,96618536",,"0,92614238","14,02553828","41,84112167","4,289706"
07/01/2009 1.00,"4,69036027","53,02325896",,"0,77424619","14,63056392","39,67005157","3,0169305"
07/01/2009 2.00,"4,33095247","45,93817088",,"0,76140789","17,09353506","39,67005157","2,758104"
07/01/2009 3.00,"4,2857997","27,37341568",,"0,53198327","26,8517025","39,67005157","2,5440255"
07/01/2009 4.00,"4,15034547","20,85550328",,"0,48417866","26,1409239","39,67005157","1,633302"
07/01/2009 5.00,"4,25870886","23,65629648",,"0,51394092","27,12344145","39,67005157","1,6226235"
07/01/2009 6.00,"4,36707326","18,95411297",,"0,43764623","30,3560796","39,67005157","1,3785435"
07/01/2009 7.00,"4,5567102","26,63622496",,"0,47762437","29,40703815","39,67005157","1,363797"
07/01/2009 8.00,"4,54948645","34,35078168",,"0,47982156","27,8770527","39,67005157","1,255995"
07/01/2009 9.00,"4,92514896","55,22703016",,"1,00224484","19,16296851","39,67005157","2,0823075"
07/01/2009 10.00,"4,99197298","59,34909184",,"0,99437993","18,76406627","39,67005157","3,837141"
07/01/2009 11.00,"4,89986329","50,36521568",,"0,79899661","25,4542449","39,67005157","2,585214"
07/01/2009 12.00,"4,36526707","40,16523104",,"0,65130374","34,9353228","39,67005157","3,151683"
07/01/2009 13.00,"4,58741343","35,5525884",,"0,56910949","48,67574565","39,67005157","2,4118155"
07/01/2009 14.00,"4,63978994","33,62525416",,"0,51471215","56,49032025","39,67005157","1,527534"
07/01/2009 15.00,"4,33275866","44,69091592",,"0,67913675","45,94774275","39,67005157","1,882467"
07/01/2009 16.00,"4,20452717","35,57597216",,"0,52670116","50,6541672","39,67005157","1,6673715"
07/01/2009 17.00,"4,11602986","34,88161024",,"0,46806322","47,15647335","39,67005157","1,428885"
07/01/2009 18.00,"3,9823808","53,36848968",,"0,751192","25,83706545","39,67005157","1,5646545"
07/01/2009 19.00,"4,5404565","64,38352168",,"0,90964249","18,09478766","39,67005157","2,565891"
07/01/2009 20.00,"4,24787272","60,50028792",,"0,84159717","17,40140546","39,67005157","2,6518275"
07/01/2009 21.00,"4,20813955","55,16085584",,"0,83874408","20,1829362","39,67005157","3,3342345"
07/01/2009 22.00,"4,36346189","58,02266096",,"1,06427527","16,37338595","39,67005157","3,097782"
07/01/2009 23.00,"4,29121828","56,5456792",,"1,10113121","14,02017572","39,67005157","3,9637575"
08/01/2009 0.00,"5,03893092","55,17383832",,"1,01789662","13,02829364","39,67005157","3,811716"
08/01/2009 1.00,,"57,23354032",,"1,01835912","12,74585949","49,39886093","3,435426"
08/01/2009 2.00,"4,916118",,,"0,88026468","12,05649722","49,39886093","2,926926"
08/01/2009 3.00,"4,22981182","45,36061304",,,"12,55444722","49,39886093","2,5155495"
08/01/2009 4.00,"4,13950832","41,02962712",,"0,88441791","12,37909071","49,39886093","2,516058"
08/01/2009 5.00,"4,11602986","37,41244816",,"0,67714227",,"49,39886093","2,1229875"
08/01/2009 6.00,"4,4320921","38,54809968",,"0,71185578","12,85574409","49,39886093","2,4250365"
08/01/2009 7.00,"4,3435948","43,15554168",,"0,63148942","13,2330764","49,39886093","2,136717"
08/01/2009 8.00,"4,49169237","49,64100744",,"0,78986418","13,0437489","49,39886093","2,233332"
08/01/2009 9.00,"5,63312741","63,74238984",,"1,34709533","14,01306354","49,39886093","3,0403215"
08/01/2009 10.00,"6,03949315","81,77111584",,"2,08585678","15,81435702","49,39886093","5,553837"
08/01/2009 11.00,"5,28636193","72,55623184",,"1,10642147","19,76495378","49,39886093","5,1495795"
08/01/2009 12.00,"4,6650746","65,56590248",,"1,06838306","23,4555342","49,39886093","3,622554"
08/01/2009 13.00,"4,86916006","74,11368968",,"1,05995661","20,9209266","49,39886093","3,703914"
08/01/2009 14.00,"4,41222501","58,8662736",,"0,75947981","29,81142465","49,39886093","3,0474405"
08/01/2009 15.00,"4,32011532","53,73708504",,"0,7626125","36,4819665","49,39886093","2,706237"
08/01/2009 16.00,"4,1449269","48,06148512",,"0,61150384","38,0486001","49,39886093","2,0233215"
08/01/2009 17.00,"4,35984951","64,50682656",,"0,92044553","24,03418395","49,39886093","2,2145175"
08/01/2009 18.00,"4,23161801","74,22139264",,"1,11991217","26,86748295","49,39886093","3,8712105"
08/01/2009 19.00,"4,55851639","71,48937408",,"1,15137999","44,0738193","49,39886093","3,735441"
08/01/2009 20.00,,"69,65029776",,"0,4633205","36,58995585","49,39886093","4,400559"
08/01/2009 21.00,"4,16840638","61,17518568",,"0,14159876","28,4234433","49,39886093","4,2952995"
08/01/2009 22.00,"6,02143224","67,1596692",,"0,90801032","26,43680235","49,39886093","4,3614045"
08/01/2009 23.00,"5,3838902","62,03048064",,"1,6148333","26,0488347","49,39886093","6,368454"
09/01/2009 0.00,"4,44654062","52,18742816",,"1,11789905","14,15438735","49,39886093","3,941892"
09/01/2009 1.00,"4,29844305","49,81882344",,"1,44434137","14,57704605","39,30091095","2,9365875"
09/01/2009 2.00,"3,984187","47,99271048",,"1,46081564","14,13572612","39,30091095","2,346219"
09/01/2009 3.00,"3,08657059","35,71612176",,"1,09462585","20,35560345","39,30091095","2,0477295"
09/01/2009 4.00,"3,83970181","19,88468528",,"1,04857573","34,64199795","39,30091095","1,7426295"
09/01/2009 5.00,"3,62658539","15,94175506",,"0,67399095","36,77529135","39,30091095","1,744155"
09/01/2009 6.00,"3,84331317","28,77510288",,"0,59008881","27,5928051","39,30091095","1,686186"
09/01/2009 7.00,"3,4116638","30,23002016",,"0,62344859","30,92607105","39,30091095","1,7741565"
09/01/2009 8.00,"3,23286299","42,08348328",,"0,76187738","19,64495453","39,30091095","2,07468"
09/01/2009 9.00,"4,19549722","55,01678664",,"1,2416803","18,55697729","39,30091095","2,5287705"
09/01/2009 10.00,"5,10214357","62,63528448",,"1,43813076","37,16994225","39,30091095","4,256145"
09/01/2009 11.00,"4,67049317","58,96879504",,"1,21574158","40,11256725","39,30091095","4,370049"
09/01/2009 12.00,"4,65062608","57,24134128",,"1,11515781","34,83132345","39,30091095","4,1234265"
09/01/2009 13.00,"4,02392017","51,2983864",,"0,88004916","36,90329055","39,30091095","3,204567"
09/01/2009 14.00,"4,36346189","52,72863888",,"1,02941847","38,2152624","39,30091095","2,7952245"
09/01/2009 15.00,"4,83845683","57,46976792",,"1,19018963","30,1940856","39,30091095","3,655098"
09/01/2009 16.00,"4,49530475","50,55211368",,"0,8461861","28,76077785","39,30091095","2,8298025"
09/01/2009 17.00,"4,31650293","52,8259788",,"0,90022812","26,972799","39,30091095","2,5277535"
09/01/2009 18.00,"4,36346189","57,60863648",,"1,10325151","43,17517155","39,30091095","3,025575"
09/01/2009 19.00,"4,86013011","62,45100592",,"1,14801547","38,8205853","39,30091095","3,613401"
