, Brindisi,,
,Via Dei Mille,,
Parm,SO2,NO2,PM10
,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
09/01/2008 7.00,"1,77534","36,414382",
09/01/2008 8.00,"2,583229","40,616903","18,07081"
09/01/2008 9.00,"4,22588","53,214036",
09/01/2008 10.00,"3,080391","39,272305","22,46641"
09/01/2008 11.00,"2,564753","39,211294",
09/01/2008 12.00,"2,4539","38,041916","18,55921"
09/01/2008 13.00,"2,600024","44,052364",
09/01/2008 14.00,"3,322254","46,308065","9,76801"
09/01/2008 15.00,"3,433108","45,70326",
09/01/2008 16.00,"3,080391","44,174369","13,67521"
09/01/2008 17.00,"3,221478","40,625984",
09/01/2008 18.00,"4,182211","36,710302","26,37361"
09/01/2008 19.00,"5,174856","36,54937",
09/01/2008 20.00,"6,018017","37,265779","42,002441"
09/01/2008 21.00,"6,004579","37,490323",
09/01/2008 22.00,"4,872528","32,897162","39,56044"
09/01/2008 23.00,"4,711286","38,343019",
10/01/2008 0.00,"3,33905","46,880423","44,932831"
10/01/2008 1.00,,"36,635027",
10/01/2008 2.00,"2,948184",,"28,327221"
10/01/2008 3.00,"2,718016","33,511048",
10/01/2008 4.00,"1,815959","32,598642","38,58363"
10/01/2008 5.00,"1,462246","31,607078",
10/01/2008 6.00,"2,557237","27,40326","33,211231"
10/01/2008 7.00,"2,755249","27,998983",
10/01/2008 8.00,"2,6994","29,195627","36,630032"
10/01/2008 9.00,"5,246482","34,214492",
10/01/2008 10.00,"7,145369","36,84269","51,282051"
10/01/2008 11.00,"5,243098","37,386501",
10/01/2008 12.00,"4,034713","43,172404","44,932831"
10/01/2008 13.00,"3,271436","41,203543",
10/01/2008 14.00,"3,714848","45,221745","21,48962"
10/01/2008 15.00,"3,362825","42,544234",
10/01/2008 16.00,"3,369596","42,239234","21,48962"
10/01/2008 17.00,"3,284975","41,223006",
10/01/2008 18.00,"3,218971","39,34238","33,211231"
10/01/2008 19.00,"3,318823","36,193736",
10/01/2008 20.00,"4,149798","37,298243","41,514042"
10/01/2008 21.00,"4,94354","37,76678",
10/01/2008 22.00,"5,068778","35,678491","49,816841"
10/01/2008 23.00,"5,620505","32,763476",
11/01/2008 0.00,"4,386736","69,656777","48,84005"
11/01/2008 1.00,"3,598071","46,506647",
11/01/2008 2.00,"3,361133","33,382562","47,863232"
11/01/2008 3.00,"2,354147","31,045087",
11/01/2008 4.00,"2,902489","29,444818","42,97924"
11/01/2008 5.00,"1,942891","27,58756",
11/01/2008 6.00,"2,19506","26,961972","39,072041"
11/01/2008 7.00,"2,706169","29,69531",
11/01/2008 8.00,"4,071947","32,525968","43,46764"
11/01/2008 9.00,"5,930217","36,040605",
