Stat,Galatina-VIALE STUDENTI,,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,,
,,,,,
,,,,,,,,
08/01/2014 20.00,"2,2","29,2","32,4","0,8","34,0","16,9",,,
08/01/2014 21.00,"2,2","29,3","32,6","0,8","32,9","16,9",,,
08/01/2014 22.00,"2,0","29,8","32,5","0,8","29,4","16,9",,,
08/01/2014 23.00,"2,0","22,3","24,2","0,8","34,7","16,9",,,
09/01/2014 0.00,"1,7","15,6","16,5","0,8","39,2","16,9",,,
09/01/2014 1.00,"1,9","11,0","12,0","0,7","43,7","24,5",,,
09/01/2014 2.00,"2,0","9,2","10,2","0,7","43,5","24,5",,,
09/01/2014 3.00,"2,0","8,7","9,8","0,7","41,3","24,5",,,
09/01/2014 4.00,"2,1","7,3","8,2","0,7","41,6","24,5",,,
09/01/2014 5.00,"1,8","6,5","7,7","0,6","42,3","24,5",,,
09/01/2014 6.00,"2,0","5,8","7,0","0,6","41,3","24,5",,,
09/01/2014 7.00,"2,0","7,8","9,2","0,6","38,5","24,5",,,
09/01/2014 8.00,"1,9","12,6","14,3","0,7","33,4","24,5",,,
09/01/2014 9.00,"1,9","21,5","25,7","0,7","27,6","24,5",,,
09/01/2014 10.00,"2,0","28,6","42,4","0,8","25,0","24,5",,,
09/01/2014 11.00,"1,9","26,5","38,7","0,7","30,6","24,5",,,
09/01/2014 12.00,"2,3","19,7","26,8","0,7","47,9","24,5",,,
09/01/2014 13.00,"2,5","14,5","19,1","0,6","54,1","24,5",,,
09/01/2014 14.00,"2,5","11,5","15,3","0,6","61,2","24,5",,,
09/01/2014 15.00,"2,6","12,6","17,4","0,6","60,4","24,5",,,
09/01/2014 16.00,"2,6","10,6","14,5","0,6","61,6","24,5",,,
09/01/2014 17.00,"2,1","11,6","14,2","0,6","62,2","24,5",,,
09/01/2014 18.00,"2,1","19,6","22,1","0,7","46,3","24,5",,,
09/01/2014 19.00,"2,2","39,2","45,4","0,9","24,1","24,5",,,
09/01/2014 20.00,"2,3","51,7","58,6","0,9","15,5","24,5",,,
09/01/2014 21.00,"2,2","47,1","60,8","1,0","11,7","24,5",,,
09/01/2014 22.00,"2,3","38,8","49,1","1,1","10,0","24,5",,,
09/01/2014 23.00,"2,4","32,5","43,9","1,2","8,4","24,5",,,
10/01/2014 0.00,"2,8","31,1","47,9","1,4","9,1","24,5",,,
10/01/2014 1.00,"2,3","27,0","37,7","1,3","7,6","35,9",,,
10/01/2014 2.00,"2,3",,,"1,3","9,7","35,9",,,
10/01/2014 3.00,"2,4","21,2","24,7",,"10,5","35,9",,,
10/01/2014 4.00,,"18,0","20,3","1,1","10,7","35,9",,,
10/01/2014 5.00,"2,0","14,8","17,2","1,0",,"35,9",,,
10/01/2014 6.00,"2,1","11,2","13,9","0,9","10,7","35,9",,,
10/01/2014 7.00,"2,1","12,1","17,2","0,8","10,2","35,9",,,
10/01/2014 8.00,"2,3","14,6","19,7","0,8","8,4","35,9",,,
10/01/2014 9.00,"2,2","20,0","28,2","0,8","9,8","35,9",,,
10/01/2014 10.00,"2,7","25,7","44,2","0,9","11,4","35,9",,,
10/01/2014 11.00,"2,5","23,5","37,2","0,8","18,5","35,9",,,
10/01/2014 12.00,"2,2","16,1","21,0","0,7","30,5","35,9",,,
10/01/2014 13.00,"2,3","14,2","18,3","0,7","44,9","35,9",,,
10/01/2014 14.00,"2,3","10,8","12,1","0,6","66,6","35,9",,,
10/01/2014 15.00,"2,5","8,3","9,6","0,6","73,4","35,9",,,
10/01/2014 16.00,"2,2","5,6","6,5","0,6","72,6","35,9",,,
10/01/2014 17.00,"2,2","5,0","6,2","0,6","68,7","35,9",,,
10/01/2014 18.00,"2,2","10,0","11,2","0,6","54,0","35,9",,,
10/01/2014 19.00,"2,3","34,4","41,7","0,9","18,9","35,9",,,
10/01/2014 20.00,"3,0","45,8","83,9","1,1","12,6","35,9",,,
10/01/2014 21.00,"2,4","45,4","57,0","1,1","11,3","35,9",,,
10/01/2014 22.00,"2,6","42,4","59,0","1,1","9,4","35,9",,,
10/01/2014 23.00,"2,9","45,5","70,1","1,3","8,8","35,9",,,
11/01/2014 0.00,"3,4","32,4","61,6","1,2","7,0","35,9",,,
11/01/2014 1.00,"3,1","23,8","48,8","1,2","7,5","43,4",,,
11/01/2014 2.00,"2,5","24,7","40,5","1,3","8,1","43,4",,,
11/01/2014 3.00,"2,3","22,6","43,6","1,3","8,2","43,4",,,
11/01/2014 4.00,"2,5","22,7","40,2","1,4","8,1","43,4",,,
11/01/2014 5.00,"2,1","20,4","26,7","1,2","8,1","43,4",,,
11/01/2014 6.00,"1,7","15,9","18,9","1,1","8,9","43,4",,,
11/01/2014 7.00,"1,9","14,0","25,3","1,1","6,5","43,4",,,
11/01/2014 8.00,"2,2","14,5","24,8","1,0","6,5","43,4",,,
11/01/2014 9.00,"2,3","14,0","33,3","1,1","7,0","43,4",,,
11/01/2014 10.00,"1,7","19,2","38,3","1,0","10,4","43,4",,,
11/01/2014 11.00,"2,2","24,6","46,0","1,0","13,0","43,4",,,
11/01/2014 12.00,"2,0","32,6","53,8","0,9","19,1","43,4",,,
11/01/2014 13.00,"2,1","28,2","38,3","0,8","41,9","43,4",,,
11/01/2014 14.00,"2,2","11,4","12,5","0,6","70,3","43,4",,,
11/01/2014 15.00,"2,0","16,5","20,9","0,7","60,5","43,4",,,
11/01/2014 16.00,"1,8","10,9","12,2","0,6","65,0","43,4",,,
11/01/2014 17.00,"1,8","10,1","10,8","0,6","60,6","43,4",,,
11/01/2014 18.00,"1,7","12,7","13,6","0,6","50,3","43,4",,,
11/01/2014 19.00,"1,6","11,5","12,1","0,7","36,0","43,4",,,
