Stat,MONOPOLI,,,,,
,,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,
,,,,,,,
,,,,,,,
09/01/2014 4.00,"7,8","21,8","1,0","13,9","0,9",
09/01/2014 5.00,"7,7","21,4","1,0",,"1,0","15,5"
09/01/2014 6.00,"7,7","21,6","1,0","11,5","0,9",
09/01/2014 7.00,"7,2","21,1","1,0",,"0,8",
09/01/2014 8.00,"7,3","20,7","1,1","8,1","0,9",
09/01/2014 9.00,"7,1","18,7","1,2",,"1,3",
09/01/2014 10.00,"7,0","15,7","1,3","22,7","2,1",
09/01/2014 11.00,"6,8","15,9","1,1",,"1,6",
09/01/2014 12.00,"7,1","18,3","1,1","34,4","1,4",
09/01/2014 13.00,"7,1","19,7","1,1",,"1,2",
09/01/2014 14.00,"7,5","20,6","1,1","19,0","1,2",
09/01/2014 15.00,"7,6","21,2","1,1",,"0,9",
09/01/2014 16.00,"7,0","19,8","1,1","10,7","1,1",
09/01/2014 17.00,"6,6","20,6","1,2",,"1,2",
09/01/2014 18.00,"6,4","17,5","1,4","6,3","1,8",
09/01/2014 19.00,"6,3","12,8","1,7",,"2,8",
09/01/2014 20.00,"5,4","5,7","2,0","17,6","4,5",
09/01/2014 21.00,"6,0","9,0","1,8",,"5,3",
09/01/2014 22.00,"6,1","13,1","1,6","41,8","4,7",
09/01/2014 23.00,"6,0","15,3","1,6",,"3,9",
10/01/2014 0.00,"6,1","16,6","1,5","37,6","3,3",
10/01/2014 1.00,"5,9","17,2","1,5",,"2,9",
10/01/2014 2.00,"6,0","18,0","1,4","32,5","2,4",
10/01/2014 3.00,,,"1,2",,"2,7",
10/01/2014 4.00,"47,8","65,2",,"21,0","1,7",
10/01/2014 5.00,"48,5","72,7","1,4",,"1,5","28,7"
10/01/2014 6.00,"56,3","98,3","1,5","22,5","1,8",
10/01/2014 7.00,"71,5","146,7","1,7",,"2,5",
10/01/2014 8.00,"89,2","255,8","1,8","18,6","2,6",
10/01/2014 9.00,"96,0","406,3","2,4",,"3,2",
10/01/2014 10.00,"104,5","331,5","2,6","50,3","6,0",
10/01/2014 11.00,"68,3","93,1","1,4",,"4,9",
10/01/2014 12.00,"49,7","69,3","1,3","38,6","3,1",
10/01/2014 13.00,"30,9","46,0","1,2",,"2,7",
10/01/2014 14.00,"22,5","37,7","1,3","25,4","2,7",
10/01/2014 15.00,"20,0","35,8","1,3",,"3,1",
10/01/2014 16.00,"22,6","38,5","1,3","14,9","3,1",
10/01/2014 17.00,"46,0","86,6","1,6",,"2,7",
10/01/2014 18.00,"86,6","170,4","1,8","13,9","3,9",
10/01/2014 19.00,"84,3","188,8","1,9",,"4,9",
10/01/2014 20.00,"71,5","137,7","1,9","31,0","6,0",
10/01/2014 21.00,"60,4","112,5","1,8",,"7,0",
10/01/2014 22.00,"56,2","95,2","1,7","30,3","5,9",
10/01/2014 23.00,"44,8","64,8","1,7",,"5,0",
11/01/2014 0.00,"27,2","43,2","1,5","41,0","3,7",
11/01/2014 1.00,"27,6","45,4","1,4",,"2,9",
11/01/2014 2.00,"21,4","36,8","1,3","33,2","2,3",
11/01/2014 3.00,"25,4","43,6","1,3",,"2,8",
11/01/2014 4.00,"20,2","35,6","1,2","25,9","2,7",
