Stat,MONOPOLI,,,,,
,,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,
,,,,,,,
,,,,,,,
24/11/2014 1.00,"11,7","15,9","0,6",,"1,7","19,1"
24/11/2014 2.00,"7,3","11,9","0,5","17,3","1,5","19,1"
24/11/2014 3.00,"2,6","6,1","0,5",,"1,4","19,1"
24/11/2014 4.00,"2,3","6,4",,"17,6","1,3","19,1"
24/11/2014 5.00,"4,3","8,5","0,4",,"1,4","19,1"
24/11/2014 6.00,"11,1","17,0","0,3","10,5","1,3","19,1"
24/11/2014 7.00,"18,6","27,1","0,3",,"1,6","19,1"
24/11/2014 8.00,"31,9","53,2","0,5","20,0","1,5","19,1"
24/11/2014 9.00,"30,8","57,0","0,6",,"1,6","19,1"
24/11/2014 10.00,"28,4","47,0","0,6","36,1","1,9","19,1"
24/11/2014 11.00,"23,3","38,6","0,4",,"1,5","19,1"
24/11/2014 12.00,"21,0","34,0","0,1","20,0","1,7","19,1"
24/11/2014 13.00,"17,0","26,4","0,1",,"1,6","19,1"
24/11/2014 14.00,"18,1","29,9","0,1","18,8","1,3","19,1"
24/11/2014 15.00,"15,0","23,6","0,1",,"1,2","19,1"
24/11/2014 16.00,"31,3","46,2","0,2","10,7","1,4","19,1"
24/11/2014 17.00,"44,2","65,5","0,3",,"2,1","19,1"
24/11/2014 18.00,"50,7","92,3","0,4","7,8","2,0","19,1"
24/11/2014 19.00,"62,0","121,1","0,5",,"2,0","19,1"
24/11/2014 20.00,"49,7","83,3","0,4","17,8","2,1","19,1"
24/11/2014 21.00,"42,1","66,4","0,4",,"2,1","19,1"
24/11/2014 22.00,"27,8","35,4","0,3","16,1","2,1","19,1"
24/11/2014 23.00,"14,5","19,5","0,3",,"1,0","19,1"
25/11/2014 0.00,"13,0","17,7","0,2","20,8",,"19,1"
25/11/2014 1.00,"11,0","15,6","0,3",,,"31,8"
25/11/2014 2.00,"8,7","12,6","0,2","22,5",,"31,8"
25/11/2014 3.00,"4,5","8,2","0,2",,,"31,8"
25/11/2014 4.00,"8,6","12,4","0,3","19,3",,"31,8"
25/11/2014 5.00,"24,3","34,0","0,5",,,"31,8"
25/11/2014 6.00,"15,9","21,6","0,4","15,1",,"31,8"
25/11/2014 7.00,"20,9","31,8","0,4",,,"31,8"
25/11/2014 8.00,"20,9","32,3","0,4","19,0",,"31,8"
25/11/2014 9.00,"30,4","51,9","0,4",,,"31,8"
25/11/2014 10.00,"45,8","88,2","0,4","26,1",,"31,8"
25/11/2014 11.00,"45,0","85,5","0,4",,,"31,8"
25/11/2014 12.00,"42,6","68,2","0,5","27,1",,"31,8"
25/11/2014 13.00,"58,7","122,8","0,7",,,"31,8"
25/11/2014 14.00,"37,7","55,5","0,5","22,7",,"31,8"
25/11/2014 15.00,"24,8","33,8","0,3",,,"31,8"
25/11/2014 16.00,"49,5","102,1","0,5","26,9",,"31,8"
25/11/2014 17.00,"65,5","156,6","0,8",,,"31,8"
25/11/2014 18.00,"68,6","176,5","0,9","41,0",,"31,8"
25/11/2014 19.00,"62,3","176,9","1,1",,,"31,8"
25/11/2014 20.00,"51,5","153,8","1,2","69,4",,"31,8"
25/11/2014 21.00,"50,6","169,0","1,1",,,"31,8"
25/11/2014 22.00,"33,9","55,5","0,8","65,4",,"31,8"
25/11/2014 23.00,"22,5","28,8","0,6",,,"31,8"
26/11/2014 0.00,"17,3","23,0","0,5","47,1",,"31,8"
26/11/2014 1.00,"17,6","26,7","0,5",,,"25,8"
26/11/2014 2.00,"19,9","31,1","0,5","37,1",,"25,8"
26/11/2014 3.00,"33,7","48,7","0,7",,,"25,8"
26/11/2014 4.00,"25,6","44,3",,"29,3",,"25,8"
26/11/2014 5.00,"30,2","55,4","0,7",,,"25,8"
26/11/2014 6.00,"33,5","59,2","0,7","23,2",,"25,8"
26/11/2014 7.00,"38,0","78,1","0,7",,,"25,8"
26/11/2014 8.00,"50,6","164,8","0,8","32,0",,"25,8"
26/11/2014 9.00,"78,3","363,3","1,7",,,"25,8"
26/11/2014 10.00,"63,6","154,4","1,1","50,1",,"25,8"
26/11/2014 11.00,"45,4","82,0","0,7",,,"25,8"
26/11/2014 12.00,"29,1","42,5","1,0","54,9",,"25,8"
26/11/2014 13.00,"21,2","29,5","0,8",,,"25,8"
26/11/2014 14.00,"24,7","38,2","0,7","29,3",,"25,8"
26/11/2014 15.00,"22,5","30,4","0,5",,,"25,8"
26/11/2014 16.00,"24,8","34,0","0,6","17,1","0,3","25,8"
26/11/2014 17.00,"53,6","91,4","0,9",,"2,0","25,8"
26/11/2014 18.00,"76,8","140,7","1,1","15,4","2,5","25,8"
26/11/2014 19.00,"62,3","109,9","1,0",,"3,3","25,8"
26/11/2014 20.00,"52,1","93,3","1,1","21,2","3,6","25,8"
26/11/2014 21.00,"67,9","140,1","1,3",,"3,7","25,8"
26/11/2014 22.00,"44,8","65,8","1,0","33,9","3,8","25,8"
26/11/2014 23.00,"28,7","39,2","0,9",,"3,4","25,8"
27/11/2014 0.00,"21,6","30,2","0,8","32,7","3,3","25,8"
27/11/2014 1.00,"19,5","26,6","0,8",,"3,1","23,7"
27/11/2014 2.00,"13,1","18,5","0,8","23,9","2,9","23,7"
27/11/2014 3.00,"8,5","12,4","0,8",,"2,7","23,7"
27/11/2014 4.00,"9,5","13,2","0,8","21,0","2,6","23,7"
27/11/2014 5.00,"25,1","50,7","0,8",,"2,5","23,7"
27/11/2014 6.00,"43,8","94,7","1,0","14,7","2,6","23,7"
27/11/2014 7.00,"46,2","114,8","1,0",,"3,3","23,7"
27/11/2014 8.00,"55,7","196,2","1,4","32,5","3,1","23,7"
27/11/2014 9.00,"66,8","246,0","1,9",,"5,1","23,7"
27/11/2014 10.00,"47,4","89,7","1,1","40,0","4,7","23,7"
27/11/2014 11.00,"36,4","60,2","0,8",,"3,1","23,7"
27/11/2014 12.00,"26,7","41,0","0,8","34,9","3,0","23,7"
27/11/2014 13.00,"17,6","23,2","0,7",,"2,8","23,7"
27/11/2014 14.00,"20,1","29,4","0,7","26,4","2,7","23,7"
27/11/2014 15.00,"9,0","13,3","0,5",,"2,6","23,7"
27/11/2014 16.00,"22,8","35,8","0,7","15,4","2,4","23,7"
27/11/2014 17.00,"44,1","81,7","1,0",,"2,8","23,7"
27/11/2014 18.00,"77,1","169,4","1,6","24,2","3,4","23,7"
27/11/2014 19.00,"66,6","201,0","1,7",,"4,2","23,7"
27/11/2014 20.00,"55,7","127,4","1,5","40,5","5,0","23,7"
27/11/2014 21.00,"41,4","79,5","1,4",,"4,8","23,7"
27/11/2014 22.00,"29,4","41,3","1,0","37,6","4,3","23,7"
27/11/2014 23.00,"39,4","78,9","1,1",,"3,4","23,7"
28/11/2014 0.00,"46,9","120,4","1,2","39,8","3,5","23,7"
28/11/2014 1.00,"42,2","101,4","1,1",,"3,6","8,8"
28/11/2014 2.00,"32,1","65,0","1,0","40,5","3,5","8,8"
28/11/2014 3.00,"29,6","54,3","0,9",,"3,1","8,8"
28/11/2014 4.00,"30,0","65,7",,"24,7","2,9","8,8"
28/11/2014 5.00,"23,1","34,4","0,8",,"2,7","8,8"
28/11/2014 6.00,"17,7","28,3","0,8","15,4","2,4","8,8"
28/11/2014 7.00,"38,1","72,6","0,8",,"2,6","8,8"
28/11/2014 8.00,"61,7","150,5","1,0","23,2","3,1","8,8"
28/11/2014 9.00,"37,5","72,1","0,9",,"3,2","8,8"
28/11/2014 10.00,"36,5","68,2","0,7","24,4","3,3","8,8"
28/11/2014 11.00,"22,7","39,2","0,7",,"3,0","8,8"
28/11/2014 12.00,"19,3","38,3","0,7","26,9","2,7","8,8"
28/11/2014 13.00,"21,0","42,4","0,7",,"2,5","8,8"
28/11/2014 14.00,"23,2","46,3","0,7","18,6","2,6","8,8"
28/11/2014 15.00,"16,6","32,7","0,6",,"2,5","8,8"
28/11/2014 16.00,"10,6","21,0","0,6","11,7","2,5","8,8"
28/11/2014 17.00,"20,6","40,9","0,7",,"2,5","8,8"
28/11/2014 18.00,"19,9","37,0","0,8","16,6","2,5","8,8"
28/11/2014 19.00,"22,8","42,7","0,9",,"2,8","8,8"
28/11/2014 20.00,"16,3","31,8","0,9","20,8","3,0","8,8"
28/11/2014 21.00,"9,3","18,1","0,9",,"2,7","8,8"
28/11/2014 22.00,"5,8","11,9","0,8","16,1","2,4","8,8"
28/11/2014 23.00,"3,4","8,7","0,8",,"2,4","8,8"
29/11/2014 0.00,"1,8","6,1","0,7","17,8","2,5","8,8"
29/11/2014 1.00,"2,3","6,8","0,7",,"2,4","8,3"
29/11/2014 2.00,,"3,4","0,7","18,1","2,3","8,3"
29/11/2014 3.00,"0,3","4,0","0,8",,"2,4","8,3"
29/11/2014 4.00,,"2,7","0,7","23,9","2,3","8,3"
29/11/2014 5.00,"0,5","4,4","0,7",,"1,8","8,3"
29/11/2014 6.00,"1,8","6,8","0,8","24,4","2,3","8,3"
29/11/2014 7.00,"4,7","11,2","0,8",,"2,4","8,3"
29/11/2014 8.00,"18,4","33,0","0,8","39,3","2,5","8,3"
29/11/2014 9.00,"16,3","30,4","0,8",,"2,7","8,3"
29/11/2014 10.00,"6,2","15,5","0,7","46,2","2,4","8,3"
29/11/2014 11.00,"7,5","17,8","0,6",,"2,2","8,3"
29/11/2014 12.00,"12,2","26,4","0,7","53,0","2,0","8,3"
29/11/2014 13.00,"15,3","31,0","0,7",,"2,3","8,3"
29/11/2014 14.00,"12,8","27,3","0,7","39,1","2,8","8,3"
29/11/2014 15.00,"12,5","22,5","0,8",,"2,4","8,3"
29/11/2014 16.00,"19,6","33,1","1,1","31,7","2,5","8,3"
29/11/2014 17.00,"22,6","40,2","1,1",,"2,5","8,3"
29/11/2014 18.00,"15,2","29,5","0,9","29,8","2,6","8,3"
29/11/2014 19.00,"10,4","21,0","0,8",,"2,2","8,3"
29/11/2014 20.00,"8,8","16,7","0,8","16,6","2,1","8,3"
29/11/2014 21.00,"14,4","22,1","1,1",,"2,1","8,3"
29/11/2014 22.00,"15,5","23,1","1,0","20,0","2,3","8,3"
29/11/2014 23.00,"13,5","19,6","1,1",,"2,3","8,3"
30/11/2014 0.00,"9,7","14,7","0,8","25,2","2,4","8,3"
30/11/2014 1.00,"3,4","8,1","0,6",,"2,2","9,4"
30/11/2014 2.00,"4,6","9,4","0,8","26,4","2,1","9,4"
30/11/2014 3.00,"11,7","15,7","1,0",,"2,2","9,4"
30/11/2014 4.00,"11,1","17,5",,"30,5","2,1","9,4"
30/11/2014 5.00,"33,2","55,2","1,0",,"2,7","9,4"
30/11/2014 6.00,"21,0","28,6","0,9","22,5","2,7","9,4"
30/11/2014 7.00,"19,3","31,1","0,9",,"2,5","9,4"
30/11/2014 8.00,"32,7","73,7","1,2","24,7","2,7","9,4"
30/11/2014 9.00,"23,7","41,3","1,2",,"3,0","9,4"
30/11/2014 10.00,"18,5","34,2","1,3","32,5","2,7","9,4"
30/11/2014 11.00,"8,3","15,3","1,1",,"2,6","9,4"
30/11/2014 12.00,"8,2","15,9","0,9","37,1","2,4","9,4"
30/11/2014 13.00,"22,9","43,9","0,9",,"2,4","9,4"
30/11/2014 14.00,"14,2","27,0","0,8","37,9","2,7","9,4"
30/11/2014 15.00,"6,9","14,2","0,7",,"2,4","9,4"
30/11/2014 16.00,"7,7","15,5","0,7","39,6","2,2","9,4"
30/11/2014 17.00,"9,8","19,2","0,8",,"2,2","9,4"
30/11/2014 18.00,"12,7","22,9","0,9","35,7","2,3","9,4"
30/11/2014 19.00,"12,1","23,0","0,8",,"2,4","9,4"
30/11/2014 20.00,"22,2","40,1","0,7","32,0","2,4","9,4"
30/11/2014 21.00,"10,1","20,1","0,8",,"2,4","9,4"
30/11/2014 22.00,"5,9","12,1","0,9","32,2","2,3","9,4"
30/11/2014 23.00,"4,5","10,5","0,6",,"2,2","9,4"
01/12/2014 0.00,"3,7","8,9","0,3","27,1","2,2","9,4"
01/12/2014 1.00,"1,5","6,2","0,5",,"2,2","9,8"
01/12/2014 2.00,"0,4","4,1","0,4","31,7","2,4","9,8"
01/12/2014 3.00,,"2,6","0,4",,"2,4","9,8"
01/12/2014 4.00,"0,9","5,0","0,4","24,2",,"9,8"
01/12/2014 5.00,"0,3","3,9","0,3",,"0,5","9,8"
01/12/2014 6.00,"0,7","4,9","0,3","32,5",,"9,8"
01/12/2014 7.00,"5,7","13,5","0,3",,"0,6","9,8"
01/12/2014 8.00,"10,2","22,3","0,4","32,2","2,3","9,8"
01/12/2014 9.00,"21,3","42,5","0,6",,"2,3","9,8"
01/12/2014 10.00,"29,6","58,5","0,6","35,7","2,5","9,8"
01/12/2014 11.00,"21,7","45,0","0,5",,"2,4","9,8"
01/12/2014 12.00,"20,9","40,5","0,4","41,3","2,6","9,8"
01/12/2014 13.00,"28,1","57,8","0,4",,"2,6","9,8"
01/12/2014 14.00,"23,4","48,7","0,5","49,6","2,2","9,8"
01/12/2014 15.00,"14,4","28,0","0,6",,"2,1","9,8"
01/12/2014 16.00,"23,1","45,6","0,8","32,5","2,4","9,8"
01/12/2014 17.00,"29,3","54,6","0,9",,"2,4","9,8"
01/12/2014 18.00,"26,9","49,3","0,9","31,3","2,6","9,8"
01/12/2014 19.00,"24,9","47,8","0,8",,"2,4","9,8"
01/12/2014 20.00,"22,8","42,0","0,8","33,7","2,2","9,8"
01/12/2014 21.00,"26,1","45,7","0,8",,"2,3","9,8"
01/12/2014 22.00,"22,4","35,6","0,8","19,5","2,5","9,8"
01/12/2014 23.00,"24,8","35,5","0,8",,"2,2","9,8"
02/12/2014 0.00,"21,8","33,3","0,7","10,5","2,3","9,8"
02/12/2014 1.00,"5,5","10,2","0,7",,"2,1","27,3"
02/12/2014 2.00,"2,7","6,6","0,6","93,3","2,0","27,3"
02/12/2014 3.00,"1,4","5,1","0,6",,"1,9","27,3"
02/12/2014 4.00,"11,3","19,6",,"82,5","1,9","27,3"
02/12/2014 5.00,"12,6","17,5","0,8",,"1,8","27,3"
02/12/2014 6.00,"21,7","33,4","0,9","81,8","1,9","27,3"
02/12/2014 7.00,"35,9","56,4","0,8",,"2,2","27,3"
02/12/2014 8.00,"48,4","97,9","1,0","79,1","2,4","27,3"
02/12/2014 9.00,"36,5","70,8","0,9",,"2,8","27,3"
02/12/2014 10.00,"32,5","63,7","0,7","83,8","2,3","27,3"
02/12/2014 11.00,"15,7","24,3","0,4",,"2,0","27,3"
02/12/2014 12.00,"26,3","50,2","0,6","79,9","2,1","27,3"
02/12/2014 13.00,"27,0","49,4","0,7",,"2,3","27,3"
02/12/2014 14.00,"25,8","42,9","0,8","66,2","2,6","27,3"
02/12/2014 15.00,"35,1","65,0","0,8",,"2,1","27,3"
02/12/2014 16.00,"57,2","122,2","1,2","68,4","2,6","27,3"
02/12/2014 17.00,"69,2","185,8","1,5",,"3,7","27,3"
02/12/2014 18.00,"67,2","232,6","1,6","77,2","3,9","27,3"
02/12/2014 19.00,"64,1","161,9","1,3",,"4,8","27,3"
02/12/2014 20.00,"48,5","83,9","1,1","79,9","3,8","27,3"
02/12/2014 21.00,"43,9","73,5","1,1",,"3,9","27,3"
02/12/2014 22.00,"54,9","128,7","1,2","96,9","3,6","27,3"
02/12/2014 23.00,"28,8","35,5","0,7",,"3,2","27,3"
03/12/2014 0.00,"9,6","12,2","0,6","76,7","2,8","27,3"
03/12/2014 1.00,"10,8","15,3","0,6",,"2,4","15,1"
03/12/2014 2.00,"17,0","23,7","0,6","68,1","2,3","15,1"
03/12/2014 3.00,"21,4","29,8","0,5",,"2,2","15,1"
03/12/2014 4.00,"21,1","34,9","0,5","60,8","2,2","15,1"
03/12/2014 5.00,"20,1","29,5","0,4",,"2,1","15,1"
03/12/2014 6.00,"23,2","32,3","0,5","60,1","2,0","15,1"
03/12/2014 7.00,"41,5","76,2","0,6",,"2,0","15,1"
03/12/2014 8.00,"65,9","209,6","1,1","61,3","2,7","15,1"
03/12/2014 9.00,"66,6","200,0","1,3",,"3,7","15,1"
03/12/2014 10.00,"45,7","85,2","0,8","69,4","3,6","15,1"
03/12/2014 11.00,"35,0","59,8","0,5",,"3,0","15,1"
03/12/2014 12.00,"26,4","44,7","0,5","50,5","2,6","15,1"
03/12/2014 13.00,"24,7","44,0","0,5",,"2,5","15,1"
03/12/2014 14.00,"30,1","52,0","0,5","40,3","2,4","15,1"
03/12/2014 15.00,"25,6","41,4","0,3",,"2,4","15,1"
03/12/2014 16.00,"40,4","68,9","0,5","45,4","2,4","15,1"
03/12/2014 17.00,"45,6","78,9","0,5",,"3,4","15,1"
03/12/2014 18.00,"55,3","92,6","0,6","37,9","3,1","15,1"
03/12/2014 19.00,"50,4","91,8","0,6",,"3,2","15,1"
03/12/2014 20.00,"36,1","55,3","0,5","27,8","2,9","15,1"
03/12/2014 21.00,"28,2","46,0","0,7",,"2,6","15,1"
03/12/2014 22.00,"21,9","33,7","0,8","33,9","2,7","15,1"
03/12/2014 23.00,"10,4","17,3","0,8",,"2,3","15,1"
04/12/2014 0.00,"6,7","11,2","0,8","27,4","2,0","15,1"
04/12/2014 1.00,"9,0","14,6","0,7",,"1,9","12,9"
04/12/2014 2.00,"20,5","28,0","0,7","37,1","2,3","12,9"
04/12/2014 3.00,"28,5","40,7","0,7",,"2,0","12,9"
04/12/2014 4.00,"18,1","27,4",,"34,2","2,1","12,9"
04/12/2014 5.00,"16,8","23,1","0,7",,"2,0","12,9"
04/12/2014 6.00,"30,5","40,2","0,7","30,3","2,1","12,9"
04/12/2014 7.00,"35,6","62,4","0,8",,"2,3","12,9"
04/12/2014 8.00,"59,5","146,7","1,0","31,3","2,5","12,9"
04/12/2014 9.00,"61,8","142,0","1,2",,"3,0","12,9"
04/12/2014 10.00,"31,8","46,8","0,8","64,7","2,9","12,9"
04/12/2014 11.00,"18,9","28,3","0,7",,"2,2","12,9"
04/12/2014 12.00,"14,9","24,3","0,5","43,2","2,6","12,9"
04/12/2014 13.00,"23,9","38,8","0,6",,"2,4","12,9"
04/12/2014 14.00,"29,4","51,2","0,7","31,3","2,6","12,9"
04/12/2014 15.00,"22,5","37,8","0,5",,"2,4","12,9"
04/12/2014 16.00,"34,5","58,9","0,7","17,3","2,4","12,9"
04/12/2014 17.00,"62,9","123,6","1,0",,"3,1","12,9"
04/12/2014 18.00,"59,4","105,5","1,0","27,4","3,3","12,9"
04/12/2014 19.00,"50,3","88,0","1,0",,"3,2","12,9"
04/12/2014 20.00,"29,2","46,4","0,8","25,6","2,8","12,9"
04/12/2014 21.00,"46,4","70,2","0,9",,"2,5","12,9"
04/12/2014 22.00,"17,5","22,2","0,5","31,0","2,3","12,9"
04/12/2014 23.00,"13,6","17,7","0,5",,"2,3","12,9"
05/12/2014 0.00,"20,3","26,1","0,6","20,0","2,4","12,9"
05/12/2014 1.00,"18,4","25,6","0,7",,"2,3","16,3"
05/12/2014 2.00,"16,3","22,4","0,8","14,2","2,4","16,3"
05/12/2014 3.00,"13,7","20,2","0,7",,"2,1","16,3"
05/12/2014 4.00,"14,6","23,3","0,7","11,0","2,0","16,3"
05/12/2014 5.00,"11,4","18,8","0,7",,"2,0","16,3"
05/12/2014 6.00,"28,5","64,5","0,9","12,0","2,3","16,3"
05/12/2014 7.00,"39,1","77,1","0,9",,"2,3","16,3"
05/12/2014 8.00,"66,3","194,7","1,5","23,7","3,1","16,3"
05/12/2014 9.00,"70,3","217,7","1,8",,"4,0","16,3"
05/12/2014 10.00,"34,5","51,8","1,0","47,4","3,7","16,3"
05/12/2014 11.00,"19,2","27,5","0,9",,"2,7","16,3"
05/12/2014 12.00,"22,9","39,3","0,9","43,0","2,6","16,3"
05/12/2014 13.00,"25,5","40,1","0,7",,"2,5","16,3"
05/12/2014 14.00,"23,4","38,7","0,7","22,5","2,5","16,3"
05/12/2014 15.00,"21,1","29,7","0,7",,"2,7","16,3"
05/12/2014 16.00,"21,8","31,5","0,9","12,5","2,4","16,3"
05/12/2014 17.00,"45,0","70,7","1,2",,"2,9","16,3"
05/12/2014 18.00,"59,4","119,1","1,8","11,2","3,1","16,3"
05/12/2014 19.00,"63,3","143,5","1,4",,"3,8","16,3"
05/12/2014 20.00,"43,2","79,2","1,0","21,0","3,6","16,3"
05/12/2014 21.00,"26,8","38,9","0,8",,"3,2","16,3"
05/12/2014 22.00,"21,8","28,9","0,9","20,5","2,7","16,3"
05/12/2014 23.00,"16,5","21,9","0,8",,"2,5","16,3"
06/12/2014 0.00,"13,2","18,3","0,7","20,3","2,2","16,3"
06/12/2014 1.00,"10,3","14,6","0,7",,"2,1","12,9"
06/12/2014 2.00,"9,0","13,3","0,7","12,0","2,1","12,9"
06/12/2014 3.00,"5,3","8,9","0,7",,"1,9","12,9"
06/12/2014 4.00,"4,3","8,7",,"11,0","1,8","12,9"
06/12/2014 5.00,"11,7","16,6","0,9",,"2,0","12,9"
06/12/2014 6.00,"19,0","26,4","0,9","8,1","2,0","12,9"
06/12/2014 7.00,"29,4","40,8","0,9",,"1,9","12,9"
06/12/2014 8.00,"34,0","56,0","0,9","15,4","2,4","12,9"
06/12/2014 9.00,"28,9","50,0","0,9",,"2,3","12,9"
06/12/2014 10.00,"29,9","54,8","0,8","40,0","2,3","12,9"
06/12/2014 11.00,"19,8","34,9","0,9",,"2,3","12,9"
06/12/2014 12.00,"12,4","20,6","0,8","29,3","2,1","12,9"
06/12/2014 13.00,"4,7","9,6","0,7",,"2,1","12,9"
06/12/2014 14.00,"7,8","13,8","0,7","17,3","2,1","12,9"
06/12/2014 15.00,"7,2","12,3","0,6",,"2,2","12,9"
06/12/2014 16.00,"11,0","17,8","0,7","9,8","2,2","12,9"
06/12/2014 17.00,"59,1","103,4","1,0",,"2,5","12,9"
06/12/2014 18.00,"64,9","125,1","1,1","6,1","3,2","12,9"
06/12/2014 19.00,"58,8","107,3","1,1",,"3,9","12,9"
06/12/2014 20.00,"39,2","66,2","1,1","10,5","3,8","12,9"
06/12/2014 21.00,"22,1","31,2","0,8",,"3,5","12,9"
06/12/2014 22.00,"27,9","39,0","0,9","16,8","3,1","12,9"
06/12/2014 23.00,"24,8","33,3","0,9",,"2,8","12,9"
07/12/2014 0.00,"13,1","18,7","0,9","16,6","2,7","12,9"
07/12/2014 1.00,"10,9","15,6","0,9",,"2,4","17,9"
07/12/2014 2.00,"14,0","20,7","0,9","14,4","2,2","17,9"
07/12/2014 3.00,"12,3","17,6","0,9",,"2,3","17,9"
07/12/2014 4.00,"6,8","12,4","1,0","9,5","2,2","17,9"
07/12/2014 5.00,"6,9","11,8","1,0",,"2,3","17,9"
07/12/2014 6.00,"6,9","12,7","1,1","9,5","2,1","17,9"
07/12/2014 7.00,"8,2","13,3","1,0",,"2,3","17,9"
07/12/2014 8.00,"15,7","24,2","1,1","15,4","2,4","17,9"
07/12/2014 9.00,"14,3","23,3","1,1",,"2,4","17,9"
07/12/2014 10.00,"12,8","22,8","1,1","32,0","2,3","17,9"
07/12/2014 11.00,"9,7","17,7","1,1",,"2,6","17,9"
07/12/2014 12.00,"6,0","12,1","1,1","24,9","2,5","17,9"
07/12/2014 13.00,"2,4","6,1","1,1",,"2,3","17,9"
07/12/2014 14.00,"2,5","6,4","1,1","17,1","2,4","17,9"
07/12/2014 15.00,"4,8","9,7","1,1",,"2,4","17,9"
07/12/2014 16.00,"29,6","46,2","1,2","9,5","2,6","17,9"
07/12/2014 17.00,"59,8","98,5","1,3",,"3,2","17,9"
07/12/2014 18.00,"34,7","48,7","1,2","5,9","3,4","17,9"
07/12/2014 19.00,"39,3","58,5","1,3",,"3,4","17,9"
07/12/2014 20.00,"39,8","60,9","1,4","22,5","4,1","17,9"
07/12/2014 21.00,"42,5","70,8","1,5",,"4,4","17,9"
07/12/2014 22.00,"40,0","67,3","1,5","34,2","4,3","17,9"
07/12/2014 23.00,"32,9","52,8","1,3",,"4,2","17,9"
08/12/2014 0.00,"25,0","33,4","1,1","33,0","4,2","17,9"
08/12/2014 1.00,"21,5","29,0","1,1",,"3,6","7,5"
08/12/2014 2.00,"15,4","20,0","0,9","29,3","3,4","7,5"
08/12/2014 3.00,"10,4","15,6","0,8",,"2,9","7,5"
08/12/2014 4.00,"5,4","9,3",,"25,2","2,5","7,5"
08/12/2014 5.00,"3,0","6,8","0,6",,"2,3","7,5"
08/12/2014 6.00,"2,8","6,9","0,6","14,9","2,5","7,5"
08/12/2014 7.00,"4,1","8,6","0,6",,"2,4","7,5"
08/12/2014 8.00,"6,6","14,1","0,5","8,5","2,3","7,5"
08/12/2014 9.00,"9,1","16,9","0,5",,"2,2","7,5"
08/12/2014 10.00,"18,2","30,2","0,5","14,9","2,5","7,5"
08/12/2014 11.00,"13,3","24,5","0,4",,"2,6","7,5"
08/12/2014 12.00,"11,3","21,1","0,5","12,0","3,0","7,5"
08/12/2014 13.00,"11,9","22,7","0,5",,"2,8","7,5"
08/12/2014 14.00,"9,5","16,9","0,5","8,3","2,7","7,5"
08/12/2014 15.00,"1,7","5,3","0,6",,"2,9","7,5"
08/12/2014 16.00,"1,0","5,4","0,8","6,3","2,9","7,5"
08/12/2014 17.00,"2,8","7,8","0,8",,"2,8","7,5"
08/12/2014 18.00,"2,8","8,1","0,9","5,1","2,8","7,5"
08/12/2014 19.00,"3,0","7,2","0,9",,"2,7","7,5"
08/12/2014 20.00,"8,4","15,2","0,9","5,4","2,9","7,5"
08/12/2014 21.00,"19,2","31,0","0,9",,"3,2","7,5"
08/12/2014 22.00,"20,1","34,5","1,0","10,3","3,2","7,5"
08/12/2014 23.00,"9,4","14,5","1,0",,"3,3","7,5"
09/12/2014 0.00,"8,6","18,0","1,0","12,2","3,2","7,5"
09/12/2014 1.00,"6,6","11,7","0,9",,"2,9","6,7"
09/12/2014 2.00,"4,1","7,9","1,0","9,3","3,0","6,7"
09/12/2014 3.00,"2,7","6,3","0,9",,"2,8","6,7"
09/12/2014 4.00,"2,6","6,4","0,9","9,5","2,9","6,7"
09/12/2014 5.00,"3,0","7,3","0,9",,"2,8","6,7"
09/12/2014 6.00,"8,8","16,0","1,0","6,6","2,9","6,7"
09/12/2014 7.00,"10,6","20,3","0,9",,"3,1","6,7"
09/12/2014 8.00,"17,6","35,5","0,9","10,0","3,4","6,7"
09/12/2014 9.00,"19,0","41,5","0,9",,"3,1","6,7"
09/12/2014 10.00,"23,8","51,9","1,0","26,9","3,3","6,7"
09/12/2014 11.00,"22,8","49,3","0,9",,"3,4","6,7"
09/12/2014 12.00,"21,4","44,2","0,9","22,5","3,2","6,7"
09/12/2014 13.00,"10,5","20,4","0,9",,"3,1","6,7"
09/12/2014 14.00,"8,2","15,4","0,9","13,4","2,7","6,7"
09/12/2014 15.00,"8,4","15,6","0,9",,"3,0","6,7"
09/12/2014 16.00,"8,2","14,5","1,0","7,8","2,8","6,7"
09/12/2014 17.00,"6,3","11,6","1,1",,"2,9","6,7"
09/12/2014 18.00,"6,7","11,8","1,0","5,1","2,9","6,7"
09/12/2014 19.00,"6,0","11,2","0,9",,"2,8","6,7"
09/12/2014 20.00,"4,8","10,2","0,9","5,1","3,0","6,7"
09/12/2014 21.00,"4,1","8,5","0,9",,"3,0","6,7"
09/12/2014 22.00,"3,3","7,8","0,9","4,6","2,9","6,7"
09/12/2014 23.00,"2,3","6,0","0,9",,"2,9","6,7"
10/12/2014 0.00,"1,5","5,1","1,1","4,9","2,8","6,7"
10/12/2014 1.00,"1,5","5,6","1,2",,"2,8","8,3"
10/12/2014 2.00,"2,1","5,6","1,3","15,1","2,8","8,3"
10/12/2014 3.00,"1,7","5,3","1,2",,"3,0","8,3"
10/12/2014 4.00,"2,3","5,7",,"10,7","2,9","8,3"
