, Bari,,,
,Corso Cavour,,,
Parm,CO,,PM10,BENZENE



15/01/2009 22.00,"2,48019996",,"49,81684113",
15/01/2009 23.00,"2,12107589",,,
16/01/2009 0.00,"1,71285756",,"52,2588501","10,17545112"
16/01/2009 1.00,"1,35297508",,,"8,25621347"
16/01/2009 2.00,"1,07037987",,"50,79365158","6,41739916"
16/01/2009 3.00,,,,"4,73051448"
16/01/2009 4.00,"0,43341379",,"39,56044006","2,66882259"
16/01/2009 5.00,"0,32925463",,,"2,0352143"
16/01/2009 6.00,"0,33603027",,"25,88521957","1,63430883"
16/01/2009 7.00,"0,50872754",,,"1,49843966"
16/01/2009 8.00,"0,61366958",,"24,42000961","1,82379932"
16/01/2009 9.00,"1,00196291",,,"3,07685316"
16/01/2009 10.00,"1,08699743",,"35,65322113","6,53033192"
16/01/2009 11.00,"0,61603103",,,"4,23649554"
16/01/2009 12.00,"0,56220803",,"24,42000961","3,08158628"
16/01/2009 13.00,"0,6026312",,,"3,13416111"
16/01/2009 14.00,"0,88685625",,"20,02441978","2,90396011"
16/01/2009 15.00,"0,85876577",,,"4,74338767"
16/01/2009 16.00,"0,49909765",,"19,04759979","2,02854786"
16/01/2009 17.00,"0,42422543",,,"1,89261666"
16/01/2009 18.00,"0,4679607",,"24,90842056","1,7905902"
16/01/2009 19.00,"0,73871019",,,"1,92925815"
16/01/2009 20.00,"1,72993879",,"27,35042","5,80759986"
16/01/2009 21.00,"1,48172273",,,"7,63922906"
16/01/2009 22.00,"1,12924848",,"23,44322014","6,4647761"
16/01/2009 23.00,"0,75248981",,,"4,01798801"
17/01/2009 0.00,"0,58866169",,"26,37360954","2,68992941"
17/01/2009 1.00,"0,58219128",,,"2,43509666"
17/01/2009 2.00,"0,46678172",,"28,32722092","2,1525222"
17/01/2009 3.00,,,,"1,68061284"
17/01/2009 4.00,"0,32307431",,"16,60560989","1,33784011"
17/01/2009 5.00,"0,31463388",,,"1,24826478"
17/01/2009 6.00,"0,33486061",,"11,72161007","1,19212333"
17/01/2009 7.00,"0,38948397",,,"1,27945922"
17/01/2009 8.00,"0,54002061",,"17,09399986","1,55688564"
17/01/2009 9.00,"0,79812752",,,"2,87116999"
17/01/2009 10.00,"0,90832487",,"26,37360954","4,22207042"
17/01/2009 11.00,"0,6351347",,,"4,13442027"
17/01/2009 12.00,"0,55000116",,"21,48962021","3,00183924"
17/01/2009 13.00,"0,54763971",,,"2,71047687"
17/01/2009 14.00,"0,60237607",,"16,60560989","2,6692182"
17/01/2009 15.00,"0,39218793",,,"2,06275568"
17/01/2009 16.00,"0,42148069",,"16,11721039","1,54836419"
17/01/2009 17.00,"0,70838408",,,"2,3231809"
17/01/2009 18.00,"1,03989298",,"26,37360954","3,57099007"
17/01/2009 19.00,"1,34138566",,,"6,11780825"
17/01/2009 20.00,"1,53744235",,"29,30401993","6,30883848"
17/01/2009 21.00,"1,80670996",,,"8,53323308"
