,ARPA Puglia,,,,
,Molfetta Verdi,,,,
Parm,SO2,NO2,,,PM10



14/01/2008 18.00,"3,69382691","98,83295037",,,"28,58065033"
14/01/2008 19.00,"3,92469096","117,59590656",,,"28,58065033"
14/01/2008 20.00,"4,36155701","113,97861189",,,"28,58065033"
14/01/2008 21.00,"4,11293507","111,43265958",,,"28,58065033"
14/01/2008 22.00,"3,75065494","103,68869544",,,"28,58065033"
14/01/2008 23.00,"2,9017849","90,18881487",,,"28,58065033"
15/01/2008 0.00,"3,05628705","73,18273149",,,"28,58065033"
15/01/2008 1.00,"2,69400811","57,01679676",,,"47,59963989"
15/01/2008 2.00,"2,8094399","43,4006892",,,"47,59963989"
15/01/2008 3.00,"2,18965793","55,98512469",,,"47,59963989"
15/01/2008 4.00,"3,42744493","47,18648385",,,"47,59963989"
15/01/2008 5.00,"2,12395096","32,16075489",,,"47,59963989"
15/01/2008 6.00,"2,56614399","29,33257734",,,"47,59963989"
15/01/2008 7.00,"2,4009881","30,63750228",,,"47,59963989"
15/01/2008 8.00,"3,12909794","64,49774067",,,"47,59963989"
15/01/2008 9.00,"3,11133909","78,05894184",,,"47,59963989"
15/01/2008 10.00,"3,37594509","92,9161332",,,"47,59963989"
15/01/2008 11.00,"3,66186094","99,17514189",,,"47,59963989"
15/01/2008 12.00,"3,40258288","94,62963015",,,"47,59963989"
15/01/2008 13.00,"3,37061691","94,6449603",,,"47,59963989"
15/01/2008 14.00,"3,91048408","92,76290694",,,"47,59963989"
15/01/2008 15.00,"4,54092121","96,70064877",,,"47,59963989"
15/01/2008 16.00,"3,77374196","88,38339345",,,"47,59963989"
15/01/2008 17.00,"3,6654129","97,76679957",,,"47,59963989"
15/01/2008 18.00,"4,22481489","107,52685713",,,"47,59963989"
15/01/2008 19.00,"5,16602993","112,54222386",,,"47,59963989"
15/01/2008 20.00,"5,34361792","115,4738376",,,"47,59963989"
15/01/2008 21.00,"4,99732208","101,34828",,,"47,59963989"
15/01/2008 22.00,"4,6385951","92,2777218",,,"47,59963989"
15/01/2008 23.00,"5,01508093","87,74880048",,,"47,59963989"
16/01/2008 0.00,"4,81440592","71,39645865",,,"47,59963989"
16/01/2008 1.00,,"55,00324269",,,"28,38636971"
16/01/2008 2.00,"3,12554598",,,,"28,38636971"
16/01/2008 3.00,"3,91403604","39,46678461",,,"28,38636971"
16/01/2008 4.00,"3,90160489","32,19779178",,,"28,38636971"
16/01/2008 5.00,"3,54642892","25,7996079",,,"28,38636971"
16/01/2008 6.00,"3,95310497","26,43674022",,,"28,38636971"
16/01/2008 7.00,"4,40062714","35,20983708",,,"28,38636971"
16/01/2008 8.00,"4,00460577","49,08896487",,,"28,38636971"
16/01/2008 9.00,"5,17491007","80,00865477",,,"28,38636971"
16/01/2008 10.00,"5,80712318","93,31704954",,,"28,38636971"
16/01/2008 11.00,"5,65972519","91,95595794",,,"28,38636971"
16/01/2008 12.00,"5,49101591","82,62616032",,,"28,38636971"
16/01/2008 13.00,"5,66327715","88,26208776",,,"28,38636971"
16/01/2008 14.00,"6,94013309","81,72472869",,,"28,38636971"
16/01/2008 15.00,"6,72525215","69,27691023",,,"28,38636971"
