Stat,Francavilla Fontana,,,,,,  ,
,,,,,,,,,,,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,
07/01/2014 3.00,"8,6","8,7","0,2","54,0","0,3",,,
07/01/2014 4.00,"9,4","10,1","0,2","56,0","0,2",,,
07/01/2014 5.00,"9,4","9,9","0,1","55,4","0,2",,,
07/01/2014 6.00,"14,6","15,9","0,2","50,5","0,3",,,
07/01/2014 7.00,"23,8","27,0","0,2","40,5","0,4",,,
07/01/2014 8.00,"45,7","52,7","0,3","24,4","0,8",,,
07/01/2014 9.00,"50,8","73,7","0,5","23,1","0,8",,,
07/01/2014 10.00,"33,8","46,0","0,4","37,6","0,9",,,
07/01/2014 11.00,"18,6","24,4","0,3","49,4","0,7",,,
07/01/2014 12.00,"14,3","18,2","0,4","56,0","0,6",,,
07/01/2014 13.00,"16,1","21,7","0,5","62,7","0,9",,,
07/01/2014 14.00,"17,4","21,4","0,5","64,6","1,0",,,
07/01/2014 15.00,"16,2","19,6","0,5","66,8","0,8",,,
07/01/2014 16.00,"26,6","31,2","0,7","59,6","0,9",,,
07/01/2014 17.00,"45,4","51,5","1,0","44,4","1,8",,,
07/01/2014 18.00,"60,1","67,7","1,1","29,7","2,8",,,
07/01/2014 19.00,"71,9","88,8","1,5","24,0","3,6",,,
07/01/2014 20.00,"83,3","114,3","1,8","18,6","5,3",,,
07/01/2014 21.00,"82,0","116,7","1,9","15,5","4,7",,,
07/01/2014 22.00,"81,1","107,7","1,6","11,9","5,5",,,
07/01/2014 23.00,"76,6","90,1","1,4","10,7","3,2",,,
08/01/2014 0.00,"43,2","45,5","1,1","20,2","2,9",,,
08/01/2014 1.00,"22,9","29,3","0,6","35,5","1,1",,,
08/01/2014 2.00,"17,2","18,1","0,5","36,7","0,6",,,
08/01/2014 3.00,"14,4","14,9","0,5","36,3","0,6",,,
08/01/2014 4.00,"11,2","12,5","0,3","41,0","0,5",,,
08/01/2014 5.00,"12,2","13,2","0,3",,"0,3",,,
08/01/2014 6.00,"19,0","19,7","0,2","44,1","0,2",,,
08/01/2014 7.00,"34,2","40,1","0,4","36,2","0,3",,,
08/01/2014 8.00,"59,6","77,7","0,5","25,9","0,4",,,
08/01/2014 9.00,"65,2","100,5","0,6","21,8","0,5",,,
08/01/2014 10.00,"55,0","84,8","0,7","27,8","0,9",,,
08/01/2014 11.00,"27,5","35,5","0,3","53,2","1,0",,,
08/01/2014 12.00,"16,9","21,4","0,2","58,8","0,6",,,
08/01/2014 13.00,"14,1","17,3","0,1","64,2","0,6",,,
08/01/2014 14.00,"18,8","24,6","0,1","63,5","0,7",,,
08/01/2014 15.00,"17,1","19,6","0,1","70,4","0,8",,,
