MARTINA FRANCA,,,,
,NO2,CO,O3,PM10
13/01/2011 13.00,"34,211892","0,532245","39,352453",
13/01/2011 14.00,"35,873171","0,581371","43,188359",
13/01/2011 15.00,"29,780967","0,481675","46,819578",
13/01/2011 16.00,"37,916031","0,560499","38,571729",
13/01/2011 17.00,"60,556116","0,879692","20,774812",
13/01/2011 18.00,"67,616539","1,024865","11,73946",
13/01/2011 19.00,"76,169505","1,340495","7,556575",
13/01/2011 20.00,"78,316187","1,289841","3,613601",
13/01/2011 21.00,"86,290317","1,425935","0,46356",
13/01/2011 22.00,"58,435385","1,418384","0,193828",
13/01/2011 23.00,"45,687677","0,852457","9,107197",
14/01/2011 0.00,"24,06514","0,403278","35,871675",
14/01/2011 1.00,"16,5868","0,284322","43,040608",
14/01/2011 2.00,,"0,234093","44,696957",
14/01/2011 3.00,"18,390839","0,282964","26,016295",
14/01/2011 4.00,"24,07032","0,31843",,
14/01/2011 5.00,"25,396751","0,32649","9,645307",
14/01/2011 6.00,"44,729843","0,440101","3,449592",
14/01/2011 7.00,"115,432679","0,954782","6,266197",
14/01/2011 8.00,"77,153286","1,209577","7,175696",
14/01/2011 9.00,"95,066528","1,995851","1,499117",
14/01/2011 10.00,"53,916201","0,816057","23,404363",
14/01/2011 11.00,"39,146402","0,537675","45,31367",
14/01/2011 12.00,"37,069816","0,487954","50,711043",
14/01/2011 13.00,"45,145168","0,547602","50,530755",
14/01/2011 14.00,"52,156282","0,583916","50,955015",
14/01/2011 15.00,"39,829081","0,472767","52,591032",
14/01/2011 16.00,"48,568966","0,622946","36,72833",
14/01/2011 17.00,"69,241474","0,919655","13,924424",
14/01/2011 18.00,"85,132617","1,283309","9,268495",
14/01/2011 19.00,"88,078784","1,38504","8,971652",
14/01/2011 20.00,"95,339087","1,384955","7,555219",
14/01/2011 21.00,"88,831537","1,67004","2,475033",
14/01/2011 22.00,"74,861263","1,2436","0,242624",
14/01/2011 23.00,"61,674864","0,968865","0,063706",
15/01/2011 0.00,"59,551551","0,812493","0,023042",
15/01/2011 1.00,"52,807813","0,770239","0,092169",
15/01/2011 2.00,"41,313863","0,585868","1,52487",
15/01/2011 3.00,"27,771857",,"6,644363",
15/01/2011 4.00,"18,969696","0,521733","19,274339",
15/01/2011 5.00,"25,152742","0,529162","12,955283",
15/01/2011 6.00,"70,788526","0,79957","2,992809",
15/01/2011 7.00,"106,926473","1,292768","3,059227",
15/01/2011 8.00,"120,281487","1,766211","4,533945",
15/01/2011 9.00,"65,096062","1,47757","14,669919",
15/01/2011 10.00,"22,777635","0,488977","50,033321",
15/01/2011 11.00,"24,124831","0,449214","51,178671",
15/01/2011 12.00,"25,168325","0,425744","53,253853",
15/01/2011 13.00,"34,279388","0,579141","58,129352",
15/01/2011 14.00,"28,041811","0,508733","50,33423",
15/01/2011 15.00,"18,743863","0,413166","54,938649",
15/01/2011 16.00,"20,246798","0,382773","56,902686",
15/01/2011 17.00,"19,51999","0,481464","50,399287",
15/01/2011 18.00,"22,567393","0,465508","41,487281",
15/01/2011 19.00,"21,030699","0,448116","39,886496",
15/01/2011 20.00,"16,732157","0,360064","42,449629",
15/01/2011 21.00,"17,028077","0,353141","40,728224",
15/01/2011 22.00,"16,615353","0,324859","38,505295",
15/01/2011 23.00,"14,689316","0,314644","37,251536",
16/01/2011 0.00,"14,063739","0,326548","31,915152",
16/01/2011 1.00,"15,252591","0,34073","27,786479",
16/01/2011 2.00,,"0,333048","28,182267",
16/01/2011 3.00,"11,771698","0,32773","28,362555",
16/01/2011 4.00,"11,125358","0,331951",,
16/01/2011 5.00,"12,067607","0,33423","26,203327",
16/01/2011 6.00,"11,849563","0,341406","26,523227",
16/01/2011 7.00,"10,338841","0,361752","27,758032",
16/01/2011 8.00,"11,665268","0,352127","24,926528",
16/01/2011 9.00,"11,828802","0,399996","27,49507",
16/01/2011 10.00,"12,869696","0,451831","31,703722",
16/01/2011 11.00,"15,870378","0,513461","36,175315",
16/01/2011 12.00,"17,087776","0,489316","37,468396",
16/01/2011 13.00,"16,555656","0,498602","39,713007",
16/01/2011 14.00,"12,638675","0,417134","47,802253",
16/01/2011 15.00,"7,828764","0,382604","52,272491",
