 Brindisi,,,,
,Mesagne,,,,
Parm,SO2,NO2,PM10,NOX
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,
08/01/2010 5.00,"0,71460624","5,15125495","33,29999161","9,62614564"
08/01/2010 6.00,"0,9787964","5,48870192","33,29999161","9,54832724"
08/01/2010 7.00,"0,44185091","7,39657391","33,29999161","11,52621476"
08/01/2010 8.00,"0,77642967","8,8294248","33,29999161","13,3497599"
08/01/2010 9.00,"0,72031669","11,19933924","33,29999161","15,93333461"
08/01/2010 10.00,"0,82811361","10,56596821","33,29999161","14,41068473"
08/01/2010 11.00,"0,85468375","9,47706318","33,29999161","13,13316472"
08/01/2010 12.00,"0,8164598","9,2447437","33,29999161","13,0514554"
08/01/2010 13.00,"0,7030104","9,3952965","33,29999161","13,10333561"
08/01/2010 14.00,"0,64783002","9,53676538","33,29999161","13,12667922"
08/01/2010 15.00,"0,53123504","8,3544037","33,29999161","11,74669895"
08/01/2010 16.00,"0,77578794","8,32195706","33,29999161","11,65461512"
08/01/2010 17.00,"0,74985851","8,95661486","33,29999161","12,33422787"
08/01/2010 18.00,"0,69112371","9,58868","33,29999161","12,83486022"
08/01/2010 19.00,"0,706157","9,87421234","33,29999161","13,61823338"
08/01/2010 20.00,"0,89558851","9,87161585","33,29999161","14,12924215"
08/01/2010 21.00,"0,70295243","9,12274281","33,29999161","12,77130916"
08/01/2010 22.00,"0,78225606","7,14478646","33,29999161","10,79861081"
08/01/2010 23.00,"0,92559713","5,92219056","33,29999161","9,55870366"
09/01/2010 0.00,"0,82042204","4,62561556","33,29999161","8,56651715"
09/01/2010 1.00,"0,70388502","3,9896595","55,59999084","8,25524355"
09/01/2010 2.00,"0,87775846","3,94942338","55,59999084","8,98154926"
09/01/2010 3.00,"0,66863275","3,97408435","55,59999084","9,55740542"
09/01/2010 4.00,"0,64031337","3,75604178","55,59999084","8,3862385"
09/01/2010 5.00,"0,79676458","3,86765861","55,59999084","8,5743009"
09/01/2010 6.00,"0,7881333","4,05195629","55,59999084","9,06974408"
09/01/2010 7.00,"0,78837433","6,73206214","55,59999084","13,86076867"
