,Provincia di TARANTO,
,TAR v.Alto Adige,
Parm,SO2,NO2



19/01/2005 6.00,"0,359843","13,839205"
19/01/2005 7.00,"0,359843","38,263842"
19/01/2005 8.00,"0,473842","65,482825"
19/01/2005 9.00,"0,427782","61,134955"
19/01/2005 10.00,"0,278663","45,396957"
19/01/2005 11.00,"0,268875","41,704525"
19/01/2005 12.00,"0,217057","42,026389"
19/01/2005 13.00,"0,208421","54,758514"
19/01/2005 14.00,"0,165816","78,818453"
19/01/2005 15.00,"0,132998","62,748205"
19/01/2005 16.00,"0,089241","64,527591"
19/01/2005 17.00,"0,075999","71,103913"
19/01/2005 18.00,"0,172725","80,59525"
19/01/2005 19.00,"0,150271","75,575083"
19/01/2005 20.00,"0,179634","81,141664"
19/01/2005 21.00,"0,170422","56,672862"
19/01/2005 22.00,"0,125513","34,429937"
19/01/2005 23.00,"0,103059","25,841922"
20/01/2005 0.00,"0,099029","21,052765"
20/01/2005 1.00,,"23,928851"
20/01/2005 2.00,"0,569352",
20/01/2005 3.00,"0,584967","10,386861"
20/01/2005 4.00,"0,643814","8,052"
20/01/2005 5.00,"0,558117","10,279143"
20/01/2005 6.00,"0,523916","12,47514"
20/01/2005 7.00,"0,579762","25,726399"
20/01/2005 8.00,"0,589879","59,459392"
20/01/2005 9.00,"0,656989","80,312312"
20/01/2005 10.00,"0,80565","73,240209"
20/01/2005 11.00,"0,572381","63,938348"
20/01/2005 12.00,"0,541737","57,792934"
20/01/2005 13.00,"0,449923","58,266649"
20/01/2005 14.00,"0,416133","65,824156"
20/01/2005 15.00,"0,373932","48,807755"
20/01/2005 16.00,"0,282382","43,716215"
20/01/2005 17.00,"0,316408","59,726768"
20/01/2005 18.00,"0,253414","71,403713"
20/01/2005 19.00,"0,428867","84,189046"
20/01/2005 20.00,"0,615582","85,791917"
20/01/2005 21.00,"0,6127","79,345394"
20/01/2005 22.00,"1,403263","73,020887"
20/01/2005 23.00,"1,878241","80,233139"
21/01/2005 0.00,"1,445905","52,502809"
21/01/2005 1.00,"1,4457","56,937638"
21/01/2005 2.00,"1,565128","53,925281"
21/01/2005 3.00,"1,230898","27,379897"
21/01/2005 4.00,"1,451964","23,259155"
21/01/2005 5.00,"1,554012","22,442787"
21/01/2005 6.00,"1,775576","35,692758"
21/01/2005 7.00,"2,395774","58,593735"
21/01/2005 8.00,"4,088385","68,094138"
21/01/2005 9.00,"5,037695","75,778847"
21/01/2005 10.00,"4,653031","79,981346"
21/01/2005 11.00,"3,094875","69,127247"
21/01/2005 12.00,"2,312548","47,997891"
21/01/2005 13.00,"1,688439","47,676024"
21/01/2005 14.00,"1,567922","56,823433"
21/01/2005 15.00,"0,784476","47,459281"
21/01/2005 16.00,"0,430249","46,402806"
21/01/2005 17.00,"0,92152","82,593964"
21/01/2005 18.00,"2,35116","95,370216"
21/01/2005 19.00,"3,187277","96,598023"
21/01/2005 20.00,"5,053575","102,73304"
21/01/2005 21.00,"4,248956","91,287115"
21/01/2005 22.00,"2,746148","88,879566"
21/01/2005 23.00,"2,443033","84,638119"
22/01/2005 0.00,"2,265759","82,025508"
22/01/2005 1.00,,"78,340854"
22/01/2005 2.00,"2,086084",
22/01/2005 3.00,"2,612208","41,321646"
22/01/2005 4.00,"5,342707","52,153682"
22/01/2005 5.00,"4,581235","32,374116"
22/01/2005 6.00,"3,610799","27,260492"
22/01/2005 7.00,"2,727491","39,502035"
22/01/2005 8.00,"3,274335","76,03584"
22/01/2005 9.00,"4,87874","87,192322"
22/01/2005 10.00,"4,211123","82,423948"
22/01/2005 11.00,"4,041121","82,719868"
