STATTE - SS7 PONTE WIND,,,,,
,SO2,NO2,PM10,CO,BENZENE
11/01/2011 20.00,"8,01518","20,380466","50,06105","0,355102","0,122107"
11/01/2011 21.00,"2,63441","11,622436",,"0,358097","0,171391"
11/01/2011 22.00,"6,56165","6,02732","44,444431","0,251108","0,079205"
11/01/2011 23.00,"6,560747","9,024754",,"0,210463","2,079127"
12/01/2011 0.00,"3,03526","3,916979","30,52503","0,210962","2,928599"
12/01/2011 1.00,,"2,406904",,"0,207739","1,954379"
12/01/2011 2.00,"8,078376",,"18,55921","0,248531","0,967289"
12/01/2011 3.00,"9,149114","19,294795",,,"2,360304"
12/01/2011 4.00,"17,420691","10,41931","12,94261","0,317111","1,503902"
12/01/2011 5.00,"8,017888","23,575838",,"0,326656","0,658391"
12/01/2011 6.00,"3,609449","16,176023","18,31501","0,306752","0,391074"
12/01/2011 7.00,"4,351562","24,86074",,"0,2678","0,851452"
12/01/2011 8.00,"6,083159","44,156186","27,59462","0,314396","1,80686"
12/01/2011 9.00,"7,793991","34,693411",,"0,284864","0,950458"
12/01/2011 10.00,"7,242371","50,809084","23,19902","0,404498","0,467859"
12/01/2011 11.00,"9,880393","31,919865",,"0,399631","6,000206"
12/01/2011 12.00,"2,650661","4,678828","22,710621","0,300946","0,890614"
12/01/2011 13.00,"6,939929","3,413404",,"0,32511","0,455428"
12/01/2011 14.00,"7,035627","5,669755","20,757021","0,318656","0,198452"
12/01/2011 15.00,"2,845669","6,474435",,"0,339772","0,531333"
12/01/2011 16.00,"2,382526","4,107115","24,42001","0,313351","0,922296"
12/01/2011 17.00,"3,628408","10,509514",,"0,289898","0,079205"
12/01/2011 18.00,"3,379232","30,208606","21,48962","0,340776","2,199254"
12/01/2011 19.00,"9,762124","28,339013",,"0,360993","0,573575"
12/01/2011 20.00,"2,279604","20,061851","22,46641","0,344555","1,465289"
12/01/2011 21.00,"3,47493","17,697131",,"0,363499","2,019723"
12/01/2011 22.00,"6,2249","12,761976","18,80341","0,36281","2,725967"
12/01/2011 23.00,"3,17971","9,255776",,"0,352346","4,977364"
13/01/2011 0.00,"9,3053","9,828136","17,582411","0,335135","5,209918"
13/01/2011 1.00,"8,765418","14,155886",,"0,356628","2,45293"
13/01/2011 2.00,"1,326233","7,664585","9,76801","0,384823","6,506347"
13/01/2011 3.00,"5,616404","4,79434",,"0,355981","1,856583"
13/01/2011 4.00,"1,53027","5,37968","12,45421","0,38566","0,716144"
13/01/2011 5.00,"1,813752","5,806681",,"0,383152","1,940409"
13/01/2011 6.00,"9,462391","6,334265","19,2918","0,407234","0,079205"
13/01/2011 7.00,"3,409025","6,751532",,"0,408758","2,039524"
13/01/2011 8.00,"5,358199","6,912467","13,67521","0,39182","2,531144"
13/01/2011 9.00,"2,876365","8,644477",,"0,375968","1,606648"
13/01/2011 10.00,,"7,09352","13,91941","0,408738","0,81592"
13/01/2011 11.00,"0,309665","7,142192",,"0,399819","0,198342"
13/01/2011 12.00,"2,094528","6,581509","11,47741","0,400466","0,692932"
13/01/2011 13.00,"2,538712","5,516605",,"0,378411","2,261848"
13/01/2011 14.00,"3,829736","6,78203","16,60561","0,395915","0,115177"
13/01/2011 15.00,"1,895006","9,535466",,"0,405919","0,079205"
13/01/2011 16.00,"0,908231","7,519871","14,89621","0,415379","0,533092"
13/01/2011 17.00,"2,61816","14,80677",,"0,450363","0,152689"
13/01/2011 18.00,"2,643438","12,334973","31,50182","0,423901","4,000174"
13/01/2011 19.00,"4,340728","38,779105",,"0,524028","1,869344"
13/01/2011 20.00,"2,556768","53,161474","42,735031","0,50713","1,211724"
13/01/2011 21.00,"1,535686","35,172979",,"0,46818","0,278757"
13/01/2011 22.00,"4,720813","23,476549","47,619041","0,501638","5,053818"
13/01/2011 23.00,"8,434989","12,877478",,"0,445371","6,157295"
14/01/2011 0.00,"1,078862","13,065026","37,606831","0,448442","1,154631"
14/01/2011 1.00,,"4,716468",,"0,353787","3,556957"
14/01/2011 2.00,"1,66208",,"30,036631","0,326092","0,872353"
14/01/2011 3.00,"3,872167","31,736198",,,"1,064865"
14/01/2011 4.00,"2,469196","16,254549","21,73382","0,256927","4,722809"
14/01/2011 5.00,"1,702707","17,540087",,"0,268728","1,954599"
14/01/2011 6.00,"2,373497","35,122999","50,793652","0,31203","0,079205"
14/01/2011 7.00,"5,219166","36,074984",,"0,328737","2,860615"
14/01/2011 8.00,"5,723838","41,557203","44,932831","0,316139","1,32272"
14/01/2011 9.00,"2,299466","41,247669",,"0,567585","3,072817"
14/01/2011 10.00,"3,486666","51,679963","38,58363","0,379821","1,333831"
14/01/2011 11.00,"4,188153","39,244392",,"0,28213","0,079205"
14/01/2011 12.00,"9,302592","27,713445","32,722832","0,272978","1,676723"
14/01/2011 13.00,"8,415126","24,16506",,"0,351922","1,035603"
14/01/2011 14.00,"6,607694","10,838523","22,46641","0,305337","2,236216"
14/01/2011 15.00,"5,770785","8,639286",,"0,236789","1,777378"
14/01/2011 16.00,"9,870462","49,374282","20,26862","0,23096","0,195702"
14/01/2011 17.00,"1,29012","73,684081",,"0,310619","0,613178"
