,Provincia di FOGGIA,,,
,MICHELANGELO,,,
Parm,SO2,NO2,CO,PM10



10/01/2005 5.00,"0,72060755","5,82355239","0,18878243",
10/01/2005 6.00,"0,72370737","8,00267982","0,18258346",
10/01/2005 7.00,"0,79921555","23,56675752","0,23192937",
10/01/2005 8.00,"0,65823088","37,93031336","0,31102471",
10/01/2005 9.00,"0,80669355","37,53965352","0,24188546",
10/01/2005 10.00,"0,71649887","33,27126648","0,34211041",
10/01/2005 10.59,"0,54004531","22,20788","0,31862168",
10/01/2005 11.59,"0,53329649","17,71854224","0,24000631",
10/01/2005 12.59,"0,63835056","23,03332864","0,28119372",
10/01/2005 13.59,"0,76419719","27,08657744","0,2908306",
10/01/2005 14.59,"0,58691782","21,37983104","0,24392537",
10/01/2005 15.59,"0,65002369","19,45897848","0,28967026",
10/01/2005 16.59,"0,7627378","29,6901096","0,40339523",
10/01/2005 17.59,"0,75215998","27,4798376","0,43770565",
10/01/2005 18.59,"0,84426458","42,23275312","0,78407995",
10/01/2005 19.59,"0,96390955","34,3066336","0,50620415",
10/01/2005 20.59,"1,22709288","28,69074544","0,49024948",
10/01/2005 21.59,"0,9666463","18,19746191","0,37308543",
10/01/2005 22.59,"1,01151227","18,21433722","0,37536533",
10/01/2005 23.59,"1,08866189","15,16303952","0,35601002",
11/01/2005 0.59,"1,12222085","13,03971954","0,33897656",
11/01/2005 1.59,"0,99984016","9,07472102","0,34145568",
11/01/2005 2.59,"0,83751679","8,34531978","0,37152549",
11/01/2005 3.59,"0,9719347","6,99163717","0,35984986",
11/01/2005 4.59,"1,05729151","12,23113857","0,39943773",
11/01/2005 5.59,"1,17730157","13,79897666","0,39499908",
11/01/2005 6.59,"1,22107427","15,20975924","0,39595787",
11/01/2005 7.59,"1,19499331","21,0748288","0,4363857",
11/01/2005 8.59,"1,25992265","20,84770232","0,53307604",
11/01/2005 9.59,"1,30114166","36,28199728","0,5723447",
11/01/2005 10.59,"1,26521207","24,60765032","0,42710881",
11/01/2005 11.59,"1,3188334","22,7555724","0,43042789",
11/01/2005 12.59,"1,25280976","22,71664408","0,42678843",
11/01/2005 13.59,"0,93983513","22,88665912","0,42542888",
11/01/2005 14.59,"1,06166867","21,387632","0,36940752",
11/01/2005 15.59,"0,83623944","21,59267488","0,33121766",
11/01/2005 16.59,"0,84663623","30,3390424","0,49704725",
11/01/2005 17.59,"0,79702697","17,48363392","0,38216311",
11/01/2005 18.59,"0,79246674","13,1746991","0,36260858",
11/01/2005 19.59,"0,82128445","16,45182121","0,33925616",
11/01/2005 20.59,"0,86596838","16,09490243","0,32258151",
11/01/2005 21.59,"0,83441596","14,15718794","0,27335677",
11/01/2005 22.59,"0,7353805","19,11376114","0,32925929",
11/01/2005 23.59,"1,07954245","37,81479032","0,48617081",
12/01/2005 0.59,,"16,95150329","0,33289759",
12/01/2005 1.59,"0,38650577",,"0,25364147",
12/01/2005 2.59,"0,30573054","9,3472747",,
12/01/2005 3.59,"0,42982386","8,48678484","0,24815199",
12/01/2005 4.59,"0,42036881","8,14804154","0,23939119",
12/01/2005 5.59,"0,41879857","10,76974152","0,22091546",
12/01/2005 6.59,"0,36662952","16,3116544","0,28805091",
12/01/2005 7.59,"0,37010359","25,42919848","0,29983605",
12/01/2005 8.59,"0,38194452","25,60441416","0,28916582",
12/01/2005 9.59,"0,3244291","22,2104612","0,26117203",
12/01/2005 10.59,"0,3011693","21,70689776","0,24325433",
12/01/2005 11.59,"0,30896358","21,22407952","0,2982435",
12/01/2005 12.59,"0,31690737","22,35324936","0,30477332",
12/01/2005 13.59,"0,31183254","18,84380013","0,30190626",
12/01/2005 14.59,"0,31739146","20,88274928","0,24934612",
12/01/2005 15.59,"0,31989837","24,95936272","0,31874983",
12/01/2005 16.59,"0,29775624","17,11762932","0,26630968",
12/01/2005 17.59,"0,37925659","24,92431576","0,3681668",
12/01/2005 18.59,"0,36614644","22,7620732","0,34415498",
12/01/2005 19.59,"0,32415756","26,2611288","0,33133299",
12/01/2005 20.59,"0,69417064","57,83058144","0,91344621",
12/01/2005 21.59,"0,62224637","47,04135664","0,66613069",
12/01/2005 22.59,"0,59336763","25,594032","0,6394918",
12/01/2005 23.59,"0,5235577","18,5673517","0,26129203",
13/01/2005 0.59,"0,41272606","18,02874321","0,32253375",
13/01/2005 1.59,"0,37665815","10,0948495","0,24452768",
13/01/2005 2.59,"0,39164162","9,7535097","0,21920291",
13/01/2005 3.59,"0,3378413","8,96959352","0,21741114",
13/01/2005 4.59,"0,39913284","8,14933978","0,24600024",
13/01/2005 5.59,"0,50806167","9,66136086","0,24094414",
13/01/2005 6.59,"0,311561","22,16245088","0,28446621",
13/01/2005 7.59,"0,49691535","30,59083368","0,27622383",
13/01/2005 8.59,"1,02859889","46,95829936","0,71765631",
13/01/2005 9.59,"0,57161807","40,4974984","0,66700677",
13/01/2005 10.59,"0,58086158","32,04705112","0,41419711",
13/01/2005 11.59,"0,22833887","24,86074176","0,31954669",
13/01/2005 12.59,"0,23764341","22,20009816","0,32038316",
13/01/2005 13.59,"0,18375258","28,22481016","0,35116362",
13/01/2005 14.59,"0,32883983","18,71920656","0,26316302",
13/01/2005 15.59,"0,39251725","36,22750528","0,36669307",
13/01/2005 16.59,"0,41321015","44,37683168","0,44760465",
13/01/2005 17.59,"0,50978345","27,4370088","0,37561231",
13/01/2005 18.59,"0,34738686","28,0612768","0,43677365",
13/01/2005 19.59,"0,37575201","20,95802472","0,37549232",
13/01/2005 20.59,"0,4551075","23,44085232","0,43952072",
13/01/2005 21.59,"0,53748348","27,25141096","0,41726223",
13/01/2005 22.59,"0,55427924","18,47131002","0,30959293",
13/01/2005 23.59,"0,48021011","12,87878077","0,31190079",
14/01/2005 0.59,,"15,31747941","0,66632991",
14/01/2005 1.59,"0,83848802",,"0,33045691",
14/01/2005 2.59,"0,86544158","10,98778409",,
14/01/2005 3.59,"0,89197409","9,3641481","0,36019354",
14/01/2005 4.59,"0,75371497","13,91318615","0,33068758",
14/01/2005 5.59,"0,76881641","10,9319709","0,30719536",
14/01/2005 6.59,"0,78370732","18,28052684","0,36019354",
14/01/2005 7.59,"0,74156182","23,4875816","0,3671614",
14/01/2005 8.59,"0,64767442","38,01335152","0,6176166",
14/01/2005 9.59,"0,42614741","29,92113656","0,35119508",
14/01/2005 10.59,"0,44552126","21,237062","0,3798634",
14/01/2005 11.59,"0,38565657","15,40443908","0,26570505",
14/01/2005 12.59,"0,20296574","15,64584629","0,16608007",
14/01/2005 13.59,"0,09430844","19,34087424","0,18316247",
14/01/2005 14.59,"0,04933569","14,42064816","0,14044075",
14/01/2005 15.59,"0,0695506","21,7912552","0,28557412",
14/01/2005 16.59,"0,23978724","33,92635592","0,39013637",
14/01/2005 17.59,"0,40460837","24,86074176","0,23922576",
14/01/2005 18.59,"0,48131864","23,998946","0,2124296",
14/01/2005 19.59,"0,54491369","17,82107324","0,17826481",
14/01/2005 20.59,"0,50255665","18,88792718","0,31145576",
14/01/2005 21.59,"0,70416978","15,73799322","0,23659869",
14/01/2005 22.59,"0,46173529","16,19484076","0,21378333",
14/01/2005 23.59,"0,42653895","11,86514544","0,22823632",
15/01/2005 0.59,"0,37603067","9,97804159","0,45647263",
15/01/2005 1.59,"0,36180182","13,39662876","0,24762774",
15/01/2005 2.59,"0,35867251","5,4367873","0,21784335",
15/01/2005 3.59,"0,28855036","4,80212758","0,20430605",
15/01/2005 4.59,"0,29889935","6,74893554","0,17348598",
15/01/2005 5.59,"0,27164477","4,76838269","0,1929974",
15/01/2005 6.59,"0,25913058","5,98838209","0,21183079",
15/01/2005 7.59,"0,19270828","9,01112598","0,18017657",
15/01/2005 8.59,"0,27287737","11,9637817","0,19168444",
15/01/2005 9.59,"0,25124883","12,04035538","0,17089968",
15/01/2005 10.59,"0,24414916","10,25189162","0,21103509",
