, Brindisi,,,,
,P.za San Giusto Casale,,,,
Parm,SO2,NOX,NO,NO2,PM10



10/01/2005 20.00,"0,036626","44,307235","3,538228","38,902413","33,699631"
10/01/2005 21.00,"0,046147","44,394136","3,470638","39,09319",
10/01/2005 22.00,"0,009989","28,105423","1,730251","25,466827","40,04884"
10/01/2005 23.00,"0,029967","28,682581","1,813046","25,917198",
11/01/2005 0.00,"0,197647","27,06914","1,752217","24,396088","38,58363"
11/01/2005 1.00,"0,249344","25,290999","1,266428","23,362975",
11/01/2005 2.00,"0,04939","24,603595","1,3695","22,516782","32,722832"
11/01/2005 3.00,"0,04495","18,474108","1,2056","16,634824",
11/01/2005 4.00,0,"17,318503","1,307826","15,321374","26,86202"
11/01/2005 5.00,"0,053275","16,465094","1,138856","14,726952",
11/01/2005 6.00,"0,052252","21,188668","1,242773","19,294144","31,25762"
11/01/2005 7.00,"0,107659","25,608753","1,616196","23,14365",
11/01/2005 8.00,"0,291519","71,356946","12,671877","51,939535","29,79241"
11/01/2005 9.00,"0,501286","93,672666","18,18959","65,794325",
11/01/2005 10.00,"0,4002","75,505968","14,974936","52,55342","43,46764"
11/01/2005 11.00,"0,405545","60,627051","12,278181","41,807045",
11/01/2005 12.00,"0,397981","43,481059","6,752876","33,137253","42,97924"
11/01/2005 13.00,"0,401952","39,243856","5,741593","30,450664",
11/01/2005 14.00,"1,277531","39,429321","5,114714","31,599277","43,46764"
11/01/2005 15.00,"0,643789","26,702112","2,861503","22,324684",
11/01/2005 16.00,"0,580702","14,168151","1,297688","12,18442","37,118431"
11/01/2005 17.00,"0,402507","15,016372","2,145072","11,731458",
11/01/2005 18.00,"0,401952","8,532795","1,039165","6,955297","29,79241"
11/01/2005 19.00,"0,403705","12,227876","1,269808","10,285633",
11/01/2005 20.00,"0,397892","39,665356","2,548909","35,777131","27,83882"
11/01/2005 21.00,"0,404347","37,473478","2,74069","33,289104",
11/01/2005 22.00,"0,40315","46,627522","2,815882","42,333971","31,25762"
11/01/2005 23.00,"0,401398","32,133836","1,869651","29,283866",
12/01/2005 0.00,"0,409137","27,227377","1,349223","25,173507","37,606831"
12/01/2005 1.00,,"23,252156","1,33993","21,209816",
12/01/2005 2.00,"0,02265",,,,"37,606831"
12/01/2005 3.00,"0,029713","26,193691","3,710576","20,511554",
12/01/2005 4.00,"0,024401","14,641547","1,161666","12,867102","33,699631"
12/01/2005 5.00,"0,026094","12,552121","1,061975","10,929376",
12/01/2005 6.00,"0,02621","12,284944","0,556756","11,438142","21,001221"
12/01/2005 7.00,"0,025626","14,767353","1,486934","12,493307",
12/01/2005 8.00,"0,023088","19,625819","1,891617","16,733459","25,88522"
12/01/2005 9.00,"0,502577","65,110693","16,654495","39,570807",
12/01/2005 10.00,"0,210033","53,029396","12,775801","33,439657","28,81562"
12/01/2005 11.00,"0,781053","75,62398","21,289331","42,971244",
12/01/2005 12.00,"1,157541","59,455894","15,519027","35,656428","34,18803"
12/01/2005 13.00,"1,420256","39,407275","9,377823","25,028156",
12/01/2005 14.00,"1,084018","27,993897","4,486993","21,120257","31,746031"
12/01/2005 15.00,"0,295901","18,924156","3,40643","13,704223",
12/01/2005 16.00,"0,110241","32,229818","7,643348","20,510254","29,30402"
12/01/2005 17.00,"0,330955","12,188967","1,229255","10,308997",
12/01/2005 18.00,"0,029742","13,531336","1,342465","11,478373","24,42001"
12/01/2005 19.00,"0,02624","17,902141","1,654214","15,373291",
12/01/2005 20.00,"0,029742","29,916012","2,208436","26,544066","27,35042"
12/01/2005 21.00,"0,027991","51,891947","3,38362","46,72987",
12/01/2005 22.00,"0,02443","42,522572","2,356284","38,932259","42,490841"
12/01/2005 23.00,"0,027903","42,117936","1,87641","39,264505",
13/01/2005 0.00,"0,027961","42,194454","2,315731","38,666203","50,793652"
13/01/2005 1.00,"0,029713","36,841829","1,772493","34,1444",
13/01/2005 2.00,"0,02443","30,618938","2,06988","27,460372","56,16605"
13/01/2005 3.00,"0,024459","20,541476","1,351758","18,4791",
13/01/2005 4.00,"0,024401","15,428811","1,128718","13,705527","44,444431"
13/01/2005 5.00,"0,029684","15,064361","1,089854","13,400525",
13/01/2005 6.00,"0,022737","18,710155","1,333171","16,675054","35,164822"
13/01/2005 7.00,"0,026182","22,043371","1,395691","19,914531",
13/01/2005 8.00,"0,049006","22,577717","1,938084","19,616029","26,86202"
13/01/2005 9.00,"0,204867","23,020001","3,098906","18,275338",
13/01/2005 10.00,"0,197861","27,354486","4,335764","20,712734","25,88522"
13/01/2005 11.00,"0,050698","39,477291","6,783292","29,084005",
13/01/2005 12.00,"0,262628","21,496041","3,669179","15,874264","26,86202"
13/01/2005 13.00,"1,204825","20,070664","3,366723","14,912548",
13/01/2005 14.00,"0,996456","16,728378","2,570875","12,790528","20,02442"
13/01/2005 15.00,"0,688237","22,171781","3,373482","17,004711",
13/01/2005 16.00,"1,360713","22,130272","2,826864","17,802907","20,02442"
13/01/2005 17.00,"1,371221","41,069988","5,701885","32,33907",
13/01/2005 18.00,"0,698658","20,89426","1,587471","18,470016","36,630032"
13/01/2005 19.00,"0,196051","33,555313","1,404139","31,421464",
13/01/2005 20.00,"1,064725","53,828304","5,031075","46,13675","36,141621"
13/01/2005 21.00,"1,080516","53,288797","3,632006","47,746098",
13/01/2005 22.00,"0,027961","27,376531","1,574799","24,976245","29,79241"
13/01/2005 23.00,"0,077026","22,620527","1,221652","20,759463",
14/01/2005 0.00,"0,570904","27,851223","1,481021","25,595312","35,653221"
14/01/2005 1.00,,"10,234427","1,03832","8,646424",
14/01/2005 2.00,"0,282627",,,,"21,001221"
14/01/2005 3.00,"0,033328","11,262928","1,220807","9,395296",
14/01/2005 4.00,"0,277361","18,042215","1,17265","16,253247","19,0476"
14/01/2005 5.00,"0,305451","13,086473","1,128718","11,361568",
14/01/2005 6.00,"0,324733","18,631041","1,453986","16,410291","24,908421"
14/01/2005 7.00,"0,347586","16,657046","1,670265","14,102676",
14/01/2005 8.00,"0,171906","26,774729","2,48301","22,978818","23,93162"
14/01/2005 9.00,"0,574091","24,201541","3,243374","19,235752",
14/01/2005 10.00,"1,351836","23,131528","3,551745","17,691291","22,46641"
14/01/2005 11.00,"3,778117","16,913846","2,446683","13,166907",
14/01/2005 12.00,"5,105374","13,89838","2,150141","10,604905","21,48962"
14/01/2005 13.00,"4,15909","13,919132","2,553978","10,005297",
14/01/2005 14.00,"2,670314","12,387404","2,354593","8,778806","26,37361"
14/01/2005 15.00,"2,464906","9,312279","1,708285","6,694424",
14/01/2005 16.00,"3,153113","11,143606","1,485244","8,869659","17,094"
14/01/2005 17.00,"1,422061","9,440677","1,776717","6,717787",
14/01/2005 18.00,"1,464196","6,449854","1,317964","4,429637","17,582411"
14/01/2005 19.00,"3,056554","6,927141","1,146461","5,170723",
14/01/2005 20.00,"2,150648","7,074996","1,121114","5,357615","11,72161"
14/01/2005 21.00,"1,416795","6,001103","1,167581","4,228468",
14/01/2005 22.00,"1,083137","5,790991","1,183634","3,976681","15,62881"
14/01/2005 23.00,"1,453663","6,567881","1,095769","4,889083",
15/01/2005 0.00,"1,049839","6,600304","1,15153","4,835872","13,67521"
15/01/2005 1.00,"1,139376","5,863622","1,135477","4,123339",
15/01/2005 2.00,"1,437862","6,665154","1,453986","4,436126","11,23321"
15/01/2005 3.00,"0,772478","5,254044","1,052682","3,64053",
15/01/2005 4.00,"1,228942","7,925811","1,268118","5,983191","16,11721"
15/01/2005 5.00,"1,392216","7,126877","1,237704","5,230425",
15/01/2005 6.00,"0,749596","5,191789","1,163357","3,408213","12,69841"
15/01/2005 7.00,"0,414271","5,977755","1,385552","3,853383",
15/01/2005 8.00,"0,554722","5,042638","1,164202","3,25766","8,302809"
15/01/2005 9.00,"0,056152","5,730034","1,489469","3,44585",
15/01/2005 10.00,"0,783012","5,635354","1,427795","3,44585","9,27961"
15/01/2005 11.00,"0,725047","5,107485","1,249531","3,191468",
15/01/2005 12.00,"0,496844","4,947957","1,275722","2,991595","7,814408"
15/01/2005 13.00,"0,293132","6,458933","2,004825","3,383554",
15/01/2005 14.00,"0,078916","6,478387","1,645766","3,954616","14,16361"
15/01/2005 15.00,"0,35098","5,750786","1,352603","3,676872",
15/01/2005 16.00,"0,507319","5,526408","1,250376","3,609384","7,814408"
15/01/2005 17.00,"1,460686","4,553678","1,089854","2,882575",
15/01/2005 18.00,"1,506332","5,8727","1,024802","4,302445","9,76801"
15/01/2005 19.00,"1,32199","7,28381","1,725182","4,638596",
15/01/2005 20.00,"0,22121","6,422618","1,560436","4,029894","6,837607"
15/01/2005 21.00,"0,87606","6,462824","1,432864","4,266106",
15/01/2005 22.00,"0,449442","9,257804","2,156899","5,950744","5,860806"
15/01/2005 23.00,"0,20892","8,973768","1,872185","6,103891",
16/01/2005 0.00,"0,082515","7,336986","1,116045","5,627574","7,326007"
16/01/2005 1.00,,"5,652216","1,14477","3,89751",
16/01/2005 2.00,"1,41095",,,,"10,25641"
16/01/2005 3.00,"1,395195","6,204727","1,157443","4,430936",
16/01/2005 4.00,"1,414451","5,235888","1,023112","3,667786","15,62881"
16/01/2005 5.00,"1,41095","4,880516","0,929333","3,456234",
16/01/2005 6.00,"1,402197","5,327972","1,130408","3,595105","12,21001"
16/01/2005 7.00,"1,311168","5,626276","1,246996","3,714509",
16/01/2005 8.00,"1,438958","6,067248","1,61366","3,59251","14,65201"
16/01/2005 9.00,"1,508981","5,976459","1,476796","3,711915",
16/01/2005 10.00,"3,051223","5,653512","1,489469","3,369275","13,67521"
16/01/2005 11.00,"3,739192","6,859699","1,486934","4,58019",
16/01/2005 12.00,"4,171579","6,04909","1,531711","3,700234","21,001221"
16/01/2005 13.00,"5,61929","11,66888","2,477097","7,871595",
16/01/2005 14.00,"5,249923","11,777826","2,713654","7,617213","18,07081"
16/01/2005 15.00,"4,229347","11,125448","2,347835","7,52636",
16/01/2005 16.00,"4,182082","10,486041","2,447527","6,73336","22,954821"
16/01/2005 17.00,"4,404403","5,034856","1,265584","3,094127",
16/01/2005 18.00,"3,240282","5,98424","1,732785","3,326446","22,954821"
16/01/2005 19.00,"3,159757","6,504327","1,530022","4,158382",
16/01/2005 20.00,"2,331743","9,098277","2,178866","5,757361","26,37361"
16/01/2005 21.00,"2,634589","7,193022","1,977791","4,15968",
16/01/2005 22.00,"3,285797","8,419961","1,960894","5,413425","23,93162"
16/01/2005 23.00,"2,97945","7,87523","1,727716","5,22653",
17/01/2005 0.00,"3,149253","5,220322","1,355983","3,14085","21,97802"
17/01/2005 1.00,"1,396945","4,526442","1,154064","2,756681",
17/01/2005 2.00,"2,219707","4,645762","1,100838","2,957851","22,46641"
17/01/2005 3.00,"1,985133","3,896111","1,016354","2,337468",
17/01/2005 4.00,"2,216207","3,700269","1,089854","2,028574","21,48962"
17/01/2005 5.00,"3,273543","4,251483","1,138856","2,504892",
17/01/2005 6.00,"3,284046","4,444733","1,049302","2,835852","27,35042"
17/01/2005 7.00,"3,574639","8,311015","1,755595","5,619787",
17/01/2005 8.00,"3,464353","9,86479","2,272644","6,38034","21,97802"
17/01/2005 9.00,"3,64116","10,745436","3,056664","6,062361",
17/01/2005 10.00,"3,628906","8,312311","2,086776","5,112317","19,0476"
17/01/2005 11.00,"3,32606","6,662559","1,551142","4,284276",
17/01/2005 12.00,"3,310304","7,093155","1,591696","4,652871","19,53602"
17/01/2005 13.00,"3,285797","6,637917","1,622956","4,149296",
17/01/2005 14.00,"3,481859","6,835056","1,888237","3,939043","23,44322"
17/01/2005 15.00,"3,072229","9,805127","1,851908","6,966978",
17/01/2005 16.00,"2,767632","14,559837","2,385854","10,904721","19,0476"
17/01/2005 17.00,"3,29455","20,043438","4,414335","13,27593",
17/01/2005 18.00,"4,028033","8,071072","1,790234","5,326469","17,094"
17/01/2005 19.00,"3,711182","6,758536","1,478486","4,491936",
17/01/2005 20.00,"3,523872","7,675496","1,562126","5,281042","17,582411"
17/01/2005 21.00,"2,648594","6,396678","0,987628","4,883892",
17/01/2005 22.00,"2,583824","9,8168","1,121114","8,101318","15,62881"
17/01/2005 23.00,"2,046402","8,545766","0,821193","7,290148",
18/01/2005 0.00,"1,44596","17,532504","0,893005","16,172777","14,16361"
18/01/2005 1.00,,"16,398948","1,316275","14,388209",
18/01/2005 2.00,0,,,,"19,0476"
18/01/2005 3.00,"0,008797","12,862096","1,333171","10,822951",
18/01/2005 4.00,"0,014074","11,277194","0,956369","9,815806","21,48962"
