,Regione Puglia,,
,Fraz. Villa Baldassare,,
Parm,SO2,NO2,PM10
,,,,,
,,,,
,,,,
,,,,,
,,,,
13/01/2006 3.00,1,"5,35112587","24,63842964"
13/01/2006 4.00,0,"4,691809","24,63842964"
13/01/2006 5.00,0,"5,29272192","24,63842964"
13/01/2006 6.00,0,"4,86182978","24,63842964"
13/01/2006 7.00,0,"5,43548905","24,63842964"
13/01/2006 8.00,0,"25,46682664","24,63842964"
13/01/2006 9.00,0,"24,13261392","24,63842964"
13/01/2006 10.00,0,"19,34607488","24,63842964"
13/01/2006 11.00,0,"6,09740433","24,63842964"
13/01/2006 12.00,2,"4,43093572","24,63842964"
13/01/2006 13.00,3,"5,13178697","24,63842964"
13/01/2006 14.00,3,"8,24797795","24,63842964"
13/01/2006 15.00,3,"9,35765878","24,63842964"
13/01/2006 16.00,3,"9,55623336","24,63842964"
13/01/2006 17.00,2,"6,64121154","24,63842964"
13/01/2006 18.00,2,"8,19736158","24,63842964"
13/01/2006 19.00,1,"11,47059086","24,63842964"
13/01/2006 20.00,1,"11,44203896","24,63842964"
13/01/2006 21.00,1,"15,20586258","24,63842964"
13/01/2006 22.00,0,"13,71591173","24,63842964"
13/01/2006 23.00,0,"12,21815991","24,63842964"
14/01/2006 0.00,0,"11,33042214","24,63842964"
14/01/2006 1.00,,"10,41801765","38,86201096"
14/01/2006 2.00,1,,"38,86201096"
14/01/2006 3.00,1,"7,73921196","38,86201096"
14/01/2006 4.00,1,"7,84433946","38,86201096"
14/01/2006 5.00,1,"5,18889267","38,86201096"
14/01/2006 6.00,1,"5,71193557","38,86201096"
14/01/2006 7.00,1,"6,22070156","38,86201096"
14/01/2006 8.00,1,"8,43746671","38,86201096"
14/01/2006 9.00,1,"13,06956395","38,86201096"
14/01/2006 10.00,1,"10,81256458","38,86201096"
14/01/2006 11.00,1,"6,27521077","38,86201096"
14/01/2006 12.00,2,"6,02342522","38,86201096"
14/01/2006 13.00,6,"7,15127578","38,86201096"
14/01/2006 14.00,6,"5,55489345","38,86201096"
14/01/2006 15.00,7,"8,32844447","38,86201096"
14/01/2006 16.00,7,"9,52248847","38,86201096"
14/01/2006 17.00,7,"19,67054128","38,86201096"
14/01/2006 18.00,6,"12,14548288","38,86201096"
14/01/2006 19.00,5,"11,98194952","38,86201096"
14/01/2006 20.00,5,"12,1636507","38,86201096"
14/01/2006 21.00,3,"14,56471162","38,86201096"
14/01/2006 22.00,1,"14,90086034","38,86201096"
14/01/2006 23.00,1,"14,72175566","38,86201096"
15/01/2006 0.00,1,"16,27401859","38,86201096"
15/01/2006 1.00,1,"16,57123134","84,41107178"
15/01/2006 2.00,1,"17,12152598","84,41107178"
15/01/2006 3.00,0,"14,7256504","84,41107178"
15/01/2006 4.00,0,"10,44657146","84,41107178"
15/01/2006 5.00,0,"10,1065299","84,41107178"
15/01/2006 6.00,1,"12,71654948","84,41107178"
15/01/2006 7.00,0,"10,54390564","84,41107178"
15/01/2006 8.00,0,"13,22011674","84,41107178"
15/01/2006 9.00,1,"10,7801275","84,41107178"
15/01/2006 10.00,1,"27,41494432","84,41107178"
15/01/2006 11.00,2,"36,59608152","84,41107178"
15/01/2006 12.00,3,"20,37528536","84,41107178"
15/01/2006 13.00,7,"13,95861336","84,41107178"
15/01/2006 14.00,7,"15,68478608","84,41107178"
15/01/2006 15.00,7,"17,68350102","84,41107178"
15/01/2006 16.00,6,"16,07414385","84,41107178"
15/01/2006 17.00,6,"14,76718286","84,41107178"
15/01/2006 18.00,6,"23,411006","84,41107178"
15/01/2006 19.00,6,"21,18255088","84,41107178"
15/01/2006 20.00,6,"46,04849328","84,41107178"
15/01/2006 21.00,6,"43,1334772","84,41107178"
15/01/2006 22.00,"6,08833762","44,38331336","84,41107178"
15/01/2006 23.00,"5,60797496","35,63954616","84,41107178"
16/01/2006 0.00,"5,12381482","33,783606","84,41107178"
16/01/2006 1.00,,"29,18134552","62,52082062"
16/01/2006 2.00,0,,"62,52082062"
16/01/2006 3.00,0,"16,85935636","62,52082062"
16/01/2006 4.00,0,"12,0416479","62,52082062"
16/01/2006 5.00,0,"11,38752784","62,52082062"
16/01/2006 6.00,0,"8,28302109","62,52082062"
16/01/2006 7.00,0,"9,3070424","62,52082062"
16/01/2006 8.00,1,"17,8781885","62,52082062"
16/01/2006 9.00,0,"19,10207309","62,52082062"
16/01/2006 10.00,1,"39,46308728","62,52082062"
16/01/2006 11.00,2,"43,9018144","62,52082062"
16/01/2006 12.00,2,"13,51084782","62,52082062"
16/01/2006 13.00,3,"21,38633184","62,52082062"
16/01/2006 14.00,3,"14,70877509","62,52082062"
16/01/2006 15.00,2,"18,36618253","62,52082062"
16/01/2006 16.00,2,"13,71591173","62,52082062"
16/01/2006 17.00,2,"19,09688583","62,52082062"
16/01/2006 18.00,1,"20,88923096","62,52082062"
16/01/2006 19.00,1,"20,11311192","62,52082062"
16/01/2006 20.00,1,"32,38968152","62,52082062"
16/01/2006 21.00,1,"29,60963352","62,52082062"
16/01/2006 22.00,1,"26,12096008","62,52082062"
16/01/2006 23.00,1,"27,8068852","62,52082062"
17/01/2006 0.00,1,"21,38891304","62,52082062"
17/01/2006 1.00,0,"18,51154806","92,43209076"
17/01/2006 2.00,0,"10,97740002","92,43209076"
17/01/2006 3.00,0,"8,78140301","92,43209076"
17/01/2006 4.00,0,"9,47576493","92,43209076"
17/01/2006 5.00,0,"10,23371614","92,43209076"
17/01/2006 6.00,0,"8,93974338","92,43209076"
17/01/2006 7.00,0,"9,74053104","92,43209076"
17/01/2006 8.00,0,"10,81516682","92,43209076"
