,Regione Puglia,,,,
,ASM,,,,
Parm,SO2,NO2,NOX,CO,O3
,,,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,
,,,,,,,
27/01/2006 17.00,12,,,,54
27/01/2006 18.00,13,,,,
27/01/2006 19.00,8,51,68,,
27/01/2006 20.00,7,76,96,,6
27/01/2006 21.00,10,71,87,,6
27/01/2006 22.00,11,56,69,,12
27/01/2006 23.00,9,40,52,,19
28/01/2006 0.00,9,21,32,,27
28/01/2006 1.00,10,26,38,,25
28/01/2006 2.00,10,43,58,,18
28/01/2006 3.00,6,27,38,,23
28/01/2006 4.00,9,22,34,,26
28/01/2006 5.00,8,18,29,,27
28/01/2006 6.00,8,22,34,,26
28/01/2006 7.00,7,39,58,,20
28/01/2006 8.00,9,57,76,,14
28/01/2006 9.00,9,58,75,,10
28/01/2006 10.00,8,68,96,,6
28/01/2006 11.00,9,69,101,,7
28/01/2006 12.00,12,77,121,,4
28/01/2006 13.00,13,66,100,,8
28/01/2006 14.00,13,37,50,,18
28/01/2006 15.00,14,18,29,,25
28/01/2006 16.00,14,15,27,,26
28/01/2006 17.00,11,21,33,,23
28/01/2006 18.00,9,22,33,,23
28/01/2006 19.00,11,36,47,,18
28/01/2006 20.00,9,58,70,,10
28/01/2006 21.00,7,53,68,,11
28/01/2006 22.00,9,24,35,,25
28/01/2006 23.00,11,22,33,,24
29/01/2006 0.00,9,26,37,,22
29/01/2006 1.00,10,30,41,,23
29/01/2006 2.00,9,7,18,,33
29/01/2006 3.00,8,5,16,,35
29/01/2006 4.00,10,4,15,,35
29/01/2006 5.00,9,6,17,,33
29/01/2006 6.00,9,5,16,,34
29/01/2006 7.00,11,17,30,,31
29/01/2006 8.00,9,14,25,,30
29/01/2006 9.00,9,13,24,,29
29/01/2006 10.00,11,22,33,,24
29/01/2006 11.00,9,23,34,,25
29/01/2006 12.00,7,19,31,,30
29/01/2006 13.00,9,17,28,,28
29/01/2006 14.00,9,9,20,,33
29/01/2006 15.00,9,7,18,,34
29/01/2006 16.00,11,6,17,,35
