NetC,Foggia,,,,,
,Stat,Manfredonia - Liceo Scientifico via dei mandorli,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,
07/01/2009 14.00,"2,5027231","59,03110712","1,64236924","60,3772785",,"3,5589915"
07/01/2009 15.00,"2,17055157","33,36568104","0,85975952","72,37339305",,"4,6782"
07/01/2009 16.00,"2,10437945","38,43517696","0,86180526","68,625207",,"2,433681"
07/01/2009 17.00,"2,0847066","45,37101432","1,0118491","61,9412787",,"2,3965605"
07/01/2009 18.00,"2,31509575","65,04803728","1,42663337","46,2294966",,"2,6528445"
07/01/2009 19.00,"2,30436538","68,0811576","1,6322151","40,46500395",,"4,6726065"
07/01/2009 20.00,"2,42077527","67,33228456","1,52511432","40,9795743",,"4,99753902"
07/01/2009 21.00,"2,14276205","69,14801536","1,42993964","38,4162387",,"4,3573365"
07/01/2009 22.00,"1,97090939","60,23033264","1,19361706","42,86451015",,"4,496157"
07/01/2009 23.00,"1,93188506","46,00696464","1,00606255","47,71766685",,"3,1674465"
08/01/2009 0.00,"1,87660298","32,840034","0,77961917","52,71027405",,"2,79675"
08/01/2009 1.00,,"29,4694648","0,80803818","44,4244605",,"2,0426445"
08/01/2009 2.00,"1,00528925",,"0,67736013","45,53888745",,"1,9887435"
08/01/2009 3.00,"0,99372697",,,"50,963472",,"1,54584"
08/01/2009 4.00,"1,14502708",,"0,56486773","60,04552995",,"1,2697245"
08/01/2009 5.00,"1,03089324",,"0,57140105",,,"1,289556"
08/01/2009 6.00,"0,97910861","15,42001041","0,58080842","56,31763305",,"1,04898465"
08/01/2009 7.00,"1,07201767","21,17086856","0,68759465","53,36838465",,"0,98003205"
08/01/2009 8.00,"1,01947741","38,21195096","0,83885709","36,4839216",,"1,398375"
08/01/2009 9.00,"1,76259626","56,2484588","1,3161471","29,47367115",,
08/01/2009 10.00,"1,91466217","59,86303744","1,32594825","31,8027339",,
08/01/2009 11.00,"1,16891844","39,7966548","0,86625323","54,10908825",,
08/01/2009 12.00,"1,48583192","49,08291376","1,19330251","49,185528",,
08/01/2009 13.00,"1,70753588","66,30957488","1,36420685","47,33578395",,
08/01/2009 14.00,"1,39331034","50,28603976","1,12910519","53,8788852",,
08/01/2009 15.00,"1,460113","45,1568512","0,9093524","49,69467195",,
08/01/2009 16.00,"1,28707452","40,75967184","0,9895312","49,88559345",,
08/01/2009 17.00,"1,40135481","60,00320616","1,12186238","38,7859122",,
08/01/2009 18.00,"1,39331034","62,45358712","1,25254043","30,6788307",,
08/01/2009 19.00,"1,38792329","56,77020536","1,05632647","30,29018475",,
08/01/2009 20.00,"1,37097295","53,89023624","1,27733746","30,1683102",,
08/01/2009 21.00,"1,54233135","52,63259912","1,36830066","29,2556376",,
08/01/2009 22.00,"1,90252224","55,58656264","1,54884886","28,7167083",,
08/01/2009 23.00,"1,16550539","33,64343728","0,86015212","32,7614511",,
09/01/2009 0.00,"0,99577419","27,22804632","0,78021099","34,51232295",,
09/01/2009 1.00,"0,85477731","19,4524968","0,69094053","42,27275325",,
09/01/2009 2.00,"0,81319015","10,1065299","0,62981298","50,82535815",,
09/01/2009 3.00,"0,87319722","10,04812595","0,64929644","45,06224205",,
09/01/2009 4.00,"0,9053751","12,58026786","0,66452882","41,3506044",,
09/01/2009 5.00,"0,83699812","14,30125141","0,70908541","41,92203225",,
09/01/2009 6.00,"0,91683262","16,37394736","0,74435345","50,38390455",,
09/01/2009 7.00,"0,92742874","25,72769992","0,93234018","47,4861072",,
09/01/2009 8.00,"1,06854156","42,25999912","0,91250256","39,8976459",,
09/01/2009 9.00,"2,1461751","66,4497436","3,14485226","32,8928019",,
09/01/2009 10.00,"1,2727816","50,08745944","1,19775048","34,7614785",,
09/01/2009 11.00,"0,91862864","36,06915344","0,80646426","41,1556131",,
09/01/2009 12.00,"0,83907687","27,59146016","0,82449147","44,51517315",,
09/01/2009 13.00,"1,18751734","46,2924836","1,07687241","35,0851074",,
09/01/2009 14.00,"1,82702525","71,2713296","1,87892948","38,5462329",,
09/01/2009 15.00,"1,16561014","39,211296","0,88459499","55,39414755",,
09/01/2009 16.00,"1,04917686","24,36494104","0,81268303","61,34411535",,
09/01/2009 17.00,,,"0,86806131","58,83245025",,
09/01/2009 18.00,"0,9554054","27,02168416","0,80914027","64,2324564",,"2,3213025"
09/01/2009 19.00,"0,95874522","40,73500704","0,84299051","60,19718985",,"2,1453615"
09/01/2009 20.00,"0,89743538","33,91597376","0,81650074","62,26085775",,"2,3050305"
09/01/2009 21.00,"0,88867697","37,38778336","0,94367563","60,41927325",,"1,3012515"
09/01/2009 22.00,"0,76897709","33,51753208","0,86999288","65,19115365",,"2,555721"
09/01/2009 23.00,"0,95390329","19,62771248","0,69810412","74,7783057",,"2,046204"
10/01/2009 0.00,"0,81552111","28,82831384","0,72943446","60,41249025",,"1,7578845"
10/01/2009 1.00,,"26,77769384","0,69200185","59,7191679","12,92035961","1,7914455"
10/01/2009 2.00,"0,87094863",,"0,65693302","53,2275576","12,92035961","1,686186"
10/01/2009 3.00,"0,74953205","11,82734711",,"64,8363828","12,92035961","1,6510995"
10/01/2009 4.00,"0,84209837","4,78655242","0,54664247","81,16160745","12,92035961","1,313964"
10/01/2009 5.00,"0,96592118","19,34865608","0,60229918",,"12,92035961","1,2565035"
10/01/2009 6.00,"0,92925426","27,61870616","0,62308161","60,63186045","12,92035961","1,235655"
10/01/2009 7.00,"1,07291568","54,19653864","0,98736663","48,1645269","12,92035961","1,363797"
10/01/2009 8.00,"1,28449643","83,52843504","1,33067116","32,19137985","12,92035961","2,346219"
10/01/2009 9.00,"1,67340231","87,40518712","2,17334828","34,519086","12,92035961","3,388644"
10/01/2009 10.00,"1,30433403","67,50751936","1,11029044","42,9416967","12,92035961","5,6163825"
10/01/2009 11.00,"1,12640988","49,27369312","0,89726902","51,08670315","12,92035961","2,8694655"
10/01/2009 12.00,"1,54176285","75,80351528","1,96150817","34,66262625","12,92035961","2,5257195"
10/01/2009 13.00,"1,43236314","81,8918204","1,53983526","42,5638836","12,92035961","6,1869195"
10/01/2009 14.00,"1,23039914","43,84730328","1,04455764","62,26221435","12,92035961","4,4193735"
10/01/2009 15.00,"0,91783233","16,48945702","0,62284628","73,6855245","12,92035961","2,8399725"
10/01/2009 16.00,"0,96351597","22,8996416","0,71223324","68,46000105","12,92035961","1,671948"
10/01/2009 17.00,"0,95510131","20,64914112","0,74939091","71,5771686","12,92035961","1,691271"
10/01/2009 18.00,"0,88657789","13,56146419","0,65126413","75,9089919","12,92035961","1,7873775"
10/01/2009 19.00,"0,78499484","20,56736488","0,66047462","74,70111915","12,92035961","1,54584"
10/01/2009 20.00,"0,99237029","22,16765152","0,72648352","71,2115649","12,92035961","1,719747"
10/01/2009 21.00,"0,96832638","28,61937048","0,71617094","67,35776355","12,92035961","1,5412635"
10/01/2009 22.00,"1,09214918","19,0436787","0,69428525","73,4485584","12,92035961","1,6968645"
10/01/2009 23.00,"1,04045609","21,75102672","0,72069696","70,45867185","12,92035961","1,501092"
11/01/2009 0.00,"0,96712429","14,18184318","0,62674321","74,28404445","12,92035961","1,5829605"
11/01/2009 1.00,"1,02542788","14,35835711","0,63587448","68,87029275","28,92971992","1,289556"
11/01/2009 2.00,"0,86132984","11,56403986","0,62501085","69,69358935","28,92971992","1,3348125"
11/01/2009 3.00,"0,95570134","22,38179552","0,6685038","61,93180245","28,92971992","1,3632885"
11/01/2009 4.00,"0,79040528","16,28439502","0,64591095","63,52696455","28,92971992","1,3999005"
11/01/2009 5.00,"0,90100505","19,12543008","0,65134218","59,8816806","28,92971992","0,6920685"
11/01/2009 6.00,"0,81504923","22,0365648","0,6568538","53,7502476","28,92971992","1,652625"
11/01/2009 7.00,"1,00318711","26,48307376","0,69475824","50,6154642","28,92971992","1,582452"
11/01/2009 8.00,"0,73991327","19,0826051","0,72726989","58,30820415","28,92971992","1,6755075"
11/01/2009 9.00,"0,9749379","32,62460896","0,88062001","52,10634765","28,92971992","1,7721225"
11/01/2009 10.00,,"27,76535656","0,81504449","53,15579745","28,92971992","2,0345085"
11/01/2009 11.00,"5,70616835","26,69203624","0,87609282",,"28,92971992",
11/01/2009 12.00,"1,22799292","38,5623632","1,08820903","51,4672095","28,92971992",
11/01/2009 13.00,"1,22318455","55,349054","1,27411041","46,53279645","28,92971992","2,7596295"
11/01/2009 14.00,"1,35542506","66,54058272","1,49193279","46,23625965","28,92971992","3,745611"
11/01/2009 15.00,"1,00499025","30,80367752","0,87058237","56,56409535","28,92971992","3,740526"
11/01/2009 16.00,"0,95449823","27,40586232","0,78032865","56,132118","28,92971992","2,3650335"
11/01/2009 17.00,"1,05728439","48,40931616","1,01350224","46,6980024","28,92971992","2,2053645"
11/01/2009 18.00,"1,21597097","59,91494824","1,15150115","36,03027855","28,92971992","2,6467425"
11/01/2009 19.00,"1,32897695","64,6586776","1,42316866","35,9003043","28,92971992","3,388644"
11/01/2009 20.00,"1,26766813","65,07270208","1,19070456","31,88806005","28,92971992","3,896127"
11/01/2009 21.00,"1,38367528","62,0136168","1,2784011","34,86575715","28,92971992","3,5457705"
11/01/2009 22.00,"1,40651812","60,14207472","1,40348948","32,1575247","28,92971992","3,4755975"
11/01/2009 23.00,"1,2189762","64,44323344","1,25458734","29,6767821","28,92971992","4,7661705"
12/01/2009 0.00,"1,11559001","55,46973944","0,94493616","31,89751635","28,92971992","3,4491555"
12/01/2009 1.00,,"34,7933332","0,83480405","38,19553185","46,91886139","2,4677505"
12/01/2009 2.00,"1,57292474",,"0,8484229","31,68357255","46,91886139","2,1357"
12/01/2009 3.00,"1,63975792","25,07620504",,"34,4581587","46,91886139","2,3162175"
12/01/2009 4.00,"1,43167565","21,95608872","0,70156766","34,75607205","46,91886139","1,6633035"
12/01/2009 5.00,"1,44561465","14,73473431","0,66677144",,"46,91886139","1,8951795"
12/01/2009 6.00,"1,56737498","25,36690552","0,74100757","30,1981155","46,91886139","1,6327935"
12/01/2009 7.00,"1,77462635","41,89140376","0,78233595","27,2854155","46,91886139","1,760427"
12/01/2009 8.00,"1,80866534","47,39956984","0,96906331","27,46279095","46,91886139","1,8951795"
12/01/2009 9.00,"2,91743536","59,1388292","2,0416858","28,25225235","46,91886139","2,646234"
12/01/2009 10.00,"2,54667275","51,29318576","1,55404476","28,75056345","46,91886139","6,428457"
12/01/2009 11.00,"2,04954078","52,96614752","1,05435879","34,77231135","46,91886139","4,040541"
12/01/2009 12.00,"2,35445263","73,368698","1,53554456","35,90435415","46,91886139","3,123207"
12/01/2009 13.00,"2,41066832","57,34128152","1,41065307","39,2381787","46,91886139","5,1139845"
12/01/2009 14.00,"2,19850178","64,18884184","1,56412085","46,01553285","46,91886139","4,58056902"
12/01/2009 15.00,"1,98902114","50,11472456","0,88660345","58,65078555","46,91886139","4,3888635"
12/01/2009 16.00,"2,03280503","53,29581456","1,02676693","54,91207575","46,91886139","2,8898055"
12/01/2009 17.00,"1,84224567","58,2601696","1,12552281","50,06434545","46,91886139","2,933028"
12/01/2009 18.00,"1,74032396","69,44911712","1,32268159","35,5468701","46,91886139","3,70188"
12/01/2009 19.00,"1,94353378","63,10123888","1,22006839","37,83667125","46,91886139","4,501242"
12/01/2009 20.00,"1,8858109","79,72177688","1,27635303","37,1149401","46,91886139","3,588993"
12/01/2009 21.00,"1,74976274","73,29990424","1,22467247","35,92330665","46,91886139","3,7593405"
12/01/2009 22.00,"1,77322798","58,79749896","0,96351442","45,922107","46,91886139","3,6779805"
12/01/2009 23.00,"1,66499274","39,29955392","0,8420853","52,4895672","46,91886139","2,5714845"
13/01/2009 0.00,"1,87768405","36,25733248","0,7846974","52,72112685","46,91886139","2,0212875"
13/01/2009 1.00,"1,68799829","17,90284757","0,68621646","68,0970906",,"1,994337"
13/01/2009 2.00,"1,72872304","9,53027414","0,63323692","74,0430285",,"1,541772"
13/01/2009 3.00,"1,71240223","9,56272269","0,65307454","77,26581135",,"1,344474"
