,Regione Puglia,,,,,
,CERRATE,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE



10/01/2006 18.00,1,"3,35499978","0,53904667","84,8325072",,"1,3067433"
10/01/2006 19.00,2,"2,00521191","0,47987166","87,43811685",,"0,6876954"
10/01/2006 20.00,1,"2,35693578","0,42829012","86,4056046",,"0,67849155"
10/01/2006 21.00,2,"2,04155138","0,43213229","87,26782365",,"0,68418675"
10/01/2006 22.00,2,"2,30891399","0,44967369","85,6785069",,"1,4171895"
10/01/2006 23.00,2,"2,71125424","0,46540469","84,7770861",,"0,69344145"
11/01/2006 0.00,"0,45999825","2,79691375","0,5049611","84,47167155",,"0,5399253"
11/01/2006 1.00,"0,63007116","2,31280874","0,50613658","85,2811827",,"0,6462018"
11/01/2006 2.00,1,"2,01819057","0,4830358","86,2272117",,"1,13542965"
11/01/2006 3.00,3,"1,78327651","0,41237738","86,6745306",,"0,57526605"
11/01/2006 4.00,4,"2,85012662","0,43746682","84,9527658",,"0,43603875"
11/01/2006 5.00,3,"2,37121269","0,4430728","83,9310864",,"0,62194635"
11/01/2006 6.00,3,"3,22261673","0,44492515","82,6052892",,"1,3022685"
11/01/2006 7.00,3,"4,76059511","0,34877071","76,3439817",,"0,8866206"
11/01/2006 8.00,3,"4,56072228","0,26490819","80,54024475",,"0,5690115"
11/01/2006 9.00,2,"2,54642646","0,29266431","80,60783535",,"0,466803"
11/01/2006 10.00,3,"2,45038287","0,44334425","81,3862644",,"0,54099315"
11/01/2006 11.00,4,"2,05972303","0,55337733","83,2039887",,"0,7619364"
11/01/2006 12.00,3,"2,1414878","0,7801807","83,3337435",,"1,522449"
11/01/2006 13.00,3,"2,0532337","0,85097425","84,4243701",,"0,5199921"
11/01/2006 14.00,2,"2,13500038","1,0417465","84,79466205",,"0,54918"
11/01/2006 15.00,3,"2,77744577","1,39006519","83,76348645",,"0,52238205"
11/01/2006 16.00,2,"2,76446902","1,1022333","83,2350708",,"0,45515835"
11/01/2006 17.00,2,"2,7553832","0,79093947","81,54169485",,"0,6074541"
11/01/2006 18.00,2,"6,28040376","0,50468965","76,87511055",,"1,07430795"
11/01/2006 19.00,2,"6,57631826","0,33679102","75,08036865",,"1,3795605"
11/01/2006 20.00,3,"4,11295674","0,37494593","78,1657359",,"0,5608755"
11/01/2006 21.00,3,"2,47244735","0,30718138","87,45838605",,"0,53478945"
11/01/2006 22.00,3,"2,72942589","0,28588867","86,00961705",,"0,5672826"
11/01/2006 23.00,2,"4,06493686","0,45509677","82,6579971",,"0,548163"
12/01/2006 0.00,2,"2,80470133","0,48705854","81,65656695",,"0,68998365"
12/01/2006 1.00,,"2,67102002","0,48050425","78,8941902",,"0,9364536"
12/01/2006 2.00,3,,"0,57580009","80,55377085",,"1,3053195"
12/01/2006 3.00,3,"3,74436138",,"80,424036",,"0,88870545"
12/01/2006 4.00,4,"3,6794681","0,42616166","78,765792",,"1,2371805"
12/01/2006 5.00,4,"3,2018505","0,36744566","79,0090623",,"1,5849945"
12/01/2006 6.00,3,"3,79108492","0,34549007","76,41829545",,"1,044459"
12/01/2006 7.00,4,"4,29595617","0,29236491","76,00070205",,"1,0693755"
12/01/2006 8.00,5,"3,6171694","0,25701997","77,1602559",,"1,168533"
12/01/2006 9.00,5,"3,80925466","0,28547859","75,892593",,"1,2941325"
12/01/2006 10.00,6,"3,97148977","0,33200287","75,54931335",,"1,2626055"
12/01/2006 11.00,7,"3,31995665","0,41976581","76,8683475",,"1,177686"
12/01/2006 12.00,6,"3,77680802","0,5192638","78,196818",,"1,180737"
12/01/2006 13.00,5,"4,42833922","0,50915743","78,4292754",,"1,265148"
