Stat,Casardi,,,,,
,,,,,,,,,,
Parm,NO2,NOX,O3,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,
11/01/2014 19.00,"58,7","64,2","20,6","59,5","5,8","51,5"
11/01/2014 20.00,"88,9","148,1","2,9","59,5","7,3","51,5"
11/01/2014 21.00,"69,9","96,0","6,2","59,5","7,3","51,5"
11/01/2014 22.00,"70,8","176,2","1,4","59,5","7,8","51,5"
11/01/2014 23.00,"48,8","66,5","7,2","59,5","7,4","51,5"
12/01/2014 0.00,"44,1","48,8","18,3","59,5","6,7","51,5"
12/01/2014 1.00,"34,8","37,1","23,3","48,0","6,3","44,6"
12/01/2014 2.00,"25,5","27,9","20,3","48,0","5,9","44,6"
12/01/2014 3.00,,,"17,5","48,0","5,4","44,6"
12/01/2014 4.00,"28,3","30,8","13,6","48,0","5,1","44,6"
12/01/2014 5.00,"20,6","23,1",,"48,0","5,1","44,6"
12/01/2014 6.00,"20,1","23,2","15,4","48,0","5,0","44,6"
12/01/2014 7.00,"20,2","22,6","23,9","48,0","5,2","44,6"
12/01/2014 8.00,"24,8","28,0","19,9","48,0","5,5","44,6"
12/01/2014 9.00,"34,9","42,9","17,0","48,0","6,6","44,6"
12/01/2014 10.00,"34,8","45,7","21,1","48,0","6,9","44,6"
12/01/2014 11.00,,,,"48,0",,"44,6"
12/01/2014 12.00,"31,3","42,2","26,2","48,0","7,4","44,6"
12/01/2014 13.00,"22,9","27,7","47,4","48,0","5,9","44,6"
12/01/2014 14.00,,,,"48,0",,"44,6"
12/01/2014 15.00,"23,3","27,6","54,7","48,0","5,5","44,6"
12/01/2014 16.00,"25,3","27,1","48,5","48,0","5,2","44,6"
12/01/2014 17.00,,,,"48,0",,"44,6"
12/01/2014 18.00,"33,8","35,6","37,5","48,0","5,2","44,6"
12/01/2014 19.00,"67,1","87,5","4,7","48,0","6,2","44,6"
12/01/2014 20.00,,,,"48,0",,"44,6"
12/01/2014 21.00,"61,2","75,6","7,2","48,0","6,6","44,6"
12/01/2014 22.00,"57,8","76,7","6,4","48,0","6,4","44,6"
12/01/2014 23.00,"39,2","44,7","16,3","48,0","5,8","44,6"
13/01/2014 0.00,"28,9","31,5","22,4","48,0","5,5","44,6"
13/01/2014 1.00,"23,3","25,2","24,8","57,5","5,3","48,1"
13/01/2014 2.00,"19,6","20,9","27,1","57,5","4,9","48,1"
13/01/2014 3.00,"19,1","20,1","27,5","57,5","5,0","48,1"
13/01/2014 4.00,"17,0","18,1","28,2","57,5","5,7","48,1"
13/01/2014 5.00,"17,4","19,6","25,6","57,5","5,5","48,1"
13/01/2014 6.00,"17,2","19,1","27,2","57,5","4,7","48,1"
13/01/2014 7.00,"25,1","27,8","23,3","57,5","4,7","48,1"
13/01/2014 8.00,"42,2","51,8","11,1","57,5","5,0","48,1"
13/01/2014 9.00,"48,8","77,7","8,2","57,5","6,4","48,1"
13/01/2014 10.00,"39,0","60,0","18,4","57,5","7,1","48,1"
13/01/2014 11.00,"34,5","47,6","26,5","57,5","6,4","48,1"
13/01/2014 12.00,"37,6","52,6","29,9","57,5","6,6","48,1"
13/01/2014 13.00,"32,9","41,1","38,1","57,5","6,2","48,1"
