Stat,Casardi,,,,,
,,,,,,,,,,
Parm,NO2,NOX,O3,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,
16/01/2014 1.00,"22,7","24,5","27,3","29,1","4,6","19,4"
16/01/2014 2.00,"16,5","18,0","31,9","29,1","4,2","19,4"
16/01/2014 3.00,,,"34,2","29,1","3,9","19,4"
16/01/2014 4.00,"13,3","14,9","33,7","29,1","3,9","19,4"
16/01/2014 5.00,"12,5","13,8",,"29,1","3,7","19,4"
16/01/2014 6.00,"17,2","19,1","30,9","29,1","3,7","19,4"
16/01/2014 7.00,"27,4","31,3","19,6","29,1","4,1","19,4"
16/01/2014 8.00,"41,7","55,1","10,5","29,1","4,9","19,4"
16/01/2014 9.00,"52,8","97,0","9,0","29,1","7,1","19,4"
16/01/2014 10.00,"41,3","68,0","22,2","29,1","7,6","19,4"
16/01/2014 11.00,"27,0","39,5","39,0","29,1","6,5","19,4"
16/01/2014 12.00,"20,1","27,7","52,1","29,1","5,4","19,4"
16/01/2014 13.00,"22,2","31,3","47,7","29,1","4,8","19,4"
16/01/2014 14.00,"22,7","32,0","47,9","29,1","4,7","19,4"
16/01/2014 15.00,"20,4","26,5","53,0","29,1","4,4","19,4"
16/01/2014 16.00,"24,3","29,3","54,8","29,1","4,2","19,4"
16/01/2014 17.00,"33,8","37,2","48,1","29,1","4,6","19,4"
16/01/2014 18.00,"58,9","64,7","23,1","29,1","6,3","19,4"
16/01/2014 19.00,"62,8","74,7","14,2","29,1","6,7","19,4"
16/01/2014 20.00,"72,9","122,1","2,5","29,1","6,9","19,4"
16/01/2014 21.00,"61,7","85,0","7,3","29,1","7,1","19,4"
16/01/2014 22.00,"50,0","57,4","20,0","29,1","5,7","19,4"
16/01/2014 23.00,"34,2","37,4","30,5","29,1","5,1","19,4"
17/01/2014 0.00,"19,6","21,5","43,9","29,1","4,6","19,4"
17/01/2014 1.00,"16,9","18,3","46,7",,"3,9",
17/01/2014 2.00,"11,2","12,6","54,7",,"3,9",
17/01/2014 3.00,"7,9","9,5","57,7",,"3,4",
17/01/2014 4.00,"10,6","12,5","53,9",,"3,3",
17/01/2014 5.00,"12,5","14,1","49,0",,"3,3",
17/01/2014 6.00,"16,0","17,7","46,3",,"3,2",
17/01/2014 7.00,"29,6","32,2","30,6",,"3,4",
17/01/2014 8.00,"61,2","88,2","6,1",,"4,6",
17/01/2014 9.00,"75,6","160,4","4,3",,"7,0",
17/01/2014 10.00,"75,7","149,8","9,3",,"8,9",
17/01/2014 11.00,"53,5","91,8","30,1",,"9,0",
17/01/2014 12.00,"37,7","50,1","48,0",,"6,8",
17/01/2014 13.00,"50,1","66,5","34,9",,"6,2",
17/01/2014 14.00,"70,0","90,0","18,6",,"6,1",
17/01/2014 15.00,"84,1","125,9","11,6",,"7,0",
17/01/2014 16.00,"44,5","52,5","26,8",,"6,1",
17/01/2014 17.00,"47,7","55,1","23,3",,"5,8",
17/01/2014 18.00,"52,3","60,0","23,4",,"7,0",
17/01/2014 19.00,"53,8","60,5","27,1",,"5,9",
17/01/2014 20.00,"56,2","64,1","24,3",,"5,5",
17/01/2014 21.00,"79,2","102,2","6,5",,"6,1",
17/01/2014 22.00,"87,7","154,1","1,5",,"6,4",
17/01/2014 23.00,"71,6","106,0","4,6",,"6,2",
18/01/2014 0.00,"51,4","59,2","17,8",,"5,7",
18/01/2014 1.00,"25,7","27,5","38,4","33,8","5,0","17,9"
18/01/2014 2.00,"23,8","25,3","36,5","33,8","4,2","17,9"
18/01/2014 3.00,,,"39,3","33,8","4,1","17,9"
18/01/2014 4.00,"17,0","18,6","45,6","33,8","4,1","17,9"
18/01/2014 5.00,"23,5","25,9",,"33,8","3,1","17,9"
18/01/2014 6.00,"44,6","51,3","10,4","33,8","4,4","17,9"
18/01/2014 7.00,"43,9","48,8","17,0","33,8","6,0","17,9"
18/01/2014 8.00,"67,1","108,9","1,8","33,8","6,3","17,9"
18/01/2014 9.00,"71,4","119,2","5,4","33,8","7,6","17,9"
18/01/2014 10.00,"70,4","118,1","10,3","33,8","8,8","17,9"
18/01/2014 11.00,"45,8","58,9","28,1","33,8","7,5","17,9"
18/01/2014 12.00,"51,6","71,2","21,9","33,8","7,0","17,9"
18/01/2014 13.00,"58,8","85,0","22,6","33,8","7,5","17,9"
18/01/2014 14.00,"44,1","64,6","38,3","33,8","7,2","17,9"
18/01/2014 15.00,"18,0","21,8","59,7","33,8","5,2","17,9"
18/01/2014 16.00,"21,4","25,1","53,4","33,8","4,3","17,9"
18/01/2014 17.00,"23,4","26,2","52,7","33,8","4,4","17,9"
18/01/2014 18.00,"35,1","38,8","38,5","33,8","4,4","17,9"
18/01/2014 19.00,"26,7","29,6","49,9","33,8","5,0","17,9"
18/01/2014 20.00,"23,6","26,0","50,6","33,8","4,0","17,9"
18/01/2014 21.00,"24,9","28,0","51,4","33,8","3,8","17,9"
18/01/2014 22.00,"19,2","21,9","56,6","33,8","3,2","17,9"
18/01/2014 23.00,"13,2","15,0","60,0","33,8","2,9","17,9"
19/01/2014 0.00,"7,4","8,4","64,0","33,8","2,4","17,9"
19/01/2014 1.00,"6,3","7,5","63,4","26,6","2,2","13,1"
19/01/2014 2.00,"6,2","7,5","63,4","26,6","2,2","13,1"
19/01/2014 3.00,"6,2","7,4","61,1","26,6","2,4","13,1"
19/01/2014 4.00,"6,1","7,3","59,7","26,6","2,4","13,1"
19/01/2014 5.00,"8,1","9,9","57,6","26,6","2,1","13,1"
19/01/2014 6.00,"4,9","6,2","63,5","26,6","1,9","13,1"
19/01/2014 7.00,"4,9","6,2","65,0","26,6","1,8","13,1"
19/01/2014 8.00,"7,5","9,0","62,5","26,6","1,9","13,1"
19/01/2014 9.00,"9,4","10,7","60,3","26,6","2,2","13,1"
19/01/2014 10.00,"8,8","10,4","60,4","26,6","3,4","13,1"
19/01/2014 11.00,"12,1","14,0","54,2","26,6","3,6","13,1"
19/01/2014 12.00,"11,9","14,1","52,7","26,6","3,3","13,1"
19/01/2014 13.00,"15,8","18,5","53,2","26,6","3,3","13,1"
19/01/2014 14.00,"20,8","24,1","50,2","26,6","3,5","13,1"
19/01/2014 15.00,"14,9","16,7","51,5","26,6","3,8","13,1"
19/01/2014 16.00,"16,6","18,2","46,5","26,6","3,8","13,1"
19/01/2014 17.00,"15,0","16,7","53,4","26,6","3,1","13,1"
19/01/2014 18.00,"14,1","16,0","57,0","26,6","2,8","13,1"
19/01/2014 19.00,"21,9","24,1","51,3","26,6","2,7","13,1"
19/01/2014 20.00,"28,5","31,5","49,1","26,6","3,9","13,1"
19/01/2014 21.00,"37,5","41,3","38,8","26,6","3,5","13,1"
19/01/2014 22.00,"24,9","27,9","49,9","26,6","4,0","13,1"
19/01/2014 23.00,"13,1","15,0","56,8","26,6","3,1","13,1"
20/01/2014 0.00,"17,9","19,5","51,8","26,6","2,8","13,1"
20/01/2014 1.00,"7,2","8,6","62,7","32,8","2,6","13,1"
20/01/2014 2.00,"6,3","7,8","57,9","32,8","2,3","13,1"
20/01/2014 3.00,,,"56,4","32,8","2,3","13,1"
20/01/2014 4.00,"12,1","13,9","49,7","32,8","2,3","13,1"
20/01/2014 5.00,"12,5","13,9",,"32,8","2,2","13,1"
20/01/2014 6.00,"15,8","17,4","49,9","32,8","2,1","13,1"
20/01/2014 7.00,"23,9","25,9","45,4","32,8","2,8","13,1"
20/01/2014 8.00,"40,4","46,1","30,5","32,8","3,2","13,1"
20/01/2014 9.00,"40,6","49,2","32,4","32,8","5,1","13,1"
20/01/2014 10.00,"23,8","28,6","46,0","32,8","4,6","13,1"
20/01/2014 11.00,"25,5","29,6","42,2","32,8","4,0","13,1"
20/01/2014 12.00,"30,8","37,1","36,9","32,8","4,4","13,1"
20/01/2014 13.00,"17,2","21,5","54,5","32,8","4,3","13,1"
20/01/2014 14.00,"21,6","25,8","55,9","32,8","3,4","13,1"
20/01/2014 15.00,"19,2","22,2","62,6","32,8","3,9","13,1"
20/01/2014 16.00,"16,0","18,6","66,8","32,8","2,8","13,1"
20/01/2014 17.00,"29,0","31,7","53,5","32,8","2,9","13,1"
20/01/2014 18.00,"40,9","45,1","36,9","32,8","4,0","13,1"
20/01/2014 19.00,"54,4","62,6","21,1","32,8","4,7","13,1"
20/01/2014 20.00,"44,1","51,0","27,2","32,8","5,0","13,1"
20/01/2014 21.00,"38,5","43,5","33,3","32,8","4,4","13,1"
20/01/2014 22.00,"21,5","24,0","56,9","32,8","3,8","13,1"
20/01/2014 23.00,"14,8","16,3","62,3","32,8","3,0","13,1"
21/01/2014 0.00,"15,8","17,4","55,7","32,8","2,9","13,1"
21/01/2014 1.00,"13,8","15,3","52,1","11,8","3,0","8,3"
21/01/2014 2.00,"8,7","9,9","58,0","11,8","2,7","8,3"
21/01/2014 3.00,"7,5","8,9","63,3","11,8","2,6","8,3"
21/01/2014 4.00,"6,5","7,7","65,2","11,8","2,2","8,3"
21/01/2014 5.00,"6,3","8,0","66,4","11,8","2,0","8,3"
21/01/2014 6.00,"8,5","9,8","63,8","11,8","4,0","8,3"
21/01/2014 7.00,"9,6","10,9","60,8","11,8","3,8","8,3"
21/01/2014 8.00,"15,1","17,0","55,6","11,8","3,6","8,3"
21/01/2014 9.00,"20,1","23,5","50,8","11,8","3,6","8,3"
21/01/2014 10.00,"15,1","18,5","58,2","11,8","4,1","8,3"
21/01/2014 11.00,"13,5","16,8","58,1","11,8","3,7","8,3"
21/01/2014 12.00,"14,8","18,1","54,1","11,8","4,1","8,3"
21/01/2014 13.00,"17,4","21,0","49,6","11,8","4,3","8,3"
21/01/2014 14.00,"32,8","41,1","34,6","11,8","4,3","8,3"
21/01/2014 15.00,"46,6","61,5","21,1","11,8","5,1","8,3"
21/01/2014 16.00,"48,8","62,2","22,0","11,8","6,0","8,3"
21/01/2014 17.00,"35,1","39,9","36,2","11,8","4,5","8,3"
21/01/2014 18.00,"40,4","44,0","34,9","11,8","4,2","8,3"
21/01/2014 19.00,"52,8","60,6","22,6","11,8","4,4","8,3"
21/01/2014 20.00,"52,8","60,8","16,4","11,8","5,3","8,3"
21/01/2014 21.00,"56,5","71,5","11,0","11,8","5,1","8,3"
21/01/2014 22.00,"55,0","65,2","16,7","11,8","6,0","8,3"
21/01/2014 23.00,"30,1","32,3","38,3","11,8","5,5","8,3"
22/01/2014 0.00,"18,0","19,5","49,3","11,8","4,3","8,3"
22/01/2014 1.00,"10,6","11,8","55,2","11,6","3,7","7,1"
22/01/2014 2.00,"6,9","8,0","56,7","11,6","3,0","7,1"
22/01/2014 3.00,,,"55,8","11,6","3,2","7,1"
22/01/2014 4.00,"6,2","7,3","56,8","11,6","3,2","7,1"
22/01/2014 5.00,"10,1","11,1",,"11,6","2,8","7,1"
22/01/2014 6.00,"17,5","19,3","42,5","11,6","2,8","7,1"
22/01/2014 7.00,"32,1","35,2","25,8","11,6","3,4","7,1"
22/01/2014 8.00,"34,3","39,1","23,0","11,6","4,1","7,1"
22/01/2014 9.00,"28,8","37,1","29,6","11,6","4,7","7,1"
22/01/2014 10.00,"23,0","31,0","29,9","11,6","4,8","7,1"
22/01/2014 11.00,"21,9","29,9","29,7","11,6","4,9","7,1"
22/01/2014 12.00,"17,3","26,2","42,5","11,6","5,2","7,1"
22/01/2014 13.00,"15,0","21,2","51,7","11,6","4,8","7,1"
22/01/2014 14.00,"19,3","26,2","48,6","11,6","4,8","7,1"
22/01/2014 15.00,"17,3","22,0","53,7","11,6","4,6","7,1"
22/01/2014 16.00,"21,6","25,8","51,2","11,6","4,2","7,1"
22/01/2014 17.00,"24,0","26,7","50,2","11,6","4,1","7,1"
22/01/2014 18.00,"31,5","34,2","44,3","11,6","4,1","7,1"
22/01/2014 19.00,"35,0","38,1","37,2","11,6","4,8","7,1"
22/01/2014 20.00,"30,9","33,8","44,4","11,6","4,5","7,1"
22/01/2014 21.00,"45,5","51,3","32,3","11,6","4,2","7,1"
22/01/2014 22.00,"51,2","57,0","26,9","11,6","5,0","7,1"
22/01/2014 23.00,"27,2","29,9","48,2","11,6","4,5","7,1"
23/01/2014 0.00,"15,3","17,1","56,4","11,6","3,3","7,1"
23/01/2014 1.00,"10,8","12,0","58,0","26,3","3,2","16,9"
23/01/2014 2.00,"6,5","7,6","62,6","26,3","2,9","16,9"
23/01/2014 3.00,"5,3","6,8","63,0","26,3","2,6","16,9"
23/01/2014 4.00,"7,6","8,9","57,7","26,3","3,6","16,9"
23/01/2014 5.00,"11,4","13,0","49,2","26,3","4,4","16,9"
23/01/2014 6.00,"21,6","23,5","41,7","26,3","3,0","16,9"
23/01/2014 7.00,"38,1","41,2","28,5","26,3","3,7","16,9"
23/01/2014 8.00,"60,6","85,8","6,9","26,3","5,1","16,9"
23/01/2014 9.00,"63,0","104,3","10,2","26,3","6,7","16,9"
23/01/2014 10.00,"54,4","86,3","23,2","26,3","7,3","16,9"
23/01/2014 11.00,"43,0","57,7","32,8","26,3","6,7","16,9"
23/01/2014 12.00,"32,5","44,2","45,5","26,3","6,0","16,9"
23/01/2014 13.00,"18,1","22,7","64,8","26,3","5,1","16,9"
23/01/2014 14.00,"24,9","28,9","61,4","26,3","4,4","16,9"
23/01/2014 15.00,"18,9","22,4","66,8","26,3","4,8","16,9"
23/01/2014 16.00,"32,1","36,3","56,5","26,3","5,0","16,9"
23/01/2014 17.00,"55,8","60,8","31,9","26,3","6,2","16,9"
23/01/2014 18.00,"68,6","77,6","18,7","26,3","6,3","16,9"
23/01/2014 19.00,"87,7","133,7","3,1","26,3","7,1","16,9"
23/01/2014 20.00,"51,7","64,7","18,0","26,3","7,1","16,9"
23/01/2014 21.00,"48,7","56,9","16,3","26,3","5,6","16,9"
23/01/2014 22.00,"59,7","68,9","8,3","26,3","5,2","16,9"
23/01/2014 23.00,"65,5","82,8","5,3","26,3","5,5","16,9"
24/01/2014 0.00,"28,4","30,5","37,7","26,3","5,2","16,9"
24/01/2014 1.00,"14,7","16,1","51,3","17,6","3,7","10,9"
24/01/2014 2.00,"17,3","18,7","45,1","17,6","3,3","10,9"
24/01/2014 3.00,,,"45,1","17,6","4,2","10,9"
24/01/2014 4.00,"11,8","12,7","50,7","17,6","5,8","10,9"
24/01/2014 5.00,"19,3","21,9",,"17,6","3,6","10,9"
24/01/2014 6.00,"17,3","19,0","52,1","17,6","2,9","10,9"
24/01/2014 7.00,"50,9","60,9","20,5","17,6","3,1","10,9"
24/01/2014 8.00,"49,3","56,2","22,6","17,6","5,2","10,9"
24/01/2014 9.00,"61,9","81,1","13,7","17,6","7,3","10,9"
24/01/2014 10.00,"61,4","79,0","17,2","17,6","7,0","10,9"
24/01/2014 11.00,"64,8","97,6","12,1","17,6","6,9","10,9"
24/01/2014 12.00,"43,5","56,3","31,2","17,6","7,4","10,9"
24/01/2014 13.00,"37,7","44,7","35,6","17,6","5,6","10,9"
24/01/2014 14.00,"36,4","43,6","41,1","17,6","5,7","10,9"
24/01/2014 15.00,"18,9","22,2","58,8","17,6","4,3","10,9"
24/01/2014 16.00,"27,4","31,2","47,2","17,6","3,7","10,9"
24/01/2014 17.00,"28,1","31,1","45,0","17,6","4,1","10,9"
24/01/2014 18.00,"27,7","30,1","46,6","17,6","3,9","10,9"
24/01/2014 19.00,"25,4","27,6","49,8","17,6","4,0","10,9"
24/01/2014 20.00,"33,0","36,8","42,2","17,6","4,2","10,9"
24/01/2014 21.00,"46,4","53,5","28,8","17,6","5,2","10,9"
24/01/2014 22.00,"40,9","47,7","24,6","17,6","5,3","10,9"
24/01/2014 23.00,"24,9","28,1","35,4","17,6","4,8","10,9"
25/01/2014 0.00,"17,0","19,0","38,3","17,6","4,2","10,9"
25/01/2014 1.00,"14,5","16,0","35,5","16,8","4,2","6,7"
25/01/2014 2.00,"13,6","15,0","31,7","16,8","4,5","6,7"
25/01/2014 3.00,"12,2","13,5","29,2","16,8","5,0","6,7"
25/01/2014 4.00,"10,4","11,5","28,6","16,8","5,2","6,7"
25/01/2014 5.00,"9,6","11,2","29,9","16,8","5,3","6,7"
25/01/2014 6.00,"12,3","14,4","30,4","16,8","5,3","6,7"
25/01/2014 7.00,"13,3","15,6","32,6","16,8","5,4","6,7"
25/01/2014 8.00,"15,1","18,4","31,2","16,8","5,5","6,7"
25/01/2014 9.00,"22,7","29,0","24,5","16,8","5,7","6,7"
25/01/2014 10.00,"31,1","39,6","16,1","16,8","6,0","6,7"
25/01/2014 11.00,"29,2","39,2","25,8","16,8","6,3","6,7"
25/01/2014 12.00,"16,5","22,7","38,2","16,8","5,7","6,7"
25/01/2014 13.00,"17,3","23,8","38,6","16,8","5,8","6,7"
25/01/2014 14.00,"14,5","19,0","42,1","16,8","5,7","6,7"
25/01/2014 15.00,"11,0","13,5","48,3","16,8","5,7","6,7"
25/01/2014 16.00,"10,3","13,3","45,7","16,8","5,6","6,7"
25/01/2014 17.00,"13,2","16,2","43,7","16,8","5,6","6,7"
25/01/2014 18.00,"15,3","18,8","45,6","16,8","5,8","6,7"
25/01/2014 19.00,"19,5","24,5","42,6","16,8","5,7","6,7"
25/01/2014 20.00,"22,8","27,4","48,8","16,8","5,6","6,7"
25/01/2014 21.00,"33,6","39,4","37,2","16,8","5,3","6,7"
25/01/2014 22.00,"24,3","27,6","52,0","16,8","5,0","6,7"
25/01/2014 23.00,"24,8","27,6","49,7","16,8","4,6","6,7"
26/01/2014 0.00,"12,4","14,4","64,0","16,8","4,1","6,7"
26/01/2014 1.00,"9,1","10,7","66,4","16,7","3,9","6,4"
26/01/2014 2.00,"9,9","11,4","60,4","16,7","3,6","6,4"
26/01/2014 3.00,,,"57,5","16,7","3,8","6,4"
26/01/2014 4.00,"7,6","8,8","55,4","16,7","3,7","6,4"
26/01/2014 5.00,"8,4","9,8",,"16,7","3,7","6,4"
26/01/2014 6.00,"10,6","12,8","50,2","16,7","3,9","6,4"
26/01/2014 7.00,"14,9","16,7","46,1","16,7","4,1","6,4"
26/01/2014 8.00,"13,3","15,3","46,4","16,7","4,3","6,4"
26/01/2014 9.00,"14,9","18,6","45,3","16,7","4,1","6,4"
26/01/2014 10.00,"15,7","21,8","44,4","16,7","2,8","6,4"
26/01/2014 11.00,"14,8","21,3","48,2","16,7","5,2","6,4"
26/01/2014 12.00,"16,4","22,9","49,7","16,7","5,0","6,4"
26/01/2014 13.00,"20,4","26,3","51,8","16,7","4,9","6,4"
26/01/2014 14.00,"21,2","27,5","46,2","16,7","4,9","6,4"
26/01/2014 15.00,"13,8","16,9","53,8","16,7","4,6","6,4"
26/01/2014 16.00,"14,3","17,0","52,6","16,7","4,1","6,4"
26/01/2014 17.00,"14,7","17,1","53,9","16,7","4,0","6,4"
26/01/2014 18.00,"21,2","24,1","48,0","16,7","3,9","6,4"
26/01/2014 19.00,"26,1","29,9","41,3","16,7","4,3","6,4"
26/01/2014 20.00,"28,8","33,7","37,2","16,7","4,6","6,4"
26/01/2014 21.00,"18,7","22,0","57,4","16,7","4,8","6,4"
26/01/2014 22.00,"16,1","19,3","59,8","16,7","4,1","6,4"
26/01/2014 23.00,"11,3","13,5","63,5","16,7","3,9","6,4"
27/01/2014 0.00,"8,5","10,3","64,3","16,7","3,7","6,4"
27/01/2014 1.00,"7,5","9,1","60,8","17,8","3,6","12,6"
27/01/2014 2.00,"9,1","10,5","51,7","17,8","3,7","12,6"
27/01/2014 3.00,"6,6","7,9","56,2","17,8","3,9","12,6"
27/01/2014 4.00,"6,5","7,8","57,7","17,8","4,0","12,6"
27/01/2014 5.00,"7,7","9,2","56,1","17,8","3,8","12,6"
27/01/2014 6.00,"13,3","15,0","52,7","17,8","3,7","12,6"
27/01/2014 7.00,"20,3","22,3","49,4","17,8","3,9","12,6"
27/01/2014 8.00,"34,2","38,9","36,1","17,8","4,7","12,6"
27/01/2014 9.00,"36,2","47,0","34,8","17,8","5,9","12,6"
27/01/2014 10.00,"34,3","45,7","38,9","17,8","5,7","12,6"
27/01/2014 11.00,"25,3","34,0","49,7","17,8","5,5","12,6"
27/01/2014 12.00,"22,0","30,5","55,0","17,8","5,0","12,6"
27/01/2014 13.00,"21,0","27,2","62,0","17,8","4,5","12,6"
27/01/2014 14.00,"28,5","34,6","56,7","17,8","4,9","12,6"
27/01/2014 15.00,"33,8","39,0","50,4","17,8","5,4","12,6"
27/01/2014 16.00,"33,8","38,7","47,9","17,8","5,0","12,6"
27/01/2014 17.00,"47,3","53,2","33,4","17,8","5,1","12,6"
27/01/2014 18.00,"85,0","128,8","2,7","17,8","5,9","12,6"
27/01/2014 19.00,"65,6","89,4","4,3","17,8","6,7","12,6"
27/01/2014 20.00,"64,6","86,1","6,1","17,8","6,4","12,6"
27/01/2014 21.00,"69,6","95,7","7,5","17,8","6,9","12,6"
27/01/2014 22.00,"44,9","51,1","21,5","17,8","6,8","12,6"
27/01/2014 23.00,"31,8","34,5","39,7","17,8","5,1","12,6"
28/01/2014 0.00,"12,3","13,7","53,0","17,8","4,2","12,6"
28/01/2014 1.00,"9,8","11,0","60,8","12,8","3,5","8,5"
28/01/2014 2.00,"6,5","7,5","66,8","12,8","3,0","8,5"
28/01/2014 3.00,,,"67,0","12,8","3,0","8,5"
28/01/2014 4.00,"6,8","7,8","63,6","12,8","2,9","8,5"
28/01/2014 5.00,"8,8","10,0",,"12,8","3,2","8,5"
28/01/2014 6.00,"14,5","15,8","51,4","12,8","3,2","8,5"
28/01/2014 7.00,"23,4","25,3","43,3","12,8","3,6","8,5"
28/01/2014 8.00,"41,6","47,0","26,3","12,8","4,3","8,5"
28/01/2014 9.00,"47,7","60,7","23,8","12,8","6,4","8,5"
28/01/2014 10.00,"30,7","38,4","42,3","12,8","6,6","8,5"
28/01/2014 11.00,"27,2","33,9","47,6","12,8","5,2","8,5"
28/01/2014 12.00,"29,7","41,0","30,1","12,8","5,1","8,5"
28/01/2014 13.00,"21,1","29,9","50,0","12,8","4,9","8,5"
28/01/2014 14.00,"24,1","30,8","51,9","12,8","4,8","8,5"
28/01/2014 15.00,"22,0","29,0","56,6","12,8","4,6","8,5"
28/01/2014 16.00,"19,3","23,7","57,9","12,8","4,2","8,5"
28/01/2014 17.00,"22,5","25,5","55,2","12,8","4,4","8,5"
28/01/2014 18.00,"33,2","36,6","42,1","12,8","4,7","8,5"
28/01/2014 19.00,"38,7","44,2","33,9","12,8","5,1","8,5"
28/01/2014 20.00,"42,9","49,7","28,9","12,8","5,6","8,5"
28/01/2014 21.00,"42,1","48,6","28,3","12,8","5,7","8,5"
28/01/2014 22.00,"40,2","45,9","30,4","12,8","5,5","8,5"
28/01/2014 23.00,"27,9","31,0","40,2","12,8","4,8","8,5"
29/01/2014 0.00,"18,1","19,9","46,4","12,8","4,5","8,5"
29/01/2014 1.00,"13,7","15,2","48,3","23,7","4,1","14,8"
29/01/2014 2.00,"10,7","11,9","49,3","23,7","4,0","14,8"
29/01/2014 3.00,"8,9","10,2","50,0","23,7","3,9","14,8"
29/01/2014 4.00,"7,7","8,9","49,5","23,7","3,9","14,8"
29/01/2014 5.00,"11,0","12,6","46,4","23,7","3,9","14,8"
29/01/2014 6.00,"16,1","18,2","38,4","23,7","3,8","14,8"
29/01/2014 7.00,"25,0","27,6","30,6","23,7","4,2","14,8"
29/01/2014 8.00,"36,9","42,4","31,3","23,7","5,2","14,8"
29/01/2014 9.00,"47,6","64,9","30,6","23,7","6,0","14,8"
29/01/2014 10.00,"44,2","65,6","34,3","23,7","6,7","14,8"
29/01/2014 11.00,"29,2","40,6","49,9","23,7","6,3","14,8"
29/01/2014 12.00,"22,1","30,7","55,1","23,7","5,2","14,8"
29/01/2014 13.00,"14,9","20,1","66,3","23,7","4,5","14,8"
29/01/2014 14.00,"22,0","29,1","63,7","23,7","4,4","14,8"
29/01/2014 15.00,"19,7","24,8","68,1","23,7","4,4","14,8"
29/01/2014 16.00,"19,3","23,5","69,1","23,7","3,7","14,8"
29/01/2014 17.00,"28,3","31,6","59,7","23,7","4,0","14,8"
29/01/2014 18.00,"48,8","52,4","38,7","23,7","5,8","14,8"
29/01/2014 19.00,"56,5","61,6","29,1","23,7","5,9","14,8"
29/01/2014 20.00,"48,4","52,9","36,8","23,7","5,7","14,8"
29/01/2014 21.00,"54,5","61,9","25,3","23,7","5,7","14,8"
29/01/2014 22.00,"58,6","69,7","15,7","23,7","6,2","14,8"
29/01/2014 23.00,"49,6","56,1","23,4","23,7","5,8","14,8"
30/01/2014 0.00,"23,9","25,8","44,1","23,7","4,4","14,8"
30/01/2014 1.00,"12,4","14,1","58,9","28,4","3,9","10,8"
30/01/2014 2.00,"13,6","15,0","51,2","28,4","3,3","10,8"
30/01/2014 3.00,,,"46,9","28,4","4,5","10,8"
30/01/2014 4.00,"7,9","9,1","60,2","28,4","4,7","10,8"
30/01/2014 5.00,"9,7","11,7",,"28,4","3,5","10,8"
30/01/2014 6.00,"13,9","15,4","52,2","28,4","3,9","10,8"
30/01/2014 7.00,"22,3","24,1","50,2","28,4","4,3","10,8"
30/01/2014 8.00,"43,1","48,9","25,9","28,4","4,1","10,8"
30/01/2014 9.00,"49,7","64,4","25,2","28,4","6,4","10,8"
30/01/2014 10.00,"28,4","34,2","50,8","28,4","6,3","10,8"
30/01/2014 11.00,"34,0","40,4","44,6","28,4","4,9","10,8"
30/01/2014 12.00,"25,7","30,5","54,1","28,4","4,8","10,8"
30/01/2014 13.00,"16,1","19,8","66,4","28,4","4,2","10,8"
30/01/2014 14.00,"16,2","20,1","66,8","28,4","3,7","10,8"
30/01/2014 15.00,"13,6","15,9","67,5","28,4","3,2","10,8"
30/01/2014 16.00,"17,4","20,2","65,1","28,4","3,1","10,8"
30/01/2014 17.00,"15,8","17,9","66,4","28,4","3,0","10,8"
30/01/2014 18.00,"19,1","21,0","61,0","28,4","2,9","10,8"
30/01/2014 19.00,"23,9","26,1","57,4","28,4","3,3","10,8"
30/01/2014 20.00,"17,9","20,1","65,5","28,4","3,1","10,8"
30/01/2014 21.00,"15,7","17,7","68,3","28,4","2,8","10,8"
30/01/2014 22.00,"14,5","16,6","69,3","28,4","2,6","10,8"
30/01/2014 23.00,"9,4","10,8","73,3","28,4","2,3","10,8"
31/01/2014 0.00,"5,2","6,4","76,1","28,4","1,9","10,8"
31/01/2014 1.00,"4,3","5,6","76,3","41,5","1,8","12,4"
31/01/2014 2.00,"3,2","4,4","76,9","41,5","1,7","12,4"
31/01/2014 3.00,"2,8","3,7","77,9","41,5","1,5","12,4"
31/01/2014 4.00,"2,9","4,0","77,9","41,5","1,5","12,4"
31/01/2014 5.00,"3,7","4,8","77,9","41,5","1,5","12,4"
31/01/2014 6.00,"4,3","5,3","77,4","41,5","1,5","12,4"
31/01/2014 7.00,"5,9","7,1","76,6","41,5","1,6","12,4"
31/01/2014 8.00,"9,1","10,6","74,0","41,5","1,8","12,4"
31/01/2014 9.00,"9,6","11,5","73,7","41,5","2,0","12,4"
31/01/2014 10.00,"8,6","10,6","74,5","41,5","2,2","12,4"
31/01/2014 11.00,"7,7","9,6","74,3","41,5","2,2","12,4"
31/01/2014 12.00,"8,2","10,3","72,8","41,5","2,3","12,4"
31/01/2014 13.00,"9,2","11,5","72,0","41,5","2,5","12,4"
31/01/2014 14.00,"8,1","10,7","72,8","41,5","2,4","12,4"
31/01/2014 15.00,"6,6","8,4","73,3","41,5","2,2","12,4"
31/01/2014 16.00,"8,8","10,4","71,4","41,5","2,1","12,4"
31/01/2014 17.00,"9,3","11,0","72,1","41,5","2,3","12,4"
31/01/2014 18.00,"11,6","13,5","70,5","41,5","2,6","12,4"
31/01/2014 19.00,"15,0","17,0","66,6","41,5","3,3","12,4"
