Stat,TA V.Archimede,,,,,
,,,,,,,,,,
Parm,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
30/09/2014 8.00,"6,0","117,4","58,8","0,3","1,6","10,7"
30/09/2014 9.00,"6,3","78,0","47,6","0,4","1,9",
30/09/2014 10.00,"5,3","44,8","33,8","0,5","2,4","19,0"
30/09/2014 11.00,"4,6","42,6","33,2","0,4","2,2",
30/09/2014 12.00,"4,2","33,7","28,3","0,3","2,4","32,2"
30/09/2014 13.00,"4,1","24,6","19,8","0,3","1,2",
30/09/2014 14.00,"4,3","29,9","25,1","0,3","1,6","27,4"
30/09/2014 15.00,"3,5","36,0","30,8","0,4","1,9",
30/09/2014 16.00,"4,1","30,4","26,3","0,3","1,8","17,6"
30/09/2014 17.00,"4,4","33,6","29,9","0,4","1,9",
30/09/2014 18.00,"3,5","33,8","30,4","0,4","1,5","20,5"
30/09/2014 19.00,"3,7","30,4","27,3","0,4","1,1",
30/09/2014 20.00,"3,2","27,8","24,4","0,3","1,3","27,8"
30/09/2014 21.00,"3,2","44,5","40,6","0,3","1,6",
30/09/2014 22.00,"2,3","29,5","26,1","0,3","1,4","19,5"
30/09/2014 23.00,"3,7","27,9","24,5","0,3","0,8",
01/10/2014 0.00,"3,7","17,0","13,9","0,2","0,8","13,2"
01/10/2014 1.00,"4,0","11,0","8,3","0,2","0,9",
01/10/2014 2.00,"4,0","9,9","6,8","0,2",,"26,9"
01/10/2014 3.00,,"10,8","8,1",,"1,1",
01/10/2014 4.00,"4,2","9,9","7,1","0,2","1,0","16,1"
01/10/2014 5.00,"4,1",,,"0,2","1,3",
01/10/2014 6.00,"5,0","78,3","58,5","0,2","1,4","9,8"
01/10/2014 7.00,"3,7","71,3","54,6","0,2","1,5",
01/10/2014 8.00,"5,2","77,7","57,7","0,2","1,1","7,3"
01/10/2014 9.00,"7,3","81,0","59,9","0,3","2,1",
01/10/2014 10.00,"4,8","39,2","33,5","0,2","2,9","20,0"
01/10/2014 11.00,"3,6","42,5","34,9","0,3","2,1",
01/10/2014 12.00,"2,7","48,1","41,5","0,5","2,8","34,2"
01/10/2014 13.00,"3,8","28,8","24,6","0,3","1,5",
01/10/2014 14.00,"3,2","41,1","36,0","0,3","1,5","25,4"
01/10/2014 15.00,"4,3","38,2","33,5","0,3","1,6",
01/10/2014 16.00,"3,2",,,,,"18,6"
01/10/2014 17.00,"1,7","29,5","26,7","0,2","1,3",
01/10/2014 18.00,"2,0","19,0","16,2","0,2","0,9","17,1"
01/10/2014 19.00,"1,2","28,3","25,4","0,3","1,2",
01/10/2014 20.00,"2,2","44,1","41,2","0,2","1,3","27,8"
01/10/2014 21.00,"0,8","46,7","43,8","0,2","0,8",
01/10/2014 22.00,"1,4","30,2","27,5","0,2","0,6","16,6"
01/10/2014 23.00,"1,7","18,4","15,6","0,1","0,8",
02/10/2014 0.00,"1,1","24,4","21,6","0,2","0,5","14,2"
02/10/2014 1.00,"2,2","20,3","17,5","0,1","0,9",
02/10/2014 2.00,"2,7","13,7","10,9","0,1","0,9","14,2"
02/10/2014 3.00,"1,9","20,6","17,8","0,2","1,5",
02/10/2014 4.00,"2,5","19,0","16,3","0,1","0,7","19,0"
02/10/2014 5.00,"0,8","25,2","22,5","0,2","1,0",
02/10/2014 6.00,"2,2","64,5","53,0","0,2","1,1","11,7"
02/10/2014 7.00,"5,2","159,7","58,6","0,3","1,5",
02/10/2014 8.00,"4,3","102,9","58,3","0,3","1,4","14,2"
02/10/2014 9.00,"3,2","55,3","42,7","0,2","1,2",
02/10/2014 10.00,"3,1","46,0","36,6","0,3","2,1","19,5"
02/10/2014 11.00,"3,8","41,1","34,5","0,3","1,5",
02/10/2014 12.00,"3,9","28,4","24,7","0,3","1,0","28,3"
02/10/2014 13.00,"3,8","20,4","17,3","0,2","0,6",
02/10/2014 14.00,"3,8","17,9","15,2","0,2","0,9","32,7"
02/10/2014 15.00,"4,1","19,2","16,5","0,2","0,9",
02/10/2014 16.00,"4,2","12,0","9,3","0,2","0,6","18,6"
02/10/2014 17.00,"4,2","14,9","12,3","0,2","0,5",
02/10/2014 18.00,"3,8","17,1","14,6","0,2","1,7","12,2"
02/10/2014 19.00,"3,0","15,9","13,0","0,2","1,0",
02/10/2014 20.00,"2,0","13,6","11,3","0,2","0,7","26,4"
02/10/2014 21.00,"0,7","11,8","9,0","0,2","0,8",
02/10/2014 22.00,"0,3","9,1","6,2","0,2","0,6","36,1"
02/10/2014 23.00,"0,2","9,4","6,5","0,2","0,9",
03/10/2014 0.00,"0,1","7,0","4,7","0,2","0,6","33,2"
03/10/2014 1.00,"0,4","5,7","3,0","0,2","0,7",
03/10/2014 2.00,"0,8","24,8","18,7","0,2",,"25,9"
03/10/2014 3.00,,"17,6","14,7",,"1,8",
03/10/2014 4.00,"4,2","8,8","6,0","0,2","0,3","26,4"
03/10/2014 5.00,"2,5",,,"0,2","0,9",
03/10/2014 6.00,"2,1","29,8","19,7","0,2","0,8","27,8"
03/10/2014 7.00,"3,0","41,3","27,0","0,3","0,9",
03/10/2014 8.00,"1,9","46,9","29,7","0,3","1,1","21,0"
03/10/2014 9.00,"2,4","20,6","14,4","0,2","0,7",
03/10/2014 10.00,"2,0","21,3","15,2","0,2","0,8","27,8"
03/10/2014 11.00,"2,2","40,6","35,6","0,2","0,6",
03/10/2014 12.00,"2,5","31,5","25,3","0,3","0,6","15,6"
03/10/2014 13.00,"2,8","24,0","20,0","0,3","0,7",
03/10/2014 14.00,"2,3","17,0","14,0","0,2","0,5","9,3"
03/10/2014 15.00,"1,9","24,8","21,5","0,2","0,7",
03/10/2014 16.00,"1,7","15,9","13,0","0,2","0,5","13,2"
03/10/2014 17.00,"2,4","14,1","11,5","0,2","0,6",
03/10/2014 18.00,"1,7","18,5","15,6","0,2","0,7","8,3"
03/10/2014 19.00,"1,1","21,6","18,8","0,2","0,8",
03/10/2014 20.00,"1,9","12,1","9,4","0,2","0,8","22,5"
03/10/2014 21.00,"2,1","13,8","11,1","0,2","0,9",
03/10/2014 22.00,"2,1","15,3","12,4","0,2","0,9","21,0"
03/10/2014 23.00,"1,0","12,5","9,6","0,2","1,7",
04/10/2014 0.00,"2,8","9,7","6,7","0,2","0,9","23,9"
04/10/2014 1.00,"2,2","10,7","7,8","0,2","1,0",
04/10/2014 2.00,"1,7","9,9","7,1","0,2","0,7","25,4"
04/10/2014 3.00,"2,4","9,3","6,5","0,2","1,0",
04/10/2014 4.00,"2,1","9,2","6,3","0,1","1,0","23,0"
04/10/2014 5.00,"2,3","13,4","10,6","0,2","1,1",
04/10/2014 6.00,"2,2","28,2","22,7","0,2","0,7","37,1"
04/10/2014 7.00,"2,9","55,1","42,5","0,3","0,6",
04/10/2014 8.00,"1,4","28,6","24,5","0,2","0,8","33,7"
04/10/2014 9.00,"3,3","40,6","32,0","0,3","0,8",
04/10/2014 10.00,"3,9","34,6","25,7","0,4","0,9","18,6"
04/10/2014 11.00,"3,1","34,7","24,8","0,4","0,7",
04/10/2014 12.00,"3,9","24,3","18,4","0,3","0,4","13,2"
04/10/2014 13.00,"2,3","24,8","19,2","0,2","0,4",
04/10/2014 14.00,"2,5","13,4","10,3","0,2","0,7","7,8"
04/10/2014 15.00,"1,9","9,0","6,2","0,1","0,8",
04/10/2014 16.00,"2,8","8,5","5,8","0,1","0,5","14,2"
04/10/2014 17.00,"2,0","9,3","6,3","0,2","0,6",
04/10/2014 18.00,"2,8","7,9","5,9","0,1","0,7","8,8"
04/10/2014 19.00,"1,4","14,8","12,2","0,2","0,6",
04/10/2014 20.00,"1,2","17,5","15,2","0,2","0,5","14,7"
04/10/2014 21.00,"2,6","19,5","16,7","0,2","0,4",
04/10/2014 22.00,"1,4","11,5","8,8","0,2","0,3","12,2"
04/10/2014 23.00,"2,5","10,7","8,1","0,2","0,5",
05/10/2014 0.00,"1,8","8,6","6,1","0,2","0,4","8,3"
05/10/2014 1.00,"1,6","8,9","6,1","0,2","0,8",
05/10/2014 2.00,"2,8","5,6","2,8","0,2",,"43,5"
05/10/2014 3.00,,"4,9","2,5",,"0,7",
05/10/2014 4.00,"5,3","4,4","1,6","0,2","1,0","42,0"
05/10/2014 5.00,"3,0",,,"0,2","0,8",
05/10/2014 6.00,"2,4","5,6","3,0","0,2","0,9","34,7"
05/10/2014 7.00,"2,9","7,2","4,3","0,2","0,8",
05/10/2014 8.00,"2,9","8,3","5,6","0,2","0,6","21,0"
05/10/2014 9.00,"2,4","9,4","6,1","0,2","0,8",
05/10/2014 10.00,"2,4","6,2","3,0","0,2","0,6","22,0"
05/10/2014 11.00,"1,8","6,0","3,1","0,2","0,3",
05/10/2014 12.00,"3,4","6,2","3,3","0,2","0,4","17,6"
05/10/2014 13.00,"2,9","7,2","3,9","0,2","0,3",
05/10/2014 14.00,"2,9","7,3","4,9","0,3","0,6","9,3"
05/10/2014 15.00,"3,8","6,2","3,7","0,2","0,4",
05/10/2014 16.00,"2,8","8,5","6,0","0,2","0,4","3,9"
05/10/2014 17.00,"3,7","12,0","9,1","0,2","0,2",
05/10/2014 18.00,"2,8","16,9","14,0","0,2","0,5","4,4"
05/10/2014 19.00,"2,2","21,1","18,1","0,2","0,4",
05/10/2014 20.00,"2,6","24,8","21,9","0,2","0,4","9,8"
05/10/2014 21.00,"2,4","21,1","18,0","0,2","0,3",
05/10/2014 22.00,"1,7","18,3","15,7","0,2","0,5","17,6"
05/10/2014 23.00,"2,5","12,4","9,4","0,2","0,8",
06/10/2014 0.00,"2,6","9,2","6,6","0,2","1,4","13,2"
06/10/2014 1.00,"2,2","7,4","4,6","0,2","1,8",
06/10/2014 2.00,"3,4","11,8","8,9","0,3","1,2","15,1"
06/10/2014 3.00,"2,6","26,8","23,2","0,6","3,5",
06/10/2014 4.00,"2,7","14,5","12,1","0,4","2,1","16,6"
06/10/2014 5.00,"2,0","10,0","7,5","0,2","1,6",
06/10/2014 6.00,"2,4","15,8","12,9","0,2","0,7","21,5"
06/10/2014 7.00,"2,0","22,5","19,3","0,2","0,5",
06/10/2014 8.00,"2,3","35,7","28,6","0,2","0,9","12,2"
06/10/2014 9.00,"2,6","20,8","17,3","0,1","0,5",
06/10/2014 10.00,"1,4","17,1","13,7","0,2","0,7","19,0"
06/10/2014 11.00,"2,9","15,7","12,1","0,2","0,7",
06/10/2014 12.00,"1,8","30,6","22,8","0,5","2,3","70,3"
06/10/2014 13.00,"3,0","45,4","32,9","0,9","5,5",
06/10/2014 14.00,"3,2","39,7","31,0","0,7","4,7","36,6"
06/10/2014 15.00,"2,6","39,3","30,0","0,7","5,1",
06/10/2014 16.00,"3,7","43,1","31,6","0,7","4,4","19,5"
06/10/2014 17.00,"3,4","33,3","26,8","0,7","4,7",
06/10/2014 18.00,"2,4","28,1","24,0","0,4","2,2","12,7"
06/10/2014 19.00,"1,1","42,7","35,3","0,9","5,3",
06/10/2014 20.00,"1,8","48,9","38,8","0,7","6,8","22,5"
06/10/2014 21.00,"0,9","26,5","21,7","0,4","0,8",
06/10/2014 22.00,"2,9","26,3","23,4","0,4","0,8","18,1"
06/10/2014 23.00,"2,6","27,1","23,8","0,4","1,0",
07/10/2014 0.00,"1,9","29,8","26,8","0,3","0,7","21,0"
07/10/2014 1.00,"2,5","27,7","24,1","0,4","2,0",
07/10/2014 2.00,"2,2","10,9","8,3","0,1",,"28,3"
07/10/2014 3.00,,"12,2","9,3",,"0,3",
07/10/2014 4.00,"4,3","15,0","11,9","0,1","0,3","23,9"
07/10/2014 5.00,"3,6",,,"0,1","0,3",
07/10/2014 6.00,"3,6","47,5","23,6","0,1","0,5","23,9"
07/10/2014 7.00,"5,0","98,4","27,1","0,2","0,5",
07/10/2014 8.00,"4,7","79,0","33,3","0,2","0,3","19,5"
07/10/2014 9.00,"3,9","40,0","26,4","0,2","0,9",
07/10/2014 10.00,"3,9","28,3","18,9","0,2","0,2","14,2"
07/10/2014 11.00,"2,7",,,,,
07/10/2014 12.00,"4,6","14,4","10,5","0,1","1,6","12,7"
07/10/2014 13.00,"4,2","13,4","10,2","0,1","1,8",
07/10/2014 14.00,"4,0","10,2","7,3","0,1","1,8","7,8"
07/10/2014 15.00,"4,1","11,0","8,1","0,1","1,7",
07/10/2014 16.00,"4,1","10,4","7,5","0,1","1,6","9,3"
07/10/2014 17.00,"3,1","21,9","16,4","0,1","1,8",
07/10/2014 18.00,"2,1","14,5","11,7","0,1","1,8","6,3"
07/10/2014 19.00,"2,3","30,9","27,7","0,2","1,8",
07/10/2014 20.00,"4,2","37,6","34,2","0,2","1,6","4,4"
07/10/2014 21.00,"3,7","42,1","37,5","0,2","1,5",
07/10/2014 22.00,"1,9","26,2","23,4","0,1","1,7","8,3"
07/10/2014 23.00,"2,6","16,2","13,8","0,1","1,9",
08/10/2014 0.00,"3,1","22,4","19,7","0,1","1,8","6,8"
08/10/2014 1.00,"2,9","14,4","11,9","0,2","1,8",
08/10/2014 2.00,"2,4","11,3","8,7","0,1","1,8","6,3"
08/10/2014 3.00,"2,9","13,7","10,9","0,2","1,8",
08/10/2014 4.00,"2,4","23,8","19,4","0,2","2,0","5,4"
08/10/2014 5.00,"2,8","22,0","18,4","0,1","1,5",
08/10/2014 6.00,"2,9","39,5","27,2","0,1","1,2","13,2"
08/10/2014 7.00,"5,0","79,8","36,1","0,2","1,7",
08/10/2014 8.00,"4,4","65,1","34,0","0,2","1,7","15,6"
08/10/2014 9.00,"5,3","45,4","33,2","0,2","1,7",
08/10/2014 10.00,"4,8","50,9","36,7","0,3","2,3","10,7"
08/10/2014 11.00,"3,6","36,9","29,3","0,3","1,9",
08/10/2014 12.00,"3,5","29,6","24,3","0,2","1,7","10,3"
08/10/2014 13.00,"3,9","26,8","22,5","0,2","1,9",
08/10/2014 14.00,"4,0","25,2","21,3","0,2","1,1","22,0"
08/10/2014 15.00,"5,0","30,4","26,2","0,2","1,4",
08/10/2014 16.00,"4,6","24,0","21,1","0,3","1,2","13,7"
08/10/2014 17.00,"3,2","18,8","16,0","0,2","1,1",
08/10/2014 18.00,"2,9","16,5","14,3","0,2","1,3","8,8"
08/10/2014 19.00,"2,8","30,8","27,9","0,2","1,5",
08/10/2014 20.00,"2,1","22,0","19,0","0,2","1,5","9,8"
08/10/2014 21.00,"2,7","20,8","17,9","0,2","1,4",
08/10/2014 22.00,"2,5","30,4","25,3","0,1","1,2","21,0"
08/10/2014 23.00,"1,6","25,6","22,1","0,1","1,3",
09/10/2014 0.00,"1,5","21,9","18,9","0,1","1,2","13,2"
09/10/2014 1.00,"2,0","32,3","24,9","0,2","1,5",
09/10/2014 2.00,"2,4","31,1","25,5","0,1",,"15,6"
09/10/2014 3.00,,"24,1","20,2",,"1,4",
09/10/2014 4.00,,"19,1","15,9","0,3","1,6","9,8"
09/10/2014 5.00,,,,"0,3","1,6",
09/10/2014 6.00,,"31,9","25,1","0,3","1,2","32,2"
09/10/2014 7.00,,"95,4","37,9","0,3","1,2",
09/10/2014 8.00,,"81,8","40,6","0,4","1,8","23,4"
09/10/2014 9.00,,"68,6","45,4","0,5","2,4",
09/10/2014 10.00,,"52,6","40,2","0,7","3,5","19,0"
09/10/2014 11.00,,"41,2","34,2","0,4","2,4",
09/10/2014 12.00,,"42,5","35,8","0,4","2,2","25,4"
09/10/2014 13.00,"6,6","16,1","13,1","0,2","1,5",
09/10/2014 14.00,"4,4","13,4","10,5","0,3","1,6","23,4"
09/10/2014 15.00,"5,0","13,3","10,4","0,3","0,7",
09/10/2014 16.00,"4,7","13,2","10,3","0,3","1,3","13,2"
09/10/2014 17.00,"3,7","14,5","11,6","0,3","1,3",
09/10/2014 18.00,"2,9","14,0","11,7","0,3","1,4","13,2"
09/10/2014 19.00,"3,4","23,7","21,1","0,4","1,5",
09/10/2014 20.00,"3,6","32,1","29,4","0,3","1,8","16,6"
09/10/2014 21.00,"3,2","18,8","16,1","0,3","1,7",
09/10/2014 22.00,"4,0","23,1","20,2","0,3","1,4","9,3"
09/10/2014 23.00,"3,5","36,9","32,6","0,3","1,4",
10/10/2014 0.00,"3,6","20,7","17,4","0,3","1,5","13,2"
10/10/2014 1.00,"4,2","10,1","7,3","0,3","1,5",
10/10/2014 2.00,"3,9","10,9","8,2","0,3","0,9","23,9"
10/10/2014 3.00,"3,7","18,9","15,9","0,3","1,4",
10/10/2014 4.00,"3,0","18,4","15,4","0,2","1,5","22,0"
10/10/2014 5.00,"2,7","29,9","22,7","0,2","1,7",
10/10/2014 6.00,"3,4","38,8","29,0","0,2","1,6","14,7"
10/10/2014 7.00,"4,9","88,7","44,6","0,3","1,6",
10/10/2014 8.00,"3,6","110,1","47,6","0,3","1,7","9,3"
10/10/2014 9.00,"5,0","90,4","51,2","0,4","2,1",
10/10/2014 10.00,"5,4","82,9","52,2","0,5","3,2","11,2"
10/10/2014 11.00,"3,8","33,8","27,7","0,3","1,9",
10/10/2014 12.00,"3,7","22,6","18,7","0,3","1,6","13,7"
10/10/2014 13.00,"4,3","15,1","12,1","0,2","1,3",
10/10/2014 14.00,"4,4","13,9","11,1","0,2","1,4","25,9"
10/10/2014 15.00,"4,1","15,1","12,1","0,2","1,3",
10/10/2014 16.00,"1,5","14,2","11,3","0,2","1,1","15,6"
10/10/2014 17.00,"1,9","23,8","20,9","0,3","1,5",
10/10/2014 18.00,"3,0","28,1","25,3","0,3","1,2","19,5"
10/10/2014 19.00,"1,4","22,0","19,2","0,3","1,5",
10/10/2014 20.00,"2,4","56,2","47,2","0,2","1,7","11,2"
10/10/2014 21.00,"2,2","30,9","27,6","0,2","1,8",
10/10/2014 22.00,"2,5","20,8","17,9","0,3","1,3","11,7"
10/10/2014 23.00,"3,0","20,5","17,6","0,3","0,9",
11/10/2014 0.00,"3,2","27,3","24,4","0,3","1,5","16,6"
11/10/2014 1.00,"3,1","40,2","32,2","0,3","1,7",
11/10/2014 2.00,"2,9","19,1","16,1","0,2",,"14,2"
11/10/2014 3.00,,"13,6","10,7",,"1,1",
11/10/2014 4.00,"4,8","15,6","12,8","0,2","1,6","12,7"
11/10/2014 5.00,"3,2",,,"0,1","1,4",
11/10/2014 6.00,"4,1","50,5","30,6","0,2","1,7","20,0"
11/10/2014 7.00,"5,2","88,6","42,7","0,2","1,5",
11/10/2014 8.00,"5,8","81,9","39,9","0,2","1,4","14,7"
11/10/2014 9.00,"6,4","76,1","42,9","0,4","2,1",
11/10/2014 10.00,"6,3","71,7","48,8","0,5","3,0","9,8"
11/10/2014 11.00,"4,5","42,6","34,8","0,3","2,0",
11/10/2014 12.00,"3,1","33,9","28,3","0,3","1,4","23,0"
11/10/2014 13.00,"4,0","21,8","17,6","0,2","1,2",
11/10/2014 14.00,"3,0","19,5","15,7","0,2","1,2","25,4"
11/10/2014 15.00,"4,7","14,5","11,5","0,2","1,7",
11/10/2014 16.00,"4,6","12,3","9,4","0,2","1,2","19,5"
11/10/2014 17.00,"3,9","11,7","8,8","0,2","1,4",
11/10/2014 18.00,"4,1","11,0","8,0","0,2","1,2","17,6"
11/10/2014 19.00,"4,5","16,9","14,1","0,3","1,7",
11/10/2014 20.00,"4,1","40,0","35,3","0,2","1,4","10,7"
11/10/2014 21.00,"3,4","25,7","22,8","0,2","1,3",
11/10/2014 22.00,"2,4","23,7","20,5","0,2","1,2","15,6"
11/10/2014 23.00,"3,5","23,4","20,3","0,2","1,2",
12/10/2014 0.00,"3,9","19,0","16,0","0,2","1,3","21,0"
12/10/2014 1.00,"3,9","17,5","14,5","0,3","1,5",
12/10/2014 2.00,"2,4","27,9","23,9","0,3","1,3","17,1"
12/10/2014 3.00,"2,7","24,5","20,9","0,3","1,5",
12/10/2014 4.00,"3,7","14,5","11,5","0,3","1,4","19,5"
12/10/2014 5.00,"4,0","17,5","14,5","0,5","1,4",
12/10/2014 6.00,"4,0","22,9","19,5","0,5","0,8","23,9"
12/10/2014 7.00,"4,2","23,1","19,6","0,5","1,2",
12/10/2014 8.00,"4,0","41,4","29,0","0,4","0,9","16,1"
12/10/2014 9.00,"5,0","33,3","25,6","0,3","2,2",
12/10/2014 10.00,"4,1","35,4","29,2","0,5","3,4","10,7"
12/10/2014 11.00,"5,0","42,5","34,4","0,7","5,1",
12/10/2014 12.00,"4,2","31,8","26,2","0,5","4,6","28,3"
12/10/2014 13.00,"4,0","34,8","29,5","0,5","2,5",
12/10/2014 14.00,"4,4","17,7","14,7","0,3","1,3","34,7"
12/10/2014 15.00,"4,1","12,3","9,6","0,2","0,5",
12/10/2014 16.00,"2,4","11,3","8,4","0,2","0,9","32,7"
12/10/2014 17.00,"3,0","8,9","6,3","0,2","0,8",
12/10/2014 18.00,"2,7","9,6","7,1","0,2","0,9","26,9"
12/10/2014 19.00,"3,0","12,5","9,8","0,2","1,2",
12/10/2014 20.00,"3,4","35,0","31,7","0,3","1,2","22,0"
12/10/2014 21.00,"4,0","36,2","32,9","0,2","1,5",
12/10/2014 22.00,"2,5","29,0","25,9","0,3","1,0","27,4"
12/10/2014 23.00,"3,8","21,3","17,4","0,3","0,4",
13/10/2014 0.00,"3,7","26,5","21,0","0,2","0,9","27,4"
13/10/2014 1.00,"3,7","15,7","12,8","0,2","0,7",
13/10/2014 2.00,"3,0","18,4","14,3","0,2",,"25,4"
13/10/2014 3.00,,"15,1","11,8",,"0,7",
13/10/2014 4.00,"5,5","19,1","14,9","0,2","0,9","51,3"
13/10/2014 5.00,"4,0",,,"0,2","0,8",
13/10/2014 6.00,"5,3","84,6","28,2","0,2","1,1","36,1"
13/10/2014 7.00,"7,6","153,6","33,5","0,3","1,4",
13/10/2014 8.00,"5,9","113,6","37,9","0,3","0,6","20,5"
13/10/2014 9.00,"3,3","45,7","31,9","0,2","0,7",
13/10/2014 10.00,,"18,1","13,3","0,2","1,7",
13/10/2014 11.00,,"37,2","22,6","0,2",,
13/10/2014 12.00,,,,,,
13/10/2014 13.00,,"25,1","21,4","0,4","1,2",
13/10/2014 14.00,"5,4","24,6","20,9","0,4","1,2",
13/10/2014 15.00,"8,8","17,3","14,4","0,3","1,1",
13/10/2014 16.00,"5,4","15,7","12,8","0,3","1,1","19,5"
13/10/2014 17.00,"10,1","15,8","12,8","0,4","0,9",
13/10/2014 18.00,"10,1","13,7","10,8","0,3","1,0","21,5"
13/10/2014 19.00,"11,5","15,4","12,6","0,4","0,9",
13/10/2014 20.00,"10,1","14,5","11,6","0,4","0,6","33,2"
13/10/2014 21.00,"11,6","80,6","53,1","0,5","1,1",
13/10/2014 22.00,"9,3","50,4","41,6","0,6","1,0","28,3"
13/10/2014 23.00,"9,2","52,1","41,0","0,5","1,1",
14/10/2014 0.00,"11,2","36,0","28,8","0,4","0,8","52,7"
14/10/2014 1.00,"9,0","25,7","22,0","0,3","0,7",
14/10/2014 2.00,"8,6","17,0","14,0","0,3","1,0","41,0"
14/10/2014 3.00,"9,3","13,7","10,8","0,3","1,6",
14/10/2014 4.00,"8,8","13,5","10,6","0,3","0,8","53,2"
14/10/2014 5.00,"11,0","21,5","17,6","0,3","0,9",
14/10/2014 6.00,"12,1","27,7","21,1","0,3","1,3","48,4"
14/10/2014 7.00,"10,8","79,0","43,9","0,4","0,9",
14/10/2014 8.00,"10,5","109,1","52,3","0,5","1,1","64,0"
14/10/2014 9.00,"10,4","50,5","38,9","0,4","1,1",
14/10/2014 10.00,"9,7","32,4","25,9","0,4","1,0","43,0"
14/10/2014 11.00,"11,2","20,5","16,3","0,4","0,3",
14/10/2014 12.00,"10,9","18,9","14,8","0,4","0,5","21,5"
14/10/2014 13.00,"11,9","14,7","11,0","0,4","0,6",
14/10/2014 14.00,"10,0","13,0","9,8","0,4","1,0",
14/10/2014 15.00,"12,1","10,8","7,6","0,3","0,1",
14/10/2014 16.00,"11,3","9,4","6,5","0,3","0,7","24,4"
14/10/2014 17.00,"10,9","11,2","8,0","0,3","1,1",
14/10/2014 18.00,"10,5","13,0","9,2","0,4","0,9","24,9"
14/10/2014 19.00,"10,3","16,0","12,6","0,3","1,0",
14/10/2014 20.00,"11,0","12,6","9,6","0,3","1,2","32,7"
14/10/2014 21.00,"13,1","12,7","9,6","0,3","1,0",
14/10/2014 22.00,"10,0","9,6","6,6","0,3","1,2","47,4"
14/10/2014 23.00,"11,3","10,8","7,6","0,3","1,1",
15/10/2014 0.00,"13,5","7,9","4,9","0,3","0,8","40,5"
15/10/2014 1.00,"10,8","8,0","4,8","0,3","1,2",
15/10/2014 2.00,"10,5","6,4","3,8","0,3",,"124,5"
15/10/2014 3.00,,"7,4","4,6",,"0,2",
15/10/2014 4.00,,"7,0","4,1","0,1","0,3","115,3"
15/10/2014 5.00,,,,"0,1","0,4",
15/10/2014 6.00,,"28,0","22,5","0,1","0,3","58,1"
15/10/2014 7.00,,"28,3","22,4","0,1","0,6",
15/10/2014 8.00,,"27,9","21,7","0,1","0,6","120,1"
15/10/2014 9.00,,"24,9","18,0","0,2","0,5",
15/10/2014 10.00,,"19,8","13,8","0,2","0,1","159,2"
15/10/2014 11.00,,"20,8","14,3","0,3","0,2",
15/10/2014 12.00,,"17,5","12,3","0,2","0,2","80,1"
15/10/2014 13.00,,"15,0","10,9","0,2","0,2",
15/10/2014 14.00,,"15,2","11,1","0,2","0,3","40,5"
15/10/2014 15.00,,"12,3","7,9","0,1","0,3",
15/10/2014 16.00,,"9,0","5,6","0,2","1,6","40,5"
15/10/2014 17.00,"3,8","14,3","7,9","0,1","2,0",
15/10/2014 18.00,"3,1","10,4","7,0","0,1","2,0","35,2"
15/10/2014 19.00,"1,4","12,9","9,4","0,1","2,1",
15/10/2014 20.00,"0,8","8,8","5,8","0,1","2,0","38,6"
15/10/2014 21.00,"1,0","10,8","7,7","0,1","2,1",
15/10/2014 22.00,"1,9","11,0","8,0","0,1","1,8",
15/10/2014 23.00,"3,4","15,0","11,7","0,2","1,8",
16/10/2014 0.00,"1,6","13,9","11,0","0,1","1,7",
16/10/2014 1.00,"1,2","13,6","10,6","0,2","1,7",
16/10/2014 2.00,"0,1","9,2","6,0","0,2","1,5",
16/10/2014 3.00,"0,3","10,9","8,0","0,2","1,6",
16/10/2014 4.00,"0,6","14,5","11,5","0,2","2,0",
16/10/2014 5.00,"0,3","23,1","18,0","0,3","2,2",
16/10/2014 6.00,"0,4","37,7","24,6","0,4","2,7","115,8"
16/10/2014 7.00,"2,6","84,2","30,6","0,4","2,7",
16/10/2014 8.00,"1,6","68,1","30,3","0,4","2,5","58,1"
16/10/2014 9.00,"1,5","42,2","23,9","0,3","2,3",
16/10/2014 10.00,"6,0","46,8","32,2","0,4","1,8","29,3"
16/10/2014 11.00,"4,9","47,2","33,3","0,3","1,6",
16/10/2014 12.00,"5,6","36,6","28,3","0,3","2,5","15,1"
16/10/2014 13.00,"4,8","29,2","23,0","0,2","1,2",
16/10/2014 14.00,"3,8","22,4","18,0","0,2","1,4","7,8"
16/10/2014 15.00,"5,1","20,1","16,2","0,1","1,4",
16/10/2014 16.00,"5,6","23,0","19,4","0,1","1,5","28,3"
16/10/2014 17.00,"3,0","16,1","12,8","0,1","1,5",
16/10/2014 18.00,"4,6","15,7","12,7","0,1","1,5",
16/10/2014 19.00,"3,7","15,6","12,6","0,1","2,1",
16/10/2014 20.00,"5,0","29,6","26,7","0,2","2,0","28,8"
16/10/2014 21.00,"4,3","32,1","28,9","0,2","1,3",
16/10/2014 22.00,"3,5","39,5","36,1","0,1","2,2","38,6"
16/10/2014 23.00,"1,7","39,3","36,1","0,2","2,0",
17/10/2014 0.00,"2,5","30,9","27,7","0,1","1,8","50,8"
17/10/2014 1.00,"2,9","21,4","18,4","0,1","1,4",
