Stat,Campi Salentina,,,,,,  ,
Parm,NO2,NOX,CO,O3,PM10,PM2.5,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ug/m3,,
Field,,,Aver,Aver,Aver,Aver,,
09/01/2014 10.00,,,"0,83","51,04","45,86","23,49",,
09/01/2014 11.00,,,"0,75","56,63","45,86","23,49",,
09/01/2014 12.00,,,"0,72","59,18","45,86","23,49",,
09/01/2014 13.00,,,"0,75","62,77","45,86","23,49",,
09/01/2014 14.00,,,"0,83","58,73","45,86","23,49",,
09/01/2014 15.00,,,"0,76","54,05","45,86","23,49",,
09/01/2014 16.00,,,"0,81","55,90","45,86","23,49",,
09/01/2014 17.00,,,"0,92","53,11","45,86","23,49",,
09/01/2014 18.00,,,"1,13","38,70","45,86","23,49",,
09/01/2014 19.00,,,"1,39","19,65","45,86","23,49",,
09/01/2014 20.00,,,"1,76","11,20","45,86","23,49",,
09/01/2014 21.00,,,"1,60","10,22","45,86","23,49",,
09/01/2014 22.00,,,"1,31","8,87","45,86","23,49",,
09/01/2014 23.00,,,"1,27","6,91","45,86","23,49",,
10/01/2014 0.00,,,"1,26","6,88","45,86","23,49",,
10/01/2014 1.00,,,"1,26","6,24","61,10","38,53",,
10/01/2014 2.00,,,"1,14","8,91","61,10","38,53",,
10/01/2014 3.00,,,,"8,97","61,10","38,53",,
10/01/2014 4.00,,,"1,40","8,15","61,10","38,53",,
10/01/2014 5.00,,,"1,39",,"61,10","38,53",,
10/01/2014 6.00,,,"1,29","9,66","61,10","38,53",,
10/01/2014 7.00,,,"1,35","8,31","61,10","38,53",,
10/01/2014 8.00,,,"1,45","6,22","61,10","38,53",,
10/01/2014 9.00,,,"1,53","6,65","61,10","38,53",,
10/01/2014 10.00,,,"1,36","10,31","61,10","38,53",,
10/01/2014 11.00,,,"1,13","14,18","61,10","38,53",,
10/01/2014 12.00,,,"0,94","36,14","61,10","38,53",,
10/01/2014 13.00,,,"0,73","66,01","61,10","38,53",,
10/01/2014 14.00,,,"0,77","70,47","61,10","38,53",,
10/01/2014 15.00,,,"0,70","71,27","61,10","38,53",,
10/01/2014 16.00,,,"0,80","66,58","61,10","38,53",,
10/01/2014 17.00,,,"1,06","43,11","61,10","38,53",,
10/01/2014 18.00,,,"1,35","16,59","61,10","38,53",,
10/01/2014 19.00,,,"1,45","6,95","61,10","38,53",,
10/01/2014 20.00,,,"1,36","6,40","61,10","38,53",,
10/01/2014 21.00,,,"1,58","4,33","61,10","38,53",,
10/01/2014 22.00,,,"1,53","4,29","61,10","38,53",,
10/01/2014 23.00,,,"1,44","5,83","61,10","38,53",,
11/01/2014 0.00,,,"1,22","7,69","61,10","38,53",,
11/01/2014 1.00,,,"1,25","7,34","66,18","40,73",,
11/01/2014 2.00,,,"1,15","7,01","66,18","40,73",,
11/01/2014 3.00,,,"1,12","6,87","66,18","40,73",,
11/01/2014 4.00,,,"0,90","8,96","66,18","40,73",,
