Stat,TA V. Machiavelli,,,,,,,,
Parm,SO2,NOX,NO2,CO,BENZENE,PM10  orario,IPA TOT ,PM10,PM2.5
Unit,ug/m3 293K,,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3
07/01/2014 1.00,"3,3","43,9","38,7",,"1,1",,"4,7","31,3","16,9"
07/01/2014 2.00,"3,9","48,9","42,3",,"1,1",,"6,4","31,3","16,9"
07/01/2014 3.00,"3,5","28,7","23,8",,"2,6",,"2,1","31,3","16,9"
07/01/2014 4.00,"3,5","29,7","25,0",,"2,2",,"2,2","31,3","16,9"
07/01/2014 5.00,"3,8","24,6","20,0",,"0,8",,"2,0","31,3","16,9"
07/01/2014 6.00,"3,7","52,2","38,0",,"1,6",,"4,0","31,3","16,9"
07/01/2014 7.00,"4,7","129,8","60,8",,"2,9",,"28,1","31,3","16,9"
07/01/2014 8.00,"4,9","142,0","60,5",,"5,8",,"29,7","31,3","16,9"
07/01/2014 9.00,"4,3","64,6","42,6",,"1,8",,"14,6","31,3","16,9"
07/01/2014 10.00,"4,6","105,6","56,6",,"1,3",,"19,4","31,3","16,9"
07/01/2014 11.00,"4,5","116,0","63,4",,"1,3",,"11,3","31,3","16,9"
07/01/2014 12.00,"4,1","74,6","49,3",,"1,5",,"7,0","31,3","16,9"
07/01/2014 13.00,"3,9","74,6","50,9",,"2,1",,"4,7","31,3","16,9"
07/01/2014 14.00,"4,0","61,3","44,4",,"1,0",,"4,1","31,3","16,9"
07/01/2014 15.00,"4,1","60,4","43,4",,"2,3",,"7,2","31,3","16,9"
07/01/2014 16.00,"3,6","48,6","38,7",,"1,0",,"3,4","31,3","16,9"
07/01/2014 17.00,"3,5","60,1","51,3",,"1,9",,"6,2","31,3","16,9"
07/01/2014 18.00,"4,3","84,0","62,1",,"0,9",,"19,5","31,3","16,9"
07/01/2014 19.00,"5,5","225,3","87,6",,"2,3",,"74,4","31,3","16,9"
07/01/2014 20.00,"5,3","192,0","77,1",,"3,3",,"41,9","31,3","16,9"
07/01/2014 21.00,"6,4","247,7","77,1",,"3,0",,"63,4","31,3","16,9"
07/01/2014 22.00,"5,0","126,3","58,5",,"3,8",,"26,3","31,3","16,9"
07/01/2014 23.00,"4,3","86,8","51,1",,"3,0",,"34,6","31,3","16,9"
08/01/2014 0.00,"4,7","107,2","51,6",,"2,4",,"20,8","31,3","16,9"
08/01/2014 1.00,,"117,1","54,0","0,5","2,2",,"15,7","28,9","20,2"
08/01/2014 2.00,"4,3",,,"0,5","1,9",,"14,6","28,9","20,2"
08/01/2014 3.00,"3,9","50,7","34,4",,"1,8",,"9,4","28,9","20,2"
08/01/2014 4.00,"3,7","33,3","25,8","0,4","1,7",,"5,0","28,9","20,2"
08/01/2014 5.00,"4,0","37,7","26,5","0,4","3,4",,"6,8","28,9","20,2"
08/01/2014 6.00,"4,3","77,3","40,4","0,4","1,2",,"12,7","28,9","20,2"
08/01/2014 7.00,"4,8","115,1","49,1","0,7","1,4",,"31,0","28,9","20,2"
08/01/2014 8.00,"6,6","292,0","73,9","1,3","2,2",,"60,6","28,9","20,2"
08/01/2014 9.00,"9,8","379,0","90,7","2,0","4,0",,"88,0","28,9","20,2"
08/01/2014 10.00,"6,3","222,1","72,6","1,0","5,9",,"36,3","28,9","20,2"
08/01/2014 11.00,"4,5","99,2","53,7","0,4","2,2",,"13,2","28,9","20,2"
08/01/2014 12.00,"4,1","47,0","32,7","0,5","1,5",,"5,5","28,9","20,2"
08/01/2014 13.00,"3,9","36,9","27,1","0,5","0,9",,"4,7","28,9","20,2"
08/01/2014 14.00,"4,3","35,9","27,2","0,6","2,1",,"4,0","28,9","20,2"
08/01/2014 15.00,"3,8","41,5","32,0","0,7","1,0",,"4,4","28,9","20,2"
08/01/2014 16.00,"3,7","26,4","20,3","0,3","1,0",,"3,9","28,9","20,2"
08/01/2014 17.00,"3,7","30,7","25,2","0,3","0,8",,"5,2","28,9","20,2"
08/01/2014 18.00,"3,7","49,9","36,9","0,5","0,9",,"12,0","28,9","20,2"
08/01/2014 19.00,"3,8","53,0","41,7","0,5","2,9",,"13,6","28,9","20,2"
08/01/2014 20.00,"3,7","47,4","38,9","0,4","1,2",,"6,6","28,9","20,2"
08/01/2014 21.00,"3,4","42,5","29,9","0,3","1,5",,"8,2","28,9","20,2"
08/01/2014 22.00,"3,6","27,2","19,4","0,3","0,9",,"4,8","28,9","20,2"
08/01/2014 23.00,"3,4","25,9","19,7","0,2","0,8",,"2,3","28,9","20,2"
09/01/2014 0.00,"3,3","23,2","17,4","0,3","0,8",,"3,5","28,9","20,2"
09/01/2014 1.00,"3,1","38,3","32,5","0,5","0,8",,"2,2","40,1","26,0"
09/01/2014 2.00,"3,2","31,9","27,4","0,3","1,3",,"1,7","40,1","26,0"
09/01/2014 3.00,"3,6","31,7","26,1","0,4","1,1",,"2,4","40,1","26,0"
09/01/2014 4.00,"3,3","21,0","16,3","0,3","1,0",,"2,9","40,1","26,0"
09/01/2014 5.00,"3,2","27,8","22,2","0,3","2,2",,"4,6","40,1","26,0"
09/01/2014 6.00,"3,5","37,4","29,2","0,3","1,0",,"6,6","40,1","26,0"
09/01/2014 7.00,"4,7","144,2","61,5","0,6","1,1",,"20,3","40,1","26,0"
09/01/2014 8.00,"5,2","210,2","65,9","0,8","1,9",,"40,6","40,1","26,0"
09/01/2014 9.00,"4,5","147,3","59,9","0,7","2,4",,"28,0","40,1","26,0"
09/01/2014 10.00,"4,1","92,6","49,0","0,5","2,1",,"16,7","40,1","26,0"
09/01/2014 11.00,"3,8","82,9","51,5","0,5","1,6",,"8,0","40,1","26,0"
09/01/2014 12.00,"4,3","95,6","60,3","0,6","1,4",,"6,6","40,1","26,0"
09/01/2014 13.00,"4,1","77,8","51,9","0,5","1,5",,"6,7","40,1","26,0"
09/01/2014 14.00,"3,6","38,8","28,3","0,3","1,2",,"2,6","40,1","26,0"
09/01/2014 15.00,"3,5","39,8","30,4","0,4","2,2",,"2,6","40,1","26,0"
09/01/2014 16.00,"3,5","57,2","45,4","0,3","0,9",,"4,0","40,1","26,0"
09/01/2014 17.00,"3,8","47,9","40,1","0,4","2,0",,"7,8","40,1","26,0"
09/01/2014 18.00,"4,4","118,8","71,7","0,7","1,2",,"31,1","40,1","26,0"
09/01/2014 19.00,"4,1","136,3","80,0","0,7","1,9",,"29,7","40,1","26,0"
09/01/2014 20.00,"5,6","236,2","86,4","1,1","1,7",,"75,8","40,1","26,0"
09/01/2014 21.00,"4,1","121,1","67,3","0,7","2,9",,"27,6","40,1","26,0"
09/01/2014 22.00,"3,9","92,2","60,6","0,6","1,9",,"22,3","40,1","26,0"
09/01/2014 23.00,,,,,"2,2",,,"40,1","26,0"
10/01/2014 0.00,"4,3","86,6","43,2","0,6","2,2",,"24,5","40,1","26,0"
10/01/2014 1.00,,"46,6","35,0","0,4","1,8",,"8,2","36,0","27,3"
10/01/2014 2.00,"3,2",,,"0,4","1,5",,"4,3","36,0","27,3"
10/01/2014 3.00,"3,5","23,0","18,5",,"1,2",,"2,4","36,0","27,3"
10/01/2014 4.00,"3,4","16,7","12,3","0,3","1,1",,"2,0","36,0","27,3"
10/01/2014 5.00,"3,4","18,2","13,3","0,3","1,0",,"2,1","36,0","27,3"
10/01/2014 6.00,"3,4","20,6","16,2","0,3","1,0",,"2,7","36,0","27,3"
10/01/2014 7.00,"3,3","38,6","31,2","0,4","0,9",,"7,1","36,0","27,3"
10/01/2014 8.00,"3,5","74,9","53,2","0,5","1,2",,"24,8","36,0","27,3"
10/01/2014 9.00,"4,0","97,6","58,7","0,6","2,0",,"30,2","36,0","27,3"
10/01/2014 10.00,"4,0","74,8","46,4","0,5","1,7",,"16,4","36,0","27,3"
10/01/2014 11.00,"3,3","41,3","31,6","0,4","1,4",,"7,0","36,0","27,3"
10/01/2014 12.00,"3,4","25,8","19,2","0,3","1,4",,"4,2","36,0","27,3"
10/01/2014 13.00,"3,2","24,5","17,4","0,3","2,3",,"3,1","36,0","27,3"
10/01/2014 14.00,"3,3","29,7","21,3","0,3","0,9",,"3,9","36,0","27,3"
10/01/2014 15.00,"3,2","33,4","25,8","0,3","1,1",,"4,6","36,0","27,3"
10/01/2014 16.00,"3,1","37,4","30,3","0,3","1,0",,"4,4","36,0","27,3"
10/01/2014 17.00,"3,2","37,4","32,2","0,3","0,8",,"5,2","36,0","27,3"
10/01/2014 18.00,"3,5","34,7","30,2","0,4","0,9",,"4,7","36,0","27,3"
10/01/2014 19.00,"4,5","111,1","66,3","0,7","1,3",,"29,8","36,0","27,3"
10/01/2014 20.00,"5,1","195,9","86,3","1,1","2,8",,"69,6","36,0","27,3"
10/01/2014 21.00,"5,2","185,2","76,5","1,0","2,8",,"78,4","36,0","27,3"
10/01/2014 22.00,"4,7","112,3","60,8","0,9","3,5",,"32,2","36,0","27,3"
10/01/2014 23.00,"4,1","80,4","50,6","0,5","2,3",,"19,7","36,0","27,3"
11/01/2014 0.00,"4,2","73,1","43,5","0,5","1,5",,"22,1","36,0","27,3"
11/01/2014 1.00,"3,6","47,4","33,3","0,4","1,7",,"16,2","39,4","31,2"
11/01/2014 2.00,"3,6","35,2","28,1","0,4","2,9",,"9,2","39,4","31,2"
11/01/2014 3.00,"3,7","30,2","24,3","0,3","2,5",,"5,8","39,4","31,2"
11/01/2014 4.00,"3,4","26,9","20,7","0,3","2,7",,"5,5","39,4","31,2"
11/01/2014 5.00,"3,8","28,0","18,8","0,3","0,9",,"4,2","39,4","31,2"
11/01/2014 6.00,"3,7","49,7","27,3","0,4","0,8",,"10,6","39,4","31,2"
11/01/2014 7.00,"4,8","100,2","37,9","0,5","1,0",,"22,4","39,4","31,2"
11/01/2014 8.00,"5,1","160,7","47,6","0,8","1,4",,"47,6","39,4","31,2"
11/01/2014 9.00,"5,2","173,1","55,0","0,9","2,1",,"42,8","39,4","31,2"
11/01/2014 10.00,"4,9","126,5","49,8","0,6","2,7",,"25,5","39,4","31,2"
11/01/2014 11.00,"4,5","142,1","55,0","0,8","2,0",,"29,2","39,4","31,2"
11/01/2014 12.00,"4,2","77,9","52,4","0,6","2,4",,"13,4","39,4","31,2"
11/01/2014 13.00,"3,9","58,0","44,0","0,5","1,9",,"10,8","39,4","31,2"
11/01/2014 14.00,"3,5","43,2","33,0","0,4","1,6",,"6,5","39,4","31,2"
