,Regione Puglia,,,,,
,Bari Via Caldarola,,,,,
,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,
,,,
,,,,
,,,,,
,,,,
07/01/2008 15.00,"1,03145003","15,00529566","0,4248905","53,32800366","35,38515091","2,57999992"
07/01/2008 16.00,"0,83990502","11,02924726","0,35482675","56,61594288","35,38515091","1,65600002"
07/01/2008 17.00,"0,72174001","11,0956428","0,46532105","47,99764206","35,38515091","1,41999996"
07/01/2008 18.00,"0,73793101","15,44835204","0,5536008","30,79086282","35,38515091","1,55999994"
07/01/2008 19.00,"1,34460604","21,00255003","1,3330455","20,6017848","35,38515091","3,14700007"
07/01/2008 20.00,"1,377334","20,92083939","1,34819215","20,54078622","35,38515091","4,92749977"
07/01/2008 21.00,"1,36734295","20,81230569","1,20417995","20,48657616","35,38515091","4,37799978"
07/01/2008 22.00,"1,1882","20,05896519","0,96905325","19,98648198","35,38515091","3,773"
07/01/2008 23.00,"0,85575199","17,65088642","0,6117793","22,53035232","35,38515091","2,65350008"
08/01/2008 0.00,"0,80269802","15,45728867","0,5334436","25,09727616","35,38515091","1,85950005"
08/01/2008 1.00,,"16,15571338","0,66727945","23,17276998","27,73489952","2,23850012"
08/01/2008 2.00,"0,37854901",,"0,44407595","35,49779892","27,73489952","1,75049996"
08/01/2008 3.00,"0,46557599","10,46999022",,"35,9531595","27,73489952","1,58399999"
08/01/2008 4.00,"0,58818698","11,14033348","0,3871107","26,48103552","27,73489952","1,5675"
08/01/2008 5.00,"0,438568","14,05405891","0,4731399",,"27,73489952","1,69649994"
08/01/2008 6.00,"0,57318199","15,65519621","0,46778435","18,5069162","27,73489952","1,7105"
08/01/2008 7.00,"0,45057201","12,7133818","0,4673577","26,47764126","27,73489952","1,75999999"
08/01/2008 8.00,"0,46128899","13,73484945","0,50297895","26,38799748","27,73489952","1,55200005"
08/01/2008 9.00,"0,64006001","18,00455956","0,9628467","23,71797054","27,73489952","2,13450003"
08/01/2008 10.00,"0,654208","23,03399241","1,23304035","23,3200377","27,73489952","3,85349989"
08/01/2008 11.00,"0,57875502","22,06104516","0,9243148","26,24404554","27,73489952","3,82299995"
08/01/2008 12.00,"0,61948198","22,17723453","0,78198045","27,8846307","27,73489952","3,24699998"
08/01/2008 13.00,"0,48915499","21,86952174","0,82404515","27,74203254","27,73489952","2,81100011"
08/01/2008 14.00,"0,57532501","20,86847235","0,8401095","39,02518062","27,73489952","3,20350003"
08/01/2008 15.00,"0,369546","10,60916541","0,3270807","65,61557802","27,73489952","1,82050002"
08/01/2008 16.00,"0,515306","16,68432893","0,6232724","36,81826416","27,73489952","1,57449996"
08/01/2008 17.00,"0,54617298","18,69404576","0,7900523","22,45628682","27,73489952","2,38800001"
08/01/2008 18.00,"0,64006001","21,19918977","0,8862475","21,84920478","27,73489952","2,78550005"
08/01/2008 19.00,"0,62205499","22,63051791","0,9574923","21,03978168","27,73489952","3,14899993"
08/01/2008 20.00,"0,50373101","22,09678416","0,9701814","21,2733774","27,73489952","3,43650007"
08/01/2008 21.00,"0,50716102","21,92186997","1,0193071","20,28331296","27,73489952","3,63700008"
