Stat,COSTA Morena Diga,,  ,
Parm,PM10,,,
Unit,ug/m3,,,
Field,Aver,,,
20/01/2014 17.00,,,,
20/01/2014 18.00,"104,5",,,
20/01/2014 19.00,,,,
20/01/2014 20.00,"108,7",,,
20/01/2014 21.00,,,,
20/01/2014 22.00,"171,6",,,
20/01/2014 23.00,,,,
21/01/2014 0.00,"157,8",,,
21/01/2014 1.00,,,,
21/01/2014 2.00,"81,8",,,
21/01/2014 3.00,,,,
21/01/2014 4.00,"42,7",,,
21/01/2014 5.00,,,,
21/01/2014 6.00,"23,4",,,
21/01/2014 7.00,,,,
21/01/2014 8.00,"14,8",,,
21/01/2014 9.00,,,,
21/01/2014 10.00,"12,8",,,
21/01/2014 11.00,,,,
21/01/2014 12.00,"11,5",,,
21/01/2014 13.00,,,,
21/01/2014 14.00,"20,0",,,
21/01/2014 15.00,,,,
21/01/2014 16.00,"27,2",,,
21/01/2014 17.00,,,,
21/01/2014 18.00,"17,4",,,
21/01/2014 19.00,,,,
21/01/2014 20.00,"13,6",,,
21/01/2014 21.00,,,,
21/01/2014 22.00,"15,2",,,
21/01/2014 23.00,,,,
22/01/2014 0.00,"24,4",,,
22/01/2014 1.00,,,,
22/01/2014 2.00,"20,8",,,
22/01/2014 3.00,,,,
22/01/2014 4.00,"12,5",,,
22/01/2014 5.00,,,,
22/01/2014 6.00,"12,7",,,
22/01/2014 7.00,,,,
22/01/2014 8.00,"14,9",,,
22/01/2014 9.00,,,,
22/01/2014 10.00,"12,6",,,
22/01/2014 11.00,,,,
22/01/2014 12.00,"9,1",,,
22/01/2014 13.00,,,,
22/01/2014 14.00,"10,9",,,
22/01/2014 15.00,,,,
22/01/2014 16.00,"12,3",,,
22/01/2014 17.00,,,,
22/01/2014 18.00,"19,1",,,
22/01/2014 19.00,,,,
22/01/2014 20.00,"29,3",,,
22/01/2014 21.00,,,,
22/01/2014 22.00,"35,4",,,
22/01/2014 23.00,,,,
23/01/2014 0.00,"32,8",,,
23/01/2014 1.00,,,,
23/01/2014 2.00,"21,2",,,
23/01/2014 3.00,,,,
23/01/2014 4.00,"19,5",,,
23/01/2014 5.00,,,,
23/01/2014 6.00,"25,7",,,
23/01/2014 7.00,,,,
23/01/2014 8.00,"27,3",,,
