Stat,Mesagne2_Via_Antonucci,,,,,
Parm,NOX,NO,NO2,CO,O3,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver,Aver
10/01/2014 2.00,"47,639811","22,168866","13,856878","1,2","8,5","1,5"
10/01/2014 3.00,"29,838193","13,71725","8,805809",,"14,3","1,1"
10/01/2014 4.00,"28,211138","12,446315","9,139132","0,8",,"0,9"
10/01/2014 5.00,"22,259312","9,588501","7,55747","0,7","30,5","0,7"
10/01/2014 6.00,"23,307278","9,484035","9,008786","0,6","36,5","0,5"
10/01/2014 7.00,"25,59579","11,420682","9,036752","0,6","38,3","0,5"
10/01/2014 8.00,"52,886071","20,750766","21,217846","0,7","24,0","0,5"
10/01/2014 9.00,"74,65968","32,930189","24,534859","1,1","12,2","0,8"
10/01/2014 10.00,"39,796347","16,521354","15,274655","0,8","28,3","0,8"
10/01/2014 11.00,"26,716374","10,670807","10,840763","0,8","45,4","0,7"
10/01/2014 12.00,"22,752819","9,284406","9,133294","0,7","56,6","0,7"
10/01/2014 13.00,"20,956513","8,653378","8,701579","0,6","69,9","0,6"
10/01/2014 14.00,"27,78767","11,698555","12,17388","0,7","70,7","0,5"
10/01/2014 15.00,"24,277408","10,197537","10,756","0,6","71,4","0,5"
10/01/2014 16.00,"28,620326","12,146872","12,449853","0,6","62,2","0,4"
10/01/2014 17.00,"38,70041","14,102971","17,628811","0,8","47,8","0,5"
10/01/2014 18.00,"62,101721","19,802522","31,738912","1,3","21,7","0,7"
10/01/2014 19.00,"84,765708","31,699439","36,161597","2,1","18,9","2,0"
10/01/2014 20.00,"73,826374","28,987962","29,379715","1,6","13,3","1,9"
10/01/2014 21.00,"69,478256","25,207294","30,828417","2,3","19,2","2,1"
10/01/2014 22.00,"72,438624","28,41444","28,871295","2,6","18,6","2,7"
10/01/2014 23.00,"65,811727","27,20146","24,104258","2,4","13,6","2,9"
11/01/2014 0.00,"60,978553","24,381705","23,594557","2,7","13,7","2,9"
11/01/2014 1.00,"51,013249","20,184428","20,064833","2,4","10,0","3,1"
11/01/2014 2.00,"41,318356","17,115587","15,075383","2,0","9,6","2,4"
11/01/2014 3.00,"33,485275","14,617271","11,072921","1,6","10,5","1,9"
11/01/2014 4.00,"33,292681","15,060929","10,201353","1,4","9,3","1,5"
11/01/2014 5.00,"27,389495","12,42263","8,342139","1,2","10,4","1,3"
11/01/2014 6.00,"30,467871","12,988103","10,553483","1,1","10,5","1,1"
11/01/2014 7.00,"37,680339","16,096712","13,009951","1,1","9,7","1,0"
11/01/2014 8.00,"51,755755","21,529804","18,744525","1,2","8,9","1,1"
11/01/2014 9.00,"80,990867","37,400685","23,64513","1,7","10,2","1,4"
11/01/2014 10.00,"74,152578","30,09819","28,00361","1,9","13,0","2,0"
11/01/2014 11.00,"48,64237","18,851335","19,737997","1,4","17,6","1,8"
11/01/2014 12.00,"35,950838","13,910534","14,638952","1,0","28,5","1,3"
11/01/2014 13.00,"32,226568","11,272654","14,942444","0,9","34,8","1,0"
11/01/2014 14.00,"40,793093","14,334739","18,893029","0,9","32,0","1,0"
11/01/2014 15.00,"29,15014","9,349539","14,814694","0,9","37,4","0,9"
11/01/2014 16.00,"29,130695","8,68975","15,810769","1,0","39,2","1,0"
11/01/2014 17.00,"31,601422","8,858505","18,018868","1,1","34,0","1,1"
11/01/2014 18.00,"46,439457","12,207353","27,722183","1,5","21,9","1,4"
11/01/2014 19.00,"72,869207","24,979741","34,568251","1,9","14,3","2,2"
11/01/2014 20.00,"121,586163","55,519484","36,459238","2,5","12,8","2,5"
11/01/2014 21.00,"103,475203","48,849715","28,605412","2,5","13,2","3,1"
11/01/2014 22.00,"82,616619","39,624497","21,861138","2,0","10,3","2,8"
11/01/2014 23.00,"59,22634","25,675918","19,857974","1,9","12,3","2,1"
12/01/2014 0.00,"49,285029","21,404206","16,466389","1,7","10,6","2,0"
12/01/2014 1.00,"38,299654","16,49216","13,012546","1,4","10,4","1,6"
12/01/2014 2.00,"35,028032","14,519993","12,764824","1,2","13,7","1,4"
12/01/2014 3.00,"32,95483","13,256246","12,629291",,"14,4","1,3"
12/01/2014 4.00,"29,004886","11,971776","10,648809","1,1",,"1,2"
12/01/2014 5.00,"32,593595","13,666497","11,688334","1,1","11,8","1,2"
12/01/2014 6.00,"35,040362","14,31359","13,093607","1,2","10,0","1,2"
12/01/2014 7.00,"39,667956","16,995039","13,621476","1,2","10,3","1,2"
12/01/2014 8.00,"45,281914","19,792795","14,934014","1,2","9,7","1,2"
12/01/2014 9.00,"46,073711","19,001474","16,939137","1,4","12,0","1,3"
12/01/2014 10.00,"52,49503","19,554681","22,512232","1,9","16,5","2,0"
12/01/2014 11.00,"34,989101","12,909854","15,194706","1,2","27,8","2,1"
12/01/2014 12.00,"33,461932","12,900552","14,054798","0,9","36,6","1,2"
12/01/2014 13.00,"28,843418","10,831948","12,297265","0,8","45,3","0,9"
