, Brindisi,,,,,,
,Filzi,,,,,,
Parm,SO2,NO2,NOX,CO,O3,,Benzene
,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
07/01/2010 20.00,"0,65018437","39,898182","54,127286","1,26739768","36,0654903",,"2,25678911"
07/01/2010 21.00,"0,65018437","41,93702408","56,7971072","1,64105162","39,3309462",,"3,34370074"
07/01/2010 22.00,"0,65018437","41,06155752","57,98640944","1,36813639","34,68987795",,"2,86263329"
07/01/2010 23.00,"0,65018437","36,32887952","48,66831568","1,07514705","29,337672",,"1,92712856"
08/01/2010 0.00,"0,65018437","23,74629432","32,5560064","0,83988695","41,66196405",,"1,39313542"
08/01/2010 1.00,"0,65018437","12,67403616","15,02480192","0,6641933","56,9066169",,"0,99448362"
08/01/2010 2.00,"0,65018437","11,81479101","17,03835589","0,55420914","58,29507705",,"0,54323564"
08/01/2010 3.00,"0,65018437","13,15845666","15,9852129","0,58388286","54,94435485",,"0,40800413"
08/01/2010 4.00,"0,65018437","6,72092282","7,65474554","0,35221795","54,4625823",,"0,33538219"
08/01/2010 5.00,"0,65018437","4,87403025","5,98877978","0,26311642","62,57275605",,"0,17055192"
08/01/2010 6.00,"0,6619236","3,95512496","4,91553403","0,15281655","68,7200493",,"0,12191694"
08/01/2010 7.00,"0,65560295","4,25991306","5,53743306","0,12108777",,,"0,12059688"
08/01/2010 8.00,"0,65018437","4,88181209","7,77471398","0,11324383","79,5333882",,"0,12136675"
08/01/2010 9.00,"0,65740914","6,19240587","8,1398142","0,1110711","74,60272575",,"0,13171065"
08/01/2010 10.00,"0,82085833","7,05943286","9,44392057","0,15917745","75,46883505",,"0,12323803"
08/01/2010 11.00,"0,89942158","10,95035669","19,99284712","0,28064035","74,21569575",,"0,34407551"
08/01/2010 12.00,"1,08635025","8,22930345","14,98524455","0,19363349","76,73753535",,"0,3774148"
08/01/2010 13.00,"0,95450738","7,61518626","11,70973617","0,23352192","81,97808115",,"0,16615034"
08/01/2010 14.00,"1,02765308","8,71891311","13,85104042","1,10505842","77,72781345",,"0,13435079"
08/01/2010 15.00,"0,81002118","8,83304613","12,71359353","0,09605542","82,2027381",,"0,17253303"
08/01/2010 16.00,"1,11615038","11,07681254","18,21341564","0,15730063","84,0756441",,"0,30853441"
08/01/2010 17.00,"0,84433679","7,22155517","9,98021936","0,116267","90,45028755",,"0,24229415"
08/01/2010 18.00,"0,9517981","7,40767116","10,22664557","0,1462576","91,58568195",,"0,26606144"
08/01/2010 19.00,"1,06828934","7,48095047","10,02366956","0,19388979","91,41107955",,"0,25824884"
