Stat,Via Cappuccini,,,,,,  ,
,,,,,,,,,
Parm,SO2,NO2,NOX,CO,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,
14/01/2014 11.00,"3,7","33,0","50,3","1,2",,,,
14/01/2014 12.00,"3,6","33,3","55,8","1,3","34,4",,,
14/01/2014 13.00,"3,5","24,5","40,6","1,1",,,,
14/01/2014 14.00,"3,6","26,8","43,1","1,1","19,0",,,
14/01/2014 15.00,"3,8","20,3","31,4","1,1",,,,
14/01/2014 16.00,"3,7","24,9","37,1","1,1","10,7",,,
14/01/2014 17.00,"3,4","34,5","49,3","1,3",,,,
14/01/2014 18.00,"3,4","51,1","78,2","1,4","7,8",,,
14/01/2014 19.00,"3,3","44,7","71,1","1,4",,,,
14/01/2014 20.00,"3,5","42,5","66,2","1,3","6,8",,,
14/01/2014 21.00,"3,5","41,1","65,5","1,3",,,,
14/01/2014 22.00,"3,6","31,6","42,3","1,2","17,3",,,
14/01/2014 23.00,"3,2","17,9","23,6","1,1",,,,
15/01/2014 0.00,"3,0","12,9","17,2","1,1","17,6",,,
15/01/2014 1.00,"3,2","12,8","18,0","1,1",,,,
15/01/2014 2.00,"3,2","9,9","15,7","1,0","20,5",,,
15/01/2014 3.00,"3,3","6,3","9,0","1,0",,,,
15/01/2014 4.00,"3,2","7,9","12,0","1,0","15,9",,,
15/01/2014 5.00,"3,2","8,6","11,8","1,0",,,,
15/01/2014 6.00,"2,9","14,6","19,7","1,0","15,9",,,
15/01/2014 7.00,"3,4","35,3","54,3","1,1",,,,
15/01/2014 8.00,"3,9","53,2","93,1","1,4","14,9",,,
15/01/2014 9.00,"3,9","51,3","92,2","1,6",,,,
15/01/2014 10.00,"3,6","42,8","73,4","1,4","20,3",,,
15/01/2014 11.00,"3,6","44,0","73,8","1,4",,,,
15/01/2014 12.00,"3,5","43,6","75,1","1,4","13,7",,,
15/01/2014 13.00,"3,6","35,8","68,8","1,3",,,,
15/01/2014 14.00,"3,7","29,6","53,6","1,2","23,7",,,
15/01/2014 15.00,"3,5","21,0","32,4","1,0",,,,
15/01/2014 16.00,"3,3","25,4","35,7","1,0","17,6",,,
15/01/2014 17.00,"3,6","37,2","51,1","1,1",,,,
15/01/2014 18.00,"3,8","49,7","89,3","1,3","10,0",,,
15/01/2014 19.00,"4,5","64,9","149,1","1,6",,,,
15/01/2014 20.00,"4,3","54,8","119,1","1,6","6,8",,,
15/01/2014 21.00,"4,4","51,5","105,0","1,4",,,,
15/01/2014 22.00,"4,0","35,6","55,4","1,2","13,7",,,
15/01/2014 23.00,"3,5","17,6","25,1","1,1",,,,
16/01/2014 0.00,"3,6","18,5","23,7","1,1","18,6",,,
16/01/2014 1.00,,"14,7","18,4","1,1",,,,
16/01/2014 2.00,"3,7",,,"1,0","20,3",,,
16/01/2014 3.00,"3,6","10,8","14,9",,,,,
16/01/2014 4.00,"3,6","10,4","13,3","1,1","14,9",,,
16/01/2014 5.00,"3,7","12,8","15,9","1,1",,,,
16/01/2014 6.00,"3,6","15,0","21,3","1,0","16,6",,,
16/01/2014 7.00,"3,5","24,2","35,4","1,1",,,,
16/01/2014 8.00,"3,6","34,0","61,2","1,2","12,2",,,
16/01/2014 9.00,"4,0","34,1","67,0","1,3",,,,
16/01/2014 10.00,"3,9","21,6","38,5","1,1","9,5",,,
16/01/2014 11.00,"3,3","18,6","34,0","1,1",,,,
16/01/2014 12.00,"3,4","16,2","28,9","1,1","17,6",,,
16/01/2014 13.00,"3,6","18,8","32,0","1,1",,,,
16/01/2014 14.00,"3,9","16,4","26,1","1,1","19,3",,,
16/01/2014 15.00,"3,7","10,9","18,4","1,1",,,,
16/01/2014 16.00,"3,6","12,0","18,7","1,1","15,4",,,
16/01/2014 17.00,"3,8","26,4","48,9","1,2",,,,
16/01/2014 18.00,"6,4","108,2","379,3","2,0","8,8",,,
16/01/2014 19.00,"8,0","126,2","501,1","1,8",,,,
16/01/2014 20.00,"6,8","107,9","408,6","1,2","14,2",,,
16/01/2014 21.00,"5,6","86,2","266,0","0,8",,,,
16/01/2014 22.00,"5,5","80,2","239,4","0,8","28,6",,,
16/01/2014 23.00,"4,5","62,3","165,0","0,6",,,,
17/01/2014 0.00,"4,2","38,3","63,0","0,4","34,2",,,
17/01/2014 1.00,"4,2","29,0","39,0","0,4",,,,
17/01/2014 2.00,"3,9","22,6","26,7","0,4","27,8",,,
17/01/2014 3.00,"3,6","20,2","23,3","0,3",,,,
17/01/2014 4.00,"3,7","16,7","20,3","0,2","33,9",,,
17/01/2014 5.00,"4,0","13,4","16,0","0,2",,,,
17/01/2014 6.00,"3,9","19,7","28,1","0,2","34,9",,,
17/01/2014 7.00,"4,1","29,1","44,7","0,2",,,,
17/01/2014 8.00,"4,1","39,0","64,4","0,5","25,4",,,
17/01/2014 9.00,"4,4","45,0","91,3","0,7",,,,
17/01/2014 10.00,"4,1","28,2","47,0","0,3","19,0",,,
17/01/2014 11.00,"3,8","21,7","37,2","0,2",,,,
17/01/2014 12.00,"3,4","15,0","26,3","0,1","30,5",,,
17/01/2014 13.00,"3,6","14,2","24,9","0,1",,,,
17/01/2014 14.00,"3,8","14,2","25,1","0,1","17,3",,,
17/01/2014 15.00,"3,4","13,0","22,6",,,,,
17/01/2014 16.00,"3,5","15,3","24,1","0,1","13,7",,,
17/01/2014 17.00,"3,6","16,2","24,9","0,1",,,,
17/01/2014 18.00,"3,7","20,1","29,4","0,1","8,3",,,
17/01/2014 19.00,"3,5","21,5","32,9","0,1",,,,
