Stat,TA -S.VITO Colonia Marina,,,,,
Parm,SO2,NOX,NO2,PM10,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ng/m3
07/01/2014 3.00,"1,5","45,7","25,5","26,2","0,3","8,6"
07/01/2014 4.00,"1,8","40,0","17,4","26,2","0,3","4,1"
07/01/2014 5.00,"1,8","30,8","9,1","26,2","0,2","1,5"
07/01/2014 6.00,"1,8","22,8","5,1","26,2","0,2","1,4"
07/01/2014 7.00,"1,7","31,0","12,3","26,2","0,2","2,0"
07/01/2014 8.00,"1,7","57,7","21,9","26,2","0,3","19,8"
07/01/2014 9.00,"1,9","81,7","36,9","26,2","0,4","42,8"
07/01/2014 10.00,"1,7","65,1","30,8","26,2","0,4","14,2"
07/01/2014 11.00,"1,8","56,2","25,9","26,2","0,3","6,7"
07/01/2014 12.00,"1,6","51,4","24,3","26,2","0,4","6,3"
07/01/2014 13.00,"2,1","41,7","20,4","26,2","0,4","5,1"
07/01/2014 14.00,"2,7","31,7","15,7","26,2","0,3","4,6"
07/01/2014 15.00,"2,9","28,9","14,0","26,2","0,3","5,0"
07/01/2014 16.00,"2,4","32,3","17,7","26,2","0,3","4,8"
07/01/2014 17.00,"2,3","111,8","47,5","26,2","0,4","100,1"
07/01/2014 18.00,"2,4","138,0","58,8","26,2","0,6","135,6"
07/01/2014 19.00,"2,5","154,4","64,6","26,2","0,8","144,2"
07/01/2014 20.00,"2,0","102,6","62,4","26,2","0,7","79,8"
07/01/2014 21.00,"2,3","152,7","61,7","26,2","0,8","98,3"
07/01/2014 22.00,"2,1","117,0","53,3","26,2","0,8","66,6"
07/01/2014 23.00,"2,2","83,5","39,8","26,2","0,7","131,0"
08/01/2014 0.00,"2,4","96,9","38,8","26,2","0,8","53,3"
08/01/2014 1.00,,"69,4","31,5","18,8","0,7","35,9"
08/01/2014 2.00,"1,6",,,"18,8","0,7","31,3"
08/01/2014 3.00,"1,6","48,5","24,9","18,8",,"19,6"
08/01/2014 4.00,"1,7","43,9","19,5","18,8","0,5","11,3"
08/01/2014 5.00,"1,8","42,5","18,2","18,8","0,5","12,8"
08/01/2014 6.00,"2,0","55,1","21,1","18,8","0,5","16,5"
08/01/2014 7.00,"2,6","98,3","30,2","18,8","0,6","48,8"
08/01/2014 8.00,"2,3","127,6","41,8","18,8","0,5","61,1"
08/01/2014 9.00,"2,0","76,4","39,8","18,8","0,4","13,7"
08/01/2014 10.00,"1,8","73,5","35,8","18,8","0,3","10,3"
08/01/2014 11.00,"1,8","27,7","10,6","18,8","0,3","2,9"
08/01/2014 12.00,"1,5","18,5","4,4","18,8","0,3","2,7"
08/01/2014 13.00,"1,1","14,3","2,4","18,8","0,3","1,9"
08/01/2014 14.00,"1,2","16,2","4,1","18,8","0,3","2,1"
08/01/2014 15.00,"1,2","18,2","5,2","18,8","0,3","2,0"
08/01/2014 16.00,"1,3","22,7","9,7","18,8","0,3","2,6"
08/01/2014 17.00,"1,4","21,4","9,2","18,8","0,3","3,4"
08/01/2014 18.00,"1,2","21,1","9,5","18,8","0,3","2,6"
08/01/2014 19.00,"1,0","18,8","7,8","18,8","0,3","2,3"
08/01/2014 20.00,"1,1","13,7","4,3","18,8","0,3","1,7"
08/01/2014 21.00,"1,0","13,9","4,9","18,8","0,3","1,8"
