Stat,TA -S.VITO Colonia Marina,,,,,
Parm,SO2,NOX,NO2,PM10,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ng/m3
17/11/2014 15.00,"0,9","13,8","8,7","15,2","0,1","4,0"
17/11/2014 16.00,"1,1","11,7","7,1","15,2","0,1","4,4"
17/11/2014 17.00,"1,3","16,8","11,3","15,2","0,1","9,4"
17/11/2014 18.00,"1,0","10,6","6,1","15,2","0,1","3,8"
17/11/2014 19.00,"1,1","8,7","4,3","15,2","0,1","3,0"
17/11/2014 20.00,"1,0","8,8","4,6","15,2","0,2","5,2"
17/11/2014 21.00,"1,0","8,3","4,2","15,2","0,1","2,6"
17/11/2014 22.00,"1,7","6,8","2,7","15,2","0,1","2,0"
17/11/2014 23.00,"1,2","5,9","2,2","15,2","0,1","1,2"
18/11/2014 0.00,"1,2","5,2","1,2","15,2","0,1","1,4"
18/11/2014 1.00,,"5,1","1,4","22,8","0,1","1,1"
18/11/2014 2.00,"0,2","4,8","1,3","22,8","0,1","0,9"
18/11/2014 3.00,"0,3","3,8","0,6","22,8",,"1,0"
18/11/2014 4.00,"0,2","4,7","1,4","22,8","0,2","1,0"
18/11/2014 5.00,"0,3","4,7","1,4","22,8","0,2","1,0"
18/11/2014 6.00,"0,3","5,2","1,4","22,8","0,2","1,0"
18/11/2014 7.00,"0,7","6,8","2,8","22,8","0,2","2,0"
18/11/2014 8.00,"0,5","17,0","11,6","22,8","0,2","5,3"
18/11/2014 9.00,"0,4","11,1","6,5","22,8","0,2","3,9"
18/11/2014 10.00,"0,3","8,4","4,3","22,8","0,2","3,5"
18/11/2014 11.00,"0,1","7,3","3,3","22,8","0,2","2,5"
18/11/2014 12.00,"0,2","7,1","3,0","22,8","0,2","2,3"
18/11/2014 13.00,"0,3","6,1","2,1","22,8","0,2","1,8"
18/11/2014 14.00,"0,3","7,5","3,5","22,8","0,2","3,6"
18/11/2014 15.00,"0,4","8,2","4,2","22,8","0,2","3,0"
18/11/2014 16.00,"0,5","11,8","7,3","22,8","0,2","4,2"
18/11/2014 17.00,"0,4","15,9","10,8","22,8","0,2","9,7"
18/11/2014 18.00,"0,3","22,1","16,4","22,8","0,2","9,6"
18/11/2014 19.00,"0,3","30,1","22,8","22,8","0,3","12,9"
18/11/2014 20.00,"0,2","42,1","29,2","22,8","0,3","20,7"
18/11/2014 21.00,"0,3","48,3","29,9","22,8","0,3","19,2"
18/11/2014 22.00,"0,4","19,4","14,6","22,8","0,3","4,4"
18/11/2014 23.00,"0,1","43,3","26,2","22,8","0,3","18,0"
19/11/2014 0.00,"0,1","42,2","23,5","22,8","0,3","10,8"
19/11/2014 1.00,"0,3","43,6","28,5","13,6","0,2","3,2"
19/11/2014 2.00,"0,3","81,4","42,6","13,6","0,2","6,8"
19/11/2014 3.00,"0,2","37,0","28,2","13,6","0,2","2,6"
19/11/2014 4.00,"0,3","16,8","12,3","13,6","0,2","1,0"
19/11/2014 5.00,"0,3","18,4","13,9","13,6","0,2","0,9"
19/11/2014 6.00,"0,3","9,9","6,3","13,6","0,1","1,0"
19/11/2014 7.00,"0,4","17,2","12,5","13,6","0,1","1,1"
19/11/2014 8.00,"0,4","19,3","13,7","13,6","0,1","1,3"
19/11/2014 9.00,"0,3","24,6","15,7","13,6","0,1","1,6"
19/11/2014 10.00,"0,4","37,4","23,6","13,6","0,1","1,5"
19/11/2014 11.00,"0,2","15,3","8,9","13,6","0,1","1,1"
19/11/2014 12.00,"0,1","7,1","2,6","13,6","0,1","0,9"
19/11/2014 13.00,"0,4","10,2","5,4","13,6","0,1","1,1"
19/11/2014 14.00,"0,3","14,1","8,9","13,6","0,2","1,4"
19/11/2014 15.00,"0,3","9,0","4,9","13,6","0,1","1,2"
19/11/2014 16.00,"0,4","25,6","16,5","13,6","0,2","4,0"
19/11/2014 17.00,"0,6","25,8","16,4","13,6","0,2","7,7"
19/11/2014 18.00,"0,7","50,2","33,3","13,6","0,2","12,2"
19/11/2014 19.00,"0,5","43,9","29,7","13,6","0,3","9,9"
19/11/2014 20.00,"0,5","80,7","42,2","13,6","0,4","26,7"
19/11/2014 21.00,"0,5","46,5","27,4","13,6","0,3","7,2"
19/11/2014 22.00,"0,4","28,7","23,9","13,6","0,2","0,9"
19/11/2014 23.00,"0,4","15,0","11,0","13,6","0,1","0,8"
20/11/2014 0.00,"0,3","16,0","11,6","13,6","0,2","0,9"
20/11/2014 1.00,,"13,9","9,9","10,8","0,1","0,8"
20/11/2014 2.00,"1,0","15,7","11,5","10,8","0,1","0,8"
20/11/2014 3.00,"0,9","14,2","10,1","10,8",,"0,7"
20/11/2014 4.00,"1,1","7,6","3,7","10,8","0,2","0,7"
20/11/2014 5.00,"1,4","8,4","4,4","10,8","0,2","0,7"
20/11/2014 6.00,"1,4","6,1","2,4","10,8","0,2","0,7"
20/11/2014 7.00,"1,7","5,9","1,9","10,8","0,2","0,7"
20/11/2014 8.00,"1,6","7,8","3,7","10,8","0,2","0,9"
20/11/2014 9.00,"1,8","11,6","6,4","10,8","0,2","1,2"
20/11/2014 10.00,"1,7","15,2","8,3","10,8","0,2","1,1"
20/11/2014 11.00,"1,6","11,0","5,6","10,8","0,2","1,1"
20/11/2014 12.00,"1,7","7,2","3,0","10,8","0,2","0,8"
20/11/2014 13.00,"1,4","7,5","3,1","10,8","0,2","0,9"
20/11/2014 14.00,"1,5","10,0","5,2","10,8","0,2","0,9"
20/11/2014 15.00,"1,4","12,8","7,5","10,8","0,2","1,0"
20/11/2014 16.00,"1,8","11,4","6,6","10,8","0,2","1,0"
20/11/2014 17.00,"1,4","15,8","11,3","10,8","0,2","1,0"
20/11/2014 18.00,"1,5","25,5","20,6","10,8","0,2","1,0"
20/11/2014 19.00,"1,9","33,0","27,4","10,8","0,2","1,0"
20/11/2014 20.00,"2,0","26,6","21,4","10,8","0,2","0,9"
20/11/2014 21.00,"2,2","27,1","21,8","10,8","0,2","0,8"
20/11/2014 22.00,"2,2","20,0","14,8","10,8","0,2","0,8"
20/11/2014 23.00,"2,1","14,7","10,4","10,8","0,2","0,7"
21/11/2014 0.00,"2,3","10,6","6,6","10,8","0,2","0,6"
21/11/2014 1.00,"2,4","12,3","8,2","11,3","0,2","0,7"
21/11/2014 2.00,"2,6","11,0","6,9","11,3","0,2","0,6"
21/11/2014 3.00,"1,8","7,9","3,9","11,3","0,2","0,6"
21/11/2014 4.00,"2,3","8,1","4,1","11,3","0,2","0,6"
21/11/2014 5.00,"2,3","12,7","8,6","11,3","0,2","0,6"
21/11/2014 6.00,"2,2","9,6","5,5","11,3","0,2","0,7"
21/11/2014 7.00,"2,8","12,4","7,7","11,3","0,2","0,7"
21/11/2014 8.00,"2,4","17,5","12,0","11,3","0,2","0,7"
21/11/2014 9.00,"2,8","12,9","7,2","11,3","0,2","0,8"
21/11/2014 10.00,"2,7","9,9","4,9","11,3","0,2","1,2"
21/11/2014 11.00,"2,7","12,7","6,5","11,3","0,2","0,8"
21/11/2014 12.00,"2,4","11,1","5,6","11,3","0,2","0,9"
21/11/2014 13.00,"2,8","7,8","3,4","11,3","0,2","0,8"
21/11/2014 14.00,"2,6","9,8","5,3","11,3","0,2","0,8"
21/11/2014 15.00,"2,0","10,2","5,4","11,3","0,2","0,9"
21/11/2014 16.00,"2,2","10,2","6,0","11,3","0,2","0,9"
21/11/2014 17.00,"2,6","15,5","11,2","11,3","0,2","1,1"
21/11/2014 18.00,"2,9","14,9","10,9","11,3","0,2","0,9"
21/11/2014 19.00,"2,7","11,8","7,8","11,3","0,2","1,0"
21/11/2014 20.00,"2,4","14,5","9,3","11,3","0,2","2,2"
21/11/2014 21.00,"3,1","91,0","52,6","11,3","0,5","27,5"
21/11/2014 22.00,"3,6","83,7","48,8","11,3","0,4","23,0"
21/11/2014 23.00,"3,0","24,2","16,8","11,3","0,3","2,0"
22/11/2014 0.00,"3,0","19,0","14,5","11,3","0,3","0,8"
22/11/2014 1.00,,"22,7","17,6","20,4","0,3","0,9"
22/11/2014 2.00,"1,5","17,7","13,6","20,4","0,3","0,8"
22/11/2014 3.00,"1,7","20,0","15,7","20,4",,"0,7"
22/11/2014 4.00,"1,5","17,2","13,1","20,4","0,3","0,8"
22/11/2014 5.00,"1,1","25,1","20,1","20,4","0,2","0,8"
22/11/2014 6.00,"1,2","23,8","15,7","20,4","0,2","1,3"
22/11/2014 7.00,"1,1","51,4","32,7","20,4","0,3","6,3"
22/11/2014 8.00,"1,5","57,3","22,5","20,4","0,3","12,4"
22/11/2014 9.00,"1,0","14,5","8,9","20,4","0,2","1,0"
22/11/2014 10.00,"0,9","15,6","9,2","20,4","0,2","1,1"
22/11/2014 11.00,"0,8","11,7","6,6","20,4","0,2","1,0"
22/11/2014 12.00,"0,7","10,2","5,7","20,4","0,2","1,1"
22/11/2014 13.00,"0,9","9,0","4,6","20,4","0,2","1,2"
22/11/2014 14.00,"0,7","8,1","4,0","20,4","0,2","1,2"
22/11/2014 15.00,"0,6","8,6","4,6","20,4","0,2","1,1"
22/11/2014 16.00,"0,6","8,6","4,5","20,4","0,2","1,0"
22/11/2014 17.00,"0,7","9,3","5,3","20,4","0,2","1,1"
22/11/2014 18.00,"0,8","8,9","5,0","20,4","0,2","0,9"
22/11/2014 19.00,"0,6","13,2","9,3","20,4","0,2","1,0"
22/11/2014 20.00,"0,7","29,8","24,8","20,4","0,4","1,5"
22/11/2014 21.00,"1,0","52,9","33,9","20,4","0,3","9,5"
22/11/2014 22.00,"1,5","18,7","14,0","20,4","0,2","1,1"
22/11/2014 23.00,"1,6","17,7","13,1","20,4","0,3","1,0"
23/11/2014 0.00,"1,1","16,7","12,5","20,4","0,3","0,9"
23/11/2014 1.00,"1,0","31,0","26,1","18,3","0,2","1,0"
23/11/2014 2.00,"0,9","27,3","22,8","18,3","0,2","1,2"
23/11/2014 3.00,"0,8","35,5","29,6","18,3","0,3","2,6"
23/11/2014 4.00,"0,6","26,7","21,5","18,3","0,2","0,9"
23/11/2014 5.00,"1,0","13,1","9,0","18,3","0,2","0,9"
23/11/2014 6.00,"0,8","14,1","10,2","18,3","0,2","0,8"
23/11/2014 7.00,"0,8","12,6","8,6","18,3","0,2","0,8"
23/11/2014 8.00,"1,0","13,7","9,3","18,3","0,2","0,9"
23/11/2014 9.00,"0,7","16,0","10,9","18,3","0,2","1,0"
23/11/2014 10.00,"0,5","11,6","6,6","18,3","0,3","1,0"
23/11/2014 11.00,"0,6","7,7","3,6","18,3","0,2","1,0"
23/11/2014 12.00,"0,5","9,1","4,9","18,3","0,2","1,1"
23/11/2014 13.00,"0,6","6,7","2,6","18,3","0,2","1,1"
23/11/2014 14.00,"0,7","12,4","7,9","18,3","0,3","3,6"
23/11/2014 15.00,"0,4","10,1","6,1","18,3","0,3","1,1"
23/11/2014 16.00,"0,6","9,9","5,8","18,3","0,2","1,2"
23/11/2014 17.00,"0,7","13,0","8,9","18,3","0,3","1,2"
23/11/2014 18.00,"0,5","14,2","10,2","18,3","0,2","1,2"
23/11/2014 19.00,"0,5","8,4","4,3","18,3","0,2","1,1"
23/11/2014 20.00,"0,4","49,5","43,8","18,3","0,6","1,7"
23/11/2014 21.00,"0,7","38,3","33,0","18,3","0,6","1,3"
23/11/2014 22.00,"0,9","27,2","22,4","18,3","0,4","1,1"
23/11/2014 23.00,"0,6","17,1","13,1","18,3","0,3","1,1"
24/11/2014 0.00,"0,7","23,8","19,3","18,3","0,4","1,0"
24/11/2014 1.00,,"16,8","12,3","20,1","0,2","1,0"
24/11/2014 2.00,"0,7","15,8","11,6","20,1","0,3","0,9"
24/11/2014 3.00,"0,6","20,6","16,2","20,1",,"1,0"
24/11/2014 4.00,"0,5","18,8","14,5","20,1","0,3","1,0"
24/11/2014 5.00,"0,7","14,2","9,8","20,1","0,3","1,0"
24/11/2014 6.00,"0,6","15,8","11,5","20,1","0,2","0,9"
24/11/2014 7.00,"0,6","13,0","8,6","20,1","0,2","0,9"
24/11/2014 8.00,"0,8","23,0","16,3","20,1","0,2","1,1"
24/11/2014 9.00,"0,8","13,4","7,7","20,1","0,2","2,0"
24/11/2014 10.00,"0,7","21,7","13,0","20,1","0,2","1,4"
24/11/2014 11.00,"0,8","21,4","12,3","20,1","0,3","1,3"
24/11/2014 12.00,"0,6","14,3","8,2","20,1","0,2","1,0"
24/11/2014 13.00,"0,5","15,2","8,9","20,1","0,2","1,0"
24/11/2014 14.00,"0,6","9,6","4,7","20,1","0,2","1,0"
24/11/2014 15.00,"0,5","8,9","4,6","20,1","0,2","1,2"
24/11/2014 16.00,"0,6","9,5","5,5","20,1","0,2","1,2"
24/11/2014 17.00,"0,5","10,8","6,8","20,1","0,2","1,4"
24/11/2014 18.00,"0,7","13,4","9,4","20,1","0,2","1,2"
24/11/2014 19.00,"0,5","37,1","28,7","20,1","0,3","7,5"
24/11/2014 20.00,"0,7","95,0","56,2","20,1","0,6","28,1"
24/11/2014 21.00,"0,8","46,4","36,7","20,1","0,4","5,0"
24/11/2014 22.00,"0,6","31,6","25,4","20,1","0,3","3,5"
24/11/2014 23.00,"0,6","38,2","27,5","20,1","0,3","6,3"
25/11/2014 0.00,"0,9","18,8","14,0","20,1","0,3","0,9"
25/11/2014 1.00,"0,9","16,5","12,2","30,6","0,3","1,0"
25/11/2014 2.00,"0,6","10,7","6,7","30,6","0,2","0,9"
25/11/2014 3.00,"0,8","12,8","8,7","30,6","0,2","0,9"
25/11/2014 4.00,"0,5","15,5","11,2","30,6","0,2","0,9"
25/11/2014 5.00,"0,6","11,5","7,3","30,6","0,2","0,9"
25/11/2014 6.00,"0,5","11,3","7,3","30,6","0,2","0,9"
25/11/2014 7.00,"0,6","11,5","7,4","30,6","0,2","1,0"
25/11/2014 8.00,"0,7","22,0","16,5","30,6","0,3","1,3"
25/11/2014 9.00,"0,6","17,4","11,8","30,6","0,2","1,6"
25/11/2014 10.00,"0,5","17,0","11,4","30,6","0,2","3,2"
25/11/2014 11.00,"0,5","24,1","16,2","30,6","0,3","3,6"
25/11/2014 12.00,"0,5","14,6","9,2","30,6","0,3","1,6"
25/11/2014 13.00,"0,4","18,8","12,5","30,6","0,3","1,7"
25/11/2014 14.00,"0,5","18,2","12,1","30,6","0,3","1,6"
25/11/2014 15.00,"0,5","22,8","16,1","30,6","0,3","1,9"
25/11/2014 16.00,"0,4","17,4","12,2","30,6","0,3","2,0"
25/11/2014 17.00,"0,8","50,0","27,1","30,6","0,4","17,0"
25/11/2014 18.00,"0,7","58,1","35,3","30,6","0,4","22,7"
25/11/2014 19.00,"0,8","72,5","41,5","30,6","0,6","27,7"
25/11/2014 20.00,"0,9","61,8","38,2","30,6","0,6","20,9"
25/11/2014 21.00,"1,1","50,3","32,9","30,6","0,5","15,8"
25/11/2014 22.00,"1,2","47,9","30,4","30,6","0,5","11,8"
25/11/2014 23.00,"1,5","35,8","26,4","30,6","0,5","8,1"
26/11/2014 0.00,"1,0","27,0","19,6","30,6","0,5","4,8"
26/11/2014 1.00,,"22,7","17,1","34,6","0,5","3,0"
26/11/2014 2.00,"1,0","17,4","12,7","34,6","0,4","2,1"
26/11/2014 3.00,"1,1","11,3","7,2","34,6",,"1,1"
26/11/2014 4.00,"0,9","10,8","6,5","34,6","0,3","0,9"
26/11/2014 5.00,"0,8","9,5","5,4","34,6","0,3","1,1"
26/11/2014 6.00,"0,7","12,8","8,2","34,6","0,3","1,0"
26/11/2014 7.00,"0,8","30,9","19,6","34,6","0,4","9,5"
26/11/2014 8.00,"0,9","74,9","32,3","34,6","0,5","24,5"
26/11/2014 9.00,"0,9","78,3","35,8","34,6","0,5","22,3"
26/11/2014 10.00,"1,0","51,6","29,1","34,6","0,4","8,7"
26/11/2014 11.00,"1,1","31,5","21,1","34,6","0,6","5,8"
26/11/2014 12.00,"0,8","11,1","6,7","34,6","0,3","1,2"
26/11/2014 13.00,"0,8","7,5","3,3","34,6","0,3","1,2"
26/11/2014 14.00,"0,7","7,5","3,5","34,6","0,3","1,0"
26/11/2014 15.00,"0,4","8,1","4,0","34,6","0,3","0,9"
26/11/2014 16.00,"0,5","12,5","7,8","34,6","0,3","4,7"
26/11/2014 17.00,"0,9","53,9","36,0","34,6","0,4","21,6"
26/11/2014 18.00,"0,8","89,3","53,5","34,6","0,6","35,3"
26/11/2014 19.00,"0,5","58,2","38,2","34,6","0,5","19,5"
26/11/2014 20.00,"0,6","40,1","29,4","34,6","0,4","12,6"
26/11/2014 21.00,"0,7","42,0","29,4","34,6","0,5","11,9"
26/11/2014 22.00,"0,6","32,8","24,3","34,6","0,5","9,7"
26/11/2014 23.00,"0,7","21,7","16,0","34,6","0,5","5,8"
27/11/2014 0.00,"0,7","16,9","12,4","34,6","0,4","4,0"
27/11/2014 1.00,"0,4","17,4","12,4","36,0","0,4","5,5"
27/11/2014 2.00,"0,5","14,8","10,3","36,0","0,3","3,1"
27/11/2014 3.00,"0,4","9,1","5,2","36,0","0,3","1,4"
27/11/2014 4.00,"0,4","9,3","5,3","36,0","0,3","1,3"
27/11/2014 5.00,"0,5","8,5","4,2","36,0","0,3","2,0"
27/11/2014 6.00,"0,5","19,6","9,5","36,0","0,3","6,6"
27/11/2014 7.00,"0,5","39,7","18,8","36,0","0,4","9,7"
27/11/2014 8.00,"0,4","47,0","24,8","36,0","0,3","17,1"
27/11/2014 9.00,"0,9","49,6","26,7","36,0","0,4","16,8"
27/11/2014 10.00,,,,"36,0",,"9,4"
27/11/2014 11.00,,,,"36,0",,"4,4"
27/11/2014 12.00,,,,"36,0",,"2,1"
27/11/2014 13.00,,,,"36,0",,"1,5"
27/11/2014 14.00,,"10,9","8,2","36,0",,"1,5"
27/11/2014 15.00,"1,5","14,0","9,8","36,0","0,2","2,4"
27/11/2014 16.00,"1,8","20,6","15,3","36,0","0,2","2,7"
27/11/2014 17.00,"2,1","65,0","30,6","36,0","0,4","33,9"
27/11/2014 18.00,"2,2","122,1","53,5","36,0","0,6","54,6"
27/11/2014 19.00,"2,4","115,0","44,8","36,0","0,7","38,9"
27/11/2014 20.00,"2,8","116,7","47,9","36,0","0,8","46,0"
27/11/2014 21.00,"2,7","80,7","43,1","36,0","0,6","24,7"
27/11/2014 22.00,"2,9","64,6","39,2","36,0","0,4","18,8"
27/11/2014 23.00,"2,7","51,9","31,8","36,0","0,4","14,3"
28/11/2014 0.00,"2,5","42,4","28,8","36,0","0,5","9,5"
28/11/2014 1.00,,"38,9","27,6","27,0","0,5","6,8"
28/11/2014 2.00,"1,4","35,2","26,6","27,0","0,5","5,2"
28/11/2014 3.00,"1,3","18,5","13,6","27,0",,"2,4"
28/11/2014 4.00,"1,7","9,7","6,1","27,0","0,3","1,4"
28/11/2014 5.00,"1,3","7,9","4,2","27,0","0,3","1,4"
28/11/2014 6.00,"1,6","12,7","6,4","27,0","0,3","1,6"
28/11/2014 7.00,"1,8","20,9","12,1","27,0","0,3","11,0"
28/11/2014 8.00,"1,7","33,8","19,0","27,0","0,3","11,6"
28/11/2014 9.00,"1,9","29,0","17,6","27,0","0,3","10,8"
28/11/2014 10.00,"1,9","11,2","6,4","27,0","0,3","3,0"
28/11/2014 11.00,"1,8","11,8","6,9","27,0","0,2","2,5"
28/11/2014 12.00,"1,5","8,8","4,3","27,0","0,2","2,6"
28/11/2014 13.00,"1,3","7,9","3,5","27,0","0,2","2,8"
28/11/2014 14.00,"1,1","9,1","4,3","27,0","0,2","3,5"
28/11/2014 15.00,"1,1","7,5","3,1","27,0","0,2","2,8"
28/11/2014 16.00,"1,4","7,3","3,4","27,0","0,2","2,9"
28/11/2014 17.00,"1,1","8,6","4,2","27,0","0,2","3,6"
28/11/2014 18.00,"1,1","8,1","4,2","27,0","0,2","4,3"
28/11/2014 19.00,"1,0","7,3","3,2","27,0","0,2","2,5"
28/11/2014 20.00,"0,8","7,6","3,8","27,0","0,2","2,8"
28/11/2014 21.00,"0,8","7,1","3,2","27,0","0,2","2,8"
28/11/2014 22.00,"0,9","6,0","2,4","27,0","0,2","1,9"
28/11/2014 23.00,"0,7","5,4","1,5","27,0","0,2","1,8"
29/11/2014 0.00,"0,7","5,0","1,6","27,0","0,2","1,6"
29/11/2014 1.00,"0,9","4,9","1,5","41,7","0,2","1,6"
29/11/2014 2.00,"0,7","4,0","0,8","41,7","0,2","1,6"
29/11/2014 3.00,"0,6","4,1","0,7","41,7","0,2","1,4"
29/11/2014 4.00,"0,7","3,8","0,7","41,7","0,2","1,3"
29/11/2014 5.00,"0,7","3,8","0,6","41,7","0,2","1,2"
29/11/2014 6.00,"0,7","4,0","1,0","41,7","0,2","1,4"
29/11/2014 7.00,"0,7","5,7","1,7","41,7","0,2","2,1"
29/11/2014 8.00,"0,7","7,8","3,6","41,7","0,2","3,1"
29/11/2014 9.00,"0,6","7,8","3,8","41,7","0,2","3,0"
29/11/2014 10.00,"0,6","8,6","4,2","41,7","0,2","3,5"
29/11/2014 11.00,"0,5","8,1","3,9","41,7","0,2","2,6"
29/11/2014 12.00,"0,6","7,3","3,0","41,7","0,2","3,4"
29/11/2014 13.00,"0,5","7,4","3,4","41,7","0,2","3,1"
29/11/2014 14.00,"0,5","8,5","4,0","41,7","0,2","4,2"
29/11/2014 15.00,"0,5","5,3","1,3","41,7","0,2","1,8"
29/11/2014 16.00,"0,4","6,4","2,4","41,7","0,2","2,1"
29/11/2014 17.00,"0,6","6,9","2,5","41,7","0,2","2,8"
29/11/2014 18.00,"0,5","7,4","3,1","41,7","0,2","4,4"
29/11/2014 19.00,"0,3","8,4","4,0","41,7","0,3","7,1"
29/11/2014 20.00,"0,5","8,9","4,7","41,7","0,3","3,7"
29/11/2014 21.00,"0,3","10,6","6,3","41,7","0,3","3,6"
29/11/2014 22.00,"0,3","8,2","4,1","41,7","0,3","3,6"
29/11/2014 23.00,"0,4","7,7","3,8","41,7","0,2","3,0"
30/11/2014 0.00,"0,4","6,1","2,2","41,7","0,2","2,3"
30/11/2014 1.00,,"7,1","3,2","37,1","0,2","2,7"
30/11/2014 2.00,"0,6","7,1","3,1","37,1","0,2","2,1"
30/11/2014 3.00,"0,4","11,0","7,0","37,1",,"2,0"
30/11/2014 4.00,"0,9","8,2","3,3","37,1","0,2","3,0"
30/11/2014 5.00,"0,7","6,2","2,6","37,1","0,2","2,3"
30/11/2014 6.00,"0,6","5,2","1,4","37,1","0,2","1,5"
30/11/2014 7.00,"0,8","5,2","1,5","37,1","0,2","1,4"
30/11/2014 8.00,"1,0","8,6","4,5","37,1","0,3","3,4"
30/11/2014 9.00,"0,8","7,7","3,5","37,1","0,2","3,1"
30/11/2014 10.00,"1,0","6,6","2,6","37,1","0,2","2,7"
30/11/2014 11.00,"0,8","7,4","3,2","37,1","0,2","2,8"
30/11/2014 12.00,"1,1","8,0","3,7","37,1","0,3","3,4"
30/11/2014 13.00,"1,0","8,5","3,7","37,1","0,3","2,4"
30/11/2014 14.00,"1,0","7,6","3,4","37,1","0,3","3,1"
30/11/2014 15.00,"1,0","7,0","2,9","37,1","0,2","1,8"
30/11/2014 16.00,"1,0","6,5","2,5","37,1","0,2","1,8"
30/11/2014 17.00,"1,2","6,2","2,1","37,1","0,2","2,6"
30/11/2014 18.00,"1,5","7,9","3,8","37,1","0,3","3,7"
30/11/2014 19.00,"1,2","8,3","4,2","37,1","0,3","5,3"
30/11/2014 20.00,"1,0","6,9","3,0","37,1","0,2","2,6"
30/11/2014 21.00,"1,0","7,9","3,7","37,1","0,2","3,1"
30/11/2014 22.00,"0,8","7,4","3,4","37,1","0,2","3,5"
30/11/2014 23.00,"1,3","7,3","3,3","37,1","0,2","2,8"
01/12/2014 0.00,"1,0","6,0","2,2","37,1","0,2","2,0"
01/12/2014 1.00,"1,2","4,8","1,2","46,5","0,2","1,5"
01/12/2014 2.00,"0,9","3,8","0,9","46,5","0,2","1,4"
01/12/2014 3.00,"1,0","3,9","1,0","46,5","0,2","1,1"
01/12/2014 4.00,"0,7","4,1","0,7","46,5","0,2","1,2"
01/12/2014 5.00,"0,9","3,9","0,9","46,5","0,2","1,3"
01/12/2014 6.00,"0,7","6,8","2,4","46,5","0,2","1,5"
01/12/2014 7.00,"0,7","7,3","3,1","46,5","0,2","3,1"
01/12/2014 8.00,"0,8","12,3","6,9","46,5","0,2","5,5"
01/12/2014 9.00,"0,7","13,2","7,0","46,5","0,3","5,4"
01/12/2014 10.00,"0,7","11,5","5,7","46,5","0,3","3,7"
01/12/2014 11.00,"0,9","13,3","6,8","46,5","0,3","4,4"
01/12/2014 12.00,"0,9","7,1","3,0","46,5","0,2","2,2"
01/12/2014 13.00,"0,9","7,5","3,2","46,5","0,2","3,4"
01/12/2014 14.00,"0,8","7,3","3,0","46,5","0,2","3,2"
01/12/2014 15.00,"0,8","6,7","2,7","46,5","0,2","2,6"
01/12/2014 16.00,"1,2","6,6","2,6","46,5","0,2","2,7"
01/12/2014 17.00,"1,0","9,5","4,5","46,5","0,2","5,5"
01/12/2014 18.00,"1,0","11,0","6,1","46,5","0,3","7,4"
01/12/2014 19.00,"0,9","8,9","4,4","46,5","0,3","8,4"
01/12/2014 20.00,"1,1","8,8","4,2","46,5","0,3","4,4"
01/12/2014 21.00,"1,0","8,5","4,3","46,5","0,2","5,3"
01/12/2014 22.00,"0,9","8,4","4,1","46,5","0,2","3,1"
01/12/2014 23.00,"0,9","6,6","2,7","46,5","0,2","2,0"
02/12/2014 0.00,"0,7","5,9","2,0","46,5","0,2","1,9"
02/12/2014 1.00,,"6,2","2,6","95,4","0,2","1,6"
02/12/2014 2.00,"1,3","5,2","1,8","95,4","0,2","1,5"
02/12/2014 3.00,"1,2","5,3","1,7","95,4",,"1,4"
02/12/2014 4.00,"1,2","5,4","2,1","95,4","0,1","1,2"
02/12/2014 5.00,"1,3","5,4","1,9","95,4","0,1","1,4"
02/12/2014 6.00,"1,0","9,5","5,3","95,4","0,1","5,6"
02/12/2014 7.00,"1,1","24,0","14,9","95,4","0,2","9,3"
02/12/2014 8.00,"1,4","46,7","25,8","95,4","0,2","12,3"
02/12/2014 9.00,"1,4","49,3","27,6","95,4","0,3","16,8"
02/12/2014 10.00,"1,7","14,4","8,2","95,4","0,2","3,8"
02/12/2014 11.00,"1,2","15,7","9,7","95,4","0,1","4,5"
02/12/2014 12.00,"1,4","14,3","8,5","95,4","0,2","3,9"
02/12/2014 13.00,"1,3","10,7","5,8","95,4","0,1","2,6"
02/12/2014 14.00,"0,8","12,8","7,2","95,4","0,1","2,9"
02/12/2014 15.00,"1,0","11,7","6,8","95,4","0,1","2,0"
02/12/2014 16.00,"1,2","14,3","8,1","95,4","0,2","2,7"
02/12/2014 17.00,"1,3","59,1","26,2","95,4","0,2","27,1"
02/12/2014 18.00,"2,1","106,1","50,1","95,4","0,4","41,7"
02/12/2014 19.00,"2,2","98,9","48,6","95,4","0,6","41,1"
02/12/2014 20.00,"2,0","70,4","41,2","95,4","0,4","29,1"
02/12/2014 21.00,"1,8","59,2","35,9","95,4","0,3","20,8"
02/12/2014 22.00,"2,4","69,6","36,7","95,4","0,3","36,4"
02/12/2014 23.00,"2,5","57,4","30,9","95,4","0,4","26,1"
03/12/2014 0.00,"2,3","36,3","22,2","95,4","0,3","13,5"
03/12/2014 1.00,"2,5","37,0","20,0","31,5","0,3","9,4"
03/12/2014 2.00,"2,7","20,0","12,2","31,5","0,2","6,9"
03/12/2014 3.00,"2,3","10,2","5,8","31,5","0,1","1,9"
03/12/2014 4.00,"2,8","7,6","3,7","31,5","0,1","1,7"
03/12/2014 5.00,"3,1","5,9","2,2","31,5","0,1","1,3"
03/12/2014 6.00,"3,0","6,5","2,9","31,5","0,1","1,6"
03/12/2014 7.00,"3,1","8,8","5,1","31,5","0,1","3,0"
