"NetC","SIMAGE Brindisi","","","","","","","","","","","","",""
"Stat","Francavilla F.na Via F.Filzi","","","","","","","","","","","","",""
,NOX,NO2,CO,O3,SO2,Benzene
13/10/2011 5.00,"31,2",23,1,,"9,3","2,7"
13/10/2011 6.00,"43,4","30,3","1,3","10,7","8,1","0,6"
13/10/2011 7.00,"69,3","42,6","1,3","8,8","1,9","1,1"
13/10/2011 8.00,"118,7","58,6","1,9","14,4","1,1","1,5"
13/10/2011 9.00,89,44,"1,6","25,6","2,3","2,8"
13/10/2011 10.00,"37,2","22,5",1,"51,5","2,4","2,2"
13/10/2011 11.00,"30,8",19,1,"61,9","1,5","0,7"
13/10/2011 12.00,"25,6","16,5","0,9","71,8","1,2","0,8"
13/10/2011 13.00,"41,1","23,9","1,1","65,4","1,1","0,8"
13/10/2011 14.00,"15,4","10,9","0,7","73,4","0,5","0,5"
13/10/2011 15.00,"20,6","14,4","0,9","68,3","0,1","0,5"
13/10/2011 16.00,"23,2","15,5",1,"67,3",0,"0,5"
13/10/2011 17.00,"25,2","17,5","0,9","67,7",0,"0,4"
13/10/2011 18.00,"56,1","36,9","1,2","50,4","1,8","0,6"
13/10/2011 19.00,"64,1","45,6","1,2","38,1",5,"1,1"
13/10/2011 20.00,"66,7","52,7","1,3","25,7","5,7","1,1"
13/10/2011 21.00,"36,7","30,8","0,9","51,5","5,4",1
13/10/2011 22.00,"18,8","16,6","0,8","70,2","5,3","0,6"
13/10/2011 23.00,11,"9,6","0,9","75,2","4,9","0,4"
14/10/2011 0.00,"6,6","5,5","0,8","71,9","4,6","0,3"
14/10/2011 1.00,"5,1","3,8","0,8","62,3","4,2","0,2"
14/10/2011 2.00,"4,7","3,5","0,5","63,4",4,"0,2"
14/10/2011 3.00,"5,1","3,7","0,2","63,1","3,4","0,2"
14/10/2011 4.00,"6,6","5,3","0,2","57,6","3,2","0,2"
14/10/2011 5.00,"6,3",5,"0,2","55,6","2,8","0,2"
14/10/2011 6.00,"7,7","6,4","0,2","48,5","1,7","0,2"
14/10/2011 7.00,"16,4","13,4","0,2","42,7",1,"0,3"
14/10/2011 8.00,15,"11,2","0,2","50,8","0,9","0,4"
14/10/2011 9.00,"10,5","7,2","0,2","57,2","0,9","0,3"
14/10/2011 10.00,"9,5","6,7",,"59,7",1,"0,3"
14/10/2011 11.00,"9,8","6,7",,"60,5","0,9","0,3"
14/10/2011 12.00,"8,7","5,7",,"63,7","0,9","0,2"
14/10/2011 13.00,"11,5","8,2",,"64,1","0,6","0,2"
14/10/2011 14.00,"10,2","7,6",,"64,4","0,7","0,2"
14/10/2011 15.00,"8,6","6,5",,"65,1","0,5","0,3"
14/10/2011 16.00,"8,4","6,6",,"65,8","0,5","0,3"
14/10/2011 17.00,"9,9",8,,"65,1","0,5","0,3"
14/10/2011 18.00,"10,4","8,6",,"68,4","0,9","0,2"
14/10/2011 19.00,"11,5","9,6",,"68,6",2,"0,4"
14/10/2011 20.00,"11,8","9,8",,"66,8","1,9","0,3"
14/10/2011 21.00,"8,9","7,5",,"64,7","1,7","0,3"
14/10/2011 22.00,"6,3","4,8",,"65,5","1,6","0,3"
14/10/2011 23.00,"5,2","4,2",,"65,1","1,3","0,2"
15/10/2011 0.00,"4,6","3,5",,"66,9","1,4","0,2"
15/10/2011 1.00,4,"3,3",,"67,7","1,4","0,2"
15/10/2011 2.00,,,"0,2","69,2","1,3","0,2"
15/10/2011 3.00,"9,8","8,9","0,9","69,7",1,"0,2"
15/10/2011 4.00,"7,8","6,6","0,9","66,9",,"0,2"
15/10/2011 5.00,"6,4","5,4","0,9",,1,"0,2"
15/10/2011 6.00,"8,8","7,3","0,8","61,8","1,5","0,2"
15/10/2011 7.00,"10,6","8,7","0,8","57,8","2,1","0,2"
15/10/2011 8.00,"15,7","12,2","0,8","53,6","2,7","0,3"
15/10/2011 9.00,"11,8","9,1","0,6","56,4","2,7","0,3"
15/10/2011 10.00,"10,6","7,8","0,8","60,7","2,7","0,4"
15/10/2011 11.00,"8,6","6,2","0,7",66,"2,6","0,4"
15/10/2011 12.00,"9,2","6,6","0,6","68,2","2,8","0,3"
15/10/2011 13.00,"10,2","7,1","0,5","71,8","2,9","0,2"
15/10/2011 14.00,"6,6","4,8","0,5","75,1","3,3","0,2"
15/10/2011 15.00,"5,9","4,4","0,4","76,3","3,7","0,2"
15/10/2011 16.00,"6,3","4,8","0,4","77,2","3,4","0,2"
15/10/2011 17.00,"7,1",6,"0,4","77,5","3,6","0,3"
15/10/2011 18.00,"10,1","8,7","0,3","73,9","2,5","0,3"
15/10/2011 19.00,"12,2","10,5","0,3","76,7","2,1","0,3"
15/10/2011 20.00,"11,5","9,8","0,2","74,8","1,7","0,3"
15/10/2011 21.00,"10,7","9,1","0,2","73,6","2,1","0,3"
15/10/2011 22.00,8,"6,7","0,2","76,4","2,1","0,3"
15/10/2011 23.00,7,"5,9","0,2","76,7","1,7","0,2"
16/10/2011 0.00,7,"5,7","0,2","67,2","1,5","0,2"
16/10/2011 1.00,7,6,"0,1","65,5","1,9","0,2"
16/10/2011 2.00,"6,9","5,9","0,4","64,5",2,"0,2"
16/10/2011 3.00,"5,8",5,"0,7","62,9","1,5","0,3"
16/10/2011 4.00,"5,9","5,1","0,8","62,9","1,5","0,2"
16/10/2011 5.00,"6,6","5,5","0,7","63,9","1,3","0,2"
16/10/2011 6.00,"6,5","5,7","0,8","65,8","2,8","0,2"
16/10/2011 7.00,"6,5","5,6","0,7","63,1","5,8","0,2"
16/10/2011 8.00,"7,5","5,9","0,7","67,7","5,3","0,2"
16/10/2011 9.00,"6,6",5,"0,7","69,1","5,4","0,2"
16/10/2011 10.00,"7,6","5,4","0,7","71,8","5,2","0,2"
16/10/2011 11.00,"7,6","5,5","0,7","74,2","5,2","0,3"
16/10/2011 12.00,"8,4","6,5","0,6",80,6,"0,8"
16/10/2011 13.00,"7,7",6,"0,7","81,4","6,7","0,3"
16/10/2011 14.00,"5,9","4,5","0,6","84,4","6,3","0,3"
16/10/2011 15.00,"6,4","4,8","0,5","83,2","5,7","0,3"
16/10/2011 16.00,"6,2","4,9","0,5","84,6","4,9","0,3"
16/10/2011 17.00,"7,7","6,5","0,6","78,6","4,9","0,4"
16/10/2011 18.00,"10,8",9,"0,5","71,2","5,2","0,4"
16/10/2011 19.00,"9,3","7,4","0,4","68,9","4,2","0,5"
16/10/2011 20.00,"8,2","6,7","0,5",67,"4,1","0,3"
16/10/2011 21.00,"8,2","6,6","0,4","64,5","3,8","0,3"
16/10/2011 22.00,"7,5","6,3","0,4",63,"4,2","0,3"
16/10/2011 23.00,"6,6","5,5","0,3","61,8","3,8","0,2"
17/10/2011 0.00,5,"4,2","0,3",62,"3,6","0,2"
17/10/2011 1.00,"3,8",3,"0,3","61,9",6,"0,2"
17/10/2011 2.00,,,"0,3","60,8",16,"0,2"
17/10/2011 3.00,"13,7","12,7","0,6","57,7","12,5","0,2"
17/10/2011 4.00,"11,6","10,5","0,6","53,8",,"0,2"
17/10/2011 5.00,"10,7","9,6","0,5",,"12,9","0,2"
17/10/2011 6.00,"14,5","12,8","0,7","48,2","8,5","0,2"
17/10/2011 7.00,"19,6","16,6","0,5","44,8","4,4","0,3"
17/10/2011 8.00,"23,9","18,2","0,7","47,2","5,2","0,4"
17/10/2011 9.00,"13,4",10,"0,5","55,3","8,9","0,4"
17/10/2011 10.00,"10,7",8,"0,6","61,1","8,3","0,4"
17/10/2011 11.00,"10,6","7,9","0,5","62,9","7,1","0,4"
17/10/2011 12.00,"11,9","8,4","0,5","63,1","6,4","0,3"
17/10/2011 13.00,"12,7","9,2","0,4","63,4","6,4","0,3"
17/10/2011 14.00,"8,4","6,4","0,4","68,4","5,8","0,3"
17/10/2011 15.00,"9,3","7,3","0,5","70,1","5,5","0,3"
17/10/2011 16.00,"11,3","8,9","0,5","72,3","6,6","0,3"
17/10/2011 17.00,"13,1","10,9","0,5","74,4","12,8","0,3"
17/10/2011 18.00,"19,7","17,4","0,6","68,8","9,7","0,3"
17/10/2011 19.00,"42,3","34,5","0,7","49,1","3,9","0,6"
17/10/2011 20.00,"48,4","39,2","0,7","40,4","2,7","0,9"
17/10/2011 21.00,"46,7","37,5","0,8","33,9","1,1",1
17/10/2011 22.00,"34,8","29,5","0,5","40,3",0,"0,9"
17/10/2011 23.00,"25,7","22,5","0,4","46,4",0,"0,6"
18/10/2011 0.00,"18,4","16,3","0,5",48,0,"0,6"
18/10/2011 1.00,"12,7","11,1","0,3","50,7",0,"0,4"
18/10/2011 2.00,"11,4","9,7","0,4","47,5",0,"0,4"
18/10/2011 3.00,"11,2","9,5","0,4","47,2",0,"0,4"
18/10/2011 4.00,"12,9","11,4","0,4",51,0,"0,3"
18/10/2011 5.00,"13,8","12,1","0,6","51,2",0,"0,2"
18/10/2011 6.00,"29,6","23,2","0,6","42,4","0,2","0,3"
18/10/2011 7.00,"56,6","42,7","0,8","25,7","0,4","0,6"
18/10/2011 8.00,"91,1","56,8","1,1","16,8","0,5","0,9"
18/10/2011 9.00,53,"39,9","0,8","27,3",1,"1,7"
18/10/2011 10.00,31,"24,4","0,6","41,9","0,9","0,8"
18/10/2011 11.00,"24,8",16,"0,7","59,6","1,1","0,6"
18/10/2011 12.00,"14,3",11,"0,5","67,5","1,5","0,4"
18/10/2011 13.00,"31,8","19,2","0,7","65,8","1,8","0,3"
18/10/2011 14.00,"13,7","10,3","0,5",78,1,"0,9"
18/10/2011 15.00,"11,8","8,6","1,8","80,4","0,8","0,3"
18/10/2011 16.00,"13,2","10,8","0,1","85,4","0,5","0,2"
18/10/2011 17.00,"20,7","17,2","0,2","76,4",0,"0,4"
18/10/2011 18.00,"25,1","21,7","0,2","69,9","1,6","0,6"
18/10/2011 19.00,"49,9","39,9","0,4","44,7",4,"1,7"
18/10/2011 20.00,"71,5","53,9","0,6",29,"5,3","1,6"
18/10/2011 21.00,62,"47,2","0,4","33,9","6,2","1,9"
18/10/2011 22.00,"43,8","34,3","0,2","43,6","6,9","1,2"
18/10/2011 23.00,"21,4","18,1","0,1",54,8,"0,8"
19/10/2011 0.00,"18,9","16,3","0,2","54,4","8,1","0,7"
19/10/2011 1.00,"16,7",14,"0,3","55,9","8,5","0,6"
19/10/2011 2.00,,,"0,5","61,2","8,8","0,5"
19/10/2011 3.00,"24,5","22,8",1,"52,1","8,6","0,5"
19/10/2011 4.00,"22,3","19,9","1,1",51,,"0,5"
19/10/2011 5.00,"38,7","32,1",1,,"8,4","0,5"
19/10/2011 6.00,"41,8","33,2","1,3","39,2","5,6","0,8"
19/10/2011 7.00,"106,5","58,1","1,7","16,5","3,4","1,8"
19/10/2011 8.00,"156,6","72,9",2,"11,5","4,4","2,8"
19/10/2011 9.00,147,73,"1,9","16,8","6,4","2,5"
19/10/2011 10.00,"84,3","46,6","1,6",45,"8,3",3
19/10/2011 11.00,"37,7","23,3","1,3","69,7","9,4","1,1"
19/10/2011 12.00,"35,4","22,6","1,2","76,3","10,1","0,7"
19/10/2011 13.00,"53,6","34,1","1,2",75,10,"0,9"
19/10/2011 14.00,"19,3","12,5","1,1","91,1",10,"0,9"
19/10/2011 15.00,"33,1","22,8","1,1","84,3","10,2","0,9"
19/10/2011 16.00,24,"18,1","0,9","87,1","9,7","0,4"
19/10/2011 17.00,"37,2","26,3","1,1","75,2","9,1","0,8"
19/10/2011 18.00,69,"48,2","1,4","52,4","5,8",1
19/10/2011 19.00,90,"65,3","1,5","38,7","3,2","2,4"
19/10/2011 20.00,"102,8","71,5","1,6","32,1","4,1",2
19/10/2011 21.00,"80,2",62,"1,5","36,7","4,9","1,7"
19/10/2011 22.00,"83,5","59,9","1,6","25,9","6,4","2,1"
19/10/2011 23.00,"129,7","70,6","1,8","4,7","7,6",3
20/10/2011 0.00,"60,3","41,6","1,2","30,9",8,"2,6"
20/10/2011 1.00,"27,3",24,"0,8","50,2","8,8","0,9"
20/10/2011 2.00,16,14,"0,7","60,2","8,7","0,6"
20/10/2011 3.00,"29,5","23,7","0,6","52,3","8,8","0,6"
20/10/2011 4.00,"23,8","20,3","0,9",62,"9,4","1,7"
20/10/2011 5.00,"35,2","30,6","0,7","41,9","10,6","1,3"
20/10/2011 6.00,"68,1","55,5",1,"27,7","7,6","1,3"
20/10/2011 7.00,"181,8","86,1","2,3","8,5","2,5","1,8"
20/10/2011 8.00,"199,7","87,2","2,3","9,4",3,"4,3"
20/10/2011 9.00,"120,8","68,1",,28,,"5,2"
20/10/2011 10.00,"44,3","28,8","0,4","65,6","2,5","1,7"
20/10/2011 11.00,"29,4","20,6","0,3","73,6","2,5","0,7"
20/10/2011 12.00,"36,9","22,7","0,3","72,7","2,7","0,6"
20/10/2011 13.00,"33,5","20,5","0,3","74,1","2,4","0,5"
20/10/2011 14.00,"18,2","12,2","0,2","78,6","1,4","0,5"
20/10/2011 15.00,"18,6","13,3","0,2","77,3",2,"0,4"
20/10/2011 16.00,"22,6","15,2","0,4","73,7","0,9","0,4"
20/10/2011 17.00,"22,5","16,4","0,2","76,9","0,1","0,5"
20/10/2011 18.00,"31,5","22,7","0,4","67,7","1,5","0,7"
20/10/2011 19.00,"59,2",40,"0,5","48,4","3,5","0,9"
20/10/2011 20.00,"73,1","48,3","0,8","34,1","4,1","1,5"
20/10/2011 21.00,"41,2","33,8","0,4","36,3","3,9","1,2"
20/10/2011 22.00,"34,4",29,"0,5","37,5",4,"1,1"
20/10/2011 23.00,"28,8","19,8","0,3",49,"4,4","0,6"
21/10/2011 0.00,"16,6","12,7","0,3","51,4","4,5","0,5"
21/10/2011 1.00,"9,4","7,8","0,3",42,"4,4","0,4"
21/10/2011 2.00,,,"0,4","39,6","4,3","0,4"
21/10/2011 3.00,"7,1","5,6",,"39,3","3,9","0,3"
21/10/2011 4.00,"16,1",13,1,"30,7",,"0,4"
21/10/2011 5.00,"13,9","11,7","1,1",,"3,8","0,4"
21/10/2011 6.00,"49,6","34,1","1,4","6,4",3,"0,7"
21/10/2011 7.00,"122,7","51,9","1,9","6,2","3,8","2,7"
21/10/2011 8.00,"134,1","65,6","2,8",12,5,"2,7"
21/10/2011 9.00,"103,1",49,"1,8","21,7","5,9","3,8"
21/10/2011 10.00,"47,7","27,1","1,3","46,3","6,8","1,6"
21/10/2011 11.00,"41,6","24,3","1,3","49,8","6,4",1
21/10/2011 12.00,"52,2","30,7","1,3","45,7","6,8","0,7"
21/10/2011 13.00,"50,9","30,2","1,1",49,"6,9",1
21/10/2011 14.00,"27,2","17,8",1,"58,3","6,5","0,7"
21/10/2011 15.00,"30,9","21,5",1,"55,3","6,3","0,7"
21/10/2011 16.00,"31,8","22,9","1,1",58,"6,1","0,8"
21/10/2011 17.00,27,"22,2","1,1","55,8","5,3","0,7"
21/10/2011 18.00,"15,1",13,"0,9","61,3","4,1","0,5"
21/10/2011 19.00,15,"13,1","0,9","57,3","2,4","0,6"
21/10/2011 20.00,"12,8","10,5","0,9","59,4","2,3","0,4"
21/10/2011 21.00,"9,4","7,8","0,8","58,6","1,7","0,3"
21/10/2011 22.00,"7,8","6,3","0,8","55,8","1,7","0,3"
21/10/2011 23.00,"6,7","5,5","0,6","54,9",1,"0,3"
22/10/2011 0.00,"5,3","4,2","0,6","56,9","0,8","0,3"
22/10/2011 1.00,"5,7","4,7","0,6","52,8","0,7","0,3"
22/10/2011 2.00,"6,3","5,4","0,6","48,4","0,8","0,3"
22/10/2011 3.00,"6,4","5,3","0,5","45,1","0,5","0,3"
22/10/2011 4.00,8,"6,7","0,5","43,1","0,5","0,3"
22/10/2011 5.00,"8,6","7,3","0,5","40,4","0,4","0,3"
22/10/2011 6.00,"13,9","12,2","0,4","36,1","1,8","0,3"
22/10/2011 7.00,"23,2","19,4","0,6","30,6","3,4","0,6"
22/10/2011 8.00,"24,3","18,6","0,6","33,8","3,8","0,5"
22/10/2011 9.00,"25,3","17,4","0,5","39,7","4,1","0,7"
22/10/2011 10.00,"12,7","8,7","0,4","53,4","3,6","0,5"
22/10/2011 11.00,"17,1","11,8","0,5",61,"3,6","0,3"
22/10/2011 12.00,"23,7","15,7","0,5","64,6","3,9","0,8"
22/10/2011 13.00,"25,4","16,5","0,4","71,5","3,7","0,4"
22/10/2011 14.00,"12,3","9,3","0,4","65,4","4,3","0,4"
22/10/2011 15.00,"9,2","7,1","0,3","68,5","3,4","0,4"
22/10/2011 16.00,"8,9",7,"0,5","70,4","3,5","0,3"
22/10/2011 17.00,"11,5","9,8","0,4","67,7","3,1","0,5"
22/10/2011 18.00,"19,8","17,1","0,5","59,7","2,7","0,5"
22/10/2011 19.00,"29,7","25,7","0,7","46,3","3,1",1
22/10/2011 20.00,"27,3","23,7","0,7","44,9","3,6",1
22/10/2011 21.00,"29,2","24,8","0,5","38,8","3,8","0,8"
22/10/2011 22.00,28,"24,5","0,5","37,4","3,9",1
22/10/2011 23.00,"25,1","21,8","0,4","36,6","4,9","0,8"
23/10/2011 0.00,"13,9","12,2","0,2","40,6","4,7","0,7"
23/10/2011 1.00,"12,2","10,6","0,3","46,7","4,9","0,5"
23/10/2011 2.00,,,"0,6","47,2","4,5","0,4"
23/10/2011 3.00,"10,3","9,1",,"45,2","4,6","0,4"
23/10/2011 4.00,"11,9","10,4","1,3","46,8",,"0,4"
23/10/2011 5.00,"10,9","9,7","1,2",,"4,1","0,4"
23/10/2011 6.00,"12,1","10,6","1,3","44,7","2,7","0,4"
23/10/2011 7.00,"10,5","9,2","1,3","49,9","1,3","0,5"
23/10/2011 8.00,"11,6","9,5","1,3",47,"1,6","0,4"
23/10/2011 9.00,"10,3","7,9","1,3","60,4","1,6","0,4"
23/10/2011 10.00,"10,9",8,"1,4","66,6","1,8","0,3"
23/10/2011 11.00,9,"6,9","1,3","76,8","1,7","0,4"
23/10/2011 12.00,"9,9","7,7","1,2",76,"1,4","0,4"
23/10/2011 13.00,"9,1","6,7","1,3","77,5","1,4","0,3"
23/10/2011 14.00,"6,6","4,6","1,2","78,7","1,3","0,3"
23/10/2011 15.00,"6,4","4,9","1,2","80,7",1,"0,3"
23/10/2011 16.00,"7,3","5,8","1,2","81,2","0,9","0,3"
23/10/2011 17.00,"7,5","6,2","1,2","81,7","0,9","0,3"
23/10/2011 18.00,"10,5","9,1","1,1","74,5",2,"0,3"
23/10/2011 19.00,"16,4","14,8","1,3","61,9","2,8","0,8"
23/10/2011 20.00,"18,7",17,"1,3","57,1","3,3","0,6"
23/10/2011 21.00,"19,7","17,4","1,2","53,2","3,3","0,6"
23/10/2011 22.00,"14,4","12,4","1,2","55,7","2,9","0,5"
23/10/2011 23.00,"12,7","11,3","1,2","53,3","3,8","0,4"
24/10/2011 0.00,"12,7",11,"1,2",51,"3,4","0,4"
24/10/2011 1.00,"9,6","8,1","1,1","52,1","3,6","0,4"
24/10/2011 2.00,"6,3","5,2","0,8","53,4","3,7","0,4"
24/10/2011 3.00,"9,7","8,3","0,3","47,4","3,6","0,3"
24/10/2011 4.00,"11,6","10,1","0,2",48,"3,4","0,3"
24/10/2011 5.00,"8,2","7,3","0,3","64,4","3,4","0,3"
24/10/2011 6.00,"17,8","16,5","0,3","50,4","2,1","0,3"
24/10/2011 7.00,"39,2","34,8","0,4","32,4","0,3","0,5"
24/10/2011 8.00,"51,6","38,6","0,4","29,2","0,3","0,8"
24/10/2011 9.00,"30,1","21,6","0,3","57,2","0,6","0,8"
24/10/2011 10.00,"15,7","10,6","0,2",71,"0,5","0,4"
24/10/2011 11.00,"14,5","9,6","0,3","72,3","0,5","1,8"
24/10/2011 12.00,"13,6","9,7","0,2","74,3","0,7","0,4"
24/10/2011 13.00,"23,1",16,"0,3","69,9","0,6","0,4"
24/10/2011 14.00,"17,4","12,8","0,1","74,5","0,6","0,4"
24/10/2011 15.00,"17,8","14,6","0,2",80,"0,7","0,4"
24/10/2011 16.00,"21,3","17,1","0,2","66,9","0,6","0,7"
24/10/2011 17.00,24,"19,3","0,4","49,4","0,9","0,8"
24/10/2011 18.00,56,"38,8","0,5","27,2","2,6","1,2"
24/10/2011 19.00,"68,7","49,6","0,6","13,4","4,8","2,4"
24/10/2011 20.00,"62,8",45,"0,7","19,1","6,2","2,1"
24/10/2011 21.00,"41,9","33,1","0,4","24,8",7,"1,5"
24/10/2011 22.00,"31,9","25,7","0,3","27,9","7,2","1,1"
24/10/2011 23.00,"17,2","14,4","0,2","37,6","6,7","0,9"
25/10/2011 0.00,"11,9","10,1","0,1","43,5","7,5","0,7"
25/10/2011 1.00,"7,6","6,1","0,1","52,5","6,9","0,4"
25/10/2011 2.00,,,"0,3","48,6","6,7","0,3"
25/10/2011 3.00,"8,4","7,2",,45,6,"0,3"
25/10/2011 4.00,"8,3",7,"0,6","50,5",,"0,3"
25/10/2011 5.00,"11,4","9,2","0,7",,5,"0,2"
25/10/2011 6.00,"15,4",11,"0,6","46,2","3,1","0,3"
25/10/2011 7.00,"20,1","14,7","0,7","47,6","1,5","0,3"
25/10/2011 8.00,"46,9","28,1","1,3","34,7","1,2","0,5"
25/10/2011 9.00,"38,6","24,1",1,"35,7","1,6",1
25/10/2011 10.00,"39,7","24,3",1,"37,2","1,7","0,8"
25/10/2011 11.00,"35,1","20,1","0,9","41,6","2,1","0,9"
25/10/2011 12.00,"25,6","15,8","0,8","47,9","2,3","0,5"
25/10/2011 13.00,"37,1","21,2","1,1","49,1","2,6","0,7"
25/10/2011 14.00,"14,1","9,8","0,7","60,5","2,2","1,4"
25/10/2011 15.00,"18,4","12,2","0,8","59,6","2,1","0,4"
25/10/2011 16.00,"19,3","11,4","0,7","60,6","2,1","0,4"
25/10/2011 17.00,25,"16,6","0,8","55,9","2,3","0,4"
25/10/2011 18.00,"50,5","30,8",1,"40,2","1,5","0,7"
25/10/2011 19.00,"59,6","40,1","1,1","33,6","0,3","0,9"
25/10/2011 20.00,"71,9","44,4","1,2","27,6","0,6","1,5"
25/10/2011 21.00,"41,7","29,2","0,8",38,"0,6","0,9"
25/10/2011 22.00,"21,3","16,3","0,7",43,"0,4","0,7"
25/10/2011 23.00,"18,9","13,9","0,7","40,6","0,5","0,5"
26/10/2011 0.00,"17,9","13,1","0,6","38,1","0,7","0,8"
26/10/2011 1.00,9,"7,3","0,5","43,2","0,7","0,5"
26/10/2011 2.00,"6,4",5,"0,4","50,7","0,5","0,4"
26/10/2011 3.00,"5,4","4,4","0,3","44,5","0,4","0,3"
26/10/2011 4.00,"11,4","8,7","0,2",40,"0,3","0,3"
26/10/2011 5.00,"16,2","11,3","0,3","43,6","0,1","0,3"
26/10/2011 6.00,"18,7","14,5","0,4","36,9","1,4","0,4"
26/10/2011 7.00,"26,7","19,8","0,4","35,6","3,3","0,6"
26/10/2011 8.00,"56,3","32,5","1,1",34,"4,3",1
26/10/2011 9.00,"42,9","24,5","0,6","35,6","4,2","1,3"
26/10/2011 10.00,"35,8","21,3","0,6","37,6","5,5","0,9"
26/10/2011 11.00,"27,4","15,7","0,5","56,4",5,"0,9"
26/10/2011 12.00,"22,2","14,5","0,4","61,3","5,1","0,4"
26/10/2011 13.00,"35,3","19,7","0,6",58,"5,4","0,5"
26/10/2011 14.00,"14,8","9,5","0,3","62,7","4,7","1,1"
26/10/2011 15.00,"15,7","9,5","0,2","60,3","4,6","0,4"
26/10/2011 16.00,"20,5","11,7","0,4","62,1","4,5","0,4"
26/10/2011 17.00,"19,4","12,4","0,3","63,1","4,5","0,5"
26/10/2011 18.00,"29,6","19,3","0,5","53,3","3,8","0,6"
26/10/2011 19.00,"40,6",25,"0,4","46,8","2,8","0,7"
26/10/2011 20.00,"36,8","22,9","0,3","49,2","2,8","1,4"
26/10/2011 21.00,"28,3","20,5","0,3",49,"2,8","0,8"
26/10/2011 22.00,"14,7","10,5","0,1","54,8","2,6","0,5"
26/10/2011 23.00,"13,2","9,4","0,2","53,7","2,5","0,5"
27/10/2011 0.00,"9,6","8,1","0,2","49,5","2,4","0,3"
27/10/2011 1.00,"6,9","5,6","0,2","47,6","2,1","0,4"
27/10/2011 2.00,,,"0,2","54,3","2,2","0,3"
27/10/2011 3.00,"5,7","4,3",,"53,8","2,1","0,3"
27/10/2011 4.00,"15,7","11,1","0,6","52,3",,"0,3"
27/10/2011 5.00,13,"10,9","0,4",,"1,5","0,3"
27/10/2011 6.00,"17,9","14,5","0,6","41,8","1,8","0,5"
27/10/2011 7.00,"28,5","20,1","0,7","38,8","2,4","0,7"
27/10/2011 8.00,"70,6","39,7","1,1","27,6","3,7","1,1"
27/10/2011 9.00,"36,5","22,1","0,8","43,8","3,9","3,4"
27/10/2011 10.00,"28,2",17,"0,8",49,"4,1","1,3"
27/10/2011 11.00,"30,2","19,2","0,7","50,2","4,6","0,8"
27/10/2011 12.00,"53,3","31,9",1,42,"4,9","0,9"
27/10/2011 13.00,"47,1","28,7","0,7",47,"5,2","1,5"
27/10/2011 14.00,21,"14,1","0,5","60,5","5,3","0,6"
27/10/2011 15.00,"19,9","14,4","0,5","60,1","4,9","0,4"
27/10/2011 16.00,"27,6","18,4","0,6","55,7","4,8","0,6"
27/10/2011 17.00,"30,5","20,8","0,6","57,1","4,7","0,6"
27/10/2011 18.00,"65,6","43,3","0,8","35,6","3,2","1,4"
27/10/2011 19.00,"65,3","45,3","0,9","29,1","2,1","1,7"
27/10/2011 20.00,"47,6","38,8","0,8","29,6","1,9","1,3"
27/10/2011 21.00,"42,8","34,7","0,7","34,6","1,9","1,3"
27/10/2011 22.00,33,"29,1","0,6","32,6",2,"1,1"
27/10/2011 23.00,"45,3","38,7","0,8","10,2","1,8","1,1"
28/10/2011 0.00,"32,7","28,6","0,6","15,4","2,1","1,3"
28/10/2011 1.00,"22,8","20,1","0,5","18,6","1,8",1
28/10/2011 2.00,"17,5","15,1","0,5","24,1","2,6","0,9"
28/10/2011 3.00,"13,9","12,1","0,5","29,1","1,7","0,7"
28/10/2011 4.00,"12,1","10,3","0,5","27,9","1,7","0,8"
28/10/2011 5.00,"22,7","20,1","0,6","22,5",2,"0,6"
28/10/2011 6.00,"38,5","30,6","0,8","13,8","1,9","0,7"
28/10/2011 7.00,"78,2","50,6","0,9","7,3","3,2","1,5"
28/10/2011 8.00,"152,5","65,5",2,"6,2","3,7","2,4"
28/10/2011 9.00,"143,9","67,3","1,3","11,2","5,5",4
28/10/2011 10.00,"77,9",48,"0,9","33,8","6,3","2,2"
28/10/2011 11.00,"33,5","22,5","0,4","57,7",6,"1,8"
28/10/2011 12.00,"27,8","18,6","0,3","69,9","22,3","0,5"
28/10/2011 13.00,"29,1",19,"0,4","71,9","19,1","0,4"
28/10/2011 14.00,"12,1","9,1","0,3","80,9","16,3","0,4"
28/10/2011 15.00,"10,5","8,5","0,2","83,2","15,3","0,5"
28/10/2011 16.00,"12,3","10,3","0,3","82,2",14,"0,4"
28/10/2011 17.00,"15,9","13,7","0,2",74,"12,6","0,5"
28/10/2011 18.00,28,25,"0,4","55,9","7,9","0,5"
28/10/2011 19.00,"32,7","28,5","0,5",42,"2,8","0,8"
28/10/2011 20.00,"43,2","36,9","0,5","29,8","2,9",1
28/10/2011 21.00,"34,1",30,"0,4","33,9",3,1
28/10/2011 22.00,"22,9","20,6","0,4","45,5","2,7","0,9"
28/10/2011 23.00,"18,2","16,4","0,3","51,4","2,2","0,6"
29/10/2011 0.00,"18,6","16,4","0,3","50,4","2,1","0,6"
29/10/2011 1.00,"13,2","11,4","0,2","53,1","2,2","0,5"
29/10/2011 2.00,,,"0,2","56,6","2,1","0,6"
29/10/2011 3.00,"11,4","10,1",,55,"1,4","0,4"
29/10/2011 4.00,14,"12,5","0,5","46,3",,"0,4"
29/10/2011 5.00,"24,3","20,6","0,5",,"0,4","0,4"
29/10/2011 6.00,"21,2","18,7","0,6",37,"1,5","0,5"
29/10/2011 7.00,"44,2","35,3","0,7","21,5","2,9","0,7"
