"NetC","SIMAGE Brindisi","","","","","","","","","","","","",""
"Stat","Francavilla F.na Via F.Filzi","","","","","","","","","","","","",""
,NOX,NO2,CO,O3,SO2,Benzene
12/01/2011 1.00,,,"0,9","6,6",,"1,5"
12/01/2011 2.00,,,"0,4","10,1",,"1,5"
12/01/2011 3.00,,,,"29,7",,"0,7"
12/01/2011 4.00,,,,"35,4",,"0,6"
12/01/2011 5.00,,,,,,"0,4"
12/01/2011 6.00,,,,"40,4",,"0,4"
12/01/2011 7.00,,,,"21,2",,"0,4"
12/01/2011 8.00,,,,"15,9",,"0,7"
12/01/2011 9.00,,,,16,,"1,5"
12/01/2011 10.00,,,,"40,2",,"1,5"
12/01/2011 11.00,,,,"54,3",,"0,7"
12/01/2011 12.00,,,,64,"1,9","0,6"
12/01/2011 13.00,,,,"65,1","1,5","0,6"
12/01/2011 14.00,,,,"68,7","1,5","0,6"
12/01/2011 15.00,,,,"67,1","1,7","0,7"
12/01/2011 16.00,,,,"66,3","1,5","0,8"
12/01/2011 17.00,,,,"60,7","2,3","0,9"
12/01/2011 18.00,,,,"54,9",3,"1,3"
12/01/2011 19.00,,,,"55,3","3,2","1,4"
12/01/2011 20.00,,,,"58,9","3,8","1,4"
12/01/2011 21.00,,,,"58,8","3,9","1,2"
12/01/2011 22.00,,,,"57,5","4,4","0,9"
12/01/2011 23.00,,,,"60,4","4,1","0,6"
13/01/2011 0.00,,,,"57,5","3,7","0,4"
13/01/2011 1.00,,,,"56,6","3,6","0,4"
13/01/2011 2.00,,,,52,"2,7","0,3"
13/01/2011 3.00,,,,"52,5","2,8","0,3"
13/01/2011 4.00,,,,50,2,"0,3"
13/01/2011 5.00,,,,"49,4","2,4","0,3"
13/01/2011 6.00,,,"0,1","45,9","2,3","0,3"
13/01/2011 7.00,,,"0,1","39,9","1,7","0,4"
13/01/2011 8.00,,,"0,1","36,5","1,8","0,4"
13/01/2011 9.00,,,"0,1","37,9","1,8","0,6"
13/01/2011 10.00,,,"0,2","42,6","1,5","0,6"
13/01/2011 11.00,,,"0,1","49,7","1,4","0,5"
13/01/2011 12.00,,,"0,2","51,9","1,4","0,7"
13/01/2011 13.00,,,"0,2","57,1","3,5","0,7"
13/01/2011 14.00,,,"0,1",65,"1,1","0,8"
13/01/2011 15.00,,,"0,1","63,4","1,2","0,9"
13/01/2011 16.00,,,"0,2","62,5","1,4",1
13/01/2011 17.00,,,"0,4","53,7",2,"1,1"
13/01/2011 18.00,,,"0,7","38,3","3,1","2,2"
13/01/2011 19.00,,,"1,1","22,5","4,6","2,3"
13/01/2011 20.00,,,"1,4","15,8","7,1","4,3"
13/01/2011 21.00,,,"2,1","19,4","9,7","5,3"
13/01/2011 22.00,,,"1,4","15,2","10,7","5,5"
13/01/2011 23.00,,,"0,6","11,4","11,2","2,6"
14/01/2011 0.00,,,"0,3","21,5","11,4","1,6"
14/01/2011 1.00,,,"0,1","25,3","11,1",1
14/01/2011 2.00,,,"0,1","38,8","10,5","0,7"
14/01/2011 3.00,,,0,"28,2","10,2","0,7"
14/01/2011 4.00,,,0,"29,9","9,5","0,8"
14/01/2011 5.00,,,0,,"4,6","0,6"
14/01/2011 6.00,,,0,"41,9","0,6","0,4"
14/01/2011 7.00,,,0,"37,6",0,"0,5"
14/01/2011 8.00,,,0,"32,5",0,"0,5"
14/01/2011 9.00,,,"0,3","31,3",0,"0,8"
14/01/2011 10.00,,,"0,1","50,6",0,"1,6"
14/01/2011 11.00,,,0,"63,3",0,"0,7"
14/01/2011 12.00,,,"0,1","70,3",0,"0,6"
14/01/2011 13.00,,,0,"76,5",0,"0,6"
14/01/2011 14.00,,,0,"76,6",0,"0,7"
14/01/2011 15.00,,,0,"79,4",0,"0,9"
14/01/2011 16.00,,,,"70,2",,"0,7"
14/01/2011 17.00,,,"0,2","63,8","2,7","1,1"
14/01/2011 18.00,,,"0,5","38,5","3,1","1,3"
14/01/2011 19.00,,,"0,7","25,7",4,"2,7"
14/01/2011 20.00,,,"0,7","23,4","5,4","2,5"
14/01/2011 21.00,,,1,"26,7",7,3
14/01/2011 22.00,,,"1,2","23,2","7,9","2,8"
14/01/2011 23.00,,,"0,8","18,9","8,8","3,4"
15/01/2011 0.00,,,"0,6","19,6","9,1","1,9"
