,Bari,,
,Ex Ciapi,,
Parm,SO2,NO2,PM10



15/01/2010 5.00,"3,88485356","28,70372792","37,59999084"
15/01/2010 6.00,"3,98599319","37,17753984","37,59999084"
15/01/2010 7.00,"4,37971559","49,80194048","37,59999084"
15/01/2010 8.00,"4,3435948","53,65402776","37,59999084"
15/01/2010 9.00,"5,0606042","71,76971152","37,59999084"
15/01/2010 10.00,"4,93056652","71,11169672","37,59999084"
15/01/2010 11.00,"4,29663686","62,30823688","37,59999084"
15/01/2010 12.00,"4,19549722","41,786282","37,59999084"
15/01/2010 13.00,"4,08713282","35,44356616","37,59999084"
15/01/2010 14.00,"4,06184817","35,38647384","37,59999084"
15/01/2010 15.00,"4,02392017","36,65579328","37,59999084"
15/01/2010 16.00,"3,92278054","40,63246648","37,59999084"
15/01/2010 17.00,"3,91013821","53,60599832","37,59999084"
15/01/2010 18.00,"3,95709615","61,52821736","37,59999084"
15/01/2010 19.00,"3,89568969","47,84085944","37,59999084"
15/01/2010 20.00,"3,93000429","43,6811696","37,59999084"
15/01/2010 21.00,"3,90471963","43,65002312","37,59999084"
15/01/2010 22.00,"3,8758226","31,60318032","37,59999084"
15/01/2010 23.00,"3,97515705","43,2982916","37,59999084"
16/01/2010 0.00,"4,11241748","59,8215088","37,59999084"
16/01/2010 1.00,,"38,28202576","35,20000076"
16/01/2010 2.00,"3,8740164",,"35,20000076"
16/01/2010 3.00,"3,8216409","32,3845","35,20000076"
16/01/2010 4.00,"3,81983471","32,49480328","35,20000076"
16/01/2010 5.00,"4,0726843","35,96143136","35,20000076"
16/01/2010 6.00,"4,01127784","32,43381048","35,20000076"
16/01/2010 7.00,"4,02211398","29,46168296","35,20000076"
16/01/2010 8.00,"4,15215167","33,40590952","35,20000076"
16/01/2010 9.00,"4,32011532","41,51760776","35,20000076"
16/01/2010 10.00,"4,22800563","36,7349692","35,20000076"
16/01/2010 11.00,"4,17382394","31,38123536","35,20000076"
16/01/2010 12.00,"4,13047838","31,47597496","35,20000076"
16/01/2010 13.00,"4,03475732","23,44215248","35,20000076"
16/01/2010 14.00,"4,0365625","17,2214643","35,20000076"
16/01/2010 15.00,"4,12686599","13,33823246","35,20000076"
16/01/2010 16.00,"4,0546234","14,37652302","35,20000076"
16/01/2010 17.00,"3,90291344","16,88790826","35,20000076"
16/01/2010 18.00,"3,86679265","23,19816216","35,20000076"
16/01/2010 19.00,"3,99321694","26,37015104","35,20000076"
16/01/2010 20.00,"4,14131451","24,80621152","35,20000076"
16/01/2010 21.00,"4,20633336","20,99437184","35,20000076"
16/01/2010 22.00,"4,09977515","23,07873864","35,20000076"
16/01/2010 23.00,"3,87040402","21,68873376","35,20000076"
17/01/2010 0.00,"3,95709615","22,34026688","35,20000076"
17/01/2010 1.00,"3,88665873","13,85218379","68,59999084"
17/01/2010 2.00,"3,90110725","9,17206285","68,59999084"
17/01/2010 3.00,"3,87762879","10,52963447","68,59999084"
17/01/2010 4.00,"3,96251371","7,51078723","68,59999084"
17/01/2010 5.00,"3,89749588","7,71844573","68,59999084"
17/01/2010 6.00,"3,99863552","14,42195023","68,59999084"
17/01/2010 7.00,"3,94445382","18,51933182","68,59999084"
17/01/2010 8.00,"3,90471963","26,004156","68,59999084"
17/01/2010 9.00,"3,99682932","21,1760692","68,59999084"
17/01/2010 10.00,"4,09074521","26,07943144","68,59999084"
17/01/2010 11.00,"4,09796896","33,40981","68,59999084"
17/01/2010 12.00,"4,10699992","32,11582576","68,59999084"
17/01/2010 13.00,"4,03836869","34,3585444","68,59999084"
17/01/2010 14.00,"4,16479399","34,20151184","68,59999084"
17/01/2010 15.00,"3,96793229","21,97167152","68,59999084"
17/01/2010 16.00,"3,91916815","20,18448688","68,59999084"
17/01/2010 17.00,"3,96251371","31,591498","68,59999084"
17/01/2010 18.00,"3,89207731","38,21843264","68,59999084"
17/01/2010 19.00,"4,00405409","43,81355648","68,59999084"
17/01/2010 20.00,"4,03475732","46,02512864","68,59999084"
17/01/2010 21.00,"4,06545953","49,27629344","68,59999084"
17/01/2010 22.00,"4,10338753","47,28406592","68,59999084"
17/01/2010 23.00,"4,07087811","49,90706224","68,59999084"
18/01/2010 0.00,"3,92819911","40,03414432","68,59999084"
18/01/2010 1.00,,"32,75309536","28,70000076"
18/01/2010 2.00,"4,01669642",,"28,70000076"
18/01/2010 3.00,"3,93722906","14,48684734","28,70000076"
18/01/2010 4.00,"3,93000429","11,52510198","28,70000076"
18/01/2010 5.00,"3,8740164","15,53033663","28,70000076"
