,Foggia,,,
,manfredonia - viale Michelangelo - Zona 167,,,
Parm,SO2,NO2,CO,PM10



09/01/2010 13.00,"4,12325361","19,81849184","0,94764129","14,80000019"
09/01/2010 14.00,"4,45015199","17,60692733","1,33285087","14,80000019"
09/01/2010 15.00,"4,14131451","10,81127207","1,41050162","14,80000019"
09/01/2010 16.00,"3,73675598","7,95725453","1,01747139","14,80000019"
09/01/2010 17.00,"4,40138887","14,95408086","1,26420674","14,80000019"
09/01/2010 18.00,"4,11602986","20,2727448","1,11261811","14,80000019"
09/01/2010 19.00,"3,80177381","20,39474952","1,21969326","14,80000019"
09/01/2010 20.00,"4,2713522","14,77756694","0,93117052","14,80000019"
09/01/2010 21.00,"4,34720616","14,61793023","0,88476158","14,80000019"
09/01/2010 22.00,"4,26773982","16,67116776","0,57222587","14,80000019"
09/01/2010 23.00,"4,1810487","16,60367607","0,48612421","14,80000019"
10/01/2010 0.00,"4,24967891","9,10068024","0,28453378","14,80000019"
10/01/2010 1.00,,"8,16880586","0,49789304","9,39999962"
10/01/2010 2.00,"4,02211398",,"0,76564033","9,39999962"
10/01/2010 3.00,"4,14131451","10,24279814",,"9,39999962"
10/01/2010 4.00,"3,87943498","6,22978547","0,84649017","9,39999962"
10/01/2010 5.00,"4,16659917","4,27908468","0,78965564","9,39999962"
10/01/2010 6.00,"4,13409076","4,24533979","0,77117059","9,39999962"
10/01/2010 7.00,"4,25870886","3,15253046","0,6392122","9,39999962"
10/01/2010 8.00,"4,17743632","10,39594552","0,59106625","9,39999962"
10/01/2010 9.00,"4,01127784","11,92354366","0,23532068","9,39999962"
10/01/2010 10.00,"4,0925514","6,389426","0,35803596","9,39999962"
10/01/2010 11.00,"4,22078188","7,14867929","0,41266048","9,39999962"
10/01/2010 12.00,"3,46765168","7,50819074","0,65773687","9,39999962"
10/01/2010 13.00,"3,5344757","10,53222714","1,05736216","9,39999962"
10/01/2010 14.00,"3,23828055","6,9098724","0,85644393","9,39999962"
10/01/2010 15.00,"3,14436569","4,77357377","0,93152701","9,39999962"
10/01/2010 16.00,"3,1931288","4,2115949","0,73345138","9,39999962"
10/01/2010 17.00,"3,63019777","7,07859493","0,50243538","9,39999962"
10/01/2010 18.00,"4,13589594","8,25706186","0,54600055","9,39999962"
10/01/2010 19.00,"4,29844305","7,56529644","0,72914554","9,39999962"
10/01/2010 20.00,"4,35623712","7,52246764","0,44287475","9,39999962"
10/01/2010 21.00,"4,00766546","9,69899858","0,35886544","9,39999962"
10/01/2010 22.00,"4,31469776","13,72240297","0,20008992","9,39999962"
10/01/2010 23.00,"3,99141075","9,68472167","0,11651515","9,39999962"
11/01/2010 0.00,"4,03836869","7,993594","0,27931924","9,39999962"
11/01/2010 1.00,"3,37012341","4,91633898","0,62025416","27,89999962"
11/01/2010 2.00,"3,66812475","3,58472276","0,73751956","27,89999962"
11/01/2010 3.00,"3,74939831","3,03312606","0,67282362","27,89999962"
11/01/2010 4.00,"3,74036735","2,62429648","0,7626789","27,89999962"
11/01/2010 5.00,"3,61936164","3,96889327","0,71465061","27,89999962"
11/01/2010 6.00,"3,57962745","5,32257398","0,80687434","27,89999962"
