,Provincia di Lecce,,,,,,
,Campi Salentina,,,,,,
Parm,NOX,NO2,PM10,PM2.5,CO,O3,BENZENE



04/01/2010 5.00,"9,96643958","8,78983875","25,73870087","17,72892952","0,12536565",,"0,62279555"
04/01/2010 6.00,"11,38500591","10,54845238","25,73870087","17,72892952","0,13853714","36,3052893","0,656982"
04/01/2010 7.00,"31,6194132","17,71108735","25,73870087","17,72892952","0,20296281","9,83102883","1,04096459"
04/01/2010 8.00,"72,35254648","29,4187012","25,73870087","17,72892952","0,33506449","1,04484734","1,29777845"
04/01/2010 9.00,"46,97720904","27,05170256","25,73870087","17,72892952","0,29327361","8,96524871","1,60127667"
04/01/2010 10.00,"24,62386408","17,5042319","25,73870087","17,72892952","0,20791988","25,79513055","1,52998497"
04/01/2010 11.00,"20,59594928","13,86208222","25,73870087","17,72892952","0,17727106","38,0368296","1,29128287"
04/01/2010 12.00,"18,12116738","13,53193526","25,73870087","17,72892952","0,17049659","42,28041405","1,13152437"
04/01/2010 13.00,"16,00385682","12,98196376","25,73870087","17,72892952","0,15458618","36,8863929","0,94495572"
04/01/2010 14.00,"27,40830968","21,00442896","25,73870087","17,72892952","0,20648111","24,8786874","1,0428918"
04/01/2010 15.00,"22,33307776","18,17344719","25,73870087","17,72892952","0,18905504","29,5445934","1,43309538"
04/01/2010 16.00,"20,83183272","17,66565823","25,73870087","17,72892952","0,16238469","35,07798525","1,28731962"
04/01/2010 17.00,"21,4860044","19,70656336","25,73870087","17,72892952","0,17350928","32,95618305","1,07239904"
04/01/2010 18.00,"18,87584525","17,04187014","25,73870087","17,72892952","0,19643648","37,6660389","0,93146725"
04/01/2010 19.00,"25,8981356","23,42414144","25,73870087","17,72892952","0,19593553","23,67671985","0,96273695"
04/01/2010 20.00,"12,97461021","11,69139053","25,73870087","17,72892952","0,18518957","53,6250813","1,05037896"
04/01/2010 21.00,"9,26120985","8,03058355","25,73870087","17,72892952","0,16138745","59,83250385","0,9253022"
04/01/2010 22.00,"6,89828377","6,07809695","25,73870087","17,72892952","0,15494151","60,06224805","0,82092443"
04/01/2010 23.00,"6,01715195","4,86945483","25,73870087","17,72892952","0,14039648","65,9276079","0,7301999"
05/01/2010 0.00,"5,15871749","4,5822992","25,73870087","17,72892952","0,13681061","70,2404388","0,65092678"
05/01/2010 1.00,"8,60623704","7,57308402","27,04104042","7,81440783","0,14768239","65,21892405","0,58002053"
05/01/2010 2.00,"5,40352041","4,45494662","27,04104042","7,81440783","0,12378358","68,88138495","0,52981327"
05/01/2010 3.00,"4,4956378","3,10678012","27,04104042","7,81440783","0,10433857","75,4925556","0,48621245"
05/01/2010 4.00,"3,76041644","2,82611573","27,04104042","7,81440783","0,10865955","81,20246505","0,38491823"
05/01/2010 5.00,"3,17434638","2,58601059","27,04104042","7,81440783","0,10843354","82,8774471","0,27657722"
05/01/2010 6.00,"4,65532804","3,57563694","27,04104042","7,81440783","0,11060743","78,28162545","0,07927413"
05/01/2010 7.00,"4,8985115","3,88388193","27,04104042","7,81440783","0,09579562","77,86267545","0,2180031"
05/01/2010 8.00,"5,97013587","4,88324418","27,04104042","7,81440783","0,090524","75,533094","0,36955949"
05/01/2010 9.00,"5,93771218","4,473602","27,04104042","7,81440783","0,11311684","75,99934545","0,38486331"
05/01/2010 10.00,"6,87720779","5,26287178","27,04104042","7,81440783","0,10676526","74,2821492","0,43083171"
05/01/2010 11.00,"5,4626949","4,25945418","27,04104042","7,81440783","0,11749608","73,19337795","0,43281283"
05/01/2010 12.00,"6,62186593","5,24421448","27,04104042","7,81440783","0,11587556","74,435046","0,48494628"
05/01/2010 13.00,"7,19091346","5,01465211","27,04104042","7,81440783","0,11849798","75,5879964","0,5402182"
05/01/2010 14.00,"5,1441251","3,7232701","27,04104042","7,81440783","0,10126413","78,43958955","0,49551698"
05/01/2010 15.00,"3,80499854","3,60808549","27,04104042","7,81440783","0,11604216","80,9034744","0,5696156"
05/01/2010 16.00,"4,67883608","3,61700688","27,04104042","7,81440783","0,11163147","82,11809025","0,58315797"
05/01/2010 17.00,"5,96689503","4,66909635","27,04104042","7,81440783","0,09891316","80,41862955","0,52359228"
05/01/2010 18.00,"5,31192222","4,28784355","27,04104042","7,81440783","0,10169285","80,37218595","0,4890753"
05/01/2010 19.00,"5,54294536","4,33327076","27,04104042","7,81440783","0,10088201","80,39752245","0,49865442"
05/01/2010 20.00,"5,77721125","4,5287632","27,04104042","7,81440783","0,11303296","80,19479055","0,47883614"
05/01/2010 21.00,"4,75341173","4,20835024","27,04104042","7,81440783","0,09242877","79,1702184","0,45263212"
05/01/2010 22.00,"4,65532804","3,54805825","27,04104042","7,81440783","0,09882695","77,3508183","0,42130751"
05/01/2010 23.00,"3,66962703","2,69632917","27,04104042","7,81440783","0,08571604","75,13610895","0,36823841"
06/01/2010 0.00,"2,72202645","2,196649","27,04104042","7,81440783","0,08213017","73,3783743","0,14577576"
06/01/2010 1.00,"2,78120094","2,2866889","55,53113174","15,82417011","0,0690379","72,32674995",
06/01/2010 2.00,,,"55,53113174","15,82417011","0,08764878","71,4567504",
06/01/2010 3.00,"4,27272154","3,74111671","55,53113174","15,82417011",,"68,5984341",
06/01/2010 4.00,"3,88849176","3,18059862","55,53113174","15,82417011","0,15955141","64,16225235",
06/01/2010 5.00,"3,88281694","3,26901523","55,53113174","15,82417011","0,15148262",,
06/01/2010 6.00,"3,77176416","3,497765","55,53113174","15,82417011","0,14918641","58,86030045",
06/01/2010 7.00,"5,85016743","4,55472051","55,53113174","15,82417011","0,18769665","52,2601023",
06/01/2010 8.00,"13,09782331","11,09193264","55,53113174","15,82417011","0,19413793","35,70641025","0,36119162"
06/01/2010 9.00,"7,79643812","6,02212698","55,53113174","15,82417011","0,20047437","53,2356972","0,59774684"
