Comune Lecce,,,,,,
,Via_Romagna,,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



08/01/2010 4.00,"7,75590754","6,37644543",,"0,19081419",,"71,03813955"
08/01/2010 5.00,"6,97512896","5,73789288",,"0,18433329",,
08/01/2010 6.00,"6,80133581","5,30829707",,"0,19214229",,"68,36360265"
08/01/2010 7.00,"6,12172114","5,08246693",,"0,19988255",,"78,08599575"
08/01/2010 8.00,"7,44463394","6,64899912",,"0,20255855",,"80,2767252"
08/01/2010 9.00,"8,72085762","7,2966375",,"0,22264199",,"80,36592165"
08/01/2010 10.00,"8,16964331","6,61785073",,"0,22702122",,"81,3497958"
08/01/2010 11.00,"7,0283055","5,24859487",,"0,21673544",,"80,4875568"
08/01/2010 12.00,"6,54064226","4,94099996",,"0,21429593",,"80,72677725"
08/01/2010 13.00,"6,65088626","4,896871",,"0,21405011",,"81,87278505"
08/01/2010 14.00,"7,17097321","5,20316958",,"0,21170264",,"83,1377547"
08/01/2010 15.00,"5,3098152","3,95202178",,"0,2092608",,"87,8597601"
08/01/2010 16.00,"5,17233475","3,81704223",,"0,22163659",,"90,69918375"
08/01/2010 17.00,"5,47453018","4,12853189",,"0,22661697",,"93,0993882"
08/01/2010 18.00,"5,87788952","4,33878688",,"0,23882267",,"93,2845242"
08/01/2010 19.00,"6,43299474","4,79823474",,"0,24251922",,"93,1885647"
08/01/2010 20.00,"6,12820474","4,60225474",,"0,2581442",,"93,97647"
08/01/2010 21.00,"5,74689458","4,23106289",,"0,25342129",,"94,2183837"
08/01/2010 22.00,"5,36558442","3,98836126",,"0,24928787",,"96,2239572"
08/01/2010 23.00,"4,55886573","3,36927478",,"0,24925525",,"97,17810585"
09/01/2010 0.00,"4,34486513","3,07985151",,"0,23807591",,"98,4187365"
09/01/2010 1.00,"4,2955795","2,9033395",,"0,22832719",,"96,9361722"
09/01/2010 2.00,"3,5692738","2,93059506",,"0,22889221",,"95,5941756"
09/01/2010 3.00,"3,37732238","2,12461631",,"0,2301609",,"93,5507769"
09/01/2010 4.00,"3,1412726","2,33357306",,"0,22352622",,"90,23698215"
09/01/2010 5.00,"4,64835689","3,3212549",,"0,23109989",,"82,8161208"
09/01/2010 6.00,"5,33705164","3,62365873",,"0,22481937",,"80,11319505"
09/01/2010 7.00,"4,45899814","3,41989306",,"0,20480234",,"79,4969196"
09/01/2010 8.00,"7,72348385","6,75672311",,"0,20715331",,"73,54509645"
09/01/2010 9.00,"9,95168658","7,8767861",,"0,2471198",,"72,24499485"
09/01/2010 10.00,"8,04902479","6,1960425",,"0,24072978",,"72,40040535"
09/01/2010 11.00,"8,6456338","6,55944678",,"0,22601",,"69,97995165"
09/01/2010 12.00,"5,77931827","3,80406358",,"0,21651059",,"75,55876965"
09/01/2010 13.00,"6,09578104","3,87414794",,"0,22943277",,"82,8066645"
09/01/2010 14.00,"7,24360435","4,75150929",,"0,22749771",,"87,17322075"
09/01/2010 15.00,"3,41623158","1,99093692",,"0,14978289",,"91,77899745"
09/01/2010 16.00,"4,33059778","3,38614818",,"0,15451978",,"87,4854183"
09/01/2010 17.00,"10,27074202","8,42318981",,"0,15879649",,"77,82923925"
09/01/2010 18.00,"14,98135363","13,30448183",,"0,19549749",,"70,5313497"
09/01/2010 19.00,"25,2858176","23,36687704",,"0,28122751",,"54,2057061"
09/01/2010 20.00,"41,547282","39,47086912",,"0,3693085",,"35,6123061"
09/01/2010 21.00,"73,49047328","63,45815192",,"0,49490132",,"16,09318421"
09/01/2010 22.00,"57,51433664","54,05767008",,"0,66800751",,"18,89746593"
09/01/2010 23.00,"46,5185776","44,00435496",,"0,5846436",,"22,30312245"
10/01/2010 0.00,"40,3021876","38,45594128",,"0,51002535",,"28,53877425"
10/01/2010 1.00,"17,56233375","15,88336066",,"0,40543282",,"49,06880055"
10/01/2010 2.00,,,,"0,40994253",,"15,35393297"
