,Comune Modugno,,,,
,Enaip,,,,
Parm,CO,NO2,O3,SO2,PM10



12/01/2010 16.00,"0,7716494",,"7,7679315","10,51481385",29
12/01/2010 17.00,"0,67746964","77,53703008","6,30085439","6,95516842",29
12/01/2010 18.00,"0,79808325","73,50861816","4,83119774","7,24233362",29
12/01/2010 19.00,"1,00841002","85,3992888","12,08408208","8,26095777",29
12/01/2010 20.00,"0,50778156","33,3640176","37,0019433","6,04761796",29
12/01/2010 21.00,"0,58388286","36,2134712","20,94736035","6,04129832",29
12/01/2010 22.00,"0,56114322","27,47834624","28,8146229","5,72975258",29
12/01/2010 23.00,"0,48217719","14,64349176","39,58804185","5,53198777",29
13/01/2010 0.00,"0,45459698","10,11510522","41,2113135","5,72884745",29
13/01/2010 1.00,"0,45499192","11,42245626","39,9142044","5,54101873",38
13/01/2010 2.00,"0,4479192","7,13011759","44,1046221","5,5292795",38
13/01/2010 3.00,"0,45351004","14,84193059","34,56199845","5,48051537",38
13/01/2010 4.00,"0,44853083","18,15440367","29,4641949","5,71891644",38
13/01/2010 5.00,"0,45283783","13,98268353","29,18000715","5,56901267",38
13/01/2010 6.00,"0,45726367","12,83940122","31,0448334","5,55275796",38
13/01/2010 7.00,"0,52949367","24,95182944","22,03539345","5,72975258",38
13/01/2010 8.00,"0,72030203","43,18406872","9,62856027","6,74115094",38
13/01/2010 9.00,"1,18963626","61,96879952","6,69059759","9,00596112",38
13/01/2010 10.00,"1,26621287","65,15478424","8,68262105","9,19740324",38
13/01/2010 11.00,"0,98002014","64,73911544","10,31670161","7,97198536",38
13/01/2010 12.00,"0,81380842","67,68392048","15,60598326","7,73809977",38
13/01/2010 13.00,"0,75860956","74,16749336","16,95858329","8,17697391",38
13/01/2010 14.00,"0,7994265","74,27643912","19,01691656","7,6116765",38
13/01/2010 15.00,"0,70206628","66,69367656","19,84782807","7,56381444",38
13/01/2010 16.00,"0,77269557","85,19956128","12,39195048","8,71698871",38
13/01/2010 17.00,"1,01109651","108,84467256","5,55925902",,38
13/01/2010 18.00,"1,14247822","97,48383624","7,43557647","9,38704018",38
13/01/2010 19.00,"1,05100475","74,6953392","6,69465741","6,97232928",38
13/01/2010 20.00,"1,13337025","78,68289168","4,95096158","7,93405838",38
13/01/2010 21.00,"1,0836632","95,71737768","3,91299899","9,87829186",38
13/01/2010 22.00,"0,82005166","74,79004056","3,80406002","7,16377139",38
13/01/2010 23.00,"0,74790088","67,12102768","6,29747087","6,55783466",38
14/01/2010 0.00,"0,55250941","42,49989776","22,626093","6,04400863",38
14/01/2010 1.00,,"26,49978464","36,4843206","6,07290465","49,29999161"
14/01/2010 2.00,"0,50001684","17,364545","33,5612466","5,85346859","49,29999161"
14/01/2010 3.00,"0,49187698",,"32,9617491","6,19120209","49,29999161"
14/01/2010 4.00,"0,46682599","15,23037251",,"6,1704319","49,29999161"
14/01/2010 5.00,"0,4926086","23,41102512","25,47609015",,"49,29999161"
14/01/2010 6.00,"0,49231153","18,9838178","26,60134995","5,69724417","49,29999161"
14/01/2010 7.00,"0,54468643","30,3167676","17,45252933","5,64938212","49,29999161"
14/01/2010 8.00,"0,60320438","38,71014168","14,07204372","6,03407457","49,29999161"
14/01/2010 9.00,"0,7703446","44,02836968","14,78183679","6,52352006","49,29999161"
14/01/2010 10.00,"0,67930684","34,46576936","22,4637","6,1740453","49,29999161"
14/01/2010 11.00,"0,65773221","46,17942704","33,072711","6,48468795","49,29999161"
14/01/2010 12.00,"0,62205292","55,67260264","33,1288503","7,16015799","49,29999161"
14/01/2010 13.00,"0,73328129","76,407344","24,2676189","8,3259756","49,29999161"
14/01/2010 14.00,"0,99683342","104,92782584","18,38020034","10,17809532","49,29999161"
14/01/2010 15.00,"0,85280796","90,10342064","21,87503535","8,86418217","49,29999161"
14/01/2010 16.00,"0,93594353","109,89914056","12,22955948","10,39662828","49,29999161"
14/01/2010 17.00,"1,11311906","111,75033896","7,41324843","12,29571306","49,29999161"
14/01/2010 18.00,"1,36855113","131,79660736","4,16673705","13,81551786","49,29999161"
14/01/2010 19.00,"1,14095673","93,43209792","4,2567315","9,82230397","49,29999161"
14/01/2010 20.00,"1,0144354","59,1614864","6,32724425","7,47170577","49,29999161"
14/01/2010 21.00,"1,32206414","58,12132016","7,26641643","7,56562064","49,29999161"
14/01/2010 22.00,"1,16598792","46,6353052","4,64850362","7,5367236","49,29999161"
14/01/2010 23.00,"0,97498268","45,80392936","5,51189573","6,72218592","49,29999161"
15/01/2010 0.00,"0,83362507","37,76335752","5,91517101","6,34471722","49,29999161"
15/01/2010 1.00,"0,78119075","31,34137016","5,94020627","6,33297799","45,90000153"
15/01/2010 2.00,"0,78172432","29,15662336","7,20619736","6,27428082","45,90000153"
15/01/2010 3.00,"0,6685003","25,37011768","13,90423829","6,21829395","45,90000153"
15/01/2010 4.00,"0,61822007","21,3825652","17,42546316","5,91848744","45,90000153"
15/01/2010 5.00,"0,57605988","16,02671669","21,23695455","5,79657659","45,90000153"
15/01/2010 6.00,"0,6188713","23,23399304","17,40042791","5,91306886","45,90000153"
15/01/2010 7.00,"0,68734767","39,82617608","9,8938035","6,21648878","45,90000153"
15/01/2010 8.00,"0,7572069","52,82576848","5,25341954","6,88563715","45,90000153"
15/01/2010 9.00,"0,89176789","65,08088544","5,37995042","8,13904592","45,90000153"
15/01/2010 10.00,"0,85893237","75,79517896","5,57752923","8,92559168","45,90000153"
15/01/2010 11.00,"1,01471267","106,23324384","11,11445822","11,93088465","45,90000153"
15/01/2010 12.00,"1,06424148","97,11032704","15,01527773","11,18227095","45,90000153"
15/01/2010 13.00,"0,94248267","102,61468824","19,04736425","10,62328707","45,90000153"
15/01/2010 14.00,"0,90324664","91,44640944","22,45965015","10,7217225","45,90000153"
15/01/2010 15.00,"0,86590722","94,9229608","19,60423857","10,14017037","45,90000153"
15/01/2010 16.00,"0,77587602","92,8484408","20,4182265","9,36175756","45,90000153"
15/01/2010 17.00,"0,97658222","115,22321928","10,10626701","11,09196135","45,90000153"
15/01/2010 18.00,"1,23260728","134,92815744","4,57542677","13,2601545","45,90000153"
15/01/2010 19.00,"1,15806592","122,46874328","8,65217136","10,81292706","45,90000153"
15/01/2010 20.00,"1,078091","108,75259064","13,56118208","9,86564953","45,90000153"
15/01/2010 21.00,"0,96328608","103,35136272","12,45690968","8,45511019","45,90000153"
15/01/2010 22.00,"0,8798546","88,73119736","16,41727196","7,77783497","45,90000153"
15/01/2010 23.00,"0,62791986","70,42247808","12,35473775","6,41425154","45,90000153"
16/01/2010 0.00,"0,54397462","39,50843992","24,8380293","6,21829395","45,90000153"
16/01/2010 1.00,,"23,08030648","32,36833635","6,06748607","35,5"
16/01/2010 2.00,"0,49333906","23,289116","29,68817355","5,6538976","35,5"
16/01/2010 3.00,"0,49723132",,"26,99244975","5,84263246","35,5"
16/01/2010 4.00,"0,51102143","19,52205536",,"5,83721388","35,5"
16/01/2010 5.00,"0,51497194","17,83015906","23,1112371",,"35,5"
16/01/2010 6.00,"0,5442915","19,36576848","22,9481658","5,16174485","35,5"
16/01/2010 7.00,"0,57562534","33,19149784","14,01588447","6,19662066","35,5"
16/01/2010 8.00,"0,70177037","36,6680492","12,18016328","6,11896051","35,5"
16/01/2010 9.00,"0,75276126","30,9153192","25,5051972","5,95550929","35,5"
16/01/2010 10.00,"0,69631701","35,60778784","29,0913693","6,53435416","35,5"
16/01/2010 11.00,"0,74347621","36,56103456","39,3789858","7,08249784","35,5"
16/01/2010 12.00,"0,73920881","53,95283512","37,2935724","7,70107487","35,5"
16/01/2010 13.00,"0,71870132","59,67378768","38,8403757","8,41447189","35,5"
