,Comune Bari,,,,,
,Stadio S.Nicola,,,,,
Parm,SO2,NO2,PM10,CO,O3,BENZENE



09/01/2010 4.00,"2,91002753",,"72,28327179","0,50943819","53,16812655","0,10974447"
09/01/2010 5.00,"2,88970889",,,"0,48597975","45,45210495","0,14828979"
09/01/2010 6.00,"2,5646167",,"73,2600708","0,47982273","39,74967675",
09/01/2010 7.00,"2,58719308",,,"0,45856264","36,38471025",
09/01/2010 8.00,"2,49914732",,"37,6068306","0,47337096","29,00340975",
09/01/2010 9.00,"2,62105715","11,61271173",,"0,5042586","24,8053113",
09/01/2010 10.00,"2,9619525","8,63409488","29,7924099","0,51066028","22,71796275",
09/01/2010 11.00,"2,93034617","3,07920143",,"0,40587901","29,24272995",
09/01/2010 12.00,"2,871649","10,25156658","24,90842056","0,36780798","23,9577555",
09/01/2010 13.00,"3,04774052","9,82002626",,"0,33657899","25,4494968",
09/01/2010 14.00,"3,23511971","11,52671953","13,18680954","0,29406115","24,682938",
09/01/2010 15.00,"2,92583069","7,31837694",,"0,24206137","31,1285436",
09/01/2010 16.00,"3,01161871","6,2281641","7,32600689","0,23106494","34,9523601",
09/01/2010 17.00,"3,06580142","3,30146187",,"0,21567063","30,97738245",
09/01/2010 18.00,"2,94840707","3,35013183","6,83760691","0,2076065","29,07538935",
09/01/2010 19.00,"2,83326945","4,81023828",,"0,18781315","30,91442025",
09/01/2010 20.00,"3,18996797","3,74273809","11,23320961","0,17026825","32,21180865",
09/01/2010 21.00,"2,91680075","3,38582314",,"0,18600507","32,95678155",
09/01/2010 22.00,"2,92357295","6,4715139","6,83760691","0,18844924","30,4321689",
09/01/2010 23.00,"3,30059011","5,08765801",,"0,17887061","30,5293254",
10/01/2010 0.00,"3,04322504","8,32260522","9,76801014","0,19221219","26,1782703",
10/01/2010 1.00,"2,85584584","5,5240701",,"0,18673902","27,11398515",
10/01/2010 2.00,"3,55795416","5,97994634","8,79120922","0,17847917","26,3312469",
10/01/2010 3.00,"3,11546763",,,"0,22324546","15,73972407",
10/01/2010 4.00,"3,20351339","0,34880425","4,88400507","0,13224614",,
10/01/2010 5.00,"2,87616346","0,32122365",,,"45,74034255",
10/01/2010 6.00,"3,18771023","0,13303122","4,88400507","0,11152545","45,41619495",
10/01/2010 7.00,"3,2576961","0,08436126",,"0,1212998","45,179169",
10/01/2010 8.00,"3,07483136","4,22944151","7,81440783","0,1369376","43,0179456",
10/01/2010 9.00,"3,15384718","3,48640963",,"0,15780624","42,63344925",
10/01/2010 10.00,"3,23737745","7,96082232","4,88400507","0,19587728","39,2641536",
10/01/2010 11.00,"2,92583069","4,87513156",,"0,17134354","45,63229335",
10/01/2010 12.00,"3,13804401","2,92507894","5,37240601","0,17955446","51,88677795",
10/01/2010 13.00,"3,01839193","4,87837622",,"0,16933974","51,27914085",
10/01/2010 14.00,"3,10417995","3,81087603","3,41880298","0,1539466","51,3704919",
10/01/2010 15.00,"3,15836164","2,79042442",,"0,13342046","48,3631092",
10/01/2010 16.00,"3,25543836","3,14896266","2,93040299","0,12472024","46,47147015",
10/01/2010 17.00,"3,23060423","11,74086735",,"0,11000979","39,81016515",
10/01/2010 18.00,"3,34348412","20,14945904","8,30280876","0,14983997","28,639821",
10/01/2010 19.00,"3,38637812","10,51275916",,"0,13508059","35,6746698",
