,Comune Lecce,,,,,
,SAN PIETRO IN LAMA,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



06/01/2010 23.00,"45,08023736","33,4253928",,,"1,70668364","34,92129795"
07/01/2010 0.00,"34,37112536","27,67579848","56,65444183",,"1,62892687","35,7549087"
07/01/2010 1.00,"27,69428752","23,95999856",,,"1,87497374","36,75633885"
07/01/2010 2.00,"24,1989412","20,34413888","49,81684113",,"0,60222977","37,132536"
07/01/2010 3.00,"16,87234458","14,31941732",,,"0,80554231","38,5358988"
07/01/2010 4.00,"11,92827586","10,78531476","34,67642975",,"0,77492451","47,2712856"
07/01/2010 5.00,"15,70895567","14,34407447",,,"1,67892869","44,9193003"
07/01/2010 6.00,"13,68437902","12,6036325","30,28083038",,"0,88836577","44,82862755"
07/01/2010 7.00,"25,92520952","20,9463424",,,"0,24472478","35,8874964"
07/01/2010 8.00,"83,23593728","59,33870968","18,55920982",,"0,21454734","16,60876004"
07/01/2010 9.00,"85,1152612","50,15495304",,,"1,25710455","22,0421565"
07/01/2010 10.00,"97,90212448","59,58530032","27,35042",,"1,72100198","17,55064143"
07/01/2010 11.00,"48,72213848","33,1982472",,,"2,16199047","43,0152324"
07/01/2010 12.00,"34,23361432","22,98659936","34,67642975",,"1,60667897","57,45737655"
07/01/2010 13.00,"40,19324184","25,27474712",,,"0,95400702","63,7460754"
07/01/2010 14.00,"32,01320872","18,83600873","39,07204056",,"0,74739025","69,8290299"
07/01/2010 15.00,"25,84480992","17,41094542",,,"0,44517446","76,0013205"
07/01/2010 16.00,"23,86562224","15,82624349","25,88521957",,"0,60575368","72,9618981"
07/01/2010 17.00,"83,8934932","47,54103872",,,"0,72998836","47,92626405"
07/01/2010 18.00,"100,0058025","72,56141336","54,21244049",,"1,38266032","23,12613975"
07/01/2010 19.00,"38,81325584","31,72388488",,,"2,46618839","47,2902381"
07/01/2010 20.00,"23,98753136","19,5472364","45,42124176",,"2,06881394","61,62955995"
07/01/2010 21.00,"23,0524104","18,51284058",,,"1,21194771","64,5918756"
07/01/2010 22.00,"15,29652006","11,95339762","26,86202049",,"1,47121051","71,62618575"
07/01/2010 23.00,"8,83499063","6,96827444",,,"1,03374592","74,18118225"
08/01/2010 0.00,"6,9504871","5,19668025","32,23442078",,"1,67981043","72,8752752"
08/01/2010 1.00,"5,17233475","2,92929872",,,"1,47803966","76,2976977"
08/01/2010 2.00,,,"26,86202049",,"1,28926412",
08/01/2010 3.00,"6,99069264","6,02991455",,,"1,23111206","75,24080655"
08/01/2010 4.00,"6,17489578","4,92931764","23,93161964",,"1,08749336","72,53020005"
08/01/2010 5.00,"5,87918586","4,8994675",,,"0,61632743","75,03643875"
08/01/2010 6.00,"6,07243552","4,91763723","24,42000961",,"1,16282661","71,76962625"
