 Brindisi,,,,
,Casale,,,,
Parm,SO2,NO2,NOX,PM10



08/01/2010 19.00,"0,84540769","7,03576422","11,67277147",
08/01/2010 20.00,"0,67190953","7,6068289","12,47041198","29,7924099"
08/01/2010 21.00,"0,66337079","7,51468006","12,4224227",
08/01/2010 22.00,"0,79805719","6,87742576","11,39003065","31,25761986"
08/01/2010 23.00,"0,51375382","5,14216913","9,03342946",
09/01/2010 0.00,"0,47360673","3,33163706","7,24360435","29,30401993"
09/01/2010 1.00,"0,45182462","2,84233905","6,68720088",
09/01/2010 2.00,"0,61172347","1,99093692","5,67815435","34,67642975"
09/01/2010 3.00,"0,95120213","1,87023427","5,85194942",
09/01/2010 4.00,"0,80577825","4,06104211","7,8064895","41,5140419"
09/01/2010 5.00,"1,15584084","3,69633958","7,59508349",
09/01/2010 6.00,"0,90467133","2,62299823","6,38760004","39,56044006"
09/01/2010 7.00,"0,96173622","3,90529633","7,83372594",
09/01/2010 8.00,"1,01982319","5,34334021","9,95427926","47,86323166"
09/01/2010 9.00,"0,79120566","10,19997508","16,52864537",
09/01/2010 10.00,"0,99451413","9,59776582","15,48068964","64,46884918"
09/01/2010 11.00,"1,03756679","7,75867994","13,44962749",
09/01/2010 12.00,"1,24118341","4,86182978","10,06971052","108,4247971"
09/01/2010 13.00,"0,95989545","5,20057308","11,29016498",
09/01/2010 14.00,"0,60027205","5,98838209","11,51843101","77,16725922"
09/01/2010 15.00,"0,51947343","8,22331889","13,5183658",
09/01/2010 16.00,"0,51399383","5,51725382","10,21497281","43,9560318"
09/01/2010 17.00,"0,4500764","8,39204142","12,73758913",
09/01/2010 18.00,"0,47999756","16,28828976","21,27556968","22,95482063"
09/01/2010 19.00,"0,61933876","22,94637088","28,62552712",
09/01/2010 20.00,"0,44271332","29,41107232","37,0065688","21,0012207"
09/01/2010 21.00,"0,60195315","38,231396","46,7040416",
09/01/2010 22.00,"0,4232337","21,82630216","27,79805176","17,09399986"
09/01/2010 23.00,"0,49707604","13,13705373","17,73742515",
10/01/2010 0.00,"0,22258774","22,69067912","27,670942","24,90842056"
10/01/2010 1.00,,"13,83012314","17,64274674",
10/01/2010 2.00,,,,"11,72161007"
10/01/2010 3.00,,"11,49784068","15,57666439",
10/01/2010 4.00,,"9,46148802","13,4081237","6,83760691"
10/01/2010 5.00,,"7,19280634","11,00482957",
10/01/2010 6.00,,"6,4011045","10,21237822","5,86080599"
10/01/2010 7.00,,"11,61855098","15,8814544",
10/01/2010 8.00,,"18,88533259","23,53618464","4,88400507"
10/01/2010 9.00,,"9,85214786","14,91261532",
10/01/2010 10.00,,"12,1234184","18,17450644","6,83760691"
10/01/2010 11.00,,"11,47967477","19,09795082",
10/01/2010 12.00,,"10,49459134","17,52472089","8,30280876"
10/01/2010 13.00,,"7,08768075","12,87376942",
10/01/2010 14.00,,"5,93257463","11,31869775","4,88400507"
10/01/2010 15.00,,"4,19601975","8,97376742",
10/01/2010 16.00,,"4,92153198","9,69099494","3,41880298"
10/01/2010 17.00,,"11,13962939","16,42359053",
10/01/2010 18.00,,"19,64199512","25,86167376","2,44200301"
10/01/2010 19.00,,"17,33177714","22,72557312",
10/01/2010 20.00,,"17,02288972","22,70094656","9,27960968"
10/01/2010 21.00,,"15,44078238","20,35731256",
10/01/2010 22.00,,"16,14293378","21,13159608","11,23320961"
10/01/2010 23.00,,"16,28959183","21,1043692",
11/01/2010 0.00,,"13,65360921","18,43001082","9,76801014"
11/01/2010 1.00,,"7,0149999","11,45487995",
11/01/2010 2.00,,"5,97929626","9,9880012","6,83760691"
11/01/2010 3.00,,"7,35504145","11,67666239",
11/01/2010 4.00,,"5,46404286","9,63911474","5,37240601"
11/01/2010 5.00,,"12,58026786","16,65704382",
11/01/2010 6.00,,"19,89506744","24,73588816","9,76801014"
11/01/2010 7.00,,"27,68878096","33,41395904",
11/01/2010 8.00,,"44,4923356","54,64283768","14,65200996"
11/01/2010 9.00,,"58,39255648","98,53633488",
11/01/2010 10.00,,"51,07256008","80,2386096","14,16361046"
11/01/2010 11.00,,"37,402066","51,12412672",
11/01/2010 12.00,,"19,98850688","27,68650568","14,16361046"
11/01/2010 13.00,,"13,65101654","20,2989392",
11/01/2010 14.00,,"18,02354448","25,40382624","12,69841003"
11/01/2010 15.00,,"32,840034","42,12313816",
11/01/2010 16.00,,"25,01777432","32,22721888","13,18680954"
11/01/2010 17.00,,"23,70432592","31,5501988",
11/01/2010 18.00,,"31,39421784","37,94557112","16,11721039"
11/01/2010 19.00,,"24,79062872","31,28429696",
11/01/2010 20.00,,"21,1085756","26,53479336","8,79120922"
11/01/2010 21.00,,"43,72009792","56,0305864",
11/01/2010 22.00,,"67,59057664","98,916364","16,11721039"
11/01/2010 23.00,,"70,55360304","140,1562729",
12/01/2010 0.00,,"59,003842","101,0031782","23,93161964"
12/01/2010 1.00,,"38,65450248","58,91506784",
12/01/2010 2.00,,,,"27,35042"
12/01/2010 3.00,,"9,77816876","13,95415075",
12/01/2010 4.00,,"6,57761651","10,27463294","16,60560989"
12/01/2010 5.00,,"5,44457296","9,29152652",
12/01/2010 6.00,,"6,42316898","10,37579686","13,18680954"
12/01/2010 7.00,,"8,97608476","13,02421896",
12/01/2010 8.00,,"10,40114425","15,25501628","8,79120922"
12/01/2010 9.00,,"10,14157304","19,86445632",
12/01/2010 10.00,,"20,51285376","28,69814488","6,83760691"
