,Bari,,,
,ENAIP,,,
Parm,SO2,NO2,CO,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3


09/01/2010 9.00,"5,85166138","17,3810991","1,45659368","19,60000038"
09/01/2010 10.00,"5,73246085","14,60624409","1,46453315","19,60000038"
09/01/2010 11.00,"5,97989288","9,60684974","1,43265875","19,60000038"
09/01/2010 12.00,"6,00337134","10,12729614","1,44130888","19,60000038"
09/01/2010 13.00,"5,94196488","11,11756682","1,47867276","19,60000038"
09/01/2010 14.00,"6,07019638","8,60619115","1,48451756","19,60000038"
09/01/2010 15.00,"6,11173574","6,65159562","1,47183887","19,60000038"
09/01/2010 16.00,"5,97628049","5,46793569","1,4740512","19,60000038"
09/01/2010 17.00,"6,00878992","6,16619044","1,4881512","19,60000038"
09/01/2010 18.00,"6,45308264","9,20970057","1,52966248","19,60000038"
09/01/2010 19.00,"6,59034408","11,43944438","1,51366586","19,60000038"
09/01/2010 20.00,"6,65355571","6,09480783","1,46437355","19,60000038"
09/01/2010 21.00,"6,7835934","8,01695482","1,41524084","19,60000038"
09/01/2010 22.00,"7,03644299","6,94231904","1,41539811","19,60000038"
09/01/2010 23.00,"7,02199346","5,44457296","1,38249735","19,60000038"
10/01/2010 0.00,"6,77456244","5,36150994","1,35816749","19,60000038"
10/01/2010 1.00,,"5,74308396","1,3350236","7,80000019"
10/01/2010 2.00,"6,76155501",,"1,3237662","7,80000019"
10/01/2010 3.00,"6,99129124",,,"7,80000019"
10/01/2010 4.00,"7,0689514","3,82482981","1,37076696","7,80000019"
10/01/2010 5.00,"7,13938882","4,02729722","1,34142178","7,80000019"
10/01/2010 6.00,"7,06353384","3,93255189","1,30378179","7,80000019"
10/01/2010 7.00,"7,02921822","3,78589193","1,28107128","7,80000019"
10/01/2010 8.00,"7,16467347","6,18695667","1,26049272","7,80000019"
10/01/2010 9.00,"7,07978855","5,23042514","1,27878089","7,80000019"
10/01/2010 10.00,"6,99851499","8,00916915","1,31164088","7,80000019"
10/01/2010 11.00,"6,86125355","5,05780786","1,28557284","7,80000019"
10/01/2010 12.00,"6,62465867","5,56268102","1,24971065","7,80000019"
10/01/2010 13.00,"6,51268291","2,8150854","1,27893817","7,80000019"
10/01/2010 14.00,"6,1370204","2,80210483","1,29264439","7,80000019"
10/01/2010 15.00,"6,3862576","3,16291453","1,26025623","7,80000019"
10/01/2010 16.00,"6,38084004","5,17331752","1,27502726","7,80000019"
10/01/2010 17.00,"6,48920444","7,5354463","1,30070153","7,80000019"
10/01/2010 18.00,"6,69870746","10,02476322","1,33075737","7,80000019"
10/01/2010 19.00,"6,78178721","8,47640268","1,29023401","7,80000019"
10/01/2010 20.00,"6,94613949","6,81772356","1,30125374","7,80000019"
10/01/2010 21.00,"7,28206781","7,88587192","1,28731102","7,80000019"
10/01/2010 22.00,"7,37237131","9,03059397","1,32783438","7,80000019"
10/01/2010 23.00,"7,52769365","6,70221199","1,28900959","7,80000019"
11/01/2010 0.00,"7,64869937","6,12076514","1,27952999","7,80000019"
11/01/2010 1.00,"7,91599849","5,79110575","1,28178193","15,19999981"
11/01/2010 2.00,"8,20858126","9,06953185","1,2772396","15,19999981"
11/01/2010 3.00,"8,23747829","10,42450889","1,23260845","15,19999981"
11/01/2010 4.00,"8,27540528","4,11814782","1,18390912","15,19999981"
11/01/2010 5.00,"8,20316268","3,77161694","1,19105872","15,19999981"
11/01/2010 6.00,"7,95934405","4,14670162","1,19868132","15,19999981"
