NetC,Provincia Bari,,,,
Stat,Altamura,,,,
Parm,O3,NO2,CO,Benzene,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


10/01/2010 17.00,"64,96192815","11,42126699","0,45427195","1,19672424",
10/01/2010 18.00,"54,4569165","17,16565111","0,49029258","1,34396855","10,7448101"
10/01/2010 19.00,"51,2977143","19,76658104","0,52061054","1,40478719",
10/01/2010 20.00,"43,4078484","24,641378","0,56831147","1,76153045","7,32600689"
10/01/2010 21.00,"34,165173","33,23459432","0,65077483","2,04167123",
10/01/2010 22.00,"37,03005285","28,76082024","0,61951205","2,28119304","3,90720391"
10/01/2010 23.00,"40,7063391","21,81461984","0,5516776","2,22997692",
11/01/2010 0.00,"43,59416145","18,06766962","0,55466582","2,09641939","12,21000957"
11/01/2010 1.00,,"22,82824752","0,56190164","1,95712192",
11/01/2010 2.00,,"6,27910551","0,44039097","1,70314041","16,11721039"
11/01/2010 3.00,,"4,63729788","0,41502659","1,34904643",
11/01/2010 4.00,,"4,87091369","0,38510124","1,2377846","12,21000957"
11/01/2010 5.00,,"6,57502002","0,45293453","1,09870781",
11/01/2010 6.00,,"9,56401902","0,43409764",,"10,25640965"
11/01/2010 7.00,,"21,3655484","0,55234631","1,42233755",
11/01/2010 8.00,,"44,51181888","0,76434136","1,85943602","9,76801014"
11/01/2010 9.00,,"62,3783308","0,9584455","3,35506571",
11/01/2010 10.00,,"65,151878","1,37221506","4,05905955","11,72161007"
11/01/2010 11.00,,"44,86483144","0,81015498","3,2477773",
11/01/2010 12.00,,"35,23722312","0,70645717","2,66188868","23,93161964"
11/01/2010 13.00,,"43,23601776","0,83135099","2,74732075",
11/01/2010 14.00,,"40,62338448","0,83233309","2,65714234","27,35042"
11/01/2010 15.00,,"40,86609376","0,71676043","2,70614954",
11/01/2010 16.00,,"40,96343368","0,75993766","2,78473923","17,58241081"
11/01/2010 17.00,,"35,95493056","0,72077152","2,82745628",
11/01/2010 18.00,,"43,809656","0,81955304","2,64345454","21,48962021"
11/01/2010 19.00,,"56,10440872","0,83650262","2,91608987",
11/01/2010 20.00,,"65,69697008","1,06721573","6,14366751","11,23320961"
11/01/2010 21.00,,"69,71779136","0,96434506","3,32184134",
11/01/2010 22.00,,"76,68995672","0,98007489","3,87505883","12,21000957"
11/01/2010 23.00,,"74,82101496","1,10370935","3,86126119",
12/01/2010 0.00,,"50,49110176","0,83953046","4,92817962","15,62880993"
12/01/2010 1.00,,"30,69985592","0,59859098","2,50338516",
12/01/2010 2.00,,"12,82296758","0,44329998","1,94906423","19,53602028"
12/01/2010 3.00,,"9,73404171","0,3801861","1,64905533",
12/01/2010 4.00,,,"0,34896294","1,43933569","14,16361046"
