NetC,Provincia Bari,,,,
Stat,Altamura,,,,
Parm,O3,NO2,CO,Benzene,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


02/11/2010 2.00,"87,63047475","3,71775398","0,28106907",,"11,47741032"
02/11/2010 3.00,,"4,42704289","0,29459588",,
02/11/2010 4.00,"87,14513115",,"0,29259092",,"16,36141014"
02/11/2010 5.00,"83,4195684","6,53283938",,,
02/11/2010 6.00,"80,8321332","9,6100944","0,40466508",,"18,80340958"
02/11/2010 7.00,"79,39495515","9,51794556","0,40393696",,
02/11/2010 8.00,"75,6910182","14,11306281","0,34988562",,"17,09399986"
02/11/2010 9.00,"72,1409955","19,20070552","0,4241299",,
02/11/2010 10.00,"69,7951947","24,05928872","0,46720927","1,73647462","11,72161007"
02/11/2010 11.00,"69,4840146","21,56282856","0,495012","2,28483491",
02/11/2010 12.00,"40,0171065","43,62990888","0,66709415","2,7219344","15,62880993"
02/11/2010 13.00,"35,8683045","48,76817944","0,56732937","4,19995778",
02/11/2010 14.00,"50,3830467","42,28011336","0,54308572","3,48751979","2,44200301"
02/11/2010 15.00,"61,15806165","30,56616888","0,43927024","3,19369222",
02/11/2010 16.00,"49,37048445","40,46893312","0,48219234","2,862556","2,93040299"
02/11/2010 17.00,"42,24542175","43,82003816","0,58988144","3,42636962",
02/11/2010 18.00,"39,80852925","48,31392648","0,62692378","3,79084004","4,88400507"
02/11/2010 19.00,"32,7766131","54,88246864","0,58178003","3,67604617",
02/11/2010 20.00,"25,59890235","55,70531696","0,64829687","4,39218197","7,81440783"
02/11/2010 21.00,"12,83861103","71,80605864","0,8190218","4,9668124",
02/11/2010 22.00,"10,90596675","74,03191344","0,7898234","5,13149724","12,69841003"
02/11/2010 23.00,"21,27525855","61,73651064","0,69151488","4,68678145",
03/11/2010 0.00,"20,3200725","55,77799208","0,64151308","3,95066769","7,57020807"
03/11/2010 1.00,"3,3063534","60,45615896","0,79757065","4,5056507",
03/11/2010 2.00,"42,56134995","28,82183216","0,47324514","4,55719734","10,7448101"
03/11/2010 3.00,"49,08831165","15,1085284","0,33154153","2,39631744",
03/11/2010 4.00,"53,33433","9,62047656","0,30855608","1,87213021","12,21000957"
03/11/2010 5.00,"56,52591105","7,60098774","0,27117822","1,33878083",
03/11/2010 6.00,"53,870985","10,05785994","0,31482844","1,34948781","6,34920597"
03/11/2010 7.00,"14,14279041","51,52096232","0,61630714","2,62540787",
03/11/2010 8.00,"3,44203535","78,9411264","1,27146586","4,37794295","12,69841003"
03/11/2010 9.00,"17,57672406","72,93910984","1,19747671","6,18605302",
03/11/2010 10.00,"39,7767888","47,73378744","0,85923177","6,33506386","8,30280876"
03/11/2010 11.00,"47,0355165","32,76930912","0,56829166","4,59616166",
03/11/2010 12.00,"48,14798835","32,54153256","0,61449789","3,46367724","15,87300968"
03/11/2010 13.00,"63,29658195","23,81334816","0,43242703","2,7510745",
03/11/2010 14.00,"57,45139155","32,65768656","0,50435064","2,59477787","22,22220993"
03/11/2010 15.00,"67,2104727","20,69910168","0,40745642","2,86763388",
03/11/2010 16.00,"56,78378475","27,412344","0,50488188","1,9788664","22,71062088"
03/11/2010 17.00,"47,7773772","38,80507248","0,53266363","2,58948032",
03/11/2010 18.00,"20,2897086","56,8701456","0,608363","3,09407504","23,44322014"
03/11/2010 19.00,"10,81077732","71,3083268","1,01768808","3,93228949",
03/11/2010 20.00,"5,89783646","72,85928384","1,07734307","5,59431462","37,6068306"
03/11/2010 21.00,"1,90766688","87,49864568","1,54899565","6,92779688",
03/11/2010 22.00,"3,09573926","76,01830936","1,03815597","6,64197208","49,81684113"
03/11/2010 23.00,"16,55741073","44,93622552","0,79483756","5,86330603",
04/11/2010 0.00,"47,8921296","21,55179632","0,40279642","4,1507838","41,26984024"
04/11/2010 1.00,"59,9348673","11,22140181","0,31864381","1,90789302",
04/11/2010 2.00,"60,2507955","9,5692101","0,28270123","1,19926267","24,66422081"
04/11/2010 3.00,,"8,95466845","0,27318435","0,97243506",
04/11/2010 4.00,"57,49460325",,"0,28568946","0,80410732","19,53602028"
04/11/2010 5.00,"48,219549","8,59321058",,"1,01791022",
04/11/2010 6.00,"40,27160865","12,67306486","0,32306732","1,10074995","13,18680954"
04/11/2010 7.00,"28,82018895","23,15596432","0,40781058","1,79850755",
04/11/2010 8.00,"21,753879","39,33525096","0,76821615","2,46740167","16,60560989"
04/11/2010 9.00,"10,88908905","54,9875904","1,30056523","3,81909637",
04/11/2010 10.00,"21,6330219","56,84678096","1,08778264","5,97363019","11,96580982"
04/11/2010 11.00,"22,92237045","56,07454328","1,02173762","5,33591831",
04/11/2010 12.00,"23,59875525","50,40544416","0,81182559","5,44210226","17,58241081"
04/11/2010 13.00,"38,25526215","36,10095","0,62356276","4,48997771",
04/11/2010 14.00,"39,8267436","40,83689752","0,59805974","3,92881236","23,44322014"
04/11/2010 15.00,"45,2345103","33,17165128","0,4545865","3,64044913",
04/11/2010 16.00,"40,4417223","35,55973928","0,52788713","2,92260273","21,97801971"
04/11/2010 17.00,"36,85928085","33,77062352","0,46878202","3,5997193",
04/11/2010 18.00,"5,93901326","65,29139664","0,84625484","3,63818631","19,78022003"
04/11/2010 19.00,"11,81794509","56,42562472","0,66345585","5,24645689",
04/11/2010 20.00,"7,56856317","62,59117464","0,78988282","5,09584529","29,30401993"
04/11/2010 21.00,"4,63145834","61,76052536","1,01320516","7,62301605",
04/11/2010 22.00,"5,99099099","57,0447112","0,85533834","7,87605887","27,10622025"
04/11/2010 23.00,"13,45694133","42,21457","0,62430952","5,30975903",
05/11/2010 0.00,"35,87371095","26,32797232","0,47269526","4,00541585","18,07081032"
05/11/2010 1.00,"44,17267155","17,0735061","0,41150713","2,55073668",
05/11/2010 2.00,"43,22760015","16,75747735","0,35993374","2,30371043","13,18680954"
05/11/2010 3.00,"46,0675026","10,386223","0,35187194","2,05563464",
05/11/2010 4.00,"61,13982735","4,70348941","0,31423895","1,47863054","18,80340958"
05/11/2010 5.00,"59,8693914","4,34332979","0,32043209","1,17177825",
05/11/2010 6.00,"58,61044665","6,11297757","0,33146347","1,2825987","16,84980965"
05/11/2010 7.00,"46,1424348","16,70425683","0,4495537","1,51174406",
05/11/2010 8.00,"20,93100135","35,84850864","0,58073736","2,26717471","16,84980965"
05/11/2010 9.00,"19,85630882",,,,
05/11/2010 10.00,"29,96168805","39,8206504","0,82472447","4,59174585","21,24542046"
05/11/2010 11.00,"37,0773144","31,00095768","0,569452","4,3087361",
05/11/2010 12.00,"51,29705595","27,67904888","0,49874815","3,33696311","24,17580986"
05/11/2010 13.00,"53,9121618","24,54143776","0,46215667","2,86023826",
05/11/2010 14.00,"55,89205965","27,07489512","0,50653268","2,56365157","21,97801971"
05/11/2010 15.00,"59,15791455","21,90742832","0,43521954","3,15726735",
05/11/2010 16.00,"44,97190845","33,7193628","0,57057273","3,02238467","23,44322014"
05/11/2010 17.00,"39,96984495","35,93093496","0,66837099","4,05354029",
05/11/2010 18.00,"31,96387005","41,93488264","0,66497035","3,94393515","24,90842056"
05/11/2010 19.00,"25,45849425","45,78631984","0,72566685","3,95331698",
05/11/2010 20.00,"33,5630421","41,88815336","0,6294996","4,10288005","20,51280975"
05/11/2010 21.00,"31,28545035","49,48330568","0,71658335","4,26160426",
05/11/2010 22.00,"31,69183185","42,79212784","0,63958733","4,02329675","24,66422081"
05/11/2010 23.00,"36,47787675","37,57468136","0,54155258","3,78482449",
06/11/2010 0.00,"47,74025025","24,83347664","0,45731959","2,89081335","21,97801971"
06/11/2010 1.00,"55,0273269","16,16888345","0,37937876","2,18549435",
06/11/2010 2.00,"54,3495855","10,23501822","0,39776362","1,62918722","15,87300968"
06/11/2010 3.00,,"7,74634946","0,37772795","1,32123047",
06/11/2010 4.00,"56,80740555",,"0,40161628","2,95041768","8,79120922"
06/11/2010 5.00,"56,5090533","15,27010961",,"1,62918722",
06/11/2010 6.00,"61,60019355","15,23312388","0,40798766","3,17890097","13,18680954"
06/11/2010 7.00,"56,2093245","20,91972736","0,37375647","1,75810926",
06/11/2010 8.00,"33,07297035","44,57281168","0,51897954","1,86672181","7,32600689"
06/11/2010 9.00,"20,79733635","64,38807224","1,01029499","3,15660426",
06/11/2010 10.00,"22,3411671","67,82808528","1,09175412","6,44395201","18,07081032"
06/11/2010 11.00,"52,1172204","37,97507328","0,62786743","5,30810234",
06/11/2010 12.00,"61,0615236","33,96465328","0,53488645","3,59723579","11,23320961"
06/11/2010 13.00,"59,3611053","36,87188752","0,5410994","3,17890097",
06/11/2010 14.00,"68,8980831","27,83155","0,44453954","3,12017939","9,27960968"
06/11/2010 15.00,"73,89270525","23,61801824","0,40670966","2,66277144",
06/11/2010 16.00,"67,00999515","32,41239608","0,54019536","1,88791405","16,36141014"
06/11/2010 17.00,"42,8698368","43,10038048","0,64739283","3,00582791",
06/11/2010 18.00,"32,4863406","49,7461292","0,62183157","3,5769263","13,18680954"
06/11/2010 19.00,"28,11882675","56,10375864","0,79124004","4,0089479",
06/11/2010 20.00,"21,38462445","62,31471856","0,75657547","4,67166069","17,82661057"
06/11/2010 21.00,"25,92157365","58,08755424","0,72108607","4,61823666",
06/11/2010 22.00,"17,29186001","71,12532928","0,87270034","4,52877524","20,75702095"
06/11/2010 23.00,"29,96168805","61,95975576","0,83141041","5,56561589",
07/11/2010 0.00,"40,8021789","49,63775704","0,68530077","4,40321947","24,42000961"
07/11/2010 1.00,"53,59286205","33,52403288","0,54322319","3,43056372",
07/11/2010 2.00,"33,75609825","44,12634056","0,53742266","2,7912521","20,75702095"
07/11/2010 3.00,"56,1519483","29,33709704","0,55045784","3,0518553",
07/11/2010 4.00,"38,465196","37,14119272","0,47401171","2,60327694","14,16361046"
07/11/2010 5.00,"57,3001905","15,35966195","0,38921019","1,99906503",
07/11/2010 6.00,"53,85951375","13,51344049","0,38248581","1,75932356","15,87300968"
07/11/2010 7.00,"59,3158587","10,85670119","0,37707905","1,59971558",
07/11/2010 8.00,"58,73397705","11,44138697","0,41189973","1,52024313","13,91940975"
07/11/2010 9.00,"50,6550849","21,6166896","0,54127648","1,80667508",
07/11/2010 10.00,"52,5006594","19,28961352","0,4901155","1,95667952","13,91940975"
07/11/2010 11.00,"58,73533365","17,04105563","0,49658475","2,18483229",
07/11/2010 12.00,"54,88151235","21,05211424","0,62401361","2,92690668","17,58241081"
07/11/2010 13.00,"52,8813852","25,24750112","0,54196499","3,27636517",
07/11/2010 14.00,"54,62838675","28,08464144","0,67259994","3,64094543","20,02441978"
07/11/2010 15.00,"61,8155538","16,11048523","0,53276266","3,20406765",
07/11/2010 16.00,"59,22067725","15,62637639","0,50364232","2,48528256","21,73381996"
07/11/2010 17.00,"54,75056055","21,75037664","0,52023774","2,24333318",
07/11/2010 18.00,"42,7105161","32,17163704","0,56082052","2,76255338","21,24542046"
07/11/2010 19.00,"39,70051995","30,6057664","0,61974738","3,32305564",
07/11/2010 20.00,"27,09682815","45,92000688","0,82328919","3,52350329","25,88521957"
07/11/2010 21.00,"32,93930535","41,28334952","0,71888422","4,28114184",
07/11/2010 22.00,"43,4226912","34,7355908","0,5874629","3,52019193","27,35042"
07/11/2010 23.00,"44,10651735","33,54284696","0,57358076","3,25075812",
08/11/2010 0.00,"46,1329785","34,03409712","0,516561","2,93441315","24,42000961"
08/11/2010 1.00,"53,2080864","15,37459276","0,44290737","2,41563332",
08/11/2010 2.00,"67,49601705","6,29662708","0,38881759","1,96197809","18,31501007"
08/11/2010 3.00,,"5,60875449","0,35480075","1,72135284",
08/11/2010 4.00,"76,7893056",,"0,31388479","0,42308115","10,25640965"
08/11/2010 5.00,"72,0707715","8,01955131",,,
08/11/2010 6.00,"68,37086445","11,411533","0,79977367",,"8,54700947"
08/11/2010 7.00,"56,1499134","21,56024736","0,54107959",,
08/11/2010 8.00,"61,6130214","29,185246","0,45092956",,"4,88400507"
08/11/2010 9.00,"48,5253426","51,65464936","0,74705975",,
08/11/2010 10.00,"50,9433225","50,15107168","0,97913008",,"17,09399986"
08/11/2010 11.00,"64,28079525","36,27096504","0,61782047",,
08/11/2010 12.00,"61,390938","32,25924488","0,61683838",,"10,98900986"
08/11/2010 13.00,"57,29817555","33,06781056","0,63683444",,
08/11/2010 14.00,"57,52835865","38,30927176","0,74786593",,"9,52380943"
08/11/2010 15.00,"64,13296575","27,18909888","0,57039565",,
08/11/2010 16.00,"66,52126005","25,71991808","0,50519643",,"5,61660624"
08/11/2010 17.00,"66,5685216","27,68878096","0,55564908",,
08/11/2010 18.00,"60,5741451","32,62525904","0,51024903",,"3,90720391"
08/11/2010 19.00,"54,37186965","41,7830316","0,67254052",,
08/11/2010 20.00,"53,50444365","44,9797044","0,68093551",,"2,93040299"
08/11/2010 21.00,"56,7547575","41,34501152","0,6167976",,
08/11/2010 22.00,"54,56223255","40,11850176","0,60136368",,"8,05860806"
08/11/2010 23.00,"60,433737","31,7537312","0,47389404",,
09/11/2010 0.00,"64,58930205","17,97227802","0,432801",,"8,79120922"
09/11/2010 1.00,"71,9134857","13,31097116","0,38095267",,
09/11/2010 2.00,"78,1475016","5,894935","0,34988562",,"8,30280876"
09/11/2010 3.00,"82,90316265","3,30567974","0,32114041",,
09/11/2010 4.00,"80,75450775","3,02663864","0,30802484",,"4,63980484"
09/11/2010 5.00,"79,1789565","2,48153126","0,33244557",,
09/11/2010 6.00,"76,29923385","4,61977631","0,57059254",,"6,34920597"
09/11/2010 7.00,"64,08233265","11,72626923","0,42609642",,
09/11/2010 8.00,"54,8443854","21,15985544","0,46428046",,"3,90720391"
09/11/2010 9.00,"50,8954026","30,71736984","0,68421965",,
09/11/2010 10.00,"50,8468044","34,37477728","0,83518384",,"10,50061035"
09/11/2010 11.00,"55,58694435","26,10149592","0,60289682",,
09/11/2010 12.00,"62,77748295","22,2507088","0,52470202","2,93949002","11,72161007"
09/11/2010 13.00,"60,2757729","29,36109264","0,5410994","2,59223944",
09/11/2010 14.00,"60,05538525","34,8792776","0,64377667","2,79315694","10,50061035"
09/11/2010 15.00,"73,0455285","19,60887928","0,42090518","2,69323567",
09/11/2010 16.00,"68,49507315","20,2850772","0,42407165","1,45169834","12,45421028"
09/11/2010 17.00,"65,08003215","23,60568584","0,53319487","2,3028826",
09/11/2010 18.00,"55,1252016","37,75507856","0,64206412","2,50912409","6,59340715"
09/11/2010 19.00,"46,21128225","47,28536608","0,65586704","3,34844199",
09/11/2010 20.00,"44,40285465","50,80453592","0,76495182","3,87163662","11,47741032"
09/11/2010 21.00,"40,19667645","53,87855392","0,80187649","4,216901",
09/11/2010 22.00,"48,6657507","38,0484176","0,65508067","4,39968743","17,33819962"
09/11/2010 23.00,"58,0764849","28,8633608","0,52348227","3,25572515",
10/11/2010 0.00,"62,41969965","21,0994936","0,47617511","2,25801357","12,45421028"
10/11/2010 1.00,"62,81865975","19,15204512","0,40303292","1,86594889",
10/11/2010 2.00,"73,3162101","8,88847883","0,3756228","1,50467998","7,32600689"
10/11/2010 3.00,,"4,71451974","0,34355501","0,98810805",
10/11/2010 4.00,"80,443986",,"0,37845491","0,74604883","13,67521"
10/11/2010 5.00,"80,8739883","11,55820061",,"0,81095072",
10/11/2010 6.00,"80,91785835","11,79765566","0,57772933","2,30536509","8,30280876"
10/11/2010 7.00,"68,5490778","17,02548239","0,37985058","6,85246362",
10/11/2010 8.00,"55,42291545","28,5940556","0,48148402","3,10003567","16,11721039"
10/11/2010 9.00,"51,19040325","37,5733812","0,64611483","2,27247328",
10/11/2010 10.00,"52,04905125","37,08215016","0,84769012","3,63056999","11,47741032"
10/11/2010 11.00,"55,8616758","29,23975712","0,54619161","3,35020852",
10/11/2010 12.00,"53,4011625","28,73164312","0,58400285","3,02481327","30,03663063"
10/11/2010 13.00,"55,68278415","27,715396","0,52920358","2,26430474",
10/11/2010 14.00,"57,49191","25,68682136","0,49980947","2,19785701","22,22220993"
10/11/2010 15.00,"55,76785095","26,71343152","0,47839793","2,67358825",
10/11/2010 16.00,"61,5327027","21,87693192","0,46514489","1,9583352","21,97801971"
10/11/2010 17.00,"63,5011293","23,28186952","0,46541983","2,06253295",
10/11/2010 18.00,"60,2406609","28,42404056","0,50045837","1,97533436","19,04759979"
10/11/2010 19.00,"58,76637585","32,0444508","0,57906675","2,76310561",
10/11/2010 20.00,"54,26250375","42,55526928","0,58026553","2,92061552","10,50061035"
10/11/2010 21.00,"42,57483615","51,03426272","0,67468296","3,8019884",
10/11/2010 22.00,"44,82340065","51,96678336","0,6798742","3,67781168","15,14041042"
10/11/2010 23.00,"66,6333192","25,1345784","0,47741467","2,82293063",
11/11/2010 0.00,"71,403843","19,07417318","0,41667856","2,01385628","9,27960968"
11/11/2010 1.00,"77,7593544","10,84176847","0,36891939","1,46969009",
11/11/2010 2.00,"80,13549915","8,49197783","0,37076708","0,99671797","11,23320961"
11/11/2010 3.00,"75,82873305","4,37772285","0,35462484","0,97740209",
11/11/2010 4.00,"74,40573945","4,35176554","0,34955243","0,82651387","6,34920597"
11/11/2010 5.00,"73,6091958","4,37966926","0,37263457","0,75101585",
11/11/2010 6.00,"66,94384095","7,993594","0,42985238","2,97624643","4,39560509"
11/11/2010 7.00,"50,4492009","16,48686434","0,46345448","4,08830949",
11/11/2010 8.00,"23,64128865","46,63706424","0,96200458","2,0702591","11,23320961"
11/11/2010 9.00,"12,23579585","66,09216136","0,9005217","3,87428591",
11/11/2010 10.00,"24,69772095","55,60992728","0,97140263","5,37063259","10,50061035"
11/11/2010 11.00,"23,5177383","50,31005448","0,75474758","4,27562258",
11/11/2010 12.00,"25,8338136","49,61699272","0,80209318","4,0332308","18,07081032"
11/11/2010 13.00,"55,3918533","27,6569844","0,53343137","3,62394729",
11/11/2010 14.00,"44,313738","37,04645312","0,59495385","2,87381521","15,87300968"
11/11/2010 15.00,"63,3681426","17,73606763","0,44107832","3,25186157",
11/11/2010 16.00,"51,76687845","29,29294896","0,52153555","2,01893315","7,81440783"
11/11/2010 17.00,"28,2821973","54,96227552","0,70862057","3,51169185",
11/11/2010 18.00,"31,1821692","48,86161888","0,74045303","4,78099022","4,39560509"
11/11/2010 19.00,"25,26880965","57,4548352","0,88455538","4,24742016",
11/11/2010 20.00,"25,7271609","62,88059408","0,87366263","5,15600084","2,686203"
11/11/2010 21.00,"29,32648005","59,29393064","0,83219562","5,22995504",
11/11/2010 22.00,"8,69858304","84,40191312","1,0545149","5,25622517","6,59340715"
11/11/2010 23.00,"17,04749046","65,00975904","0,83941163","5,52367176",
12/11/2010 0.00,"43,48411725","29,92826832","0,56276607","4,21143666","15,62880993"
12/11/2010 1.00,"43,88172075","21,29612368","0,53954645","2,74809367",
12/11/2010 2.00,"50,4262584","13,0831946","0,45242309","2,3883706","13,43101025"
12/11/2010 3.00,,"6,73595688","0,4281608","1,71086656",
12/11/2010 4.00,"61,75005795",,"0,40751584","1,59673577","11,23320961"
12/11/2010 5.00,"67,20103635","16,22079998",,"1,39187332",
12/11/2010 6.00,"65,16713385","14,83726722","0,46636348","1,14926085","14,16361046"
12/11/2010 7.00,"51,66900375","24,63036488","0,51604957","1,35721396",
12/11/2010 8.00,"44,9509809","31,4960892","0,64062884","2,30669024","8,54700947"
12/11/2010 9.00,"41,0769303","37,89266608","0,75661508","2,56492078",
12/11/2010 10.00,"45,7806216","37,39168384","0,67389658","3,9553042","12,45421028"
12/11/2010 11.00,"56,31599715","26,8853968","0,54971224","3,99222536",
12/11/2010 12.00,"67,0295661","20,37788568","0,49794081","2,93783434","14,89620972"
12/11/2010 13.00,"69,71689095","21,22407952","0,50889297","2,61563959",
12/11/2010 14.00,"64,5852522","30,42146872","0,60419463","2,33318106","16,11721039"
12/11/2010 15.00,"72,43866945","19,2967644","0,45165652","2,82293063",
12/11/2010 16.00,"66,72714405","23,18257936","0,48753969","1,8407822","9,03540897"
12/11/2010 17.00,"56,88301605","30,7679996","0,50401745","2,37225522",
12/11/2010 18.00,"45,24869475","39,55912704","0,58634217","2,75996003","5,37240601"
12/11/2010 19.00,"39,0976908","44,09389392","0,68364996","4,33219118",
12/11/2010 20.00,"37,0091253","46,58905392","0,67077089","4,19912995","16,60560989"
12/11/2010 21.00,"36,76272285","45,18864776","0,71646568","3,98687188",
12/11/2010 22.00,"35,51999745","44,67080168","0,69129819","4,20762902","16,36141014"
12/11/2010 23.00,"44,45484435","34,07497568","0,56367127","3,73741601",
13/11/2010 0.00,"54,1686789","21,97102144","0,48988017","3,04423898","18,31501007"
13/11/2010 1.00,"57,80713995","15,89958207","0,45153886","2,4150821",
13/11/2010 2.00,"58,234449","17,13839938","0,41321735","1,96915303","12,69841003"
13/11/2010 3.00,"57,5148525","16,25065395","0,43238742","1,71748926",
13/11/2010 4.00,"60,326406","11,66981552","0,48954582","3,54756551","8,30280876"
13/11/2010 5.00,"56,1371055","11,57831102","0,57238198","2,4150821",
13/11/2010 6.00,"55,52888985","11,52055333","0,59078548","5,04650553","7,81440783"
13/11/2010 7.00,"38,3065536","26,40454792","0,64636996","2,69224206",
13/11/2010 8.00,"13,33476354","58,71767296","0,94116389","3,05417304","16,36141014"
13/11/2010 9.00,"13,49811813","65,63467712","1,12122862","4,59555451",
13/11/2010 10.00,"36,0660888","44,3275212","0,78661965","5,18481041","16,84980965"
13/11/2010 11.00,,,,,
13/11/2010 12.00,,,,,
13/11/2010 13.00,,,,,
13/11/2010 14.00,,,,,
13/11/2010 15.00,,,,,
13/11/2010 16.00,"63,6401808","26,31694008","0,56530344","1,80800023","9,27960968"
13/11/2010 17.00,"32,6719953","60,22190072","0,82940428","2,66674486",
13/11/2010 18.00,"12,38969813","78,14357384","1,08994604","4,33782027","11,23320961"
13/11/2010 19.00,"6,71530965","80,8171808","1,05182142","4,70587766",
13/11/2010 20.00,"4,85422203","84,8276008","1,0965912","5,70690059","21,0012207"
13/11/2010 21.00,"13,31316368","65,63597728","0,93579557","5,83913398",
13/11/2010 22.00,"7,00422954","85,30003688","1,08520799","5,39750885","28,08300972"
13/11/2010 23.00,"11,55940107","88,43634784","1,13717398","6,11684617",
14/11/2010 0.00,"35,10619455","57,8558772","0,86180759","5,20826549","28,32722092"
14/11/2010 1.00,"39,9171969","52,07970608","0,64469819","3,87803864",
14/11/2010 2.00,"26,96180655","51,52616296","0,71907994","3,74779247","24,90842056"
14/11/2010 3.00,,"50,97131968","0,67281546","3,42007845",
14/11/2010 4.00,"11,61880619",,"0,70816739","3,43713151","21,97801971"
14/11/2010 5.00,"31,9672416","63,10188896",,"3,74326682",
14/11/2010 6.00,"45,1818423","36,36377352","0,53856319","3,05891938","21,0012207"
14/11/2010 7.00,"51,1944531","32,52659984","0,45505832","2,7138767",
14/11/2010 8.00,"28,066857","54,28997808","0,66119575","2,82657353","11,47741032"
14/11/2010 9.00,"34,1003754","48,80907712","0,70767576","3,51384484",
14/11/2010 10.00,"54,1275021","23,63813248","0,61392821","3,36985594","12,45421028"
14/11/2010 11.00,"62,2246086","17,65235262","0,55576675","2,69610565",
14/11/2010 12.00,"66,6906954","18,60694157","0,62275541","3,12724449","10,25640965"
14/11/2010 13.00,"63,93988965","25,72316848","0,62776957","3,02702016",
14/11/2010 14.00,"60,6335562","28,64531632","0,62735716","3,15439737","14,65200996"
14/11/2010 15.00,"67,30026765","19,15982696","0,55802801","2,70868899",
14/11/2010 16.00,"69,4988574","14,52772781","0,56532324","2,27887529","18,55920982"
14/11/2010 17.00,"50,27302245","36,05033936","0,71927683","2,35768466",
14/11/2010 18.00,"40,13052225","42,21522008","0,68990135","3,71191881","16,36141014"
14/11/2010 19.00,"20,8830615","68,6937624","0,84662764","4,4126013",
14/11/2010 20.00,"5,42733167","94,26574904","1,36440839","5,93770162","24,42000961"
14/11/2010 21.00,"2,44905003","102,53447984","1,48035502","6,38981202",
14/11/2010 22.00,"4,74486611","126,6586236","1,76763703","7,00947724","35,16482162"
14/11/2010 23.00,"4,45662252","110,06470064","1,31200786","7,36070124",
15/11/2010 0.00,"12,92770773","84,78997264","0,92118647","5,80568891","41,02563095"
15/11/2010 1.00,"7,27019496","86,84646248","1,04366059","5,40584316",
15/11/2010 2.00,"20,89656765","69,46469992","0,80679279","5,22255942","22,22220993"
15/11/2010 3.00,"39,63436575","33,00421744","0,51290407","3,38265997",
15/11/2010 4.00,"51,00542685","19,11311106","0,55387945","2,54698395","19,78022003"
15/11/2010 5.00,"36,97199835","18,84574463","0,57489838","2,86746811",
15/11/2010 6.00,"18,49949735","33,0055176","0,70376369","3,03502293","16,36141014"
15/11/2010 7.00,"0,69731834","65,63402704","1,31293287","4,67430896",
15/11/2010 8.00,"1,17794775","80,78605344","1,67784116","6,50085316","24,17580986"
15/11/2010 9.00,"5,17284149","83,08846472","1,51246358","6,87244259",
15/11/2010 10.00,"28,43611155","62,20699648","1,26503622","6,25608872","30,03663063"
15/11/2010 11.00,"37,36756695","47,2386368","0,71915916","5,06460813",
15/11/2010 12.00,"49,4305539","32,2709272","0,68042408","3,75419448","25,88521957"
15/11/2010 13.00,"62,06802105","27,24426008","0,54717487","2,78021358",
15/11/2010 14.00,"61,2755073","34,95558552","0,66754617","2,63274858","20,02441978"
15/11/2010 15.00,"68,4255474","18,16631734","0,49699716","2,85482985",
15/11/2010 16.00,"52,16380365","32,41887776","0,56738762","2,11087808","18,80340958"
15/11/2010 17.00,"29,62349565","49,83633736","0,71854987","3,01995608",
15/11/2010 18.00,"18,88427499","66,23754984","0,95136696","3,6607037","19,78022003"
15/11/2010 19.00,"24,25084095","54,8221068","0,83612749","4,80312116",
15/11/2010 20.00,"16,38054999","65,89166904","0,96568132","4,23687895","24,90842056"
15/11/2010 21.00,"21,1564563","62,72744288","0,87859873","4,8627255",
15/11/2010 22.00,"22,67327475","64,9221512","0,99515465","5,18558232","23,19902039"
15/11/2010 23.00,"33,5684286","42,0160088","0,71868617","4,45046217",
16/11/2010 0.00,"34,1152182","33,99126832","0,6378177","3,85436288","23,44322014"
16/11/2010 1.00,"49,1585157","20,9800892","0,60606329","3,0702335",
16/11/2010 2.00,"57,0943065","10,79569883","0,48368587","2,31960411","15,38461018"
16/11/2010 3.00,,"7,29793574","0,48590869","2,03206872",
16/11/2010 4.00,"60,15561405",,"0,45781122","1,71373653","15,38461018"
16/11/2010 5.00,"62,24014965","13,69838634",,"1,45081559",
16/11/2010 6.00,"63,1035258","12,80220708","0,62833926","1,52896289","14,40781021"
16/11/2010 7.00,"48,1830804","26,25139672","0,63016831","6,70604715",
16/11/2010 8.00,"44,2570401","33,98931808","0,70154087","3,46809306","7,81440783"
16/11/2010 9.00,"42,17252445","31,71025232","0,73988335","2,91134353",
16/11/2010 10.00,,,,,
16/11/2010 11.00,,,,,
16/11/2010 12.00,,,,,
16/11/2010 13.00,"49,71745485","14,41870557","0,37002031","1,64154885",
16/11/2010 14.00,"47,00581095","32,84133416","0,55794996","3,1748167",
16/11/2010 15.00,"44,9341032","30,98732512","0,52719862","3,14236626",
16/11/2010 16.00,"31,21997445","44,98293568","0,62664884","2,80140684",
16/11/2010 17.00,"31,52644635","44,4040968","0,69405108","3,65132086",
16/11/2010 18.00,"49,49401485","33,40657872","0,51793687","3,60374865",
16/11/2010 19.00,"60,541068","25,7802608","0,45283667","3,48012417",
16/11/2010 20.00,"39,7349337","45,9498532","0,68685371","2,77513672",
16/11/2010 21.00,"34,51687155","56,864314","0,68184072","4,2729733",
16/11/2010 22.00,"27,18456825","61,38544832","0,74051128","4,38191637",
16/11/2010 23.00,"21,2469096","65,44519792","0,70704666","4,685678",
17/11/2010 0.00,"33,297747","41,75966696","0,60757663","4,3376545",
17/11/2010 1.00,"48,16283115","29,07880496","0,53132738","3,7848794",
17/11/2010 2.00,"50,27976555","17,89700641","0,40222557","3,19876908",
