,Provincia di TARANTO,,,,,,
,TA V. Machiavelli,,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE,PM2.5



08/01/2010 3.00,"2,056356","19,457448",,,"44,200001",,"10,9"
08/01/2010 4.00,"1,91082","7,196701","0,738929",,"44,200001",,"10,9"
08/01/2010 5.00,"1,937912","4,075319","0,74106",,"44,200001",,"10,9"
08/01/2010 6.00,"2,138385","3,573042","0,738614",,"44,200001",,"10,9"
08/01/2010 7.00,"1,831353","6,181765","0,799425",,"44,200001",,"10,9"
08/01/2010 8.00,"1,598785","9,815162","0,767896",,"44,200001",,"10,9"
08/01/2010 9.00,"2,241331","11,634124","0,806331",,"44,200001",,"10,9"
08/01/2010 10.00,"2,315379","10,959231","0,79532",,"44,200001",,"10,9"
08/01/2010 11.00,"1,835389","10,237439","0,813866",,"44,200001",,"10,9"
08/01/2010 12.00,"2,143803","9,493934","0,799464",,"44,200001",,"10,9"
08/01/2010 13.00,"2,100458","10,224632","0,800926",,"44,200001",,"10,9"
08/01/2010 14.00,"1,9939","10,373885","0,843307",,"44,200001",,"10,9"
08/01/2010 15.00,"1,708541","6,462106","1,099456",,"44,200001",,"10,9"
08/01/2010 16.00,"1,531546","5,945553","1,716605",,"44,200001",,"10,9"
08/01/2010 17.00,"1,40389","6,181062","1,735481",,"44,200001",,"10,9"
08/01/2010 18.00,"1,275084","7,094168","2,152978",,"44,200001","0,289591","10,9"
08/01/2010 19.00,"1,231643","6,645249","2,254963",,"44,200001","0,869993","10,9"
08/01/2010 20.00,"1,542382","7,705467","1,648731",,"44,200001","1,010135","10,9"
08/01/2010 21.00,"1,59277","6,543885","0,848851",,"44,200001","7,537953","10,9"
08/01/2010 22.00,"1,421882","4,668431","0,845369",,"44,200001","0,869179","10,9"
08/01/2010 23.00,"1,363581","3,390043","0,841136",,"44,200001","0,586046","10,9"
09/01/2010 0.00,"1,43763","2,992894","0,832179",,"44,200001","0,678949","10,9"
09/01/2010 1.00,"1,410693","1,888431","0,824326",,"49,700001","0,624082","9,4"
09/01/2010 2.00,"1,20257","0,654648","0,823258",,"49,700001","0,811312","9,4"
09/01/2010 3.00,"1,424988","0,565874","0,828549",,"49,700001","0,550299","9,4"
09/01/2010 4.00,"1,347327","0,611299","0,821484",,"49,700001","0,863484","9,4"
09/01/2010 5.00,"1,544188","0,244","0,806764",,"49,700001","0,769157","9,4"
09/01/2010 6.00,"1,558996","1,181406","0,804646",,"49,700001","0,505957","9,4"
09/01/2010 7.00,,,,,"49,700001",,"9,4"
09/01/2010 8.00,"1,862057","8,153233","0,845241",,"49,700001","0,589097","9,4"
09/01/2010 9.00,"1,453885","11,170785","0,84899",,"49,700001","0,572927","9,4"
09/01/2010 10.00,,,,,"49,700001",,"9,4"
09/01/2010 11.00,"1,249799","19,499206","0,87985",,"49,700001","0,596725","9,4"
09/01/2010 12.00,"1,629531","26,198874","0,821402",,"49,700001","2,102037","9,4"
09/01/2010 13.00,"1,636298","12,673714","0,839046",,"49,700001","2,344185","9,4"
09/01/2010 14.00,"1,663894","35,767113","0,918298",,"49,700001","0,657287","9,4"
09/01/2010 15.00,"1,860251","18,75555","0,859487",,"49,700001","1,087173","9,4"
09/01/2010 16.00,"1,418255","21,258151","0,806256",,"49,700001","0,952319","9,4"
09/01/2010 17.00,"1,47014","21,993736","0,805897",,"49,700001","0,838771","9,4"
09/01/2010 18.00,"1,660277","14,532985","0,805674",,"49,700001","0,932691","9,4"
09/01/2010 19.00,"1,670614","9,445913","0,811816",,"49,700001","0,669898","9,4"
09/01/2010 20.00,"1,244225","10,103445","0,818707",,"49,700001","0,6461","9,4"
09/01/2010 21.00,"1,771753","34,759605","0,892358",,"49,700001","0,72807","9,4"
09/01/2010 22.00,"1,627723","6,594562","0,842464",,"49,700001","1,106496","9,4"
09/01/2010 23.00,"1,394285","8,855382","0,82401",,"49,700001","0,732189","9,4"
10/01/2010 0.00,"1,414469","6,169051","0,815186",,"49,700001","0,648083","9,4"
10/01/2010 1.00,,"10,606208","0,835928",,"11,1","0,622201","7,2"
10/01/2010 2.00,"1,576698",,"0,868957",,"11,1","0,935437","7,2"
10/01/2010 3.00,"1,990287","35,455267",,,"11,1","0,797125","7,2"
10/01/2010 4.00,"1,940579","20,2924","0,865857",,"11,1","0,830431","7,2"
10/01/2010 5.00,"1,84219","13,431669","0,805936",,"11,1","0,775208","7,2"
10/01/2010 6.00,"1,679644","13,911884","0,822431",,"11,1","0,653168","7,2"
10/01/2010 7.00,"1,524321","11,775593","0,807632",,"11,1","0,818685","7,2"
10/01/2010 8.00,"1,670614","19,858738","0,856487",,"11,1","4,713795","7,2"
10/01/2010 9.00,"1,564421","38,097422","0,889608",,"11,1","0,814414","7,2"
10/01/2010 10.00,"1,547023","20,577822","0,864113",,"11,1","1,17616","7,2"
10/01/2010 11.00,"1,981257","19,22927","0,888412",,"11,1","0,837245","7,2"
10/01/2010 12.00,"2,02561","11,456656","0,86171",,"11,1","0,968031","7,2"
10/01/2010 13.00,"1,930687","10,023467","0,850647",,"11,1","0,913622","7,2"
10/01/2010 14.00,"1,865668","7,663935","0,847333",,"11,1","3,697303","7,2"
10/01/2010 15.00,"1,846561","8,741629","0,831519",,"11,1","0,786904","7,2"
10/01/2010 16.00,"2,076978","6,001361","0,822945",,"11,1","0,774039","7,2"
10/01/2010 17.00,"2,300931","6,621743","0,82914",,"11,1","3,341455","7,2"
10/01/2010 18.00,"1,858966","16,172675","0,887651",,"11,1","3,47458","7,2"
10/01/2010 19.00,"2,039051","51,424271","0,98474",,"11,1","4,768204","7,2"
10/01/2010 20.00,"2,136579","47,618914","1,07933",,"11,1","1,416172","7,2"
10/01/2010 21.00,"2,161253","46,783176","1,034043",,"11,1","1,907892","7,2"
10/01/2010 22.00,"2,382205","41,238571","1,090459",,"11,1","2,221128","7,2"
10/01/2010 23.00,"2,709555","57,545999","1,085551",,"11,1","1,635336","7,2"
11/01/2010 0.00,"2,918607","65,985106","1,371351",,"11,1","1,879924","7,2"
11/01/2010 1.00,"2,850322","39,378899","1,02124",,"20,4","7,024927","11,9"
11/01/2010 2.00,"2,432541","32,302168","0,97619",,"20,4","1,783818","11,9"
11/01/2010 3.00,"2,439326","25,805384","0,986403",,"20,4","2,073663","11,9"
11/01/2010 4.00,"2,922218","24,826976","0,962681",,"20,4","3,721203","11,9"
11/01/2010 5.00,"2,98288","21,939148","0,975453",,"20,4","1,337355","11,9"
11/01/2010 6.00,"2,716327","26,742646","0,995356",,"20,4","1,257012","11,9"
11/01/2010 7.00,"2,98054","42,58001","1,078223",,"20,4","4,780917","11,9"
11/01/2010 8.00,"4,596569","59,468859","1,44636",,"20,4","1,656693","11,9"
11/01/2010 9.00,"5,122009","74,169477","1,861273",,"20,4","2,624368","11,9"
11/01/2010 10.00,"4,890833","59,599562","1,236705",,"20,4","8,004806","11,9"
11/01/2010 11.00,"3,212996","56,576844","1,093221",,"20,4","2,757087","11,9"
11/01/2010 12.00,"2,435929","41,430227","1,071494",,"20,4","1,670422","11,9"
11/01/2010 13.00,"2,446239","36,52486","1,007308",,"20,4","1,898739","11,9"
11/01/2010 14.00,"2,279259","24,525874","0,853567",,"20,4","1,409562","11,9"
11/01/2010 15.00,"2,320798","22,834747","0,82918",,"20,4","4,181039","11,9"
11/01/2010 16.00,"2,253973","31,581116","0,835651",,"20,4","0,877722","11,9"
11/01/2010 17.00,"2,862618","69,703508","1,16228",,"20,4","0,832618","11,9"
11/01/2010 18.00,"2,570035","63,720324","1,059125",,"20,4","2,025864","11,9"
11/01/2010 19.00,"2,463477","61,865667","1,146968",,"20,4","1,861618","11,9"
11/01/2010 20.00,"2,396653","59,437328","1,065361",,"20,4","1,786869","11,9"
11/01/2010 21.00,"2,340664","45,190597","0,983753",,"20,4","1,846363","11,9"
11/01/2010 22.00,"2,727163","35,725204","1,016309",,"20,4","1,429393","11,9"
11/01/2010 23.00,"2,754255","51,840895","1,020611",,"20,4","1,643472","11,9"
12/01/2010 0.00,"2,394847","45,394357","0,989396",,"20,4","1,30176","11,9"
12/01/2010 1.00,,,,,"29,1","1,156329","16,4"
12/01/2010 2.00,"2,373173",,"0,950052",,"29,1","1,182771","16,4"
12/01/2010 3.00,"2,497792","36,461113",,,"29,1","1,0559","16,4"
12/01/2010 4.00,"2,645953","18,793327","0,911619",,"29,1","1,040899","16,4"
12/01/2010 5.00,"2,483344","14,214292","0,972428",,"29,1","0,848432","16,4"
12/01/2010 6.00,"2,299125","22,55571","0,986002",,"29,1","1,297184","16,4"
12/01/2010 7.00,"2,761478","63,780016","1,30099",,"29,1","1,220908","16,4"
12/01/2010 8.00,"2,660339","59,324425","1,053917",,"29,1","2,69505","16,4"
