,Foggia,,
,Manfredonia - Scuola Elementare Ungaretti,,
Parm,SO2,NO2,PM10



12/01/2010 7.00,"3,55976137","21,94570656","14,30000019"
12/01/2010 8.00,"3,97515705","34,35986368","14,30000019"
12/01/2010 9.00,"4,01127784","29,81211432","14,30000019"
12/01/2010 10.00,"3,95348377","30,06000512","14,30000019"
12/01/2010 11.00,"3,74578592","16,09750658","14,30000019"
12/01/2010 12.00,"3,69160423","9,39659474","14,30000019"
12/01/2010 13.00,"3,96973848","9,80023324","14,30000019"
12/01/2010 14.00,"3,81983471","8,85278562","14,30000019"
12/01/2010 15.00,"4,02933875","5,3005095","14,30000019"
12/01/2010 16.00,"3,86318027","6,32972189","14,30000019"
12/01/2010 17.00,"3,63742152","10,61529207","14,30000019"
12/01/2010 18.00,"3,6952156","11,66916544","14,30000019"
12/01/2010 19.00,"3,78371291","9,83527446","14,30000019"
12/01/2010 20.00,"3,6952156","30,00939448","14,30000019"
12/01/2010 21.00,"3,73856217","19,86522112","14,30000019"
12/01/2010 22.00,"3,5705975","32,98800368","14,30000019"
12/01/2010 23.00,"3,61033068","35,20607664","14,30000019"
13/01/2010 0.00,"3,64645248","12,66073629","14,30000019"
13/01/2010 1.00,"3,71147031","7,0266803","23,39999962"
13/01/2010 2.00,"3,71869508","4,8994675","23,39999962"
13/01/2010 3.00,"3,83428323","6,96957269","23,39999962"
13/01/2010 4.00,"3,99141075","8,40112724","23,39999962"
13/01/2010 5.00,"4,0726843","4,97863768","23,39999962"
13/01/2010 6.00,"4,25870886","14,91644314","23,39999962"
13/01/2010 7.00,"4,19910961","40,15874936","23,39999962"
13/01/2010 8.00,"4,60728052","53,08815224","23,39999962"
13/01/2010 9.00,"5,24121018","51,47230192","23,39999962"
13/01/2010 10.00,"5,0606042","52,81949712","23,39999962"
13/01/2010 11.00,"4,39416512","36,79726216","23,39999962"
13/01/2010 12.00,"4,07810186","31,10349824","23,39999962"
13/01/2010 13.00,"3,99321694","26,19883584","23,39999962"
13/01/2010 14.00,"3,86318027","19,6666408","23,39999962"
13/01/2010 15.00,"3,83247704","10,05072245","23,39999962"
13/01/2010 16.00,"3,63380914","12,56859127","23,39999962"
13/01/2010 17.00,"3,61936164","21,82112064","23,39999962"
13/01/2010 18.00,"3,62116681","28,79716736","23,39999962"
13/01/2010 19.00,"3,5001611","24,32601272","23,39999962"
13/01/2010 20.00,"3,82705948","24,59336768","23,39999962"
13/01/2010 21.00,"3,70785894","20,85420312","23,39999962"
13/01/2010 22.00,"3,53989427","25,35392304","23,39999962"
13/01/2010 23.00,"3,68437946","18,51803739","23,39999962"
14/01/2010 0.00,"3,53808808","20,27664528","23,39999962"
14/01/2010 1.00,,"12,52316215","18,10000038"
14/01/2010 2.00,"3,78913148","10,28433061","18,10000038"
14/01/2010 3.00,"3,53808808","5,98448926","18,10000038"
14/01/2010 4.00,"3,70424656","4,46468061","18,10000038"
14/01/2010 5.00,"3,72230645","4,83717071","18,10000038"
14/01/2010 6.00,"3,64645248","6,85925411","18,10000038"
14/01/2010 7.00,"3,984187","12,84763429","18,10000038"
14/01/2010 8.00,"3,63380914","19,10337516","18,10000038"
14/01/2010 9.00,"4,05281721","43,05430128","18,10000038"
14/01/2010 10.00,"4,02392017","46,61695","18,10000038"
14/01/2010 11.00,"3,85415033","28,54019456","18,10000038"
14/01/2010 12.00,"3,86137408","21,07612896","18,10000038"
14/01/2010 13.00,"3,94084144","11,23567298","18,10000038"
14/01/2010 14.00,"3,98599319","10,77752336","18,10000038"
14/01/2010 15.00,"3,81622233","10,02995622","18,10000038"
14/01/2010 16.00,"3,81260994","10,88654369","18,10000038"
14/01/2010 17.00,"3,9300053",,"18,10000038"
14/01/2010 18.00,"3,56337274",,"18,10000038"
14/01/2010 19.00,,"26,44412632","18,10000038"
14/01/2010 20.00,,"28,33773288","18,10000038"
14/01/2010 21.00,"3,78010154","28,8088688","18,10000038"
14/01/2010 22.00,"3,94084144","24,01450968","18,10000038"
14/01/2010 23.00,"4,09074521","23,03721","18,10000038"
15/01/2010 0.00,"4,2713522","14,43623287","18,10000038"
15/01/2010 1.00,"4,08532663","11,48746617","20,89999962"
15/01/2010 2.00,"4,35081855","8,19736158","20,89999962"
15/01/2010 3.00,"4,10519372","5,41731931","20,89999962"
