,TARANTO,,
,TA Carcere,,
,SO2,NO2,PM10



16/01/2010 2.00,"2,461671",,"26,86202"
16/01/2010 3.00,"2,187149","8,315465",
16/01/2010 4.00,"2,505016","5,990978","31,25762"
16/01/2010 5.00,"2,385817","6,991637",
16/01/2010 6.00,"2,140191","8,176595","33,211231"
16/01/2010 7.00,"2,369561","13,22272",
16/01/2010 8.00,"2,570035","22,611521","28,81562"
16/01/2010 9.00,"2,65492","16,142933",
16/01/2010 10.00,"3,012522","16,1611","33,211231"
16/01/2010 11.00,"3,530863","13,972882",
16/01/2010 12.00,"3,20216","11,043588","35,164822"
16/01/2010 13.00,"3,599494","13,61987",
16/01/2010 14.00,"3,379154","10,78401","25,39682"
16/01/2010 15.00,"3,626585","9,484848",
16/01/2010 16.00,"3,727725","6,678851","26,37361"
16/01/2010 17.00,"3,687992","9,055255",
16/01/2010 18.00,"4,287607","15,429093","25,39682"
16/01/2010 19.00,"3,971545","13,256459",
16/01/2010 20.00,"3,613943","11,734062","25,88522"
16/01/2010 21.00,"3,632004","16,911273",
16/01/2010 22.00,"3,577821","17,067016","25,88522"
16/01/2010 23.00,"3,554343","9,458894",
17/01/2010 0.00,"3,595882","9,840467","26,86202"
17/01/2010 1.00,"3,615749","11,726269",
17/01/2010 2.00,"3,612137","10,336246","22,954821"
17/01/2010 3.00,"3,762041","6,742446",
17/01/2010 4.00,"3,626585","7,303127","27,83882"
17/01/2010 5.00,"3,612137","11,305757",
17/01/2010 6.00,"3,756622","22,153368","25,39682"
17/01/2010 7.00,"3,548924","44,972552",
17/01/2010 8.00,"3,58324","47,568303","38,09523"
17/01/2010 9.00,"3,203966","29,586287",
17/01/2010 10.00,"3,350257","24,801028","37,606831"
17/01/2010 11.00,"5,111173","18,698434",
17/01/2010 12.00,"5,611454","18,322056","39,56044"
17/01/2010 13.00,"6,577702","28,589523",
17/01/2010 14.00,"6,521712","21,86653","35,164822"
17/01/2010 15.00,"5,098531","8,120786",
17/01/2010 16.00,"5,398339","17,783436","32,234421"
17/01/2010 17.00,"3,848731","18,001481",
17/01/2010 18.00,"3,680767","28,568759","37,118431"
17/01/2010 19.00,"2,707297","28,838695",
17/01/2010 20.00,"3,043225","20,188386","33,699631"
17/01/2010 21.00,"2,989043","43,73698",
17/01/2010 22.00,"3,361093","49,785056","55,67765"
17/01/2010 23.00,"3,707859","38,921876",
18/01/2010 0.00,"3,868599","32,075596","48,35165"
18/01/2010 1.00,,"31,015238",
18/01/2010 2.00,"4,424867",,"49,816841"
18/01/2010 3.00,"4,581996","39,664247",
18/01/2010 4.00,"4,255096","30,182009","56,654442"
18/01/2010 5.00,"3,841507","34,44032",
18/01/2010 6.00,"3,229251","23,324047","46,88644"
18/01/2010 7.00,"3,449591","31,268311",
18/01/2010 8.00,"3,776489","65,101248","40,04884"
18/01/2010 9.00,"3,847844","48,48937",
18/01/2010 10.00,"6,209263","43,232118","42,002441"
18/01/2010 11.00,"7,484348","35,334542",
18/01/2010 12.00,"4,879997","15,514761","41,025631"
18/01/2010 13.00,"3,32136","15,04882",
18/01/2010 14.00,"3,352063","14,830775","27,83882"
18/01/2010 15.00,"3,151589","14,691911",
18/01/2010 16.00,"2,927637","12,541329","26,37361"
18/01/2010 17.00,"3,449591","10,388166",
